Word	Amharic-am	Valence	Arousal	Dominance
telekinesis	telekinesis	0.582	0.646	0.667
telemetry	ቴሌሜትሪ	0.460	0.382	0.611
telepathic	ቴሌፓትቲክ	0.602	0.490	0.642
telepathy	telepathy	0.594	0.510	0.588
telephone	ስልክ	0.694	0.520	0.425
telescope	ቴሌስኮፕ	0.531	0.340	0.500
telescopic	ቴሌስኮፒ	0.490	0.290	0.660
telethon	ቴትቶን	0.643	0.641	0.473
teletype	teletype	0.532	0.392	0.455
televised	ቴሌቪዥን	0.625	0.519	0.518
television	ቴሌቪዥን	0.633	0.391	0.547
tell	ይንገሩ	0.551	0.350	0.457
teller	ተናጋሪ	0.500	0.395	0.443
telling	መናገር	0.719	0.441	0.527
telltale	ምንትዋሌ	0.240	0.663	0.426
temp	ሙቀት	0.490	0.440	0.314
temper	ቁጣ	0.633	0.623	0.818
tempera	ቁጣን	0.458	0.318	0.245
temperament	ስሜት	0.420	0.625	0.703
temperamental	ትኩሳት	0.316	0.774	0.608
temperance	መረጋጋት	0.500	0.294	0.639
temperate	ትኩስ	0.469	0.394	0.593
temperature	ሙቀት	0.521	0.559	0.473
tempered	ሞገስ	0.583	0.437	0.667
tempest	አውሎ ነፋስ	0.245	0.843	0.653
template	አብነት	0.479	0.311	0.411
temple	ቤተ መቅደስ	0.612	0.269	0.660
tempo	NO TRANSLATION	0.582	0.337	0.500
temporal	ጊዜያዊ	0.500	0.413	0.360
temporarily	ለጊዜው	0.500	0.365	0.373
temporary	ጊዜያዊ	0.458	0.415	0.324
tempt	ፈታኝ	0.210	0.677	0.500
temptation	ፈተና	0.365	0.817	0.560
tempting	ፈታኝ	0.615	0.740	0.519
temptress	ፈታኝ	0.427	0.787	0.667
ten	አስር	0.562	0.260	0.406
tenable	ተከራይ	0.741	0.412	0.636
tenacious	ቆራጥ	0.724	0.658	0.692
tenacity	ድካም	0.740	0.657	0.889
tenancy	ተከራይና አከራይ	0.500	0.458	0.605
tenant	ተከራይ	0.385	0.360	0.398
tend	ዘልቋል	0.604	0.398	0.412
tendency	ዝንባሌ	0.684	0.500	0.675
tender	ሩቅ	0.630	0.520	0.509
tenderfoot	መራመድ	0.469	0.421	0.438
tenderness	ርኅራኄ	0.949	0.276	0.367
tending	እየተንከባከቡ	0.622	0.556	0.594
tendon	ጅራታ	0.341	0.271	0.463
tenement	ማጎልበት	0.470	0.384	0.550
tenet	ሥነ ምግባር	0.667	0.333	0.636
tenets	ዜጎች	0.734	0.357	0.667
tenfold	አስር እጥፍ	0.469	0.418	0.500
tennis	ቴኒስ	0.622	0.519	0.431
tenor	ተከራይ	0.587	0.451	0.500
tense	ቆንጆ	0.396	0.439	0.655
tensile	የመጠጥ	0.458	0.510	0.618
tension	ውጥረት	0.304	0.810	0.529
tent	ድንኳን	0.510	0.275	0.333
tentacle	መስቀል	0.370	0.559	0.398
tentative	ጊዜያዊ	0.582	0.657	0.534
tenth	አስረኛ	0.510	0.349	0.382
tenths	አሥረኛ	0.406	0.294	0.284
tenuous	ድሃ	0.398	0.263	0.276
tenure	አከራይ	0.615	0.472	0.611
tepee	ቴፔ	0.500	0.337	0.373
tepid	ቲፒድ	0.337	0.327	0.237
tequila	ቴኳላ	0.612	0.710	0.536
teriyaki	ቴራኪኪ	0.646	0.449	0.431
term	ውል	0.450	0.255	0.598
terminal	ተርሚናል	0.316	0.434	0.483
terminate	ይቋረጣል	0.171	0.410	0.441
termination	ማቋረጥ	0.344	0.472	0.545
terminator	ማቆሚያ	0.370	0.663	0.737
terminology	የቃላት ዝርዝር	0.612	0.284	0.566
terminus	መድረሻ	0.281	0.382	0.615
termite	ምስጥር	0.265	0.480	0.408
terms	ውሎች	0.490	0.362	0.645
tern	tern	0.573	0.365	0.309
ternary	ተጣማጅ	0.550	0.406	0.480
terrace	መተላለፊያ	0.615	0.269	0.411
terrain	መሬት	0.540	0.300	0.472
terrestrial	መሬት ላይ	0.542	0.413	0.582
terrible	አስከፊ	0.061	0.849	0.604
terribly	በጣም አስፈሪ	0.061	0.731	0.430
terrier	ተባይ	0.562	0.540	0.431
terrific	ድንቅ	0.859	0.650	0.821
terrified	በፍርሃት	0.090	0.902	0.387
terrifies	አስፈሪ	0.083	0.923	0.500
terrify	አስፈሪ	0.052	0.889	0.509
terrifying	አስፈሪ	0.031	0.836	0.602
territorial	ግዛት	0.405	0.600	0.766
territory	ግዛት	0.625	0.469	0.676
terror	አስፈሪ	0.069	0.902	0.415
terrorism	ሽብርተኝነት	0.060	0.971	0.673
terrorist	አሸባሪ	0.019	0.930	0.679
terrorists	አሸባሪዎች	0.062	0.967	0.688
terrorize	ሽብር ፈጠራ	0.041	0.907	0.577
terse	እጥርጥር	0.542	0.393	0.409
tertiary	ሶስተኛ ደረጃ	0.500	0.350	0.431
test	ሙከራ	0.449	0.500	0.509
testament	ምስክር	0.594	0.420	0.806
testicle	ስቴክል	0.458	0.651	0.410
testicular	እንከን የለሽ	0.388	0.680	0.453
testify	መስክ	0.521	0.650	0.741
testimonial	ምስክርነት	0.541	0.538	0.750
testimony	ምስክርነት	0.615	0.578	0.643
testosterone	ቴስቶስትሮን	0.573	0.840	0.775
testy	NO TRANSLATION	0.135	0.640	0.357
tetanus	ቴታነስ	0.133	0.577	0.368
tether	ድፍን	0.323	0.620	0.407
tethered	ተያይዟል	0.260	0.472	0.351
tetrahedral	ቴትራድራል	0.595	0.468	0.423
text	ጽሁፍ	0.604	0.157	0.402
textbook	መማሪያ መጽሐፍ	0.622	0.235	0.526
textile	ጨርቃ ጨርቅ	0.604	0.235	0.395
textural	ስነጽሑፍ	0.660	0.296	0.445
texture	ስሪት	0.615	0.215	0.412
tgif	tgif	0.542	0.471	0.436
thank	አመሰግናለሁ	0.958	0.353	0.526
thankful	አመስጋኝ ነኝ	0.969	0.344	0.714
thankgod	እግዚአብሄር ይመስገን	0.823	0.451	0.466
thanking	ማመስገን	0.917	0.538	0.658
thankless	አመሰግናለሁ	0.146	0.500	0.497
thanks	አመሰግናለሁ	0.918	0.472	0.461
thanksalot	NO TRANSLATION	0.908	0.428	0.525
thanksgiving	በምስጋና	0.927	0.449	0.637
thankyougod	NO TRANSLATION	0.900	0.446	0.651
thankyoujesus	NO TRANSLATION	0.878	0.406	0.604
thankyoulord	NO TRANSLATION	0.809	0.388	0.466
thatch	የሳምባ ፍሬ	0.337	0.245	0.161
thatmoment	NO TRANSLATION	0.667	0.389	0.340
thaumaturgy	ታውማቶርጅ	0.510	0.546	0.618
thaw	ፈነጠቀ	0.438	0.321	0.327
theater	ቲያትር	0.760	0.635	0.516
theatrical	ቲያትር	0.720	0.690	0.546
theatrics	ቲያትር	0.694	0.539	0.486
thebest	ከሁሉም ምርጥ	0.760	0.596	0.719
theft	ስርቆት	0.135	0.867	0.394
theism	ጭቅጭቅ	0.460	0.431	0.481
theistic	ሥነ-መለኮታዊ	0.397	0.365	0.509
thelife	ህይወት	0.688	0.566	0.629
thelittlethings	NO TRANSLATION	0.571	0.240	0.324
theme	ገጽታ	0.541	0.176	0.427
theocracy	ቲኦክራሲ	0.490	0.427	0.722
theocratic	ቲኦክራሲያዊ	0.380	0.480	0.605
theologian	የሃይማኖት ምሁር	0.521	0.304	0.759
theological	ሥነ-መለኮታዊ	0.480	0.363	0.683
theology	ሥነ መለኮት	0.448	0.330	0.711
theorem	ሥነ-መለኮት	0.500	0.296	0.615
theoretical	ዶክትሪን	0.615	0.270	0.546
theory	ሥነ-መለኮት	0.583	0.314	0.529
therapeutic	ቴራፒዩቲክ	0.625	0.275	0.680
therapeutics	ቴራፒዩቲክስ	0.552	0.343	0.625
therapist	ሐኪም	0.468	0.430	0.679
therapy	ሕክምና	0.490	0.353	0.607
thereabouts	እዚህ	0.427	0.365	0.285
thereof	ይባላል	0.542	0.265	0.281
therewith	እዚያም	0.462	0.317	0.398
thermal	ሙቀት	0.480	0.360	0.509
thermocouple	የሙቀት ማሞቂያ	0.406	0.406	0.422
thermodynamics	ቴርሞዳይናሚክስ	0.510	0.594	0.678
thermometer	ቴርሞሜትር	0.400	0.327	0.473
thermos	ሙቀት	0.582	0.255	0.328
thermostat	ቴርሞስታት	0.439	0.480	0.321
thesaurus	ተውሳኮች	0.520	0.480	0.509
thesis	ሐተታ	0.583	0.582	0.552
thick	ወፍራም	0.449	0.433	0.596
thicken	ወፍራም	0.406	0.398	0.509
thickening	እብጠት	0.448	0.355	0.434
thicket	ጥሻ	0.385	0.373	0.324
thickness	ውፍረት	0.552	0.370	0.443
thief	ሌባ	0.088	0.888	0.443
thigh	ጭን	0.469	0.433	0.588
thimble	እፉኝት	0.490	0.192	0.218
thin	ቀጭን	0.469	0.337	0.356
thing	ነገር	0.449	0.222	0.260
things	ነገሮች	0.519	0.250	0.368
thingy	ነገር	0.458	0.312	0.158
think	ማሰብ	0.786	0.408	0.618
thinker	አስማተኛ	0.706	0.386	0.764
thinking	አስተሳሰብ	0.720	0.308	0.595
third	ሶስተኛ	0.551	0.187	0.304
thirds	ሶስተኛ	0.402	0.327	0.345
thirst	ጥማት	0.298	0.519	0.307
thirsty	ተጠምቷል	0.281	0.660	0.310
thirteen	አስራ ሶስት	0.459	0.385	0.331
thirteenth	አስራ ሶስተኛ	0.408	0.330	0.425
thirty	ሰላሳ	0.562	0.349	0.316
thistle	እሾህ	0.427	0.423	0.357
thither	እዚያም	0.500	0.270	0.316
thong	ታንግ	0.467	0.596	0.269
thorn	እሾህ	0.296	0.541	0.427
thorny	እሾህ	0.177	0.690	0.500
thorough	በጥልቀት	0.467	0.350	0.558
thoroughbred	ጥንቃቄ የተሞላበት	0.669	0.740	0.716
thoroughfare	መጓጓዣ	0.582	0.481	0.490
thought	ሐሳብ	0.780	0.315	0.571
thoughtful	ጥንቁቅ	0.667	0.290	0.527
thoughtfulness	አሳቢነት	0.867	0.269	0.667
thoughtless	ሳያስበው	0.194	0.580	0.452
thoughts	ሐሳቦች	0.745	0.382	0.691
thousand	ሺ	0.663	0.355	0.480
thrash	ድብደባ	0.260	0.510	0.472
thread	ክር	0.646	0.184	0.209
threat	ማስፈራራት	0.135	0.865	0.667
threaten	ማስፈራራት	0.104	0.958	0.590
threatened	አስፈራርቷል	0.052	0.928	0.354
threatening	ማስፈራራት	0.071	0.875	0.652
three	ሶስት	0.653	0.225	0.377
threefold	ሶስት እጥፍ	0.521	0.400	0.534
threesome	ሶስት	0.490	0.676	0.560
thresh	አረም	0.490	0.417	0.500
threshold	ገደብ	0.531	0.519	0.575
thrice	ሶስት ጊዜ	0.469	0.442	0.462
thrift	ታክሏል	0.760	0.217	0.649
thrifty	ትጥቅ	0.604	0.380	0.676
thrill	ደስተኛ	0.888	0.837	0.711
thrilled	በደስታ	0.898	0.818	0.807
thriller	ጭራሽ	0.490	0.796	0.645
thrilling	አስደሳች	0.930	0.827	0.782
thrive	እድገት አድርግ	0.948	0.529	0.772
thriving	እድገት	0.865	0.521	0.779
throat	ጉሮሮ	0.350	0.538	0.346
throb	ድብደባ	0.500	0.673	0.556
throbbing	ድብደባ	0.645	0.808	0.491
throes	ድባብ	0.146	0.760	0.235
throne	ዙፋን	0.724	0.606	0.887
throng	ሕዝብ	0.480	0.810	0.706
throttle	ስሮትል	0.562	0.804	0.750
throw	ይጥፉ	0.344	0.770	0.623
throwback	መመለስ	0.280	0.454	0.356
thrower	ሰበር	0.470	0.690	0.717
thrown	ተጣለ	0.500	0.550	0.619
thrush	ተክል	0.306	0.490	0.454
thrust	ግፊት	0.510	0.647	0.663
thruster	ተንሳፋፊ	0.698	0.812	0.719
thud	ጩኸት	0.255	0.686	0.620
thug	ዘራፊ	0.240	0.882	0.667
thumb	አውራ ጣት	0.673	0.271	0.361
thumbprint	የእግር አሻራ	0.510	0.347	0.451
thump	እብጠት	0.280	0.792	0.608
thumper	ገመተ	0.354	0.623	0.457
thumping	ተጎላ	0.214	0.755	0.566
thunder	ነጎድጓድ	0.296	0.916	0.526
thunderbolt	ነጎድጓድ	0.418	0.719	0.642
thunderclap	ነጎድጓድ	0.390	0.833	0.607
thundering	ነጎድጓድ	0.337	0.778	0.700
thunderstorm	ነጎድጓድ	0.135	0.860	0.784
thunderstruck	ነጎድጓድ	0.194	0.716	0.509
thwart	መከልከል	0.281	0.684	0.409
thx	ቲክስ	0.562	0.425	0.461
thyme	ቲም	0.561	0.255	0.325
thyroid	ታይሮይድ	0.234	0.455	0.373
tiara	ቲራ	0.719	0.300	0.472
tibia	ቲቢ	0.450	0.302	0.425
tic	ቲክ	0.271	0.438	0.250
tick	ምልክት	0.521	0.386	0.412
ticked	ምልክት ተደርጎበታል	0.469	0.386	0.455
ticker	ቲኬር	0.479	0.471	0.509
ticket	ትኬት	0.684	0.387	0.434
tickle	መኮረጅ	0.760	0.727	0.342
tickled	ሆኗል	0.755	0.707	0.364
ticklish	ሳቂታ	0.823	0.814	0.345
tidal	ማዕበል	0.592	0.539	0.519
tidal wave	ማዕበል	0.240	0.894	0.736
tidbit	ቲቢቢት	0.552	0.382	0.385
tide	ማዕበል	0.541	0.556	0.420
tidings	ዜናዎች	0.610	0.510	0.694
tidy	ተጠሚ	0.760	0.208	0.647
tie	እኩል	0.663	0.464	0.431
tier	ደረጃ	0.520	0.245	0.560
tiff	tiff	0.531	0.415	0.343
tiger	ነብር	0.479	0.765	0.664
tighten	ማጥበቅ	0.388	0.487	0.627
tightness	ጥብቅነት	0.344	0.606	0.759
tightrope	ጥጥር	0.354	0.653	0.279
tights	ድመቶች	0.583	0.343	0.269
tilde	ድፋት	0.520	0.314	0.321
tile	tile	0.429	0.245	0.348
tiling	መስመድን	0.600	0.330	0.315
till	NO TRANSLATION	0.490	0.327	0.319
tillage	እርሻ	0.552	0.591	0.540
tiller	መቁረጫ	0.448	0.410	0.290
tilt	ማጋደል	0.365	0.549	0.463
tilting	ወደላይ ማዞር	0.459	0.384	0.340
timber	እንጨት	0.332	0.202	0.386
timberland	Timberland	0.550	0.415	0.571
timbre	አቆመ	0.460	0.480	0.296
time	ጊዜ	0.604	0.288	0.609
timeless	ጊዜ የማይሽረው	0.408	0.468	0.583
timeliness	ወቅታዊነት	0.760	0.404	0.582
timely	ወቅታዊ	0.865	0.387	0.591
timeout	ጊዜው አልቋል	0.344	0.433	0.322
timepiece	ሰዓት	0.650	0.279	0.461
timer	ሰዓት	0.469	0.433	0.500
times	ጊዜ	0.490	0.279	0.439
timetable	የጊዜ ሠሌዳ	0.561	0.189	0.491
timewasters	NO TRANSLATION	0.391	0.535	0.291
timid	ዓይን አለ	0.327	0.276	0.132
timidity	እርማትና	0.333	0.358	0.153
timing	ሰዓት	0.521	0.311	0.577
tin	NO TRANSLATION	0.469	0.370	0.217
tincture	tincture	0.440	0.360	0.402
tine	NO TRANSLATION	0.438	0.373	0.284
tinfoil	tinfoil	0.448	0.284	0.311
tinge	ተቆርጦ	0.469	0.292	0.264
tingle	tingle	0.460	0.560	0.264
tingling	እፉኝት	0.427	0.615	0.340
tinker	ቲንክከር	0.396	0.528	0.275
tinkering	ጥምጥም	0.531	0.490	0.448
tinkle	NO TRANSLATION	0.562	0.529	0.356
tinkling	እየሰሸጠ	0.612	0.530	0.324
tinnitus	እጭ የሚል	0.384	0.536	0.411
tinsel	ትላንት	0.663	0.521	0.473
tint	ጥቁር	0.582	0.292	0.273
tiny	በጣም ትንሽ	0.479	0.196	0.125
tip	ጠቃሚ ምክር	0.708	0.221	0.518
tipper	tipper	0.427	0.571	0.431
tipster	tipster	0.490	0.462	0.490
tipsy	ጥልፎች	0.510	0.625	0.570
tiptoe	ጫማ	0.510	0.490	0.407
tirade	ማማዎች	0.378	0.587	0.532
tire	ጎማ	0.438	0.385	0.381
tired	ደክሞኝል	0.125	0.317	0.191
tiredness	ድካም	0.387	0.408	0.242
tiredofit	NO TRANSLATION	0.300	0.270	0.204
tireless	ባለሞል	0.657	0.750	0.645
tiresome	አድካሚ	0.240	0.542	0.153
tiring	አድካሚ	0.153	0.510	0.176
tissue	ቲሹ	0.558	0.236	0.345
tistheseason	NO TRANSLATION	0.646	0.548	0.435
tit	tit	0.402	0.539	0.388
titan	ቲታ	0.598	0.653	0.811
titanic	ታይታኒክ	0.427	0.786	0.795
titanium	ቲታኒየም	0.520	0.470	0.704
tithe	አስራት	0.507	0.276	0.385
title	ርዕስ	0.708	0.356	0.574
titled	ርእስ	0.677	0.240	0.658
titty	መጠት	0.561	0.548	0.294
titular	NO TRANSLATION	0.704	0.385	0.760
toad	ዘለላ	0.302	0.452	0.196
toast	ቶፕስቲን	0.740	0.382	0.356
toaster	ቶንስተር	0.542	0.337	0.387
toasty	የሚያምር	0.698	0.461	0.396
tobacco	ትንባሆ	0.327	0.546	0.387
toby	ቶም	0.427	0.375	0.330
tod	ቶድ	0.469	0.330	0.384
today	ዛሬ	0.806	0.306	0.362
toddler	ታዳጊ	0.812	0.469	0.368
toe	ጡት	0.406	0.221	0.293
toenail	ጣት	0.530	0.380	0.306
toffee	ጣፋጭ	0.658	0.510	0.396
tofu	ቶፉ	0.521	0.330	0.283
toga	NO TRANSLATION	0.698	0.393	0.373
together	አንድ ላየ	0.874	0.392	0.658
togetherness	አንድነት	0.906	0.360	0.635
toil	ሠራተኛ	0.558	0.510	0.583
toilet	ሽንት ቤት	0.490	0.290	0.233
toils	መፈወስ	0.480	0.710	0.482
token	ማስመሰያ	0.510	0.418	0.414
tolerable	መታደግ የሚችል	0.750	0.350	0.374
tolerance	መቻቻል	0.875	0.206	0.649
tolerant	ታጋሽ	0.765	0.192	0.618
tolerate	ታገሠ	0.724	0.430	0.588
toleration	መታገል	0.776	0.442	0.727
toll	የሚከፍል	0.296	0.422	0.453
tomahawk	ቲማሃውካት	0.510	0.642	0.504
tomato	ቲማቲም	0.550	0.183	0.275
tomatoes	ቲማቲም	0.615	0.240	0.272
tomb	መቃብር	0.112	0.500	0.343
tombstone	የመቃብር ድንጋይ	0.204	0.441	0.311
tomcat	ቲማቲክ	0.520	0.412	0.386
tome	ለኔ	0.429	0.316	0.492
tomorrow	ነገ	0.792	0.377	0.407
ton	NO TRANSLATION	0.560	0.418	0.604
tone	ድምጽ	0.551	0.355	0.411
toner	ቶነር	0.448	0.300	0.368
tong	NO TRANSLATION	0.475	0.480	0.370
tongs	ቆርቆሮዎች	0.500	0.459	0.321
tongue	ምላስ	0.542	0.432	0.482
tonic	ቶኒክ	0.541	0.360	0.500
tonnage	እምብርት	0.323	0.382	0.590
tonsils	አመጣጥ	0.347	0.373	0.283
toocold	NO TRANSLATION	0.420	0.550	0.379
tool	መሣሪያ	0.490	0.350	0.594
toolbox	የመሳሪያ ሳጥን	0.531	0.316	0.472
tooling	መሣሪያን	0.510	0.406	0.634
toomuchtodo	NO TRANSLATION	0.420	0.688	0.355
toot	ሞተር	0.500	0.481	0.373
tooth	ጥርስ	0.439	0.250	0.367
toothache	የጥርስ ሕመም	0.188	0.853	0.412
toothbrush	የጥርስ ብሩሽ	0.517	0.330	0.321
toothed	ጥርስ	0.449	0.394	0.352
toothless	ጥርስ የለውም	0.312	0.541	0.272
toothpaste	የጥርስ ሳሙና	0.510	0.290	0.371
toothpick	የጥርስ ሳሙና	0.561	0.216	0.185
toots	መያዣዎች	0.552	0.480	0.451
top	ከላይ	0.760	0.400	0.554
topaz	topaz	0.643	0.325	0.384
topic	ርዕስ	0.520	0.276	0.427
topical	ርዕሰ ጉዳይ	0.561	0.340	0.500
topless	እጀታ የሌለው	0.625	0.765	0.414
topographic	መልክአ ምድራዊ	0.604	0.378	0.558
topographical	መልክአ ምድራዊ	0.438	0.350	0.538
topography	የመሬት አቀማመጥ	0.469	0.357	0.506
topple	መፈራረቅ	0.198	0.820	0.573
topside	መደርደሪያ	0.708	0.466	0.598
tor	ቶር	0.337	0.430	0.418
torch	ችቦ	0.531	0.630	0.545
torment	ቅጣት	0.057	0.750	0.387
tormented	ተሠቃየ	0.071	0.855	0.323
torn	ተበጠሰ	0.153	0.510	0.283
tornado	አውሎ ነፋስ	0.260	0.896	0.784
torpedo	ማዶፕዶ	0.219	0.794	0.707
torque	የማሽከርከር	0.466	0.375	0.406
torrent	ጎርፍ	0.541	0.745	0.676
torrid	እምቢተኛ	0.281	0.625	0.517
torsion	ድብድብ	0.312	0.651	0.402
torso	ገላ	0.408	0.394	0.473
tort	ጥፋተኛ	0.229	0.635	0.455
tortious	ተንኮል	0.312	0.724	0.491
tortoise	ኤሊ	0.673	0.078	0.250
tortuous	የባሕር ወሽመጥ	0.194	0.755	0.382
torture	ማሰቃየት	0.115	0.878	0.555
tortured	አስገረዘ	0.062	0.890	0.361
toss	አሰፋ	0.418	0.725	0.575
tot	NO TRANSLATION	0.602	0.431	0.311
total	ጠቅላላ	0.771	0.286	0.714
totality	ሙሉነት	0.688	0.443	0.717
totally	ሙሉ በሙሉ	0.820	0.422	0.702
tote	መግብ	0.510	0.398	0.625
totem	totem	0.639	0.350	0.571
touch	ይንኩ	0.646	0.477	0.455
touchdown	ንዳ	0.667	0.770	0.586
touched	ነካ ነካ	0.592	0.380	0.404
touching	መንካት	0.760	0.439	0.491
touchy	ልብ የሚነካ	0.323	0.510	0.343
tough	ጠንካራ	0.344	0.588	0.742
toughen	ጠንካራ	0.458	0.683	0.711
toughness	ጥንካሬ	0.552	0.618	0.837
toupee	ተኩስ	0.323	0.270	0.324
tour	ጉብኝት	0.663	0.545	0.543
tourism	ቱሪዝም	0.823	0.531	0.545
tourist	ቱሪስት	0.745	0.480	0.430
tourmaline	tourmaline	0.448	0.513	0.441
tournament	ውድድር	0.694	0.740	0.611
tourniquet	ጉብታ	0.335	0.521	0.398
tout	NO TRANSLATION	0.480	0.538	0.375
tow	ተሽከርካሪ	0.531	0.500	0.508
towel	ፎጣ	0.630	0.208	0.286
tower	ግንብ	0.606	0.380	0.644
towering	ከፍ ያለ	0.500	0.690	0.806
town	ከተማ	0.551	0.299	0.627
townhouse	የከተማ ቤት	0.622	0.400	0.443
township	ከተማ	0.531	0.292	0.667
townspeople	የከተማ ነዋሪዎች	0.677	0.466	0.569
toxic	መርዛማ	0.008	0.885	0.492
toxicity	መርዛማነት	0.104	0.865	0.491
toxicology	መርዛማ ጥናት	0.302	0.736	0.574
toxin	መርዛማ ንጥረ ነገር	0.115	0.654	0.456
toy	መጫወቻ	0.878	0.420	0.275
toymaker	ተጣጣፊ	0.755	0.510	0.536
trace	ዱካ	0.573	0.346	0.483
traceable	መሮጥ የሚችል	0.602	0.370	0.535
tracer	መፈለጊያ	0.573	0.327	0.645
traces	ዱካዎች	0.482	0.448	0.389
trachea	ትራማ	0.448	0.509	0.387
tracing	መፈለጊያ	0.418	0.591	0.565
track	ትራክ	0.448	0.433	0.526
tracker	ተቆጣጣሪ	0.398	0.744	0.731
tract	ትራክት	0.406	0.422	0.339
tractable	መዘዋወር	0.635	0.500	0.469
traction	ትራንስ	0.429	0.585	0.648
tractor	ትራክተር	0.449	0.580	0.619
trade	ንግድ	0.561	0.544	0.690
trademark	የንግድ ምልክት	0.667	0.344	0.750
trader	ነጋዴ	0.562	0.632	0.854
tradesman	ነጋዴ	0.531	0.431	0.664
trading	ንግድ	0.635	0.602	0.705
tradition	ወግ	0.830	0.430	0.750
traditional	ባህላዊ	0.677	0.221	0.604
traffic	ትራፊክ	0.323	0.559	0.518
traffic light	የትራፊክ መብራት	0.490	0.469	0.479
trafficking	ዝውውር	0.250	0.710	0.399
tragedies	አሳዛኝ ሁኔታዎች	0.100	0.910	0.442
tragedy	አሳዛኝ	0.052	0.843	0.340
tragic	አሳዛኝ	0.048	0.904	0.396
trail	ዱካ	0.600	0.322	0.455
trailer	ተጎታች	0.541	0.490	0.473
train	ባቡር	0.666	0.705	0.620
train set	ባቡር ተዘጋጅቷል	0.604	0.598	0.464
trained	ስልጠና	0.771	0.538	0.645
trainee	ሰልጣኝ	0.627	0.408	0.352
trainer	አሰልጣኝ	0.698	0.719	0.824
training	ስልጠና	0.714	0.776	0.788
trait	ባህሪ	0.469	0.365	0.453
traitor	ከሃዲ ነው	0.112	0.796	0.491
traitorous	አስከፊ	0.073	0.745	0.412
trajectory	አቅጣጫ	0.653	0.558	0.779
tram	ትራም	0.667	0.628	0.492
tramp	ትራም	0.108	0.510	0.182
trample	መረገጫ	0.235	0.764	0.562
trampoline	trampoline	0.604	0.690	0.391
tramway	ትራም	0.615	0.538	0.543
trance	ሽርሽር	0.469	0.481	0.382
tranquil	ጸጥ ያለ	0.917	0.094	0.355
tranquility	መረጋጋት	0.840	0.135	0.442
tranquilizer	ተረጋጋ	0.510	0.236	0.596
transact	ማስተላለፍ	0.521	0.625	0.680
transaction	ግብይት	0.650	0.577	0.579
transatlantic	መተላለፊያ	0.724	0.596	0.706
transceiver	ግፊት ሰጪው	0.510	0.490	0.537
transcend	የላቀ	0.604	0.771	0.726
transcendence	ድንቁርናን	0.656	0.608	0.754
transcendent	ድንቅ	0.667	0.600	0.824
transcendental	የድንገተኛ ጊዜ	0.635	0.652	0.842
transcribe	መተርጎም	0.500	0.394	0.573
transcriber	ትራንስክሪፕት	0.490	0.420	0.615
transcript	ትራንስክሪፕት	0.639	0.398	0.528
transcription	ግልባጭ	0.592	0.455	0.615
transfer	ዝውውር	0.702	0.490	0.519
transference	ማዛወር	0.592	0.294	0.551
transferred	ተለውጧል	0.480	0.450	0.409
transfixed	ተቀይሯል	0.427	0.660	0.528
transform	ለውጥ	0.735	0.667	0.696
transformation	ለውጥ	0.796	0.618	0.770
transformer	ማሽነሪ	0.582	0.582	0.723
transfusion	ደም መውሰድ	0.417	0.730	0.557
transgression	መተላለፍ	0.158	0.890	0.611
transient	ጊዜያዊ	0.510	0.405	0.430
transistor	ትራንስተር	0.480	0.480	0.444
transit	መተላለፊያ	0.439	0.590	0.588
transition	ሽግግር	0.605	0.561	0.558
transitional	ሽግግር	0.573	0.472	0.491
transitive	ተሻጋሪነት	0.479	0.377	0.414
transitory	ጊዜያዊ	0.438	0.450	0.407
translate	መተርጎም	0.604	0.423	0.462
translation	ትርጉም	0.633	0.435	0.598
translator	ተርጓሚ	0.760	0.412	0.473
translocation	መተርጎም	0.367	0.612	0.564
translucent	ብርሃን አተኩሮ	0.600	0.500	0.389
transmission	ማሰራጫ	0.688	0.490	0.611
transmit	ማስተላለፍ	0.836	0.581	0.673
transmitter	ማስተላለፊያ	0.520	0.511	0.719
transmutation	መተላለፍ	0.438	0.740	0.737
transom	ትራንስ	0.375	0.385	0.417
transparency	ግልጽነት	0.847	0.260	0.587
transparent	ግልጽ	0.542	0.330	0.667
transplant	መተንፈስ	0.445	0.806	0.620
transplantation	መተንፈስ	0.531	0.694	0.610
transponder	ተርጓሚ	0.564	0.575	0.565
transport	መጓጓዣ	0.613	0.627	0.605
transportation	ትራንስፖርት	0.667	0.560	0.472
transporter	ትራንስፖርት	0.615	0.625	0.750
transpose	መተላለፊያ	0.440	0.585	0.467
transposition	ማስተርጎም	0.312	0.451	0.555
transsexual	ትራንስሴክሹዋል	0.264	0.815	0.423
transverse	ሽክርክር	0.429	0.429	0.525
transvestite	መተሊሇፍ	0.270	0.675	0.373
trap	ወጥመድ	0.104	0.610	0.391
trapdoor	የመንገድ መቆያ	0.094	0.670	0.462
trapeze	ድራክታ	0.542	0.625	0.566
trapped	ወጥመድ	0.135	0.615	0.380
trapper	አታላይ	0.296	0.654	0.491
trapping	መጭመቂያ	0.333	0.621	0.491
trappings	መሳርያዎች	0.458	0.462	0.370
traps	ወጥመዶች	0.235	0.673	0.481
trash	ቆሻሻ መጣያ	0.163	0.541	0.154
trashy	ቆሻሻ	0.071	0.380	0.161
trauma	የስሜት ቁስል	0.112	0.792	0.453
traumatic	አስደንጋጭ	0.062	0.885	0.427
travail	NO TRANSLATION	0.500	0.677	0.620
travel	ጉዞ	0.931	0.689	0.535
