Word	Irish-ga	Valence	Arousal	Dominance
resist	resist	0.414	0.676	0.651
resistance	friotaíocht	0.427	0.694	0.796
resistant	resistant	0.592	0.585	0.815
resisting	resisting	0.408	0.776	0.789
resistive	resistive	0.396	0.519	0.651
resolute	rún	0.771	0.510	0.712
resolutely	go cruinn	0.714	0.453	0.805
resolution	réiteach	0.780	0.550	0.745
resolve	réiteach	0.710	0.472	0.750
resolved	réitithe	0.735	0.357	0.683
resonance	athshondas	0.541	0.426	0.629
resonant	athshondach	0.542	0.633	0.663
resonate	athshlánú	0.582	0.610	0.644
resonator	athshondálaí	0.469	0.608	0.519
resort	saoire	0.573	0.441	0.632
resounding	slánmhar	0.490	0.708	0.596
resource	acmhainn	0.740	0.357	0.749
resourceful	Seiftiúil	0.906	0.704	0.886
resources	acmhainní	0.604	0.348	0.627
respect	meas	0.927	0.344	0.758
respectability	meas	0.875	0.407	0.912
respectable	measartha	0.850	0.350	0.889
respected	meas	0.908	0.441	0.853
respectful	measúil	0.951	0.386	0.814
respecting	ag urramú	0.837	0.321	0.720
respective	faoi ​​seach	0.625	0.413	0.721
respects	urraimí	0.840	0.387	0.824
respiration	riospráid	0.760	0.377	0.669
respirator	riospráide	0.433	0.398	0.453
respiratory	riospráide	0.500	0.450	0.552
respite	faoisimh	0.600	0.373	0.420
resplendent	resplendent	0.905	0.673	0.755
respond	freagra a thabhairt	0.573	0.435	0.594
respondent	freagróir	0.449	0.455	0.480
response	freagra	0.615	0.500	0.472
responsibility	freagracht	0.760	0.500	0.852
responsible	freagrach	0.837	0.527	0.833
responsive	sofhreagrach	0.816	0.569	0.573
rest	chuid eile	0.907	0.167	0.300
restart	Tosaigh arís	0.531	0.519	0.554
restaurant	bialann	0.847	0.406	0.500
rested	rested	0.792	0.235	0.462
restful	restful	0.781	0.116	0.413
restitution	aisíoc	0.583	0.542	0.643
restless	gan staonadh	0.219	0.810	0.304
restlessness	neamhchinnteacht	0.083	0.794	0.397
restock	athshocrú	0.510	0.538	0.645
restoration	athchóiriú	0.755	0.426	0.734
restorative	athshlánaithe	0.633	0.510	0.703
restore	ar ais	0.765	0.490	0.625
restored	athchóirithe	0.892	0.410	0.728
restoring	athchóiriú	0.820	0.490	0.783
restrain	srian	0.134	0.696	0.434
restrained	srianta	0.354	0.590	0.509
restraining	srianadh	0.296	0.702	0.672
restraint	srianadh	0.167	0.618	0.520
restrict	srianadh	0.115	0.539	0.577
restricted	srianta	0.276	0.500	0.407
restriction	srian	0.130	0.590	0.569
restrictive	sriantach	0.215	0.596	0.500
restroom	restroom	0.653	0.279	0.267
result	toradh	0.812	0.490	0.652
resultant	mar thoradh air sin	0.670	0.441	0.637
resume	atosú	0.573	0.411	0.586
resumption	atosú	0.637	0.528	0.653
resurrect	athbheochan	0.781	0.725	0.817
resurrection	aiséirí	0.708	0.740	0.759
resuscitate	athbheochan	0.531	0.696	0.818
resuscitation	athbheochan	0.753	0.768	0.795
retail	miondíola	0.510	0.353	0.411
retailer	miondíoltóir	0.708	0.439	0.595
retain	coinneáil	0.367	0.451	0.630
retainer	coinneáil	0.396	0.422	0.356
retaining	coinneáil	0.417	0.559	0.632
retake	aisghairm	0.616	0.471	0.591
retaliate	aisghabháil	0.111	0.812	0.595
retaliation	cúiteamh	0.156	0.812	0.491
retaliatory	aisghabhála	0.194	0.865	0.598
retard	cúlú	0.194	0.347	0.222
retardation	mhoilliú	0.125	0.360	0.155
retarded	aisghabháil	0.302	0.462	0.161
retards	aisghabhálacha	0.362	0.434	0.218
retention	coinneáil	0.344	0.490	0.558
retentive	cúramach	0.439	0.482	0.491
rethink	athshealbhaigh	0.480	0.423	0.583
reticent	dearfach	0.396	0.519	0.500
retina	reitine	0.490	0.255	0.342
retinal	reitineach	0.531	0.343	0.475
retire	scor	0.398	0.392	0.186
retired	ar scor	0.270	0.259	0.301
retirement	scoir	0.250	0.324	0.255
retiring	ag dul ar scor	0.408	0.376	0.214
retold	aisghairtear	0.459	0.385	0.352
retort	retort	0.417	0.520	0.481
retrace	athuair	0.250	0.482	0.317
retract	aisghabháil	0.316	0.443	0.358
retraction	tarraingt siar	0.312	0.491	0.427
retractor	aisghabhálaí	0.354	0.590	0.557
retreat	cúlú	0.500	0.519	0.312
retrenchment	scoráil	0.230	0.650	0.384
retrial	aisghabháil	0.500	0.577	0.593
retribution	cúiteamh	0.625	0.490	0.708
retrieval	aisghabháil	0.700	0.440	0.704
retrieve	aisghabháil	0.740	0.576	0.705
retriever	aisghabhán	0.459	0.500	0.464
retro	retro	0.650	0.276	0.321
retroactive	athghníomhach	0.521	0.452	0.655
retrograde	siar	0.208	0.464	0.415
retrospect	siar	0.406	0.500	0.538
retrospective	cúlghabhálach	0.594	0.481	0.528
retrospectively	ar ais	0.516	0.400	0.560
return	ar ais	0.602	0.412	0.463
reunion	le chéile	0.837	0.500	0.672
reunite	teacht le chéile	0.656	0.550	0.657
reunited	athaontaithe	0.708	0.439	0.658
rev	rev	0.367	0.422	0.353
reveal	nochtann	0.493	0.637	0.526
revel	revel	0.740	0.705	0.684
revelation	nochtadh	0.879	0.500	0.865
revelations	nochtadh	0.729	0.655	0.600
revels	revels	0.827	0.683	0.647
revenge	díoltas	0.230	0.940	0.627
revenue	ioncam	0.873	0.510	0.854
reverberation	reverberation	0.390	0.639	0.551
revere	revere	0.750	0.562	0.608
reverence	urram	0.643	0.347	0.516
reverend	reverend	0.650	0.337	0.576
reverent	reverent	0.551	0.490	0.694
reverie	reverie	0.667	0.413	0.471
reversal	droim ar ais	0.380	0.510	0.591
reverse	droim ar ais	0.539	0.415	0.461
reversion	droim ar ais	0.458	0.538	0.425
revert	ar ais	0.380	0.451	0.519
reverting	ag dul ar ais	0.562	0.385	0.544
review	athbhreithniú	0.667	0.408	0.636
reviewer	athbhreithneoir	0.562	0.344	0.500
revise	athbhreithnithe	0.500	0.469	0.509
revision	athbhreithnithe	0.417	0.459	0.710
revisit	athchuairt	0.552	0.530	0.509
revival	athbheochan	0.823	0.664	0.597
revive	athbheochan	0.676	0.780	0.778
revocation	cúlghairm	0.260	0.610	0.673
revoke	cúlghairm	0.251	0.696	0.737
revolt	réabhlóid	0.343	0.878	0.658
revolting	imithe	0.102	0.690	0.300
revolution	réabhlóid	0.417	0.902	0.798
revolutionary	réabhlóideach	0.635	0.887	0.824
revolutionize	réabhlóidiú	0.684	0.816	0.904
revolve	réabhlóid	0.592	0.546	0.402
revolver	revolver	0.194	0.796	0.750
revolving	revolving	0.602	0.570	0.580
revue	athbheochan	0.594	0.350	0.420
revulsion	athbheochan	0.104	0.765	0.343
revving	athbheochan	0.604	0.875	0.879
reward	duais	0.948	0.694	0.783
rewarding	luachmhar	0.958	0.637	0.783
rewind	athdhéanamh	0.460	0.551	0.431
rewire	rewire	0.365	0.462	0.406
rewrite	athscríobh	0.490	0.500	0.434
rhapsody	rapsody	0.708	0.490	0.460
rhetoric	reitric	0.417	0.429	0.504
rhetorical	reitricteach	0.417	0.569	0.635
rheumatism	reumatism	0.219	0.472	0.418
rhinestone	rhinestone	0.531	0.551	0.408
rhino	srónna	0.531	0.549	0.555
rhinoceros	rhinóbair	0.556	0.656	0.569
rhubarb	ruaib	0.582	0.304	0.340
rhyme	rím	0.667	0.249	0.481
rhyming	ag brath	0.729	0.410	0.500
rhythm	rithim	0.771	0.759	0.573
rhythmic	rithimiúil	0.714	0.642	0.664
rhythmical	rhythmical	0.844	0.694	0.632
rib	rib	0.490	0.349	0.351
ribbed	ribbed	0.365	0.378	0.409
ribbon	ribín	0.719	0.288	0.357
rice	rís	0.667	0.208	0.330
rich	saibhir	0.882	0.627	0.905
riches	riches	0.958	0.694	0.880
richness	saibhreas	0.896	0.833	0.922
rick	rick	0.459	0.420	0.444
rickety	rickety	0.224	0.402	0.241
rickshaw	rickshaw	0.438	0.594	0.402
ricochet	ricochet	0.287	0.618	0.430
rid	réidh	0.194	0.408	0.327
riddance	rothance	0.323	0.562	0.472
riddle	teagasc	0.521	0.583	0.543
riddled	measartha	0.281	0.861	0.422
ride	taistil	0.806	0.465	0.472
rider	rothaí	0.635	0.627	0.574
ridge	iomaire	0.484	0.402	0.349
ridicule	magadh	0.143	0.745	0.255
ridiculed	ridiculed	0.112	0.806	0.212
ridiculous	ridiculous	0.159	0.594	0.245
riding	marcaíocht	0.694	0.654	0.620
rife	Rife	0.570	0.561	0.692
riff	riff	0.521	0.551	0.343
riffraff	riffraff	0.360	0.404	0.397
rifle	raidhfil	0.329	0.900	0.718
rifleman	raidhfil	0.245	0.863	0.767
rifles	raidhfilí	0.337	0.864	0.765
rift	rift	0.246	0.519	0.289
rig	rig	0.542	0.382	0.746
rigged	rigged	0.188	0.510	0.412
rigging	rigging	0.510	0.518	0.440
right	ceart	0.740	0.352	0.710
righteous	righteous	0.823	0.385	0.790
righteousness	righteousness	0.802	0.660	0.897
rightful	ceart	0.837	0.358	0.821
rightly	ceart	0.740	0.471	0.782
righty	ceart	0.750	0.314	0.786
rigid	docht	0.357	0.552	0.591
rigidity	rigidity	0.198	0.530	0.726
rigor	dian	0.375	0.745	0.713
rigorous	dian	0.438	0.818	0.847
rim	imeall	0.510	0.397	0.302
rind	rind	0.542	0.280	0.491
ring	fáinne	0.677	0.427	0.464
ringer	ringer	0.573	0.604	0.347
ringing	ag glaoch	0.724	0.598	0.693
ringleader	ceannródaíoch	0.520	0.550	0.640
ringmaster	ceoltóir	0.630	0.622	0.732
ringside	fáinní	0.500	0.644	0.411
rink	rinc	0.551	0.392	0.392
rinse	sruthlaigh	0.663	0.168	0.409
riot	círéib	0.061	0.946	0.586
rioting	riotáil	0.156	0.949	0.560
riotous	riotous	0.163	0.837	0.588
riots	círéibeacha	0.099	0.882	0.564
rip	RIP	0.146	0.676	0.365
riparian	bruachbhaile	0.552	0.408	0.412
ripe	aibí	0.671	0.337	0.670
ripen	ripen	0.755	0.373	0.671
ripening	aibí	0.615	0.490	0.759
ripper	sracadh	0.219	0.887	0.642
ripple	ripple	0.500	0.453	0.370
rippling	rippling	0.500	0.480	0.327
rise	ardú	0.667	0.593	0.745
rising	ag ardú	0.750	0.602	0.696
risk	riosca	0.240	0.816	0.438
risky	contúirteach	0.224	0.922	0.700
risotto	risotto	0.802	0.454	0.234
rite	rite	0.378	0.570	0.606
ritual	deasghnátha	0.375	0.520	0.508
ritualistic	deasghnátha	0.450	0.583	0.540
rival	rival	0.286	0.605	0.574
rivalry	iomaíocht	0.192	0.765	0.538
river	abhainn	0.688	0.392	0.605
riverbank	Bruach na habhann	0.684	0.300	0.330
riverbed	riverbed	0.610	0.233	0.421
riverboat	báid abhann	0.561	0.347	0.462
rivet	rivet	0.458	0.306	0.405
riveted	gaibhnithe	0.385	0.439	0.443
riveting	sreabhadh	0.448	0.544	0.394
roach	roach	0.146	0.598	0.259
road	bóthar	0.656	0.404	0.404
roadblock	bóthair	0.337	0.669	0.490
roadhouse	roadhouse	0.500	0.620	0.458
roadie	roadie	0.500	0.566	0.455
roadrage	NO TRANSLATION	0.458	0.567	0.565
roadrunner	bóthar an lae	0.490	0.702	0.590
roads	bóithre	0.677	0.448	0.496
roadside	taobh an bhóthair	0.500	0.569	0.472
roadster	roadster	0.531	0.622	0.473
roadtrip	turas bóthair	0.677	0.596	0.519
roadway	bóthar	0.562	0.206	0.509
roadworks	oibreacha bóthair	0.562	0.538	0.509
roam	roam	0.510	0.550	0.444
roar	roar	0.427	0.816	0.675
roaring	roaring	0.449	0.817	0.634
roast	rósta	0.521	0.541	0.311
roasted	rósta	0.615	0.520	0.339
rob	Rob	0.112	0.840	0.500
robber	gadaí	0.135	0.772	0.481
robbery	robáil	0.133	0.843	0.435
robe	gúna	0.594	0.216	0.298
robin	robin	0.552	0.363	0.393
robot	robot	0.441	0.337	0.543
robotic	robotic	0.417	0.602	0.657
robotics	robotics	0.592	0.600	0.763
robust	láidir	0.667	0.604	0.719
roc	roc	0.427	0.510	0.415
rock	carraig	0.623	0.236	0.557
rocker	rocker	0.615	0.704	0.625
rocket	roicéad	0.664	0.824	0.774
rocks	carraigeacha	0.365	0.209	0.543
rod	slat	0.479	0.319	0.355
rodent	creimire	0.323	0.577	0.279
rodeo	rodeo	0.490	0.676	0.588
roe	roe	0.490	0.382	0.398
rogue	bradacha	0.334	0.713	0.636
role	ról	0.552	0.260	0.464
roll	rolla	0.469	0.510	0.172
roller	sorcóir	0.521	0.394	0.345
rollercoaster	rollercoaster	0.802	0.910	0.651
rollers	rollóirí	0.490	0.365	0.336
rollicking	rolladh	0.878	0.806	0.552
rolling	rollta	0.510	0.606	0.321
roman	rómhánach	0.615	0.475	0.639
romance	grá	0.980	0.682	0.587
romantic	rómánsúil	0.936	0.531	0.598
romanticism	rómánsúil	0.854	0.521	0.593
romp	romp	0.610	0.640	0.417
roof	díon	0.602	0.226	0.342
rooftop	teach	0.571	0.471	0.461
rook	rook	0.380	0.400	0.510
rookie	rookie	0.583	0.370	0.198
room	seomra	0.729	0.283	0.445
roomful	seomra	0.786	0.425	0.634
roommate	roommate	0.750	0.481	0.480
rooms	seomraí	0.677	0.241	0.386
roomy	seomra	0.760	0.342	0.736
roost	clós	0.500	0.410	0.345
rooster	Teach	0.459	0.385	0.275
root	fréimhe	0.602	0.279	0.508
root beer	beoir fréimhe	0.582	0.520	0.415
rooted	fréamhaithe	0.510	0.527	0.718
rope	téad	0.385	0.280	0.345
ropes	rópaí	0.458	0.304	0.402
rosary	rosarra	0.806	0.140	0.430
rose	rós	0.865	0.276	0.386
rosemary	Rosemary	0.688	0.381	0.425
rosette	rosette	0.469	0.410	0.310
roster	uainchlár	0.531	0.306	0.381
rosy	rosy	0.940	0.528	0.755
rot	lobhadh	0.031	0.558	0.301
rota	rota	0.320	0.462	0.209
rotary	rothlacha	0.573	0.462	0.528
rotate	rothlú	0.458	0.470	0.492
rotation	uainíocht	0.670	0.520	0.550
rote	rote	0.561	0.481	0.696
rotor	rotor	0.500	0.458	0.404
rotten	rotten	0.104	0.590	0.327
rotting	rothlú	0.188	0.462	0.255
rotunda	rothlú	0.500	0.464	0.393
rouge	rouge	0.562	0.400	0.382
rough	garbh	0.406	0.794	0.632
roughly	garbh	0.448	0.539	0.463
roughneck	roughneck	0.323	0.640	0.491
roughness	garbhús	0.214	0.578	0.490
roulette	roulette	0.326	0.690	0.422
round	babhta	0.552	0.434	0.311
roundabout	timpeallán	0.490	0.425	0.495
rounded	chothromú	0.592	0.391	0.396
roundup	bhabhta suas	0.520	0.580	0.474
rouse	bréige	0.521	0.490	0.463
rouser	rouser	0.480	0.540	0.423
rousing	rousing	0.714	0.517	0.692
rout	rialta	0.163	0.625	0.233
route	bealach	0.583	0.353	0.518
routine	gnáthamh	0.365	0.219	0.333
rove	rove	0.457	0.400	0.400
rover	rover	0.510	0.538	0.421
roving	roving	0.583	0.442	0.491
row	as a chéile	0.427	0.275	0.406
rowboat	rowboat	0.455	0.393	0.353
rowdy	súgartha	0.255	0.900	0.518
rowing	ag ráimh	0.458	0.443	0.467
royal	ríoga	0.796	0.430	0.759
royalty	ríchíosa	0.832	0.571	0.833
rub	rub	0.521	0.565	0.400
rubber	rubair	0.460	0.217	0.315
rubbers	rubair	0.604	0.360	0.414
rubbing	bruscar	0.406	0.569	0.440
rubbish	bruscar	0.198	0.454	0.164
rubble	rothlach	0.308	0.509	0.289
rubdown	rubdown	0.561	0.491	0.404
rubric	rubric	0.427	0.260	0.500
ruby	ruby	0.663	0.408	0.544
ruckus	ruckus	0.271	0.706	0.411
rudder	rudder	0.439	0.469	0.509
ruddy	ruddy	0.490	0.630	0.395
rude	drochbhéasach	0.061	0.821	0.402
rudeness	rudeness	0.280	0.819	0.692
rudimentary	rudimentary	0.286	0.321	0.509
rudiments	rudiments	0.385	0.520	0.373
rue	rue	0.323	0.394	0.246
rueful	ruaful	0.173	0.429	0.225
ruff	ruff	0.365	0.510	0.375
ruffian	ruffian	0.130	0.824	0.463
ruffle	ruffle	0.443	0.561	0.518
rug	rug	0.520	0.240	0.245
rugby	rugbaí	0.677	0.820	0.708
rugged	garbh	0.561	0.569	0.793
ruin	scrios	0.125	0.588	0.192
ruination	ruination	0.184	0.582	0.209
ruined	scriosta	0.135	0.564	0.194
ruinous	tobhta	0.255	0.690	0.275
ruins	tobhta	0.250	0.490	0.248
rule	riail	0.567	0.427	0.593
ruler	rialóir	0.440	0.400	0.631
ruling	rialú	0.177	0.566	0.410
rum	rum	0.561	0.377	0.451
rumba	rumba	0.781	0.827	0.615
rumble	rumble	0.367	0.745	0.613
rummage	rummage	0.243	0.615	0.289
rumor	rumor	0.255	0.582	0.282
rumored	rumoured	0.427	0.604	0.318
rump	rump	0.449	0.425	0.396
rumpus	rumpus	0.448	0.531	0.422
run	reáchtáil	0.542	0.787	0.543
runaround	rith timpeall	0.448	0.519	0.349
runaway	teith	0.271	0.770	0.402
rundown	Rith síos	0.520	0.296	0.465
runes	reitheacha	0.438	0.300	0.304
rung	clúdaithe	0.510	0.355	0.368
runner	rádala	0.459	0.747	0.632
running	ag rith	0.730	0.858	0.442
running shoes	bróga reatha	0.653	0.573	0.491
runny	runny	0.540	0.439	0.325
runt	NO TRANSLATION	0.370	0.500	0.445
runway	rúidbhealach	0.585	0.373	0.406
rupture	rupture	0.125	0.633	0.430
rural	tuaithe	0.562	0.245	0.408
ruse	NO TRANSLATION	0.531	0.640	0.546
rush	Rush	0.406	0.809	0.546
rushing	rushing	0.398	0.821	0.529
rust	meirge	0.281	0.265	0.321
rusted	rusted	0.286	0.357	0.302
rustic	rustic	0.369	0.657	0.491
rustle	rustle	0.333	0.538	0.394
rustler	meirgeoir	0.281	0.830	0.429
rusty	meirgeach	0.271	0.345	0.231
rut	rut	0.333	0.310	0.392
ruth	ruth	0.469	0.427	0.444
ruthless	neamhthrócaireach	0.208	0.850	0.670
rye	seagal	0.490	0.298	0.411
sabbatical	sabbatical	0.771	0.240	0.427
saber	NO TRANSLATION	0.551	0.620	0.553
sable	sable	0.449	0.596	0.500
sabotage	sabotáiste	0.135	0.906	0.500
saboteur	saboteur	0.250	0.804	0.407
sac	sac	0.344	0.245	0.226
sack	sack	0.385	0.337	0.264
sacrament	saintintint	0.690	0.316	0.700
sacred	naofa	0.833	0.375	0.862
sacrifice	íobairt	0.208	0.833	0.534
sacrifices	íobairtí	0.281	0.717	0.538
sacrificial	sacrificial	0.198	0.755	0.452
sacrilege	sacrilege	0.281	0.708	0.491
sacrilegious	sacrilegious	0.146	0.736	0.449
sad	brónach	0.225	0.333	0.149
sadday	NO TRANSLATION	0.520	0.418	0.411
saddens	saddens	0.104	0.436	0.144
saddle	diallait	0.510	0.509	0.306
sadist	sadist	0.042	0.918	0.500
sadistic	sadistic	0.031	0.906	0.618
sadly	go brónach	0.047	0.255	0.216
sadness	brón	0.052	0.288	0.164
safari	safari	0.663	0.673	0.640
safe	sábháilte	0.898	0.306	0.759
safeguard	cosaint	0.786	0.624	0.700
safekeeping	sábháilteacht	0.653	0.510	0.586
safety	sábháilteacht	0.708	0.491	0.868
saffron	cró	0.443	0.373	0.349
sag	sag	0.153	0.578	0.445
saga	saga	0.635	0.440	0.600
sage	sage	0.781	0.327	0.693
saggy	saggy	0.370	0.429	0.300
sail	seol	0.615	0.220	0.325
sailboat	sailboat	0.719	0.392	0.381
sailing	seoltóireacht	0.667	0.520	0.500
sailor	mairnéalach	0.500	0.588	0.500
saint	naomh	0.812	0.240	0.693
sainted	sainted	0.708	0.296	0.676
saintly	saintly	0.865	0.286	0.591
sake	ar mhaithe	0.490	0.573	0.407
salad	sailéad	0.750	0.260	0.307
salamander	salamander	0.410	0.362	0.309
salami	salami	0.667	0.360	0.339
salary	tuarastal	0.786	0.480	0.652
sale	díol	0.647	0.602	0.573
salesgirl	salesgirl	0.582	0.490	0.605
salesman	díoltóir	0.643	0.559	0.664
salient	taitneamhach	0.600	0.573	0.702
saline	salainn	0.430	0.340	0.385
saliva	seile	0.214	0.265	0.236
sally	sally	0.604	0.390	0.451
salmon	bradán	0.760	0.250	0.444
salmonella	salmonella	0.167	0.608	0.312
salon	salon	0.531	0.296	0.463
saloon	saloon	0.630	0.300	0.364
salsa	salsa	0.742	0.500	0.370
salt	salann	0.323	0.312	0.306
salted	saillte	0.333	0.400	0.304
saltwater	salann	0.327	0.330	0.364
salty	salty	0.388	0.531	0.288
salutary	salutary	0.885	0.360	0.686
salutation	salutation	0.878	0.417	0.500
salute	taitneamhach	0.833	0.542	0.681
salvage	saothrú	0.622	0.510	0.832
salvation	slánú	0.857	0.480	0.800
salve	salve	0.612	0.390	0.500
samba	samba	0.781	0.740	0.465
sameness	sameness	0.531	0.330	0.484
sample	sampla	0.521	0.187	0.452
samurai	samurai	0.562	0.736	0.838
sanatorium	sanatorium	0.469	0.490	0.491
sanctification	sanctification	0.770	0.431	0.816
sanctified	sanctified	0.792	0.240	0.612
sanctify	sanctify	0.673	0.443	0.783
sanctimonious	sanctimonious	0.240	0.365	0.327
sanction	smachtbhanna	0.201	0.750	0.517
sanctioned	ceadaithe	0.323	0.696	0.391
sanctity	sanctity	0.771	0.330	0.628
sanctuary	tearmann	0.863	0.226	0.575
sanctum	sanctum	0.521	0.438	0.657
sand	gaineamh	0.582	0.279	0.304
sandal	sandal	0.490	0.283	0.333
sandbox	bosca gainimh	0.573	0.274	0.264
sander	sander	0.438	0.580	0.445
sandman	sandman	0.479	0.469	0.388
sandpaper	páipéar	0.417	0.425	0.404
sands	gaineamh	0.646	0.304	0.377
sandstorm	sandstorm	0.324	0.821	0.629
sandwich	ceapaire	0.672	0.314	0.310
sandy	ghainmheach	0.406	0.265	0.296
sane	sane	0.760	0.235	0.670
sanguine	sanguine	0.520	0.560	0.545
sanitarium	sanitarium	0.448	0.645	0.570
sanitary	sláintíochta	0.458	0.320	0.425
sanitation	sláintíocht	0.742	0.312	0.500
sanity	sanity	0.667	0.333	0.655
sans	NO TRANSLATION	0.459	0.294	0.246
santa	santa	0.735	0.286	0.509
sap	sap	0.470	0.298	0.258
sapiens	sapiens	0.480	0.453	0.584
sapphire	sapphire	0.770	0.472	0.651
sappy	sappy	0.583	0.469	0.330
sarcasm	sarcasm	0.125	0.685	0.346
sarcastic	sarcastic	0.397	0.781	0.298
sarcoma	sarcoma	0.260	0.519	0.402
sarcophagus	sarcophagus	0.271	0.561	0.435
sardine	sardine	0.541	0.236	0.236
sardonic	sardónach	0.208	0.679	0.446
sarsaparilla	sarsaparilla	0.542	0.488	0.345
sash	sash	0.480	0.298	0.333
sashimi	sashimi	0.704	0.310	0.359
sassafras	sassafras	0.469	0.388	0.471
sassy	sassy	0.271	0.704	0.320
satanic	satanic	0.062	0.843	0.720
satchel	satchel	0.521	0.306	0.345
sate	NO TRANSLATION	0.667	0.400	0.472
satellite	satailíte	0.562	0.409	0.764
satin	satin	0.519	0.396	0.481
satire	satire	0.458	0.655	0.472
satirical	satirical	0.323	0.615	0.538
satisfaction	sásamh	0.939	0.637	0.673
satisfactorily	go sásúil	0.765	0.570	0.802
satisfactory	sásúil	0.959	0.569	0.702
satisfied	sásta	0.959	0.510	0.685
satisfy	sásamh	0.867	0.790	0.705
satisfying	sásúil	0.890	0.606	0.814
saturate	sáithithe	0.281	0.680	0.467
saturated	sáithithe	0.474	0.700	0.442
saturation	saturation	0.255	0.582	0.583
satyr	satyr	0.280	0.639	0.500
sauce	anlann	0.562	0.515	0.288
saucepan	sáspan	0.347	0.264	0.321
saucer	saucer	0.510	0.327	0.337
saucy	saucy	0.250	0.653	0.391
sauerkraut	sauerkraut	0.531	0.454	0.336
sauna	sabhna	0.781	0.350	0.455
sausage	ispíní	0.542	0.429	0.300
savage	saibhir	0.204	0.931	0.605
savagery	saibhreas	0.219	0.907	0.711
savanna	savanna	0.606	0.147	0.394
savannah	savannah	0.729	0.212	0.309
savant	savant	0.781	0.451	0.818
save	sábháil	0.770	0.439	0.682
saver	saoirse	0.745	0.382	0.802
saving	shábháil	0.663	0.230	0.621
savings	coigilteas	0.776	0.431	0.608
savior	Slánaitheoir	0.920	0.469	0.804
savor	savor	0.827	0.552	0.526
savory	sásta	0.812	0.717	0.619
savvy	savvy	0.719	0.520	0.706
saw	chonaic	0.316	0.541	0.518
sawdust	min sáibh	0.398	0.279	0.241
sawmill	muileann sábha	0.427	0.378	0.434
sax	sax	0.573	0.465	0.409
saxophone	sacsafón	0.688	0.444	0.482
say	rá	0.571	0.310	0.482
sayonara	NO TRANSLATION	0.560	0.398	0.402
scab	scab	0.354	0.330	0.272
scabbard	scabbard	0.325	0.219	0.217
scaffold	scafall	0.480	0.500	0.336
scaffolding	scafall	0.496	0.366	0.545
scalding	scaldáil	0.271	0.540	0.381
scale	scála	0.310	0.350	0.577
scales	scálaí	0.439	0.330	0.491
scallop	cúilín	0.490	0.363	0.331
scalp	scalp	0.347	0.346	0.302
scalpel	scalpel	0.302	0.700	0.482
scaly	scaly	0.281	0.481	0.358
scam	scam	0.042	0.745	0.418
scamp	scamp	0.458	0.464	0.371
scampi	scampi	0.531	0.448	0.224
scan	scanadh	0.479	0.423	0.470
scandal	scannal	0.122	0.821	0.557
scandalous	scannalach	0.135	0.907	0.556
scanner	scanóir	0.531	0.356	0.567
scanty	scanty	0.287	0.333	0.127
scape	scéip	0.290	0.625	0.536
scapegoat	scapegoat	0.184	0.685	0.481
scar	scar	0.146	0.500	0.397
scarab	scarabán	0.406	0.458	0.267
scarce	gann	0.292	0.324	0.218
scarcely	beagnach	0.082	0.412	0.160
scarcity	ganntanas	0.167	0.500	0.182
scare	scare	0.122	0.910	0.264
scarecrow	scarecrow	0.219	0.274	0.349
scared	eagla	0.146	0.828	0.185
scares	scares	0.122	0.847	0.386
scarf	scarf	0.750	0.224	0.224
scarier	scarier	0.156	0.846	0.472
scariest	scariest	0.167	0.863	0.538
scarlet	scarlet	0.507	0.390	0.411
scary	scary	0.062	0.952	0.528
scat	scaipthe	0.337	0.548	0.409
scatter	scaipthe	0.229	0.620	0.404
scattered	scaipthe	0.208	0.380	0.238
scattering	scaipthe	0.347	0.550	0.394
scavenger	scavenger	0.177	0.578	0.408
scenario	cás	0.667	0.510	0.683
scene	radharc	0.570	0.340	0.578
scenery	radharcra	0.745	0.253	0.592
scenic	radhairc	0.684	0.548	0.756
scent	boladh	0.633	0.410	0.491
scented	scented	0.865	0.509	0.431
scepter	scepter	0.630	0.300	0.670
sceptical	skeptical	0.214	0.387	0.466
scepticism	skepticism	0.292	0.444	0.550
schadenfreude	schadenfreude	0.354	0.640	0.463
schedule	sceideal	0.510	0.380	0.480
schematic	schematic	0.490	0.284	0.647
scheme	scéim	0.521	0.269	0.577
schilling	scilling	0.367	0.410	0.418
schism	schism	0.280	0.569	0.386
schizophrenia	scitsifréine	0.092	0.880	0.435
schizophrenic	scitsifréine	0.102	0.958	0.433
schlep	schlep	0.302	0.426	0.382
schmuck	NO TRANSLATION	0.363	0.412	0.375
schnapps	schnapps	0.583	0.567	0.417
schnitzel	schnitzel	0.365	0.430	0.382
scholar	scoláire	0.694	0.421	0.731
scholarly	scoláire	0.750	0.466	0.709
scholarship	scoláireacht	0.866	0.490	0.625
scholastic	scoláire	0.500	0.470	0.491
school	scoil	0.765	0.423	0.633
schoolboy	báid scoile	0.623	0.385	0.441
schoolgirl	scoilgirl	0.760	0.521	0.415
schoolhouse	teach scoile	0.602	0.407	0.672
schooling	scolaíocht	0.582	0.462	0.640
schoolmaster	maighstir	0.667	0.368	0.852
schoolteacher	NO TRANSLATION	0.521	0.380	0.632
schoolwork	obair scoile	0.479	0.500	0.481
schoolyard	clós chlós	0.684	0.529	0.440
schooner	scónaí	0.635	0.408	0.427
sciatica	sciatica	0.286	0.443	0.393
science	eolaíocht	0.588	0.429	0.741
scientific	eolaíoch	0.653	0.510	0.836
