Word	Hawaiian-haw	Valence	Arousal	Dominance
reefer	make	0.500	0.453	0.421
reefs	nā papa	0.531	0.471	0.455
reek	hōʻeuʻeu	0.177	0.480	0.311
reel	ke kani	0.449	0.332	0.395
reelection	ke koho	0.541	0.673	0.681
reeling	hoʻomanawanui	0.327	0.542	0.267
reenactment	hana hou	0.771	0.592	0.768
reentry	hoʻi hou	0.604	0.449	0.500
reestablish	ho'āla hou	0.635	0.490	0.692
ref	mihi	0.469	0.380	0.368
refer	nānā	0.506	0.358	0.558
referee	kono	0.531	0.644	0.778
reference	ʻike	0.633	0.312	0.595
referendum	ka manaʻo hoʻoholo	0.510	0.469	0.643
referral	kūkā	0.694	0.314	0.603
refill	hoʻopiha	0.670	0.400	0.464
refine	hoʻomaʻemaʻe	0.653	0.460	0.640
refined	hoʻopauʻia	0.850	0.430	0.653
refinement	hoʻoponopono	0.719	0.387	0.709
refinery	hoʻoulu	0.646	0.444	0.565
refining	hoʻoulu	0.694	0.466	0.664
refit	mihi	0.500	0.577	0.506
reflect	e noʻonoʻo	0.698	0.342	0.472
reflecting	e hōʻike ana	0.590	0.408	0.471
reflection	Hōʻike	0.710	0.500	0.528
reflective	e noʻonoʻo	0.656	0.292	0.735
reflector	hōʻike	0.479	0.510	0.500
reflex	hoʻopiʻi	0.583	0.460	0.538
reflux	reflux	0.281	0.559	0.347
reform	hoʻoponopono	0.531	0.490	0.797
reformation	ke hoʻololi hou	0.809	0.500	0.558
reformer	hoʻoponopono	0.562	0.569	0.905
refraction	hoʻopiʻi	0.388	0.471	0.526
refractor	hoʻopuka	0.510	0.541	0.433
refractory	hanana	0.520	0.357	0.588
refrain	e mālama	0.314	0.373	0.277
refraining	hoʻomaha	0.418	0.453	0.404
refresh	hoʻomaha	0.719	0.640	0.689
refreshed	hoʻomaha	0.910	0.377	0.480
refreshing	hōʻoluʻolu	0.936	0.520	0.571
refreshment	meaʻai	0.667	0.410	0.352
refrigerate	hoʻopiha	0.635	0.357	0.457
refrigeration	hoʻopiʻi	0.735	0.392	0.500
refrigerator	ka paila	0.677	0.260	0.391
refuel	hoʻomaha	0.592	0.445	0.500
refuge	pakele	0.640	0.238	0.481
refugee	kanaka hūnā	0.379	0.607	0.327
refund	uku	0.541	0.528	0.430
refurbish	hoʻoponopono	0.656	0.633	0.541
refusal	hōʻole	0.052	0.610	0.321
refuse	hōʻole	0.180	0.520	0.331
refused	hōʻole	0.163	0.475	0.188
refusing	hōʻole	0.143	0.670	0.203
refutation	hoʻoponopono	0.312	0.726	0.566
refute	hoʻopiʻi	0.312	0.731	0.583
regain	hoʻi hou	0.729	0.520	0.759
regal	hoʻomana	0.643	0.459	0.556
regalia	hoʻohui hou	0.760	0.441	0.556
regard	nānā	0.802	0.336	0.809
regatta	hoʻi	0.740	0.471	0.435
regency	kūlana maʻamau	0.520	0.472	0.630
regenerate	hoʻoponopono	0.782	0.607	0.767
regeneration	hoʻoponopono hou	0.760	0.640	0.845
regent	hoʻoponopono	0.680	0.529	0.675
reggae	reggae	0.698	0.520	0.500
regime	ke aupuni	0.290	0.668	0.773
regimen	nā kānāwai	0.428	0.538	0.840
regiment	regiment	0.469	0.722	0.755
regimental	ke keʻena	0.292	0.637	0.817
region	wahi	0.540	0.295	0.712
regional	ka āpana	0.620	0.400	0.607
regionalism	ka'āpana'āina	0.640	0.500	0.773
register	inoa inoa	0.490	0.412	0.654
registrar	ka luna hoʻomalu	0.599	0.537	0.574
registration	ke kākau inoa	0.622	0.396	0.574
registry	leka inoa	0.573	0.320	0.583
regress	hoʻoponopono	0.255	0.442	0.300
regression	hoʻoponopono	0.312	0.500	0.324
regressive	hoʻoponopono	0.302	0.434	0.363
regret	mihi	0.230	0.623	0.331
regretful	mihi	0.167	0.480	0.188
regrettable	e minamina	0.104	0.374	0.245
regretted	ua mihi	0.352	0.540	0.368
regretting	mihi	0.255	0.567	0.273
regroup	pūʻulu	0.633	0.602	0.797
regular	ia maʻamau	0.435	0.188	0.558
regularity	kūlana maʻamau	0.663	0.337	0.585
regulars	nā mea hoʻoponopono	0.729	0.327	0.508
regulate	hoʻoponopono	0.510	0.275	0.481
regulated	hoʻoponoponoʻia	0.531	0.269	0.483
regulation	hoʻoponopono	0.542	0.425	0.667
regulator	kumu hoʻokele	0.500	0.336	0.668
regulatory	hoʻoponopono	0.531	0.448	0.528
regurgitation	hooponopono	0.160	0.647	0.315
rehab	hoʻi hou	0.531	0.450	0.593
rehabilitate	hoʻoponopono hou	0.671	0.538	0.642
rehabilitation	hoʻoponopono	0.406	0.528	0.606
rehash	rehash	0.405	0.451	0.403
rehearsal	hōʻike hou	0.667	0.470	0.500
rehearse	heluhelu hou	0.588	0.622	0.500
reign	noho aliʻi	0.806	0.567	0.873
reigning	ke aliʻiʻana	0.677	0.632	0.870
reimburse	hoʻolimalima hou	0.680	0.418	0.527
reimbursement	hoʻolimalima	0.653	0.610	0.567
rein	hou	0.500	0.357	0.438
reincarnation	ola hou	0.786	0.747	0.676
reindeer	hana hou	0.592	0.336	0.396
reinforce	e hoʻoikaika	0.604	0.583	0.760
reinforcement	hōʻeuʻeu	0.729	0.702	0.902
reinforcements	nā kākoʻo	0.646	0.719	0.875
reins	nā'ōpū	0.480	0.448	0.545
reinstall	hoʻouka	0.458	0.500	0.745
reinstate	ho'āla hou	0.760	0.551	0.596
reinstatement	hoʻouku hou	0.729	0.521	0.707
reinvest	ia	0.570	0.627	0.763
reinvestment	ke kūpaʻa	0.582	0.622	0.782
reiterate	hōʻike hou	0.422	0.451	0.655
reject	kiola	0.060	0.647	0.370
rejected	ua hōʻoleʻia	0.102	0.480	0.250
rejection	haʻalele	0.080	0.704	0.330
rejects	hōʻole	0.083	0.637	0.422
rejoice	eʻoliʻoli	0.827	0.650	0.698
rejoicing	hauʻoli	0.811	0.637	0.592
rejoin	hoʻi hou	0.655	0.548	0.556
rejuvenate	hoʻonui hou	0.776	0.588	0.767
rejuvenated	hou hou	0.809	0.673	0.700
rekindle	make hou	0.656	0.520	0.788
relapse	hoʻi hou	0.173	0.460	0.303
relate	e pili	0.653	0.500	0.623
related	pili	0.677	0.365	0.519
relation	pili	0.857	0.604	0.625
relationship	pili	0.867	0.566	0.589
relative	pili	0.500	0.378	0.386
relativity	pili pili	0.594	0.393	0.615
relax	hoʻomaha	0.927	0.250	0.375
relaxant	hoʻomaha	0.878	0.087	0.357
relaxation	hoʻomaha	0.873	0.161	0.381
relaxed	hoʻomaha	0.865	0.090	0.382
relaxing	hoʻomaha	0.854	0.157	0.475
relay	kūlana	0.738	0.542	0.543
release	hoʻokuʻu	0.740	0.606	0.741
released	hoʻokuʻuʻia	0.844	0.490	0.651
relegation	hoʻokuʻu	0.375	0.500	0.434
relentless	ʻaʻole loa	0.333	0.713	0.904
relevance	kūpono	0.710	0.599	0.791
relevancy	kūlana	0.724	0.481	0.673
relevant	pili	0.719	0.608	0.764
reliability	kūpaʻa	0.917	0.380	0.696
reliable	pono	0.912	0.241	0.875
reliance	hilinaʻi	0.844	0.431	0.853
relic	relic	0.646	0.452	0.591
relics	nā relic	0.719	0.580	0.579
relief	ho'ōla	0.844	0.278	0.481
relieve	hoʻokuʻu	0.813	0.183	0.536
relieved	hoʻomahaʻia	0.896	0.314	0.391
relieving	hoʻomaha	0.740	0.255	0.455
relight	hilinaʻi	0.560	0.588	0.519
religion	hoʻomana	0.646	0.320	0.755
religious	hoʻomana	0.740	0.238	0.696
relinquish	haʻalele	0.265	0.606	0.286
relish	aloha	0.854	0.610	0.632
relive	hoʻopakele	0.750	0.650	0.693
reload	e hoʻouka hou	0.562	0.611	0.571
relocate	hoʻokuʻi	0.500	0.594	0.640
relocation	hoʻi hou	0.396	0.500	0.475
reluctance	ke kuhi	0.240	0.606	0.373
reluctant	kūleʻa	0.292	0.630	0.432
rely	e hilinaʻi	0.812	0.429	0.616
remain	e noho	0.709	0.365	0.731
remainder	koena	0.398	0.357	0.324
remaining	koena	0.449	0.290	0.296
remains	koe	0.610	0.240	0.565
remake	hoʻoponopono	0.583	0.488	0.642
remand	hoʻopau	0.245	0.446	0.318
remark	haʻi	0.561	0.325	0.716
remarkable	nā mea kupaianaha	0.880	0.573	0.720
remarkably	ʻike nui	0.688	0.618	0.868
remarry	haʻi hou	0.653	0.791	0.540
rematch	hoʻokuʻu	0.469	0.798	0.627
remedial	hoʻoponopono	0.369	0.418	0.509
remedy	hoʻoponopono	0.625	0.283	0.491
remember	hoʻomanaʻo	0.776	0.422	0.454
remembered	hoʻomanaʻoʻia	0.916	0.333	0.588
remembering	hoʻomanaʻo	0.535	0.386	0.509
remembrance	hoʻomanaʻo	0.812	0.250	0.519
remind	hoʻomanaʻo	0.721	0.415	0.563
reminder	hoʻomanaʻo	0.552	0.423	0.589
reminisce	hoʻomanaʻo	0.903	0.490	0.363
reminiscent	hoʻomanaʻo	0.500	0.481	0.611
reminiscing	hoʻomanaʻo	0.688	0.431	0.418
remiss	i ka hoʻopaʻi	0.190	0.650	0.325
remission	kala	0.418	0.330	0.518
remit	hoʻihoʻi	0.510	0.509	0.473
remittance	hoʻihoʻi	0.684	0.479	0.454
remnant	koena	0.367	0.312	0.388
remodel	hoʻoponopono	0.604	0.647	0.693
remorse	mihi	0.103	0.673	0.377
remorseful	e mihi	0.347	0.429	0.250
remote	mamao	0.458	0.333	0.477
remoteness	ka mamao	0.323	0.510	0.339
removal	wehe	0.245	0.540	0.368
remove	wehe	0.292	0.539	0.472
remover	wehe	0.337	0.443	0.526
remuneration	uku	0.792	0.760	0.607
renaissance	ola hou	0.771	0.670	0.767
renal	nui	0.300	0.480	0.415
rencontre	NO TRANSLATION	0.510	0.452	0.463
rend	NO TRANSLATION	0.429	0.423	0.385
render	e hāʻawi	0.541	0.395	0.448
rendering	hōʻike	0.531	0.434	0.667
rendezvous	kūkā	0.750	0.490	0.658
rendition	ʻike	0.417	0.360	0.398
renegade	hōʻole	0.140	0.640	0.509
renegotiate	hoʻohou hou	0.580	0.702	0.708
renew	hoʻololi hou	0.868	0.481	0.713
renewal	hoʻololi hou	0.770	0.710	0.672
renounce	haʻalele	0.156	0.490	0.552
renovate	hoʻoponopono	0.878	0.549	0.755
renovated	hoʻoponopono hou	0.783	0.406	0.657
renovation	hoʻoponopono hou	0.816	0.590	0.779
renown	kaulana	0.693	0.475	0.693
renowned	kaulana	0.844	0.481	0.697
rent	uku	0.344	0.429	0.446
rental	hale kūʻai	0.510	0.370	0.308
renter	ka hoolimalima	0.590	0.301	0.371
renunciation	hōʻole	0.260	0.578	0.336
reopen	hoʻopū hou	0.656	0.528	0.568
reorganization	hoʻomanaʻo hou	0.622	0.587	0.754
reorganize	ho'āla hou	0.667	0.590	0.722
rep	hoʻop	0.520	0.510	0.640
repaint	pāʻani	0.622	0.382	0.308
repair	hoʻoponopono	0.583	0.460	0.589
repairman	ka mea hana hou	0.582	0.426	0.707
reparation	hoʻoponopono	0.531	0.615	0.732
repay	hoʻihoʻi	0.469	0.632	0.592
repayment	hoʻihoʻi	0.479	0.490	0.474
repeal	hoʻopau	0.260	0.480	0.482
repeat	hoʻopau hou	0.490	0.529	0.552
repeated	'ōlelo hou	0.429	0.472	0.314
repeatedly	pinepine	0.479	0.575	0.500
repeater	hōʻike hou	0.479	0.426	0.430
repel	hoʻopō	0.224	0.620	0.441
repellant	hoʻopiʻi hou	0.292	0.620	0.426
repellent	hoʻopiʻi	0.286	0.500	0.491
repelling	hoʻopiʻi	0.184	0.633	0.429
repent	e mihi	0.449	0.422	0.386
repentance	mihi	0.417	0.604	0.324
repentant	mihi	0.326	0.500	0.200
repertoire	hanana	0.633	0.594	0.667
repertory	hoʻomanaʻo	0.562	0.473	0.528
repetition	'ōlelo hou	0.375	0.519	0.396
repetitive	pinepine	0.320	0.438	0.362
rephrase	'ōlelo hou	0.547	0.451	0.549
replace	e pani	0.417	0.520	0.500
replacement	hoʻopiʻi	0.385	0.519	0.500
replay	hoʻopō hou	0.612	0.522	0.761
replenish	hoʻopiha hou	0.615	0.336	0.689
replete	hoʻopiha	0.552	0.497	0.670
replica	kope	0.480	0.520	0.493
replicate	pane hou	0.480	0.630	0.585
replication	pane hou	0.342	0.618	0.510
reply	pane pane	0.762	0.290	0.596
report	hōʻike pū	0.583	0.444	0.575
reported	i hōʻikeʻia	0.418	0.442	0.567
reporter	lālā	0.531	0.550	0.604
repose	hoʻomaha	0.469	0.100	0.330
reposition	hoʻoponopono	0.408	0.529	0.509
repository	hale waihona	0.406	0.396	0.500
repossess	hoʻomanaʻo hou	0.418	0.667	0.552
reprehensible	hoʻopōʻino	0.316	0.569	0.351
represent	hōʻike	0.781	0.433	0.861
representation	hōʻike	0.677	0.542	0.750
representative	luna	0.704	0.366	0.694
represented	hōʻikeʻia	0.724	0.444	0.688
representing	e hōʻike ana	0.796	0.464	0.833
repress	hoʻopōʻino	0.208	0.612	0.536
repressed	hoʻopauʻia	0.188	0.337	0.311
repression	hoʻopilikia	0.214	0.764	0.481
reprieve	hoʻopaneʻe	0.531	0.471	0.574
reprimand	pīpē	0.153	0.528	0.465
reprint	kope hou	0.510	0.449	0.527
reprisal	make hou	0.125	0.788	0.545
reprise	hoʻi hou	0.459	0.500	0.464
reproach	ka hōʻino	0.240	0.755	0.384
reproduce	hana hou	0.823	0.622	0.760
reproduction	kope	0.800	0.736	0.713
reproductive	hoʻoponopono	0.770	0.604	0.856
reprogram	kope	0.519	0.404	0.557
reptile	kūlohelohe	0.350	0.566	0.365
republic	ʻo ka repubalika	0.635	0.340	0.830
republican	Repubalika	0.398	0.551	0.664
repudiation	hoʻopōʻino	0.167	0.686	0.274
repugnance	hewa	0.062	0.684	0.425
repugnant	haʻalulu	0.061	0.735	0.453
repulsion	hoʻopiʻi	0.247	0.673	0.353
repulsive	hoʻopiʻi	0.146	0.775	0.425
repurchase	hoʻopakele	0.531	0.592	0.557
reputable	inoa kaulana	0.781	0.462	0.919
reputation	maikaʻi	0.740	0.542	0.721
repute	kūkala	0.729	0.500	0.702
reputed	Palapalaʻia	0.439	0.528	0.627
request	noi	0.625	0.471	0.618
requiem	noi	0.475	0.382	0.426
require	makemake	0.398	0.439	0.560
required	makemake	0.583	0.509	0.700
requirement	makemake	0.510	0.439	0.728
requisite	pono	0.448	0.363	0.609
requisition	noi	0.478	0.510	0.649
reread	heluhelu hou	0.448	0.377	0.492
reroute	e hoʻi hou	0.540	0.598	0.598
rerun	hele	0.333	0.620	0.529
reschedule	hoʻoponopono hou	0.438	0.422	0.537
rescind	make	0.347	0.380	0.391
rescission	ke haʻalele	0.333	0.529	0.360
rescue	hoʻopakele	0.806	0.926	0.850
research	ʻike hulina	0.633	0.663	0.741
researcher	mea noiʻi	0.569	0.510	0.857
resection	kahi hui	0.375	0.482	0.500
resemblance	like	0.743	0.216	0.570
resemble	like	0.602	0.388	0.463
resembling	like	0.592	0.250	0.529
resent	ka huhū	0.073	0.553	0.163
resentful	huhū	0.120	0.608	0.324
resentment	ka huhū	0.163	0.745	0.528
reservation	ka hoʻolaha	0.688	0.343	0.561
reserve	mālama	0.585	0.289	0.589
reserved	mālamaʻia	0.594	0.316	0.583
reserves	nā mālama	0.653	0.363	0.520
reservoir	awa	0.531	0.276	0.462
reset	hoʻonohonoho	0.490	0.450	0.574
reside	noho	0.451	0.440	0.455
residence	noho	0.615	0.382	0.585
residences	nā noho	0.618	0.418	0.509
residency	noho	0.694	0.357	0.679
resident	noho	0.592	0.327	0.500
residential	noho	0.720	0.210	0.589
residual	koena	0.448	0.288	0.327
residue	koena	0.354	0.330	0.183
resign	haʻalele	0.250	0.543	0.273
resignation	haʻalele	0.145	0.392	0.310
resigned	haʻalele	0.240	0.170	0.268
resilience	ke kūpaʻa	0.531	0.440	0.667
resilient	kūpaʻa	0.542	0.540	0.801
resin	resin	0.284	0.308	0.400
resist	kū'ē	0.414	0.676	0.651
resistance	ke kū'ē	0.427	0.694	0.796
resistant	pale	0.592	0.585	0.815
resisting	ke paleʻana	0.408	0.776	0.789
resistive	kūpaʻa	0.396	0.519	0.651
resolute	e hoʻoholo	0.771	0.510	0.712
resolutely	kūpaʻa	0.714	0.453	0.805
resolution	hopena	0.780	0.550	0.745
resolve	hoʻoholo	0.710	0.472	0.750
resolved	i hoʻoholo	0.735	0.357	0.683
resonance	ke kūlana	0.541	0.426	0.629
resonant	ke kuʻi	0.542	0.633	0.663
resonate	Hoʻohou	0.582	0.610	0.644
resonator	ka mea hoʻopuka	0.469	0.608	0.519
resort	manawa	0.573	0.441	0.632
resounding	e hōhonu	0.490	0.708	0.596
resource	ʻike	0.740	0.357	0.749
resourceful	waiwai	0.906	0.704	0.886
resources	nā kumu waiwai	0.604	0.348	0.627
respect	mahalo	0.927	0.344	0.758
respectability	kūpono	0.875	0.407	0.912
respectable	mahalo	0.850	0.350	0.889
respected	mahaloʻia	0.908	0.441	0.853
respectful	mahalo	0.951	0.386	0.814
respecting	mahalo	0.837	0.321	0.720
respective	ʻo kēlā me kēia	0.625	0.413	0.721
respects	mahalo	0.840	0.387	0.824
respiration	ka hoʻomaha	0.760	0.377	0.669
respirator	ka breatpira	0.433	0.398	0.453
respiratory	ka hanu makani	0.500	0.450	0.552
respite	hoʻomaha	0.600	0.373	0.420
resplendent	kūlana kiʻekiʻe	0.905	0.673	0.755
respond	pane	0.573	0.435	0.594
respondent	pane	0.449	0.455	0.480
response	pane	0.615	0.500	0.472
responsibility	kuleana	0.760	0.500	0.852
responsible	kuleana	0.837	0.527	0.833
responsive	hoʻolohe	0.816	0.569	0.573
rest	hoʻomaha	0.907	0.167	0.300
restart	e hoʻomaka hou	0.531	0.519	0.554
restaurant	haleʻai	0.847	0.406	0.500
rested	hoʻomaha	0.792	0.235	0.462
restful	hoʻomaha	0.781	0.116	0.413
restitution	ka ukuhoʻi	0.583	0.542	0.643
restless	hoʻomaha	0.219	0.810	0.304
restlessness	hoʻomahaʻole	0.083	0.794	0.397
restock	hoʻihoʻi	0.510	0.538	0.645
restoration	hoʻihoʻi hou	0.755	0.426	0.734
restorative	hoʻoponopono hou	0.633	0.510	0.703
restore	hoʻihoʻi	0.765	0.490	0.625
restored	hoʻihoʻiʻia	0.892	0.410	0.728
restoring	hoʻoponopono	0.820	0.490	0.783
restrain	e hoʻomaha	0.134	0.696	0.434
restrained	kāohiʻia	0.354	0.590	0.509
restraining	kāohi	0.296	0.702	0.672
restraint	kaohi	0.167	0.618	0.520
restrict	e palena	0.115	0.539	0.577
restricted	kau palena	0.276	0.500	0.407
restriction	ka palena	0.130	0.590	0.569
restrictive	kūpaʻa	0.215	0.596	0.500
restroom	hale hoʻomaha	0.653	0.279	0.267
result	hopena	0.812	0.490	0.652
resultant	hopena	0.670	0.441	0.637
resume	hoʻomaka hou	0.573	0.411	0.586
resumption	hoʻi hou	0.637	0.528	0.653
resurrect	ke ala hou	0.781	0.725	0.817
resurrection	ke alahouana	0.708	0.740	0.759
resuscitate	make hou	0.531	0.696	0.818
resuscitation	ola hou	0.753	0.768	0.795
retail	kūʻai kūʻai	0.510	0.353	0.411
retailer	ka mea kūʻai	0.708	0.439	0.595
retain	mālama	0.367	0.451	0.630
retainer	mālama	0.396	0.422	0.356
retaining	mālama	0.417	0.559	0.632
retake	hoʻi hou	0.616	0.471	0.591
retaliate	e hoʻi hou	0.111	0.812	0.595
retaliation	ke hoʻopaʻi	0.156	0.812	0.491
retaliatory	ka uku hoʻopaʻi	0.194	0.865	0.598
retard	hoʻi	0.194	0.347	0.222
retardation	ke kali	0.125	0.360	0.155
retarded	hoʻi	0.302	0.462	0.161
retards	hoʻopiʻi	0.362	0.434	0.218
retention	paʻa	0.344	0.490	0.558
retentive	hoʻopiʻi	0.439	0.482	0.491
rethink	hoʻomanaʻo hou	0.480	0.423	0.583
reticent	hoʻopiʻi	0.396	0.519	0.500
retina	retina	0.490	0.255	0.342
retinal	hope loa	0.531	0.343	0.475
retire	hoʻi	0.398	0.392	0.186
retired	hoʻi	0.270	0.259	0.301
retirement	hoʻomaha	0.250	0.324	0.255
retiring	hoʻomaha	0.408	0.376	0.214
retold	haʻi hou	0.459	0.385	0.352
retort	hoʻihoʻi	0.417	0.520	0.481
retrace	kiʻi hou	0.250	0.482	0.317
retract	hoʻopiʻi	0.316	0.443	0.358
retraction	hoʻopiʻi	0.312	0.491	0.427
retractor	ka mea kūʻai	0.354	0.590	0.557
retreat	hoʻi	0.500	0.519	0.312
retrenchment	hoʻomaha	0.230	0.650	0.384
retrial	hoʻi hou	0.500	0.577	0.593
retribution	uku	0.625	0.490	0.708
retrieval	kiʻi hou	0.700	0.440	0.704
retrieve	lawe hou	0.740	0.576	0.705
retriever	kiʻi hou	0.459	0.500	0.464
retro	hoʻi hou	0.650	0.276	0.321
retroactive	kū hou	0.521	0.452	0.655
retrograde	hoʻihoʻi	0.208	0.464	0.415
retrospect	hoʻi hope	0.406	0.500	0.538
retrospective	wā i hala	0.594	0.481	0.528
retrospectively	hoʻi hope	0.516	0.400	0.560
return	hoʻi	0.602	0.412	0.463
reunion	hui hou	0.837	0.500	0.672
reunite	hui hou	0.656	0.550	0.657
reunited	hui hou	0.708	0.439	0.658
rev	hoʻop	0.367	0.422	0.353
reveal	hōʻike	0.493	0.637	0.526
revel	hauʻoli	0.740	0.705	0.684
revelation	hōʻike	0.879	0.500	0.865
revelations	nā hōʻike	0.729	0.655	0.600
revels	nā hauʻoli	0.827	0.683	0.647
revenge	e hoʻopaʻi	0.230	0.940	0.627
revenue	ka loaʻa	0.873	0.510	0.854
reverberation	Hoʻohui hou	0.390	0.639	0.551
revere	mahalo	0.750	0.562	0.608
reverence	mahalo	0.643	0.347	0.516
reverend	e Rev.	0.650	0.337	0.576
reverent	mahalo	0.551	0.490	0.694
reverie	kūlana	0.667	0.413	0.471
reversal	ke hoʻololi	0.380	0.510	0.591
reverse	hoʻololi	0.539	0.415	0.461
reversion	hoʻi	0.458	0.538	0.425
revert	hoʻi hou	0.380	0.451	0.519
reverting	e hoʻohuli	0.562	0.385	0.544
review	ʻike	0.667	0.408	0.636
reviewer	nānā	0.562	0.344	0.500
revise	hoʻoponopono	0.500	0.469	0.509
revision	hoʻoponopono	0.417	0.459	0.710
revisit	ʻike hou	0.552	0.530	0.509
revival	ola hou	0.823	0.664	0.597
revive	ola	0.676	0.780	0.778
revocation	hoʻolālā	0.260	0.610	0.673
revoke	hoʻokuʻu	0.251	0.696	0.737
revolt	kipi	0.343	0.878	0.658
revolting	kipi	0.102	0.690	0.300
revolution	ke kipi	0.417	0.902	0.798
revolutionary	ke kipi	0.635	0.887	0.824
revolutionize	hoʻoponopono	0.684	0.816	0.904
revolve	Hoʻololi	0.592	0.546	0.402
revolver	hoʻoponopono	0.194	0.796	0.750
revolving	hoʻoponopono	0.602	0.570	0.580
revue	hōʻuluʻulu	0.594	0.350	0.420
revulsion	hoʻopiʻi	0.104	0.765	0.343
revving	hoʻoponopono	0.604	0.875	0.879
reward	uku	0.948	0.694	0.783
rewarding	hawaiing	0.958	0.637	0.783
rewind	hoʻi hou	0.460	0.551	0.431
rewire	hou	0.365	0.462	0.406
rewrite	e kākau hou	0.490	0.500	0.434
rhapsody	rhapsody	0.708	0.490	0.460
rhetoric	'ōlelo hoʻopiʻi	0.417	0.429	0.504
rhetorical	'ōlelo hoʻolālā	0.417	0.569	0.635
rheumatism	rheumatism	0.219	0.472	0.418
rhinestone	uwai	0.531	0.551	0.408
rhino	rhino	0.531	0.549	0.555
rhinoceros	rhinoceros	0.556	0.656	0.569
rhubarb	rhubarb	0.582	0.304	0.340
rhyme	rhyme	0.667	0.249	0.481
rhyming	make	0.729	0.410	0.500
rhythm	nui	0.771	0.759	0.573
rhythmic	rhythmic	0.714	0.642	0.664
rhythmical	ōkuʻu	0.844	0.694	0.632
rib	pili	0.490	0.349	0.351
ribbed	kahe	0.365	0.378	0.409
ribbon	ke kani	0.719	0.288	0.357
rice	laiki	0.667	0.208	0.330
rich	waiwai	0.882	0.627	0.905
riches	waiwai	0.958	0.694	0.880
richness	waiwai	0.896	0.833	0.922
rick	uʻi	0.459	0.420	0.444
rickety	ke'ākau	0.224	0.402	0.241
rickshaw	kekō	0.438	0.594	0.402
ricochet	keʻoki	0.287	0.618	0.430
rid	hoʻokuʻu	0.194	0.408	0.327
riddance	keʻano	0.323	0.562	0.472
riddle	pili	0.521	0.583	0.543
riddled	ua hoʻopiliʻia	0.281	0.861	0.422
ride	holo	0.806	0.465	0.472
rider	ka hololio	0.635	0.627	0.574
ridge	pili	0.484	0.402	0.349
ridicule	ʻakaʻaka	0.143	0.745	0.255
ridiculed	e hoʻoheneheneʻia	0.112	0.806	0.212
ridiculous	kaʻakaʻaka	0.159	0.594	0.245
riding	holo	0.694	0.654	0.620
rife	ala	0.570	0.561	0.692
riff	riff	0.521	0.551	0.343
riffraff	riffraff	0.360	0.404	0.397
rifle	pipi	0.329	0.900	0.718
rifleman	ka rifleman	0.245	0.863	0.767
rifles	nā kiʻi	0.337	0.864	0.765
rift	kūkini	0.246	0.519	0.289
rig	ʻohe	0.542	0.382	0.746
rigged	ua maʻaleʻa	0.188	0.510	0.412
rigging	kūkī	0.510	0.518	0.440
right	akau	0.740	0.352	0.710
righteous	pono	0.823	0.385	0.790
righteousness	pono	0.802	0.660	0.897
rightful	pono	0.837	0.358	0.821
rightly	pololei	0.740	0.471	0.782
righty	pololei	0.750	0.314	0.786
rigid	kūpaʻa	0.357	0.552	0.591
rigidity	ke kūpono	0.198	0.530	0.726
rigor	kūmā	0.375	0.745	0.713
rigorous	ikaika	0.438	0.818	0.847
rim	ka wai	0.510	0.397	0.302
rind	ʻokoʻa	0.542	0.280	0.491
ring	kani	0.677	0.427	0.464
ringer	kani	0.573	0.604	0.347
ringing	ke kani	0.724	0.598	0.693
ringleader	ke kauā	0.520	0.550	0.640
ringmaster	ka mea nui	0.630	0.622	0.732
ringside	i ke kani	0.500	0.644	0.411
rink	rink	0.551	0.392	0.392
rinse	holoi	0.663	0.168	0.409
riot	haunaele	0.061	0.946	0.586
rioting	uhauha	0.156	0.949	0.560
riotous	haunaele	0.163	0.837	0.588
riots	nā haunaele	0.099	0.882	0.564
rip	'ō	0.146	0.676	0.365
riparian	ka meaʻai	0.552	0.408	0.412
ripe	ʻeleʻele	0.671	0.337	0.670
ripen	eʻai	0.755	0.373	0.671
ripening	e'ōʻana	0.615	0.490	0.759
ripper	hoʻopili	0.219	0.887	0.642
ripple	pupuhi	0.500	0.453	0.370
rippling	hoʻopiʻi	0.500	0.480	0.327
rise	kū	0.667	0.593	0.745
rising	e piʻi ana	0.750	0.602	0.696
risk	pilikia	0.240	0.816	0.438
risky	kūiki	0.224	0.922	0.700
risotto	ia risotto	0.802	0.454	0.234
rite	like	0.378	0.570	0.606
ritual	hoʻomana	0.375	0.520	0.508
ritualistic	ka hoʻomana	0.450	0.583	0.540
rival	ka hakakā	0.286	0.605	0.574
rivalry	ka hakakā	0.192	0.765	0.538
river	awa	0.688	0.392	0.605
riverbank	kahawai	0.684	0.300	0.330
riverbed	kahe	0.610	0.233	0.421
riverboat	ka muliwai	0.561	0.347	0.462
rivet	rivet	0.458	0.306	0.405
riveted	kupa	0.385	0.439	0.443
riveting	koli	0.448	0.544	0.394
roach	'ōpili	0.146	0.598	0.259
road	alanui	0.656	0.404	0.404
roadblock	ke alanui	0.337	0.669	0.490
roadhouse	hale alanui	0.500	0.620	0.458
roadie	alanui	0.500	0.566	0.455
roadrage	NO TRANSLATION	0.458	0.567	0.565
roadrunner	Alanui	0.490	0.702	0.590
roads	Alanui	0.677	0.448	0.496
roadside	alanui alanui	0.500	0.569	0.472
roadster	alanui alanui	0.531	0.622	0.473
roadtrip	alanui	0.677	0.596	0.519
roadway	alanui	0.562	0.206	0.509
