Word	Slovenian-sl	Valence	Arousal	Dominance
tune	melodijo	0.708	0.479	0.426
tunic	tuniko	0.531	0.248	0.391
tuning	tuning	0.719	0.390	0.635
tunnel	predor	0.312	0.490	0.412
turban	turban	0.469	0.386	0.426
turbidity	motnost	0.184	0.607	0.393
turbine	turbina	0.520	0.549	0.575
turbo	turbo	0.583	0.729	0.596
turbulence	turbulence	0.062	0.922	0.532
turbulent	nemiren	0.302	0.792	0.612
turd	turd	0.240	0.519	0.383
turf	trate	0.531	0.192	0.295
turkey	puran	0.634	0.245	0.247
turmeric	kurkuma	0.542	0.316	0.312
turmoil	nemir	0.198	0.888	0.417
turn	obrat	0.531	0.398	0.482
turnaround	obrni se	0.560	0.654	0.407
turned	obrnjen	0.630	0.538	0.583
turning	obračanje	0.510	0.684	0.420
turnip	repa	0.561	0.183	0.254
turnkey	ključ	0.531	0.382	0.427
turnoff	NO TRANSLATION	0.312	0.560	0.327
turnout	volilna udeležba	0.641	0.692	0.898
turnover	promet	0.490	0.392	0.512
turnpike	krmilo	0.459	0.434	0.462
turntable	gramofon	0.531	0.455	0.406
turpentine	terpentin	0.320	0.539	0.571
turquoise	turkizno	0.786	0.226	0.357
turret	kupolo	0.494	0.500	0.588
turtle	želva	0.291	0.102	0.271
turtleneck	vrečka	0.583	0.398	0.327
tussle	Tussle	0.333	0.919	0.691
tutelage	tutelaža	0.393	0.442	0.609
tutor	mentor	0.750	0.346	0.826
tutoring	mentorstvo	0.663	0.402	0.702
tutu	tutu	0.583	0.276	0.233
tux	tux	0.531	0.365	0.462
tuxedo	tuxedo	0.694	0.354	0.519
tv	tv	0.622	0.380	0.393
twain	twain	0.541	0.255	0.370
twat	twat	0.292	0.459	0.404
twats	twats	0.406	0.588	0.383
tweak	poteg	0.440	0.462	0.452
tweed	tweed	0.510	0.440	0.412
tweet	tweet	0.659	0.490	0.537
tweezers	pincete	0.493	0.408	0.295
twelfth	dvanajsta	0.521	0.292	0.527
twelve	dvanajst	0.490	0.298	0.412
twentieth	dvajset	0.469	0.297	0.346
twenty	dvajset	0.520	0.292	0.286
twerp	twerp	0.408	0.443	0.384
twig	vejica	0.378	0.288	0.236
twilight	somrak	0.622	0.341	0.633
twill	keper	0.449	0.415	0.353
twin	dvojčka	0.688	0.363	0.453
twine	vrvice	0.521	0.380	0.337
twinge	twinge	0.316	0.720	0.471
twinkle	utripaj	0.719	0.724	0.610
twins	dvojčka	0.760	0.473	0.602
twirl	zavrtite	0.552	0.647	0.409
twist	twist	0.375	0.469	0.337
twisted	zvit	0.071	0.736	0.311
twister	twister	0.330	0.680	0.647
twit	twit	0.194	0.653	0.198
twitch	trzaj	0.510	0.740	0.548
twitching	trzanje	0.292	0.700	0.482
twitchy	trzaj	0.094	0.918	0.281
two	dva	0.520	0.200	0.404
two step	dva koraka	0.583	0.314	0.327
twofaced	NO TRANSLATION	0.387	0.620	0.384
twofold	dvakrat	0.573	0.333	0.551
twosome	twosome	0.583	0.544	0.500
tycoon	tajkun	0.682	0.596	0.867
tyke	tyke	0.500	0.388	0.300
type	tip	0.500	0.284	0.364
typewriter	pisalni stroj	0.542	0.373	0.418
typhoid	tifus	0.265	0.458	0.401
typhoon	tajfun	0.323	0.796	0.697
typical	tipično	0.635	0.206	0.426
typically	običajno	0.569	0.377	0.559
typist	tipizator	0.551	0.559	0.528
typo	tipkarska napaka	0.224	0.415	0.255
typography	tipografija	0.480	0.334	0.574
tyrannical	tiransko	0.167	0.860	0.731
tyranny	tiranija	0.112	0.792	0.705
tyrant	tiran	0.115	0.850	0.683
tyre	pnevmatike	0.480	0.358	0.407
ubiquitous	povsod	0.635	0.571	0.884
ubiquity	povsod	0.578	0.490	0.595
ugliness	grdost	0.094	0.407	0.267
ugly	grdo	0.167	0.630	0.254
uhoh	NO TRANSLATION	0.320	0.622	0.284
ukulele	ukulele	0.513	0.358	0.365
ulcer	razjeda	0.286	0.596	0.377
ulterior	zunaj	0.375	0.509	0.490
ultimate	končni	0.648	0.645	0.544
ultimately	končno	0.385	0.480	0.558
ultimatum	ultimatum	0.219	0.855	0.837
ultimo	NO TRANSLATION	0.375	0.363	0.300
ultrasound	ultrazvok	0.573	0.594	0.600
ultraviolet	ultraviolet	0.604	0.448	0.673
umbilical	popkovnik	0.398	0.406	0.333
umbra	umbra	0.408	0.400	0.337
umbrella	dežnik	0.583	0.246	0.255
umpire	sodnik	0.520	0.592	0.755
umpteen	umpteen	0.510	0.460	0.611
unabashed	neprimeren	0.292	0.614	0.488
unabated	nereden	0.532	0.420	0.466
unable	ne morem	0.132	0.459	0.193
unacceptable	nesprejemljivo	0.133	0.479	0.330
unaccompanied	brez spremstva	0.292	0.376	0.297
unaccountable	nespametno	0.180	0.600	0.543
unaccounted	nenapovedano	0.410	0.338	0.361
unacknowledged	nepriznane	0.240	0.269	0.116
unadulterated	nepregleden	0.570	0.420	0.528
unaffected	brez vpliva	0.542	0.265	0.571
unafraid	brez strahu	0.500	0.520	0.655
unaided	brez pomoči	0.290	0.410	0.336
unaltered	nespremenjen	0.571	0.269	0.598
unambiguous	nedvoumno	0.406	0.390	0.578
unanimity	soglasje	0.490	0.407	0.706
unanimous	soglasno	0.656	0.380	0.682
unanimously	soglasno	0.686	0.333	0.738
unannounced	nenapovedano	0.240	0.588	0.291
unanswered	brez odgovora	0.276	0.361	0.219
unanticipated	nepričakovano	0.255	0.775	0.327
unappreciated	neprimeren	0.143	0.431	0.209
unapproved	neodobreno	0.184	0.471	0.254
unarmed	neoborožen	0.427	0.420	0.241
unassisted	brez pomoči	0.302	0.320	0.211
unassuming	nepremišljeno	0.490	0.230	0.471
unattached	brez povezave	0.192	0.439	0.283
unattainable	nedosegljiv	0.220	0.635	0.571
unattended	brez nadzora	0.255	0.400	0.167
unattractive	neprivlačna	0.177	0.307	0.208
unauthorized	nedovoljeno	0.260	0.448	0.259
unavailable	ni na voljo	0.323	0.281	0.159
unavoidable	neizogibno	0.350	0.580	0.445
unaware	ne zaveda	0.208	0.355	0.310
unbalanced	neuravnotežen	0.302	0.596	0.343
unbearable	neznosen	0.125	0.798	0.447
unbeatable	nepremagljiv	0.735	0.719	0.681
unbeaten	nepremagljiv	0.854	0.760	0.828
unbecoming	neprimerno	0.123	0.471	0.288
unbelief	nevjernost	0.265	0.582	0.407
unbelievable	neverjetno	0.771	0.790	0.717
unbiased	nepristransko	0.625	0.378	0.618
unborn	nerojeni	0.312	0.300	0.216
unbound	Brez obvez	0.354	0.402	0.283
unbounded	neomejeno	0.646	0.600	0.736
unbreakable	nezlomljiv	0.653	0.573	0.759
unbridled	razburjen	0.396	0.759	0.448
unbroken	neprekinjen	0.550	0.224	0.602
unbutton	odklopnik	0.479	0.539	0.311
uncalled	nezakonito	0.344	0.294	0.222
uncanny	čudno	0.469	0.461	0.430
uncaring	uncaring	0.177	0.245	0.321
uncensured	NO TRANSLATION	0.438	0.649	0.509
uncertain	negotovo	0.363	0.500	0.164
uncertainty	negotovost	0.064	0.494	0.282
unchallenged	nesporni	0.552	0.394	0.545
unchangeable	nespremenljiv	0.375	0.442	0.709
unchanged	nespremenjeno	0.490	0.204	0.237
uncharted	neznani	0.188	0.406	0.413
uncherished	NO TRANSLATION	0.250	0.412	0.280
uncivilized	neciviliziran	0.133	0.600	0.400
unclaimed	brez pridržkov	0.316	0.346	0.278
uncle	stric	0.653	0.255	0.578
unclean	nečisto	0.133	0.529	0.134
unclear	nejasno	0.229	0.463	0.202
uncomfortable	neprijetno	0.188	0.610	0.214
uncommon	občasni	0.459	0.429	0.373
uncommonly	občasno	0.626	0.490	0.778
uncomplicated	nezapleteno	0.740	0.260	0.453
uncompromising	brezkompromisno	0.320	0.531	0.613
unconcerned	nepomembno	0.562	0.283	0.298
unconditional	brezpogojno	0.760	0.493	0.715
unconfirmed	nepotrjena	0.334	0.321	0.339
unconnected	nepovezan	0.188	0.265	0.213
unconscionable	nezavesten	0.208	0.618	0.429
unconscious	nezavesten	0.240	0.356	0.195
unconsciousness	nezavest	0.177	0.440	0.121
unconstitutional	protiustavno	0.230	0.588	0.491
unconstrained	neomejen	0.653	0.640	0.635
uncontested	nesporni	0.510	0.471	0.689
uncontrollable	nenadzorovano	0.265	0.790	0.626
uncontrolled	nenadzorovano	0.188	0.891	0.544
unconventional	nekonvencionalno	0.177	0.509	0.288
unconvinced	ne prepričana	0.409	0.458	0.228
unconvincing	neprepričljiv	0.190	0.532	0.144
uncooked	nekuhani	0.312	0.321	0.241
uncooperative	nesodelujoč	0.250	0.422	0.246
uncorrelated	nepovezan	0.333	0.327	0.316
uncouth	neurejen	0.080	0.761	0.350
uncover	odkriti	0.771	0.552	0.648
uncritical	nekritičen	0.480	0.367	0.412
uncut	nerazrezane	0.448	0.422	0.278
undead	undead	0.367	0.635	0.406
undecided	neodločen	0.286	0.433	0.127
undefeated	nepremagan	0.833	0.752	0.825
undefined	nedoločeno	0.260	0.418	0.350
undeniable	nedvomno	0.552	0.473	0.778
underage	mladoletnik	0.469	0.461	0.300
underbelly	spodrsljaj	0.406	0.423	0.361
undercover	pod krinko	0.388	0.627	0.483
undercurrent	podtok	0.357	0.582	0.520
underdog	spodrsljaj	0.250	0.410	0.226
underestimate	podcenjuj	0.413	0.464	0.193
undergo	opravi	0.398	0.554	0.339
undergraduate	dodiplomski študij	0.583	0.500	0.559
underground	podzemlje	0.396	0.455	0.452
underhanded	spodkopan	0.188	0.415	0.527
underlay	podloga	0.521	0.365	0.458
underlie	temeljijo	0.323	0.378	0.275
underline	podčrtajte	0.480	0.412	0.509
underlying	osnovno	0.480	0.445	0.452
undermine	spodkopavali	0.316	0.491	0.413
undermined	spodkopal	0.365	0.409	0.394
underneath	spodaj	0.450	0.265	0.158
underpaid	premalo plačano	0.146	0.413	0.209
underpants	spodnje hlače	0.448	0.473	0.276
underprivileged	prikrajšan	0.167	0.449	0.172
underrated	podcenjen	0.208	0.520	0.333
underscore	podčrtaj	0.375	0.275	0.306
undersea	podmorski	0.545	0.490	0.425
undersecretary	podsekretar	0.459	0.377	0.594
undersized	podmerjeno	0.316	0.425	0.298
understaffed	premalo zaposlenih	0.148	0.444	0.302
understand	razumeti	0.760	0.374	0.643
understandable	razumljivo	0.776	0.363	0.566
understanding	razumevanje	0.865	0.304	0.689
understatement	podcenjevanje	0.347	0.480	0.473
understood	razumel	0.780	0.441	0.686
understudy	Podobno	0.378	0.402	0.420
undertake	začnite	0.796	0.702	0.754
undertaker	podjetnik	0.363	0.696	0.611
undertaking	podjetje	0.667	0.530	0.696
undertow	vzemi	0.327	0.639	0.231
underwear	spodnje perilo	0.610	0.546	0.375
underwood	underwood	0.510	0.453	0.510
underworld	podzemni svet	0.177	0.676	0.613
underwrite	zavarovati	0.416	0.520	0.423
underwriter	zavarovalnica	0.571	0.327	0.620
undeserved	nezasluženo	0.219	0.552	0.283
undesirable	nezaželeno	0.177	0.644	0.260
undesired	nezaželeno	0.156	0.441	0.235
undetectable	nezaznavna	0.438	0.539	0.604
undetected	nezaznavno	0.224	0.304	0.268
undetermined	nedoločen	0.265	0.256	0.353
undeveloped	nerazvito	0.292	0.330	0.254
undignified	nedoločen	0.122	0.627	0.308
undirected	neusmerjen	0.330	0.417	0.310
undisclosed	nerazkrite	0.479	0.361	0.314
undiscovered	neodkrit	0.438	0.347	0.261
undisputed	nesporno	0.646	0.588	0.673
undisturbed	nemoteno	0.725	0.287	0.434
undivided	nedeljeno	0.510	0.380	0.490
undo	razveljaviti	0.365	0.444	0.349
undoing	razveljavitev	0.219	0.452	0.298
undoubted	nedvomno	0.592	0.461	0.740
undress	sleči	0.438	0.900	0.336
undressed	slekla	0.375	0.755	0.356
undue	neupravičeno	0.156	0.573	0.318
undying	neumno	0.708	0.500	0.773
unearned	nezaželeno	0.177	0.340	0.213
unearth	odkopati	0.427	0.635	0.545
uneasiness	nelagodje	0.190	0.798	0.241
uneasy	nelagodno	0.115	0.598	0.349
uneducated	neobrazovana	0.177	0.350	0.246
unemployed	brezposelni	0.094	0.481	0.230
unemployment	brezposelnost	0.094	0.400	0.297
unencumbered	neobremenjen	0.604	0.280	0.472
unending	neskončno	0.385	0.519	0.454
unequal	neenakomerno	0.118	0.433	0.202
unequalled	brez dvoma	0.562	0.470	0.769
unequivocal	nedvoumno	0.604	0.415	0.615
unequivocally	nedvoumno	0.521	0.668	0.554
unethical	neetično	0.104	0.433	0.269
uneven	neenakomeren	0.125	0.457	0.240
uneventful	neenakomerno	0.510	0.343	0.410
unexpected	nepričakovano	0.500	0.720	0.333
unexpectedly	nepričakovano	0.354	0.759	0.462
unexplainable	nepojmljivo	0.260	0.448	0.610
unexplained	nepojasnjeno	0.271	0.531	0.349
unexplored	neraziskana	0.401	0.640	0.388
unfailing	neizvedljiv	0.625	0.635	0.594
unfair	nepravično	0.173	0.472	0.190
unfairness	nepravičnost	0.170	0.817	0.336
unfaithful	neutemeljen	0.031	0.806	0.298
unfamiliar	neznan	0.219	0.558	0.273
unfavorable	neugodno	0.133	0.450	0.232
unfeeling	brez občutka	0.235	0.377	0.345
unfettered	neomejeno	0.569	0.650	0.586
unfinished	nedokončana	0.188	0.368	0.264
unfit	neprimeren	0.250	0.368	0.185
unflinching	nezdrava	0.667	0.606	0.882
unfold	razplati	0.612	0.510	0.520
unfollow	odkriti	0.281	0.337	0.293
unforeseen	nepredvidene	0.255	0.714	0.500
unforgettable	nepozabno	0.833	0.561	0.660
unforgivable	nepreklicno	0.276	0.743	0.490
unforgiving	neusmiljen	0.406	0.630	0.793
unfortunate	nesrečni	0.073	0.487	0.195
unfortunately	na žalost	0.104	0.494	0.281
unfounded	neutemeljen	0.271	0.520	0.410
unfreeze	odmrzni	0.458	0.297	0.375
unfriendly	neprijazno	0.173	0.670	0.458
unfulfilled	neizpolnjeno	0.184	0.426	0.268
unfurnished	nenamješten	0.316	0.333	0.272
unglued	nenapisan	0.378	0.446	0.352
ungodly	brezbožni	0.296	0.423	0.388
ungrateful	nehvaležna	0.219	0.461	0.275
unguarded	nezavarovano	0.156	0.578	0.205
unhand	NO TRANSLATION	0.406	0.360	0.361
unhappiness	nesreča	0.083	0.630	0.222
unhappy	nesrečen	0.112	0.500	0.155
unharmed	neškodovano	0.740	0.378	0.491
unhealthy	nezdravo	0.115	0.549	0.214
unheard	neslišno	0.344	0.539	0.500
unhelpful	brez pomoči	0.104	0.320	0.118
unhindered	neovirano	0.729	0.441	0.725
unholy	nehoten	0.327	0.560	0.445
unhook	Odpusti	0.375	0.592	0.310
unicorn	unicorn	0.776	0.510	0.480
unidentified	neznano	0.385	0.361	0.199
unification	poenotenje	0.688	0.345	0.788
unified	enotno	0.729	0.439	0.764
uniform	uniforme	0.570	0.245	0.655
uniformed	uniformirano	0.469	0.519	0.589
uniformity	enotnost	0.745	0.353	0.538
uniformly	enakomerno	0.625	0.333	0.704
unimaginable	nepredstavljivo	0.573	0.634	0.589
unimpeachable	nepopravljivo	0.684	0.550	0.784
unimpeached	nepremišljen	0.458	0.335	0.433
unimportant	nepomembno	0.281	0.240	0.175
unimpressed	neizrazit	0.198	0.302	0.327
unimproved	neučinkovito	0.163	0.377	0.144
uninfected	neokužen	0.688	0.304	0.389
uninformed	neinformirano	0.156	0.370	0.182
uninhabited	nenaseljen	0.301	0.230	0.221
uninitiated	nepredvideni	0.271	0.288	0.288
uninspired	nenavaden	0.163	0.243	0.260
unintelligible	nerazumljivo	0.208	0.472	0.283
unintended	nenamerno	0.438	0.385	0.349
unintentional	nenamerno	0.333	0.538	0.306
unintentionally	nenamerno	0.460	0.490	0.286
uninterested	nezainteresiran	0.365	0.240	0.328
uninteresting	nezanimiv	0.153	0.235	0.228
uninterrupted	neprekinjeno	0.500	0.434	0.527
uninvited	nepovabljen	0.090	0.385	0.307
union	unija	0.854	0.226	0.766
unique	edinstven	0.823	0.347	0.661
unisex	unisex	0.492	0.417	0.417
unison	unison	0.510	0.439	0.583
unit	enota	0.562	0.235	0.578
unitary	enotno	0.531	0.239	0.641
unite	združiti	0.781	0.375	0.610
united	združeni	0.781	0.431	0.783
unity	enotnost	0.837	0.288	0.658
universal	univerzalno	0.802	0.417	0.833
universality	univerzalnost	0.796	0.410	0.840
universe	vesolje	0.694	0.454	0.839
university	univerza	0.735	0.574	0.741
unjust	nepravično	0.115	0.625	0.278
unjustifiable	neupravičeno	0.115	0.596	0.394
unjustified	neupravičeno	0.288	0.541	0.314
unkind	neutemeljen	0.135	0.409	0.310
unknowable	neznano	0.347	0.540	0.396
unknown	neznano	0.357	0.450	0.204
unlawful	nezakonito	0.094	0.759	0.402
unleash	sprosti	0.479	0.775	0.559
unlicensed	brez licenc	0.306	0.574	0.196
unlike	za razliko od	0.439	0.439	0.418
unlikely	malo verjetno	0.271	0.293	0.245
unlimited	neomejeno	0.750	0.623	0.679
unlisted	neuvrščeni	0.365	0.265	0.218
unload	raztovoriti	0.656	0.639	0.573
unloaded	raztovorjen	0.469	0.380	0.331
unlock	odkleniti	0.582	0.442	0.592
unlucky	nesrečni	0.073	0.395	0.198
unmanageable	neobvladljivo	0.177	0.666	0.482
unmanned	brezposelni	0.235	0.441	0.324
unmarked	neoznačeni	0.416	0.294	0.433
unmarried	neporočeni	0.438	0.480	0.545
unmask	razkril	0.323	0.690	0.520
unmatched	neizravnane	0.776	0.536	0.771
unmistakable	nedvomno	0.602	0.571	0.765
unmitigated	nedotaknjeno	0.649	0.427	0.422
unmoved	nepremagljiv	0.184	0.355	0.360
unnamed	neimenovani	0.316	0.189	0.284
unnatural	nenaravno	0.153	0.587	0.434
unnecessary	nepotrebno	0.219	0.358	0.190
unneeded	nepotrebno	0.177	0.375	0.245
unnoticed	neopaženo	0.302	0.440	0.260
unnumbered	brezštevilen	0.406	0.255	0.331
unobserved	neopaženo	0.398	0.255	0.257
unobstructed	neoviran	0.583	0.440	0.573
unobtrusive	nevsiljivo	0.447	0.327	0.402
unoccupied	nenaseljen	0.258	0.245	0.412
unofficial	neuradno	0.260	0.302	0.255
unopened	neodprto	0.542	0.340	0.265
unopposed	brez ugovora	0.615	0.375	0.537
unordered	neurejen	0.224	0.482	0.190
unorganised	neorganizirano	0.250	0.500	0.212
unorganized	neorganizirano	0.260	0.657	0.173
unorthodox	neobičajno	0.340	0.480	0.441
unpack	razpakirajte	0.531	0.528	0.445
unpaid	neplačana	0.300	0.413	0.365
unparalleled	neprimerljivo	0.708	0.306	0.538
unpleasant	neprijeten	0.122	0.612	0.185
unpleasantness	neprijetnost	0.062	0.724	0.264
unplug	izklopite	0.239	0.441	0.404
unplugged	izklopljen	0.367	0.375	0.318
unpopular	nepriljubljen	0.073	0.441	0.164
unprecedented	brez primere	0.500	0.491	0.658
unpredictable	nepredvidljivo	0.429	0.769	0.515
unprepared	nepripravljen	0.204	0.450	0.152
unpretentious	nepretrgano	0.510	0.296	0.410
unproductive	neproduktivno	0.100	0.324	0.237
unprofessional	neprofesionalno	0.042	0.370	0.170
unprofitable	nedonosna	0.163	0.376	0.217
unprotected	nezaščiten	0.150	0.582	0.197
unproven	nedopusten	0.296	0.427	0.216
unprovoked	neizzvanega	0.565	0.327	0.385
unpublished	neobjavljeno	0.406	0.480	0.481
unpunished	nekaznovan	0.292	0.594	0.519
unqualified	nekvalificirano	0.170	0.433	0.173
unquestionable	nesporno	0.469	0.450	0.843
unquestionably	nesporno	0.500	0.630	0.750
unquestioned	nedvomno	0.562	0.509	0.746
unquote	unquote	0.388	0.363	0.517
unravel	razvozlati	0.378	0.598	0.455
unreachable	nedosegljiv	0.208	0.679	0.557
unread	neprebrano	0.458	0.240	0.214
unreal	nerealno	0.173	0.431	0.296
unrealistic	nerealno	0.229	0.500	0.245
unreasonable	nerazumno	0.115	0.702	0.264
unrecorded	neobjavljen	0.241	0.351	0.350
unregistered	neregistrirane	0.255	0.337	0.266
unregulated	neregulirano	0.344	0.454	0.421
unrelated	nepovezani	0.302	0.270	0.264
unrelenting	nepremišljen	0.500	0.790	0.875
unreliable	nezanesljiv	0.108	0.480	0.240
unremarkable	nepremagljivo	0.271	0.155	0.230
unrepentant	nepopustljiv	0.240	0.445	0.413
unrequited	nereden	0.143	0.441	0.179
unresolved	nerešeno	0.135	0.441	0.173
unresponsive	brez odzivnosti	0.108	0.282	0.244
unrest	nemir	0.102	0.577	0.231
unrestrained	nemiren	0.385	0.775	0.627
unrestricted	neomejeno	0.698	0.458	0.644
unromantic	neumna	0.208	0.316	0.307
unruly	nepopravljivo	0.240	0.745	0.547
unsafe	nevarno	0.115	0.562	0.147
unsanitary	neh	0.063	0.592	0.269
unsatisfactory	nezadovoljivo	0.122	0.520	0.189
unsatisfied	nezadovoljni	0.200	0.547	0.241
unsavory	nesrečni	0.071	0.637	0.353
unscathed	nepoškodovan	0.625	0.308	0.611
unscheduled	nenačrtovan	0.312	0.436	0.300
unscientific	neznanstven	0.396	0.317	0.321
unscrew	Odvijte	0.333	0.462	0.396
unscrupulous	brezobzirno	0.094	0.727	0.465
unseat	odpustite	0.229	0.500	0.312
unseen	neviden	0.427	0.351	0.421
unselfish	nesebično	0.615	0.353	0.377
unsettled	nereden	0.208	0.647	0.170
unsightly	grdo	0.226	0.559	0.373
unsolicited	nenaklonjen	0.094	0.339	0.280
unsolved	nerešeno	0.146	0.390	0.235
unsophisticated	nenavadno	0.327	0.491	0.339
unsound	hudo	0.146	0.222	0.272
unspeakable	neizprosno	0.327	0.567	0.393
unspecified	nedoločeno	0.240	0.365	0.165
unspoken	neizgovorjen	0.177	0.260	0.208
unstable	nestabilno	0.167	0.587	0.150
unsteady	nestabilno	0.122	0.500	0.190
unstoppable	neustavljivo	0.625	0.887	0.862
unsuccessful	neuspešno	0.140	0.318	0.106
unsuitable	neprimerno	0.188	0.528	0.300
unsung	unsung	0.296	0.330	0.314
unsupervised	nenadzorovano	0.478	0.481	0.442
unsupported	nepodprto	0.260	0.450	0.221
unsure	nenavaden	0.143	0.580	0.217
unsurpassed	neprekosljivo	0.694	0.569	0.798
unsuspecting	nič nenavadnega	0.302	0.509	0.413
unsustainable	netrajnostno	0.255	0.650	0.406
unsweetened	nesladkan	0.396	0.263	0.300
unsympathetic	nesmiselno	0.163	0.620	0.281
untamed	untamed	0.429	0.778	0.709
untenable	nevzdržno	0.143	0.637	0.425
untested	nepreverjeno	0.302	0.296	0.348
unthinkable	nepredstavljivo	0.365	0.480	0.481
untidy	Neupravičeno	0.106	0.610	0.254
untie	Odvezi	0.542	0.463	0.472
untimely	prezgodaj	0.245	0.676	0.233
untitled	brez naslova	0.213	0.240	0.240
untold	neizmerno	0.240	0.367	0.191
untouchable	nedotakljiva	0.490	0.602	0.683
untouched	nedotaknjeno	0.531	0.276	0.600
untoward	neugodno	0.122	0.555	0.291
untraceable	nepredstavljivo	0.321	0.674	0.574
untrained	neutreniran	0.149	0.529	0.282
untranslated	neprevedeni	0.271	0.188	0.264
untroubled	nezdrava	0.750	0.213	0.653
untrue	neresnično	0.031	0.500	0.188
untrustworthy	nezanesljivo	0.097	0.449	0.287
unturned	neobremenjen	0.312	0.255	0.316
unused	neuporabljeno	0.344	0.231	0.234
unusual	nenavadno	0.429	0.433	0.361
unusually	nenavadno	0.385	0.406	0.358
unutterable	neizmerno	0.406	0.592	0.538
unveil	razkrije	0.439	0.442	0.562
unveiling	razkritje	0.569	0.570	0.675
unverified	nepreverjeno	0.214	0.365	0.180
unwanted	neželeno	0.177	0.546	0.205
unwarranted	neupravičeno	0.091	0.500	0.345
unwary	neumno	0.286	0.417	0.402
unwashed	neobremenjen	0.365	0.427	0.360
unwavering	nepremagljiv	0.740	0.630	0.858
unwed	unwed	0.541	0.595	0.459
unwelcome	nezaželeno	0.115	0.480	0.269
unwell	slabo	0.143	0.640	0.221
unwilling	nepripravljen	0.302	0.316	0.179
unwillingly	nevoljno	0.204	0.548	0.182
unwillingness	nepripravljenost	0.204	0.311	0.113
unwind	počitek	0.837	0.181	0.394
unwise	nespametno	0.141	0.610	0.304
unwitting	nespremni	0.260	0.526	0.344
unwittingly	nevede	0.312	0.510	0.264
unworthy	brez vrednosti	0.194	0.433	0.226
unwrap	odmotite	0.604	0.491	0.557
unwritten	nenapisan	0.367	0.384	0.272
unyielding	nepopustljiv	0.367	0.806	0.738
unzip	unzip	0.378	0.520	0.538
upbeat	optimističen	0.878	0.531	0.802
upbringing	vzgoja	0.677	0.490	0.600
upcoming	prihajajoči	0.688	0.460	0.550
update	nadgradnja	0.698	0.535	0.802
upgrade	Nadgradnja	0.786	0.500	0.670
upheaval	preobrat	0.290	0.830	0.570
uphill	navzgor	0.396	0.723	0.572
uphold	podpirajo	0.698	0.321	0.561
upholstery	oblazinjenje	0.592	0.270	0.386
upkeep	vzdrževanje	0.590	0.442	0.685
upland	gore	0.719	0.578	0.607
uplands	gore	0.615	0.471	0.577
uplift	dviganje	0.656	0.779	0.771
uplifting	Uplifting	0.771	0.548	0.605
uplink	uplink	0.544	0.510	0.595
upload	nalaganje	0.638	0.683	0.696
upper	zgornji	0.740	0.529	0.868
uppercut	Gorčica	0.410	0.600	0.550
uppity	hrepenenje	0.465	0.546	0.417
upright	pokonci	0.667	0.373	0.600
uprising	vstaje	0.561	0.777	0.704
uproar	škoda	0.271	0.902	0.462
upscale	upscale	0.698	0.526	0.846
upset	razburjen	0.071	0.680	0.330
upshot	upshot	0.693	0.490	0.716
upstairs	zgoraj	0.663	0.408	0.645
upstanding	up	0.851	0.390	0.708
upstart	upstart	0.449	0.500	0.455
uptight	uprta	0.184	0.716	0.333
upward	navzgor	0.792	0.481	0.620
upwards	navzgor	0.724	0.439	0.638
uranium	uran	0.375	0.580	0.490
urban	mestno	0.561	0.528	0.644
urchin	urchin	0.417	0.510	0.373
urge	pozivam	0.418	0.680	0.653
urgency	nujnost	0.429	0.908	0.543
urgent	nujno	0.327	0.918	0.623
urinal	pisoar	0.214	0.510	0.306
urinalysis	urinaliza	0.344	0.532	0.398
urinate	urinirati	0.360	0.500	0.353
urination	uriniranje	0.271	0.441	0.232
urine	urina	0.375	0.361	0.169
urn	urn	0.194	0.520	0.295
usable	uporabno	0.812	0.455	0.611
usage	uporaba	0.646	0.360	0.426
use	uporaba	0.438	0.358	0.409
used	uporabljajo	0.354	0.306	0.287
useful	koristno	0.833	0.411	0.726
usefully	koristno	0.650	0.481	0.760
usefulness	uporabnost	0.806	0.519	0.741
useless	neuporabna	0.052	0.342	0.184
user	uporabnik	0.629	0.347	0.442
usher	Usher	0.521	0.440	0.519
usual	običajno	0.625	0.221	0.400
usurp	usurp	0.125	0.818	0.433
usurped	vzuril	0.292	0.780	0.438
usury	obresti	0.344	0.679	0.430
utensil	utensil	0.573	0.279	0.383
uterus	maternica	0.551	0.420	0.510
utilitarian	uporabno	0.427	0.363	0.639
utility	uporabnost	0.622	0.400	0.704
utilization	izkoriščanje	0.562	0.469	0.706
utilize	izkoristiti	0.694	0.445	0.545
utmost	Najvišja	0.719	0.740	0.858
utopian	utopično	0.542	0.327	0.552
utter	povsem	0.531	0.422	0.549
utterance	izgovor	0.542	0.640	0.704
utterly	povsem	0.633	0.440	0.673
vacancy	prosto delovno mesto	0.643	0.311	0.418
vacant	prazen	0.578	0.220	0.464
vacate	sprostite	0.357	0.490	0.397
vacation	počitnice	0.840	0.490	0.598
vaccination	cepljenje	0.530	0.578	0.621
vaccine	cepivo	0.500	0.520	0.555
vacuolar	vakuolar	0.439	0.370	0.439
vacuole	vakuol	0.490	0.406	0.481
vacuous	prazni	0.354	0.267	0.304
vacuum	vakuum	0.327	0.196	0.134
vagabond	vagabond	0.384	0.531	0.144
vagina	vagina	0.551	0.870	0.500
vaginal	vaginalni	0.449	0.765	0.420
vagrancy	Odsotnost	0.219	0.567	0.277
vagrant	bratje	0.265	0.548	0.250
