Word	Turkish-tr	Valence	Arousal	Dominance
spaz	spastiğin	0.443	0.500	0.268
speak	konuşmak	0.765	0.472	0.500
speakeasy	gizli bar	0.680	0.536	0.442
speaker	konuşmacı	0.604	0.660	0.723
speakerphone	hoparlör	0.531	0.569	0.560
speaking	konuşuyorum	0.753	0.590	0.575
spear	mızrak	0.510	0.601	0.500
spec	spec	0.583	0.426	0.691
special	özel	0.844	0.602	0.730
specialist	uzman	0.760	0.562	0.877
speciality	uzmanlık	0.854	0.470	0.885
specialize	NO TRANSLATION	0.776	0.540	0.861
specially	özel olarak	0.847	0.398	0.714
specialty	uzmanlık	0.724	0.479	0.783
specie	NO TRANSLATION	0.583	0.471	0.650
species	Türler	0.561	0.330	0.645
specific	özel	0.656	0.388	0.691
specification	Şartname	0.552	0.479	0.602
specify	belirtmek	0.656	0.405	0.600
specimen	örnek	0.531	0.444	0.568
speck	benek	0.418	0.245	0.343
speckled	benekli	0.449	0.263	0.254
specs	gözlük	0.540	0.398	0.618
spectacle	manzara	0.812	0.745	0.762
spectacles	gözlük	0.816	0.775	0.648
spectacular	muhteşem	0.947	0.740	0.887
spectator	seyirci	0.694	0.560	0.667
specter	hayalet	0.265	0.723	0.540
spectral	spektral	0.430	0.667	0.500
spectrometer	spektrometre	0.500	0.452	0.490
spectrophotometer	spektrofotometre	0.500	0.484	0.500
spectroscopy	spektroskopisi	0.470	0.541	0.570
spectrum	spektrum	0.312	0.700	0.527
speculate	spekülasyon yapmak	0.398	0.602	0.553
speculation	spekülasyon	0.325	0.683	0.394
speculative	spekülatif	0.276	0.591	0.464
speculum	spekulum	0.417	0.469	0.433
speech	konuşma	0.656	0.470	0.688
speechless	suskun	0.459	0.320	0.315
speed	hız	0.719	0.849	0.658
speedboat	sürat teknesi	0.635	0.858	0.612
speedily	hızla	0.688	0.740	0.665
speeding	hız yapma	0.438	0.908	0.645
speedometer	hız göstergesi	0.427	0.549	0.579
speedway	yarış pisti	0.667	0.519	0.416
speedy	hızlı	0.625	0.625	0.793
spell	harf harf kodlamak	0.385	0.380	0.368
spellbound	büyülenmiş	0.531	0.647	0.387
spelling	yazım	0.594	0.357	0.398
spencer	kısa palto	0.510	0.394	0.367
spend	harcamak	0.672	0.745	0.429
spender	müsrif	0.312	0.692	0.377
spending	harcama	0.333	0.556	0.330
spent	harcanmış	0.296	0.296	0.263
sperm	sperm	0.396	0.706	0.453
spew	kusmak	0.260	0.651	0.573
sphere	küre	0.633	0.277	0.500
spherical	küresel	0.550	0.308	0.500
sphincter	sfinkter	0.347	0.633	0.375
sphinx	sfenks	0.604	0.324	0.490
spic	Meksikalı	0.302	0.455	0.451
spice	baharat	0.594	0.439	0.384
spicy	baharatlı	0.440	0.733	0.610
spider	örümcek	0.229	0.569	0.430
spiders	örümcekler	0.260	0.696	0.368
spiffy	şık	0.615	0.582	0.470
spigot	tıkaç	0.380	0.346	0.423
spike	başak	0.382	0.510	0.408
spiked	çivili	0.281	0.613	0.407
spiky	dikenli	0.284	0.657	0.587
spill	dökmek	0.408	0.633	0.456
spillin	NO TRANSLATION	0.375	0.500	0.362
spin	çevirmek	0.551	0.422	0.345
spinach	ıspanak	0.583	0.200	0.368
spinal	belkemiği	0.312	0.491	0.296
spindle	iğ	0.552	0.410	0.360
spine	omurga	0.495	0.461	0.600
spineless	omurgasız	0.344	0.387	0.321
spinner	topaç	0.458	0.593	0.471
spinning	döndürme	0.594	0.610	0.481
spinster	kız kurusu	0.357	0.368	0.345
spiny	dikenli	0.167	0.639	0.528
spiral	sarmal	0.490	0.624	0.361
spire	helezon	0.354	0.358	0.389
spirit	ruh	0.786	0.370	0.621
spirited	canlı	0.854	0.587	0.734
spirits	alkollü içkiler	0.583	0.847	0.545
spiritual	manevi	0.938	0.327	0.564
spirituality	tinsellik	0.865	0.281	0.667
spit	tükürmek	0.149	0.545	0.436
spite	nispet	0.080	0.600	0.317
spiteful	kindar	0.073	0.710	0.330
spitfire	püsküren volkan	0.233	0.623	0.566
spittoon	tükürük hokkası	0.276	0.426	0.280
splash	sıçrama	0.521	0.412	0.281
splat	uyarısı	0.510	0.433	0.385
splatter	sıçramak	0.312	0.596	0.352
spleen	dalak	0.448	0.255	0.396
splendid	görkemli	0.896	0.740	0.810
splendor	görkem	0.927	0.612	0.850
splice	ek yeri	0.386	0.460	0.377
spline	kama	0.490	0.398	0.407
splint	cebire	0.179	0.400	0.343
splinter	kıymık	0.136	0.422	0.325
split	Bölünmüş	0.344	0.618	0.410
splitting	bölme	0.188	0.598	0.375
splurge	savurganlık	0.365	0.481	0.542
spoil	yağma	0.146	0.723	0.328
spoiler	spoiler	0.347	0.527	0.380
spoiling	bozma	0.135	0.678	0.306
spoils	memuriyet	0.388	0.760	0.481
spoke	konuştu	0.635	0.433	0.483
spoken	konuşulmuş	0.551	0.363	0.545
spokesman	sözcü	0.720	0.480	0.611
spokesperson	sözcü	0.573	0.453	0.615
sponge	sünger	0.551	0.192	0.219
spongy	süngersi	0.469	0.324	0.344
sponsor	sponsor	0.729	0.537	0.800
sponsorship	kefillik	0.854	0.608	0.696
spontaneity	doğallık	0.817	0.698	0.655
spontaneous	doğal	0.780	0.578	0.655
spoof	sazanlama	0.490	0.594	0.381
spook	hortlak	0.327	0.887	0.322
spooky	ürpertici	0.104	0.858	0.380
spool	makara	0.397	0.389	0.312
spoon	kaşık	0.479	0.236	0.259
spoonful	kaşık dolusu	0.582	0.208	0.308
sporadic	tek tük	0.333	0.394	0.500
spore	spor	0.480	0.408	0.231
sport	spor	0.865	0.700	0.657
sporting	spor	0.917	0.656	0.675
sports	Spor Dalları	0.833	0.683	0.587
sports car	Spor araba	0.759	0.696	0.669
sportsman	sporcu	0.755	0.735	0.713
sportsmanship	sportmenlik	0.890	0.582	0.694
sportswriter	spor yazarı	0.760	0.551	0.566
sporty	sportif	0.735	0.713	0.648
spot	yer	0.510	0.180	0.336
spotless	lekesiz	0.792	0.327	0.726
spotlight	spot	0.688	0.353	0.519
spotted	benekli	0.354	0.472	0.295
spotter	gözcü	0.542	0.491	0.644
spotty	sivilceli	0.281	0.606	0.241
spousal	eş	0.656	0.582	0.632
spouse	eş	0.750	0.600	0.645
spout	oluk ağzı	0.438	0.357	0.309
sprain	burkulma	0.063	0.580	0.384
sprawl	yayılma	0.600	0.596	0.672
spray	sprey	0.438	0.410	0.333
spread	YAYILMIŞ	0.570	0.583	0.651
spreader	yayıcı	0.510	0.480	0.500
spree	cümbüş	0.564	0.663	0.474
spring	bahar	0.837	0.370	0.481
springtime	bahar	0.837	0.439	0.722
sprinkle	tutam	0.635	0.404	0.380
sprinkler	fıskiye	0.510	0.434	0.473
sprinkling	tutam	0.677	0.510	0.466
sprint	sürat koşusu	0.549	0.649	0.528
sprite	peri	0.561	0.438	0.625
sprout	filiz	0.582	0.565	0.443
spruce	ladin	0.604	0.288	0.380
spud	çapalamak	0.403	0.423	0.349
spunk	cesaret	0.438	0.632	0.473
spunky	cesur	0.646	0.879	0.755
spur	mahmuz	0.378	0.545	0.340
spurious	sahte	0.178	0.480	0.343
spurred	mahmuzlu	0.562	0.684	0.472
spurt	hamle	0.448	0.550	0.475
spy	casus	0.260	0.686	0.530
squabble	hırgür	0.173	0.850	0.500
squad	takım	0.552	0.711	0.806
squadron	filo	0.469	0.686	0.787
squall	fırtına	0.191	0.833	0.655
squamous	pullu	0.344	0.446	0.418
squander	boşa harcama	0.240	0.755	0.529
square	kare	0.509	0.340	0.291
squash	kabak	0.531	0.667	0.410
squat	bodur	0.330	0.550	0.453
squatter	gecekonducu	0.390	0.361	0.565
squaw	zevce	0.428	0.441	0.398
squawk	şikâyet	0.265	0.480	0.245
squeak	gıcırtı	0.271	0.679	0.300
squeaky	gıcırtılı	0.229	0.771	0.367
squeal	ispiyon	0.250	0.731	0.375
squealer	muhbir	0.541	0.519	0.330
squeamish	alıngan	0.176	0.656	0.453
squeeze	sıkmak	0.458	0.676	0.532
squeezing	sıkma	0.260	0.598	0.557
squelch	çiğnemek	0.271	0.510	0.462
squid	kalamar	0.497	0.398	0.357
squint	şaşı	0.385	0.461	0.452
squire	bey	0.479	0.459	0.710
squirm	kıvırmak	0.235	0.824	0.373
squirrel	sincap	0.592	0.358	0.333
squirt	fışkırtma	0.406	0.460	0.255
squish	ezmek	0.260	0.788	0.481
squishy	squishy	0.516	0.333	0.307
stab	bıçaklama	0.167	0.882	0.595
stabbed	bıçaklandı	0.031	0.875	0.431
stability	istikrar	0.812	0.264	0.849
stabilize	dengelemek	0.839	0.427	0.722
stabilizer	stabilizatör	0.688	0.353	0.767
stable	kararlı	0.725	0.204	0.735
staccato	kesik kesik	0.396	0.500	0.427
stack	yığın	0.470	0.282	0.427
stadium	stadyum	0.635	0.679	0.611
staff	Personel	0.745	0.274	0.627
stag	erkeklere özel	0.594	0.250	0.389
stage	evre	0.592	0.306	0.473
stagecoach	posta arabası	0.516	0.519	0.627
stagehand	stagehand	0.420	0.684	0.555
stagger	sersemleme	0.531	0.620	0.458
staggering	sarsıcı	0.520	0.657	0.683
stagnant	durgun	0.300	0.500	0.208
stagnation	durgunluk	0.276	0.324	0.396
staid	vakur	0.385	0.290	0.634
stain	leke	0.453	0.324	0.264
stained	lekeli	0.245	0.460	0.209
stainless	paslanmaz	0.594	0.329	0.618
stair	basamak	0.375	0.354	0.345
staircase	merdiven	0.469	0.347	0.440
stairs	merdivenler	0.510	0.439	0.342
stairway	merdiven	0.562	0.510	0.407
stairwell	merdiven boşluğu	0.510	0.292	0.333
stake	kazık	0.406	0.608	0.460
stakeout	polis baskısı	0.344	0.546	0.600
stale	bayat	0.235	0.461	0.286
stalemate	çıkmaz	0.296	0.354	0.267
stalk	sap	0.436	0.272	0.395
stalker	Takipçisi	0.177	0.930	0.639
stall	ahır	0.370	0.245	0.292
stallion	aygır	0.628	0.596	0.779
stalls	tezgahları	0.582	0.378	0.451
stalwart	korkusuz	0.812	0.430	0.691
stamina	dayanma gücü	0.664	0.694	0.877
stamp	kaşe	0.438	0.327	0.441
stampede	izdiham	0.235	0.875	0.683
stance	duruş	0.604	0.333	0.609
stand	durmak	0.600	0.324	0.509
standard	standart	0.673	0.143	0.605
standardize	standartlaştırmak	0.684	0.353	0.729
standardized	standartlaştırılmış	0.610	0.324	0.607
standby	yanında olmak	0.260	0.224	0.386
standing	ayakta	0.604	0.317	0.425
standoff	soğukluk	0.333	0.840	0.558
standpoint	bakış açısı	0.585	0.388	0.652
standstill	duraklama	0.441	0.203	0.500
standup	ayağa kalk	0.633	0.583	0.550
stanza	dörtlük	0.612	0.343	0.297
staph	stafilokok	0.375	0.480	0.412
staple	Elyaf	0.542	0.306	0.438
stapler	zımba	0.370	0.264	0.394
star	star	0.833	0.418	0.560
star fruit	Yıldız meyvesi	0.701	0.433	0.427
starboard	sancak	0.531	0.388	0.558
starch	nişasta	0.507	0.354	0.312
stardom	yıldızlık	0.844	0.786	0.689
stardust	yıldız tozu	0.843	0.410	0.549
stare	bakıyorum	0.541	0.430	0.538
starfish	denizyıldızı	0.680	0.320	0.421
stargazing	alle	0.802	0.461	0.709
staring	bakmak	0.542	0.306	0.423
stark	sade	0.330	0.630	0.577
starlet	yıldızcık	0.806	0.471	0.587
starlight	yıldız ışığı	0.908	0.368	0.611
starling	sığırcık	0.500	0.490	0.514
starry	yıldızlı	0.438	0.643	0.434
stars	yıldızlar	0.796	0.521	0.484
starship	yıldızgemisi	0.740	0.719	0.704
start	başla	0.684	0.430	0.589
starter	marş	0.667	0.461	0.827
startle	korkutmak	0.276	0.817	0.417
startled	ürküttü	0.333	0.865	0.526
startling	şaşırtıcı	0.750	0.768	0.830
starvation	açlık	0.240	0.592	0.284
starve	açlıktan öldürmek	0.073	0.729	0.402
starved	açlıktan	0.097	0.689	0.219
starving	çok aç	0.163	0.670	0.336
stash	saklamak	0.344	0.630	0.361
stat	Stat	0.479	0.460	0.395
state	belirtmek, bildirmek	0.562	0.320	0.604
stately	görkemli	0.830	0.728	0.915
statement	Beyan	0.688	0.608	0.825
stateroom	özel vagon	0.653	0.380	0.441
stateside	Amerika'da	0.643	0.480	0.708
statesman	devlet adamı	0.510	0.490	0.736
static	statik	0.297	0.250	0.366
staticky	NO TRANSLATION	0.357	0.278	0.358
statics	statik	0.542	0.290	0.527
station	istasyon	0.688	0.367	0.519
stationary	sabit	0.408	0.240	0.484
stationery	Kırtasiye	0.570	0.120	0.455
statistic	istatistik	0.508	0.420	0.609
statistical	istatistiksel	0.714	0.353	0.627
statistician	istatistikçi	0.571	0.360	0.703
stator	stator	0.281	0.453	0.557
statuary	heykel	0.561	0.281	0.500
statue	heykel	0.542	0.153	0.570
statuette	heykelcik	0.677	0.433	0.518
stature	boy	0.470	0.353	0.664
status	durum	0.658	0.377	0.588
statute	tüzük	0.592	0.330	0.673
statutory	yasal	0.510	0.376	0.539
staunch	sadık	0.480	0.363	0.833
stave	çıta	0.417	0.333	0.424
stay	kalmak	0.604	0.275	0.516
stayaway	NO TRANSLATION	0.369	0.284	0.526
stayed	kaldı	0.497	0.270	0.395
stays	kalır	0.633	0.363	0.564
stead	başkasının yeri	0.551	0.214	0.510
steadfast	kararlı	0.771	0.433	0.800
steady	istikrarlı	0.680	0.186	0.763
steak	Biftek	0.625	0.359	0.315
steakhouse	biftekçi	0.802	0.379	0.547
steal	çalmak	0.021	0.856	0.528
stealing	çalma	0.086	0.913	0.455
stealth	gizlilik	0.520	0.270	0.452
stealthily	sinsice	0.763	0.294	0.458
stealthy	gizli	0.380	0.363	0.534
steam	buhar	0.469	0.413	0.421
steamboat	vapur	0.708	0.500	0.633
steamer	vapur	0.510	0.442	0.528
steaming	buharlama	0.592	0.553	0.402
steamroller	zorla elde etmek	0.396	0.567	0.667
steamship	vapur	0.469	0.490	0.569
steamy	buharlı	0.479	0.538	0.445
steel	çelik	0.521	0.420	0.714
steep	dik	0.312	0.612	0.321
steeple	çan kulesi	0.625	0.519	0.500
steer	yönlendirmek	0.469	0.490	0.527
steering	yönetim	0.580	0.431	0.660
stellar	yıldız gibi	0.796	0.580	0.769
stem	kök	0.615	0.191	0.336
stench	pis koku	0.104	0.570	0.298
stencil	şablon	0.500	0.327	0.421
stenographer	stenograf	0.510	0.408	0.589
step	adım	0.531	0.321	0.347
stepdaughter	üvey kız	0.510	0.510	0.432
stepfather	üvey baba	0.396	0.491	0.611
stepmother	üvey anne	0.427	0.530	0.484
steppe	bozkır	0.427	0.321	0.379
steps	adımlar	0.511	0.349	0.373
stepson	üvey oğul	0.614	0.406	0.480
stereo	müzik seti	0.617	0.519	0.500
stereoscopic	stereoskopik	0.363	0.417	0.574
stereotype	klişe	0.151	0.422	0.612
stereotyped	klişeleşmiş	0.375	0.510	0.436
sterile	steril	0.302	0.471	0.291
sterility	kısırlık	0.201	0.519	0.414
sterilize	sterilize etmek	0.406	0.510	0.520
sterling	som	0.529	0.481	0.615
stern	kıç	0.552	0.394	0.415
sternum	göğüs kemiği	0.520	0.422	0.436
steroid	steroid	0.360	0.706	0.681
stethoscope	stetoskop	0.427	0.377	0.490
stew	Güveç	0.667	0.373	0.250
steward	kamarot	0.633	0.238	0.550
stewardess	hostes	0.625	0.491	0.491
stewardship	idare	0.551	0.440	0.617
stfu	stfu	0.292	0.500	0.390
stick	Çubuk	0.396	0.364	0.382
sticker	etiket	0.583	0.306	0.346
sticking	yapışkan	0.486	0.425	0.356
stickler	inatçı	0.385	0.471	0.417
stickup	soymak	0.453	0.537	0.434
sticky	yapışkan	0.385	0.569	0.292
stiff	katı	0.158	0.459	0.569
stiffen	pekiştirmek	0.360	0.582	0.719
stiffness	sertlik	0.323	0.500	0.657
stifle	bastırmak	0.240	0.764	0.427
stifled	stifled	0.229	0.731	0.193
stifling	boğucu	0.163	0.858	0.608
stigma	leke	0.327	0.500	0.470
stile	NO TRANSLATION	0.750	0.359	0.691
stiletto	kama	0.396	0.430	0.427
stillbirth	ölü doğum	0.092	0.809	0.291
stillborn	ölü doğmuş	0.271	0.519	0.337
stillness	durgunluk	0.729	0.125	0.339
stillwaiting	NO TRANSLATION	0.344	0.393	0.420
stilts	tahta bacakları	0.439	0.577	0.300
stimulant	uyarıcı	0.441	0.794	0.745
stimulate	canlandırmak	0.792	0.798	0.754
stimulating	uyarıcı	0.740	0.804	0.809
stimulation	uyarım	0.708	0.821	0.702
stimulus	uyarıcı	0.771	0.779	0.750
sting	acı	0.163	0.651	0.373
stinger	ısırgan otu	0.279	0.625	0.508
stinging	sızlatan	0.260	0.730	0.459
stingy	paragöz	0.094	0.548	0.283
stink	pis koku	0.042	0.481	0.180
stinker	gıcık	0.163	0.567	0.275
stinking	pis kokulu	0.041	0.657	0.264
stinky	kokmuş	0.092	0.558	0.176
stint	görev	0.490	0.326	0.342
stipend	ücret	0.604	0.546	0.614
stipulate	şart koşmak	0.570	0.546	0.623
stipulation	şart	0.469	0.622	0.654
stir	karıştırma	0.448	0.773	0.453
stirring	karıştırma	0.582	0.702	0.558
stitch	dikiş	0.306	0.538	0.357
stitching	dikiş	0.510	0.382	0.345
stock	Stok	0.594	0.418	0.407
stockade	şarampol	0.375	0.402	0.500
stockbroker	borsa simsarı	0.417	0.676	0.802
stockholder	hissedar	0.573	0.625	0.716
stocking	çorap	0.594	0.324	0.688
stockings	çorap	0.458	0.365	0.382
stockpile	stoklamak	0.542	0.315	0.425
stockroom	stockroom	0.562	0.312	0.406
stocks	hisse senetleri	0.573	0.598	0.586
stoic	acılara katlanan	0.427	0.473	0.602
stole	çaldı	0.135	0.760	0.384
stolen	çalıntı	0.156	0.646	0.308
stomach	mide	0.367	0.402	0.438
stomachache	karın ağrısı	0.030	0.745	0.316
stomp	basmak	0.365	0.565	0.438
stomped	stomped	0.229	0.684	0.406
stone	taş	0.216	0.183	0.561
stoned	sarhoş	0.177	0.796	0.375
stonewall	taş duvar	0.337	0.457	0.655
stoneware	kumlu taştan kap	0.458	0.300	0.443
stony	taşlı	0.356	0.494	0.525
stooge	yardakçı	0.438	0.406	0.163
stool	dışkı	0.448	0.269	0.302
stools	tabureler	0.459	0.382	0.327
stoop	eğilmek	0.490	0.430	0.284
stoopid	stoopid	0.280	0.431	0.382
stop	durdurmak	0.280	0.510	0.490
stopover	mola	0.531	0.327	0.575
stoppage	peklik	0.224	0.491	0.445
stopper	durdurucu	0.365	0.336	0.390
stopping	Durduruluyor	0.388	0.382	0.473
stopwatch	kronometre	0.469	0.521	0.482
storage	depolama	0.698	0.406	0.564
store	mağaza	0.646	0.538	0.407
storefront	Vitrin	0.580	0.217	0.457
storehouse	ambar	0.570	0.250	0.491
storeroom	depo	0.560	0.217	0.588
storing	depolanması	0.630	0.378	0.548
storm	fırtına	0.188	0.940	0.543
storming	fırtınası	0.265	0.910	0.669
stormy	fırtınalı	0.146	0.870	0.562
story	Öykü	0.653	0.406	0.704
storybook	hikaye kitabı	0.854	0.306	0.383
storyteller	öykücü	0.730	0.357	0.462
storytelling	hikaye anlatımı	0.643	0.375	0.472
stound	NO TRANSLATION	0.490	0.473	0.446
stout	sağlam	0.656	0.657	0.817
stove	soba, fırın, ocak	0.466	0.391	0.405
stow	istif etmek	0.615	0.365	0.523
stowaway	kaçak yolcu	0.224	0.481	0.357
straddle	apışıp kalmak	0.306	0.550	0.444
straight	Düz	0.667	0.298	0.669
straighten	düzleştirmek	0.677	0.500	0.685
straightforward	basit	0.780	0.150	0.380
straightway	straightway	0.667	0.444	0.565
strain	Gerginlik	0.190	0.750	0.380
strained	gergin	0.122	0.656	0.580
strait	boğaz	0.438	0.433	0.412
straitjacket	deli gömleği	0.224	0.719	0.579
straits	boğazlar	0.408	0.269	0.410
strand	iplik	0.396	0.406	0.538
stranded	mahsur	0.292	0.459	0.219
strange	garip	0.314	0.663	0.395
stranger	yabancı	0.330	0.449	0.302
strangle	boğmak	0.094	0.927	0.527
strangulation	boğma	0.040	0.886	0.542
strap	kayış	0.380	0.417	0.382
strapless	askısız	0.314	0.462	0.273
strapping	bant	0.552	0.413	0.454
strata	Strata	0.500	0.457	0.411
strategic	stratejik	0.786	0.708	0.861
strategist	stratejist	0.571	0.594	0.810
strategy	strateji	0.704	0.667	0.858
stratification	katmanlaşma	0.531	0.490	0.651
stratosphere	stratosfer	0.604	0.583	0.636
stratum	tabaka	0.365	0.307	0.510
stratus	stratus	0.448	0.520	0.509
straw	Saman	0.480	0.290	0.163
strawberry	çilek	0.833	0.270	0.336
stray	başıboş	0.133	0.760	0.281
streak	meç	0.440	0.608	0.511
streaked	damarlı	0.458	0.426	0.393
stream	Akış	0.449	0.537	0.559
streamer	flama	0.615	0.530	0.429
streaming	yayın Akışı	0.592	0.481	0.582
streamline	kolaylaştırmak	0.656	0.573	0.618
street	sokak	0.594	0.324	0.398
streetcar	tramvay	0.390	0.569	0.566
streetlight	sokak lambası	0.673	0.268	0.390
strength	kuvvet	0.802	0.682	0.858
strengthen	güçlendirmek	0.802	0.796	0.971
strengthening	güçlendirme	0.913	0.627	0.945
strenuous	yorucu	0.104	0.660	0.481
strep	strep	0.365	0.594	0.353
stress	stres	0.173	0.843	0.317
stressed	stresli	0.167	0.740	0.502
stresses	gerilmeler	0.115	0.817	0.396
stressfree	NO TRANSLATION	0.833	0.080	0.528
stressful	stresli	0.153	0.873	0.389
stressin	NO TRANSLATION	0.146	0.810	0.367
stressing	vurgulayarak	0.163	0.866	0.462
stressrelief	NO TRANSLATION	0.627	0.417	0.475
stretch	Uzatmak	0.604	0.578	0.500
stretcher	sedye	0.438	0.196	0.295
stricken	muzdârip	0.163	0.720	0.368
strict	sıkı	0.500	0.646	0.878
stride	uzun adımlarla yürümek	0.490	0.670	0.434
strife	kavga	0.344	0.898	0.630
strike	vuruş	0.271	0.811	0.571
strikeout	çizili	0.316	0.520	0.371
striker	forvet	0.500	0.589	0.696
striking	dikkat çekici	0.357	0.827	0.657
strikingly	çarpıcı	0.690	0.684	0.811
string	sicim	0.385	0.398	0.445
strings	Teller	0.457	0.292	0.355
stringy	lifli	0.430	0.510	0.527
strip	şerit	0.427	0.500	0.436
stripe	şerit	0.629	0.302	0.361
striped	çizgili	0.344	0.373	0.385
stripped	sıyrılmıştır	0.255	0.615	0.278
stripper	striptizci	0.625	0.848	0.453
striptease	striptiz	0.607	0.918	0.608
strive	çabalamak	0.582	0.837	0.769
strobe	stroboskop	0.490	0.633	0.537
stroke	inme	0.562	0.440	0.570
stroll	gezinti	0.745	0.415	0.444
stroller	bebek arabası	0.786	0.398	0.314
strolling	gezinme	0.755	0.515	0.340
strong	kuvvetli	0.912	0.745	0.895
stronghold	kale	0.708	0.636	0.954
strongly	şiddetle	0.630	0.817	0.885
structural	yapısal	0.582	0.425	0.690
structure	yapı	0.562	0.356	0.712
strudel	turta	0.627	0.417	0.397
struggle	mücadele	0.365	0.820	0.741
strut	payanda	0.580	0.480	0.464
stub	koçan	0.396	0.320	0.367
stubbed	stubbed	0.323	0.642	0.241
stubble	anız	0.333	0.442	0.264
stubborn	inatçı	0.157	0.702	0.575
stubbornness	inatçılık	0.156	0.673	0.508
stubby	güdük	0.417	0.370	0.393
stucco	sıva	0.439	0.292	0.279
stuck	sıkışmış	0.153	0.644	0.285
stuckup	NO TRANSLATION	0.281	0.480	0.363
stud	damızlık	0.564	0.531	0.509
studded	çivili	0.396	0.412	0.425
student	Öğrenci	0.634	0.318	0.537
studied	okudu	0.786	0.306	0.806
studio	stüdyo	0.677	0.265	0.620
study	ders çalışma	0.653	0.361	0.768
stuff	şey	0.622	0.367	0.263
stuffed animal	doldurulmuş hayvan	0.684	0.255	0.306
stuffing	İstifleme	0.417	0.324	0.304
stuffy	havasız	0.323	0.615	0.406
stumble	yanılmak	0.153	0.716	0.259
stump	kütük	0.449	0.510	0.340
stumped	stumped	0.344	0.604	0.392
stun	sersemletmek	0.333	0.710	0.451
stunned	hayrete	0.306	0.663	0.356
stunner	afet	0.418	0.780	0.492
stunning	çarpıcı	0.888	0.673	0.858
stunt	hüner	0.387	0.555	0.526
stunted	bodur	0.194	0.472	0.275
stuntman	dublör	0.490	0.482	0.500
stupefaction	şaşalama	0.294	0.704	0.480
stupefy	şaşırtmak	0.200	0.740	0.412
stupendous	muazzam	0.823	0.690	0.798
stupid	aptal	0.133	0.510	0.200
stupidity	aptallık	0.060	0.418	0.151
stupidpeople	NO TRANSLATION	0.073	0.675	0.196
stupidrain	NO TRANSLATION	0.260	0.520	0.317
stupor	sersemlik	0.323	0.590	0.330
sturdy	sağlam	0.580	0.642	0.824
sturgeon	mersin balığı	0.417	0.473	0.465
stutter	gevelemek	0.250	0.469	0.258
sty	arpacık	0.296	0.500	0.225
style	stil	0.745	0.472	0.586
styling	stil	0.823	0.378	0.652
stylish	şık	0.885	0.490	0.689
stylist	stilist	0.760	0.445	0.500
suave	tatlı	0.724	0.265	0.269
sub	alt	0.510	0.370	0.312
subatomic	atomaltı	0.385	0.538	0.491
subcommittee	alt komite	0.396	0.467	0.600
subconscious	bilinçaltı	0.531	0.375	0.415
subcutaneous	derialtı	0.396	0.444	0.376
subdivide	bir kez daha bölmek	0.538	0.433	0.348
subdivision	altbölüm	0.592	0.455	0.430
subduction	yitim	0.350	0.569	0.445
subdue	boyun eğdirmek	0.275	0.640	0.784
subdued	bastırılmış	0.236	0.463	0.223
subdural	subdural	0.381	0.491	0.425
subito	NO TRANSLATION	0.372	0.627	0.577
subject	konu	0.602	0.344	0.558
subjected	tabi	0.286	0.520	0.221
subjection	boyun eğme	0.354	0.408	0.539
subjective	öznel	0.510	0.350	0.432
subjugation	boyun eğdirme	0.280	0.610	0.377
sublet	devren kiraya vermek	0.469	0.551	0.545
sublevel	alt düzey	0.365	0.298	0.333
sublimation	yüceltme	0.510	0.390	0.538
sublime	yüce	0.784	0.333	0.585
subliminal	bilinçaltı	0.410	0.528	0.464
submarine	denizaltı	0.572	0.481	0.549
submerge	batırmak	0.517	0.643	0.456
submerged	batık	0.337	0.528	0.357
submersible	denizaltı	0.406	0.459	0.540
submission	boyun eğme	0.531	0.580	0.633
submissive	itaatkâr	0.480	0.217	0.173
submit	Gönder	0.635	0.448	0.500
submitting	göndererek	0.667	0.610	0.611
subordinate	ast	0.276	0.392	0.121
subordination	itaat	0.270	0.527	0.343
subplot	subplot	0.469	0.413	0.446
subpoena	mahkeme çağrısı	0.281	0.634	0.555
subscribe	abone ol	0.660	0.344	0.591
subscriber	abone	0.562	0.398	0.570
subscription	abone	0.583	0.333	0.651
subsequence	altdizi	0.438	0.510	0.413
subsequent	sonraki	0.449	0.385	0.400
subsequently	sonradan	0.380	0.337	0.336
subservient	itaat eden	0.255	0.402	0.339
subset	alt küme	0.429	0.358	0.404
subside	çökmek	0.375	0.308	0.209
subsidence	çökme	0.320	0.509	0.452
subsidiary	bağlı	0.541	0.295	0.500
subsidize	sübvanse	0.604	0.615	0.589
subsidy	sübvansiyon	0.573	0.462	0.517
subsist	geçindirmek	0.573	0.418	0.472
subsistence	geçim	0.510	0.404	0.491
subsoil	toprakaltı	0.429	0.240	0.382
subspace	Alt uzay	0.470	0.453	0.475
substance	madde	0.615	0.422	0.528
substandard	standartların altında	0.235	0.333	0.150
substantial	önemli	0.590	0.490	0.690
substantially	esasen	0.646	0.471	0.684
substantiate	kanıtlamak	0.531	0.549	0.636
substantive	asli	0.500	0.350	0.455
substation	şube	0.469	0.461	0.491
substitute	vekil	0.427	0.406	0.398
substituted	ikame edilmiş	0.271	0.545	0.394
substitution	ikame	0.406	0.480	0.353
substructure	altyapı	0.441	0.358	0.587
subterranean	yeraltı	0.469	0.306	0.432
subtext	subtext	0.635	0.276	0.412
subtitle	alt yazı	0.445	0.202	0.347
subtle	ince	0.708	0.167	0.228
subtlety	incelik	0.615	0.176	0.363
subtract	çıkarmak	0.208	0.330	0.283
