Word	Myanmar (Burmese)-my	Valence	Arousal	Dominance
tangible	မြင်သာထင်	0.646	0.350	0.679
tangle	ရှုပ်ထွေး	0.354	0.545	0.254
tangled	ညိတွယ်	0.260	0.539	0.316
tango	Tango	0.622	0.560	0.430
tank	ကန်	0.431	0.454	0.634
tank top	အကြံပေးအဖွဲ့ထိပ်တန်း	0.610	0.371	0.371
tanker	ရေနံတင်သငေ်္ဘာ	0.520	0.647	0.713
tanned	tanned	0.615	0.550	0.491
tantalizing	tantalizing	0.525	0.788	0.625
tantamount	သဘောမသက်ရောက်	0.633	0.288	0.670
tantrum	ဝုန်းဒိုင်းကြဲ	0.219	0.817	0.404
taoism	taoism	0.490	0.250	0.456
tap	ကိုထိပုတ်ပါ	0.461	0.370	0.349
tape	တိပ်ခွေ	0.531	0.277	0.254
tape measure	တိပ်ခွေကိုအတိုင်းအရှည်	0.406	0.250	0.360
taper	taper	0.541	0.410	0.415
tapering	tapering	0.344	0.380	0.237
tapestry	၎င်းပြင်ဆင်	0.520	0.176	0.362
tapeworm	tapeworm	0.357	0.334	0.331
tapioca	အုံး	0.594	0.297	0.324
taps	ဘုံဘိုင်	0.448	0.378	0.409
tar	ထင်းရူးဆီ	0.438	0.440	0.570
tarantula	တာရန်တူလာကောင်	0.260	0.718	0.544
tardiness	ဖင်	0.296	0.452	0.260
tardy	ဖင်	0.204	0.592	0.293
target	ပစ်မှတ်	0.633	0.573	0.798
targeted	ပစ်မှတ်ထား	0.573	0.537	0.573
targeting	ပစ်မှတ်ထား	0.510	0.420	0.580
tariff	အကောက်နှုန်းစာရင်း	0.459	0.402	0.491
tarmac	ချဌာနရှိရာကို	0.357	0.302	0.398
tarnish	မဖြစ်နိုင်	0.204	0.441	0.342
tarot	tarot	0.479	0.422	0.430
tarp	NO TRANSLATION	0.479	0.210	0.364
tarry	ငံ့လင့်ကြလော့	0.392	0.413	0.388
tart	ဌာပနာမု	0.719	0.380	0.219
tartan	တာ	0.448	0.423	0.389
tartar	ပေးပြီးသွားကျောက်တည်ခြင်း	0.214	0.351	0.212
task	လုပ်ငန်း	0.550	0.353	0.500
tassel	ပနျးပှားကိုတို့	0.552	0.330	0.307
taste	အရသာ	0.802	0.406	0.465
tasteful	အရသာကောင်းသော	0.918	0.458	0.625
tasteless	အရသာမရှိသော	0.146	0.196	0.148
tasting	မြည်းစမ်း	0.781	0.603	0.600
tasty	အရသာကောင်းသော	0.959	0.786	0.555
tat	Tat	0.429	0.380	0.404
tattler	tattler	0.417	0.530	0.434
tattletale	tattletale	0.633	0.406	0.317
tattoo	ထိုးကွင်းထိုး	0.490	0.602	0.525
taught	ဆုံးမဩဝါဒပေး	0.814	0.481	0.642
taunt	ကဲ့ရဲ့	0.083	0.696	0.355
taupe	taupe	0.406	0.340	0.386
taut	taut	0.432	0.704	0.457
tavern	သက်သေမပေါ်	0.516	0.577	0.475
tawdry	tawdry	0.375	0.510	0.398
tawny	tawny	0.551	0.398	0.400
tax	အခွန်	0.260	0.481	0.534
taxed	အခွန်ကောက်	0.255	0.456	0.500
taxi	အငှါးကား	0.542	0.362	0.430
taxicab	တခါတရံအငှားကားမောင်း	0.479	0.430	0.355
taxonomy	taxonomy	0.370	0.410	0.630
taxpayer	အခွန်ထမ်း	0.592	0.528	0.647
tea	လက်ဖက်ရည်	0.698	0.163	0.370
teach	သင်ပေး	0.840	0.510	0.852
teacher	ဆရာမ	0.760	0.404	0.885
teaching	ဆုံးမဩဝါဒပေးခြင်း	0.822	0.444	0.736
teacup	teacup	0.633	0.135	0.277
teahouse	teahouse	0.802	0.314	0.288
teal	စိမ်းပြာရောင်	0.540	0.293	0.321
team	အသင်းအဖွဲ့	0.708	0.461	0.688
teamjesus	NO TRANSLATION	0.673	0.453	0.536
teammate	အသင်းဖော်	0.865	0.449	0.660
teamwork	ပူးပေါင်းဆောင်ရွက်ခြင်း	0.918	0.490	0.773
teapot	teapot	0.479	0.110	0.309
tear	မျက်ရည်	0.404	0.620	0.327
tearful	မျက်ရည်တွေကျရင်းငိုသံ	0.208	0.500	0.184
tearsofjoy	NO TRANSLATION	0.926	0.740	0.455
teary	မျက်ရည်စ	0.167	0.473	0.216
tease	ကျီစား	0.317	0.790	0.432
teaser	ကြော်ငြာအတို	0.510	0.558	0.534
teasing	လှော	0.235	0.725	0.352
teaspoon	လက်ဖက်ရည်ဇွန်း	0.521	0.330	0.221
teat	နို့တံ	0.612	0.469	0.328
teatime	လက်ဖက်ရည်သောက်ချိန်	0.847	0.159	0.339
tech	နည်းပညာ	0.684	0.491	0.732
technical	စက်မှုလက်မှု	0.510	0.490	0.736
technicality	အပွငျပုံမှဖြွစျသောအရာ	0.632	0.471	0.661
technician	ကျွမ်းကျင်သူ	0.592	0.510	0.713
technique	စက်မှုပညာ	0.760	0.414	0.593
techno	techno	0.561	0.539	0.500
technological	နည်းပညာ	0.680	0.452	0.815
technology	နည်းပညာ	0.776	0.490	0.825
ted	TED	0.712	0.453	0.336
teddy bear	ဝက်ဝံရုပ်	0.890	0.170	0.192
tedious	ငွီးငှေ့ဖှယျ	0.104	0.406	0.241
tedium	tedium	0.224	0.331	0.298
tee	Tee	0.459	0.373	0.377
teeming	teeming	0.582	0.550	0.727
teen	ဆယ်ကျော်သက်	0.729	0.531	0.568
teenage	ဆယ်ကျော်သက်	0.667	0.673	0.558
teenager	အပျိုပေါက်	0.781	0.593	0.527
teens	ဆယ်ကျော်သက်	0.653	0.660	0.440
teensy	teensy	0.520	0.427	0.347
teeny	teeny	0.427	0.418	0.216
teeth	အံသွား	0.520	0.388	0.427
teething	teething	0.396	0.471	0.474
teflon	teflon	0.354	0.245	0.434
telegram	ကွေးနနျးစာ	0.561	0.542	0.550
telegraph	ကွေးနနျးစကျ	0.594	0.423	0.400
telekinesis	telekinesis	0.582	0.646	0.667
telemetry	ပေးပို့စနစ်များ	0.460	0.382	0.611
telepathic	telepathic	0.602	0.490	0.642
telepathy	telepathy	0.594	0.510	0.588
telephone	တယ်လီဖုန်း	0.694	0.520	0.425
telescope	အဝေးကွညျ့မှနျပွောငျး	0.531	0.340	0.500
telescopic	အဝေးကွညျ့မှနျပွောငျး	0.490	0.290	0.660
telethon	telethon	0.643	0.641	0.473
teletype	teletype	0.532	0.392	0.455
televised	ရုပ်မြင်သံကြားကနေ	0.625	0.519	0.518
television	ရုပ်မြင်သံကြား	0.633	0.391	0.547
tell	ပွောဆို	0.551	0.350	0.457
teller	Teller	0.500	0.395	0.443
telling	ပြောပြ	0.719	0.441	0.527
telltale	တွေ့ခဲ့ရဘူး	0.240	0.663	0.426
temp	အပူချိန်	0.490	0.440	0.314
temper	သဘောထား	0.633	0.623	0.818
tempera	စိတ်ထား	0.458	0.318	0.245
temperament	စိတ်ထား	0.420	0.625	0.703
temperamental	စိတ်ပါသော	0.316	0.774	0.608
temperance	ကာမဂုဏ်ချုပ်တည်း	0.500	0.294	0.639
temperate	သမ	0.469	0.394	0.593
temperature	အပူအအေး	0.521	0.559	0.473
tempered	စိတ်တို	0.583	0.437	0.667
tempest	မိုဃ်းသက်မုန်တိုင်း	0.245	0.843	0.653
template	template ကို	0.479	0.311	0.411
temple	ဗိမာနျ	0.612	0.269	0.660
tempo	NO TRANSLATION	0.582	0.337	0.500
temporal	ယာယီ	0.500	0.413	0.360
temporarily	ယာယီ	0.500	0.365	0.373
temporary	ယာယီ	0.458	0.415	0.324
tempt	သှေးဆောငျ	0.210	0.677	0.500
temptation	သှေးဆောငျခွငျး	0.365	0.817	0.560
tempting	နှစ်လိုဘွယ်သော	0.615	0.740	0.519
temptress	temptress	0.427	0.787	0.667
ten	တကျိပ်	0.562	0.260	0.406
tenable	tenable	0.741	0.412	0.636
tenacious	tenacious	0.724	0.658	0.692
tenacity	ဇွဲ	0.740	0.657	0.889
tenancy	အိမ်ငှား	0.500	0.458	0.605
tenant	အိမ်ငှါး	0.385	0.360	0.398
tend	လေ့	0.604	0.398	0.412
tendency	လိုက်ပါခြင်း	0.684	0.500	0.675
tender	နူးညံ့သော	0.630	0.520	0.509
tenderfoot	tenderfoot	0.469	0.421	0.438
tenderness	နူးညံ့ကြင်နာမှု	0.949	0.276	0.367
tending	ထိန်း	0.622	0.556	0.594
tendon	ကွှကျသားကွော	0.341	0.271	0.463
tenement	tenement	0.470	0.384	0.550
tenet	သဘောတရား	0.667	0.333	0.636
tenets	သဘောတရား	0.734	0.357	0.667
tenfold	ဆမျှ	0.469	0.418	0.500
tennis	တင်းနစ်	0.622	0.519	0.431
tenor	tenor	0.587	0.451	0.500
tense	ကာလ	0.396	0.439	0.655
tensile	ဆန့	0.458	0.510	0.618
tension	တင်းမာမှု	0.304	0.810	0.529
tent	တဲကို	0.510	0.275	0.333
tentacle	tentacle	0.370	0.559	0.398
tentative	စမ်းရန်ဖြစ်သော	0.582	0.657	0.534
tenth	ဒသမ	0.510	0.349	0.382
tenths	ဩမဲ	0.406	0.294	0.284
tenuous	လောကမှာ	0.398	0.263	0.276
tenure	ရာထူးသက်တမ်း	0.615	0.472	0.611
tepee	tepee	0.500	0.337	0.373
tepid	tepid	0.337	0.327	0.237
tequila	Tequila	0.612	0.710	0.536
teriyaki	teriyaki	0.646	0.449	0.431
term	သက်တမ်း	0.450	0.255	0.598
terminal	ဂိတ်	0.316	0.434	0.483
terminate	အဆုံးသတ်	0.171	0.410	0.441
termination	အဆုံး	0.344	0.472	0.545
terminator	Terminator	0.370	0.663	0.737
terminology	ဝေါဟာရကထာ	0.612	0.284	0.566
terminus	terminus	0.281	0.382	0.615
termite	ခြကောင်	0.265	0.480	0.408
terms	အသုံးအနှုန်းများ	0.490	0.362	0.645
tern	tern	0.573	0.365	0.309
ternary	ternary	0.550	0.406	0.480
terrace	ဝရန်ထာ	0.615	0.269	0.411
terrain	နယျမွေ	0.540	0.300	0.472
terrestrial	မြေပြင်	0.542	0.413	0.582
terrible	ကြောက်မက်ဘွယ်သော	0.061	0.849	0.604
terribly	ကွောကျလနျ့စှာ	0.061	0.731	0.430
terrier	တယ်ရီယာခွေး	0.562	0.540	0.431
terrific	ကွောကျဘှယျသော	0.859	0.650	0.821
terrified	ကြောက်လန့်	0.090	0.902	0.387
terrifies	ကြောက်စရာ	0.083	0.923	0.500
terrify	ခွောကျလှနျ့	0.052	0.889	0.509
terrifying	ခွောကျတတျသော	0.031	0.836	0.602
territorial	နယ်မြေ	0.405	0.600	0.766
territory	နယ်မြေ	0.625	0.469	0.676
terror	ကြောက်မက်ဘွယ်သောအ	0.069	0.902	0.415
terrorism	အကြမ်းဘက်ဝါဒ	0.060	0.971	0.673
terrorist	အကြမ်းဖက်	0.019	0.930	0.679
terrorists	အကြမ်းဖက်သမားတွေ	0.062	0.967	0.688
terrorize	ခွောကျလှနျ့	0.041	0.907	0.577
terse	terse	0.542	0.393	0.409
tertiary	ကောလိပ်, တက္ကသိုလ်	0.500	0.350	0.431
test	စမ်းသပ်	0.449	0.500	0.509
testament	သေတမ်းစာ	0.594	0.420	0.806
testicle	ဂှေးစေ့	0.458	0.651	0.410
testicular	testicular	0.388	0.680	0.453
testify	သက်သေခံ	0.521	0.650	0.741
testimonial	ထောက်ခံစာ	0.541	0.538	0.750
testimony	သက်သေခံချက်	0.615	0.578	0.643
testosterone	testosterone ဟော်မုန်း	0.573	0.840	0.775
testy	NO TRANSLATION	0.135	0.640	0.357
tetanus	မေးခိုင်ရောဂါ	0.133	0.577	0.368
tether	လံကြိုး	0.323	0.620	0.407
tethered	လံကြိုး	0.260	0.472	0.351
tetrahedral	tetrahedral	0.595	0.468	0.423
text	စာသားမ	0.604	0.157	0.402
textbook	ကြောငျးစာအုပျ	0.622	0.235	0.526
textile	အထည်အလိပ်	0.604	0.235	0.395
textural	ယက်သား	0.660	0.296	0.445
texture	ယက်သား	0.615	0.215	0.412
tgif	tgif	0.542	0.471	0.436
thank	ကြေးဇူးတငျ	0.958	0.353	0.526
thankful	ကျေးဇူးတင်	0.969	0.344	0.714
thankgod	ဘုရားသခင်ကျေးဇူးကြောင့်	0.823	0.451	0.466
thanking	ကျေးဇူးတင်ပါသည်	0.917	0.538	0.658
thankless	ကြေးဇူးမတငျသော	0.146	0.500	0.497
thanks	ကြေးဇူးတငျစကား	0.918	0.472	0.461
thanksalot	NO TRANSLATION	0.908	0.428	0.525
thanksgiving	ကျေးဇူးတော်ကိုချီးမွမ်းခြင်း	0.927	0.449	0.637
thankyougod	NO TRANSLATION	0.900	0.446	0.651
thankyoujesus	NO TRANSLATION	0.878	0.406	0.604
thankyoulord	NO TRANSLATION	0.809	0.388	0.466
thatch	သက်ကယ်	0.337	0.245	0.161
thatmoment	NO TRANSLATION	0.667	0.389	0.340
thaumaturgy	thaumaturgy	0.510	0.546	0.618
thaw	အရညျပျြော	0.438	0.321	0.327
theater	ပြဇာတ်ရုံ	0.760	0.635	0.516
theatrical	ပြဇာတ်	0.720	0.690	0.546
theatrics	ပြဇာတ်	0.694	0.539	0.486
thebest	အကောင်းဆုံး	0.760	0.596	0.719
theft	ခိုးမှု	0.135	0.867	0.394
theism	theism	0.460	0.431	0.481
theistic	theistic	0.397	0.365	0.509
thelife	thelife	0.688	0.566	0.629
thelittlethings	NO TRANSLATION	0.571	0.240	0.324
theme	အကွောငျး	0.541	0.176	0.427
theocracy	သီအိုကရေစီ	0.490	0.427	0.722
theocratic	သီအို	0.380	0.480	0.605
theologian	ဓမ္မပညာရှင်	0.521	0.304	0.759
theological	ဘာသာရေး	0.480	0.363	0.683
theology	ဓမ္မပညာ	0.448	0.330	0.711
theorem	theorem	0.500	0.296	0.615
theoretical	သီအိုရီ	0.615	0.270	0.546
theory	သဘောတရား	0.583	0.314	0.529
therapeutic	ကုထုံး	0.625	0.275	0.680
therapeutics	ဟော်မုန်း	0.552	0.343	0.625
therapist	ကုထုံး	0.468	0.430	0.679
therapy	ဆေးဝါးကုသခြင်းပညာ	0.490	0.353	0.607
thereabouts	thereabouts	0.427	0.365	0.285
thereof	၎င်း	0.542	0.265	0.281
therewith	လိုက်.	0.462	0.317	0.398
thermal	အပူ	0.480	0.360	0.509
thermocouple	ဒါး	0.406	0.406	0.422
thermodynamics	အပူစွမ်းအင်သိပ္ပံဘာသာရပ်	0.510	0.594	0.678
thermometer	ပွဒါးတိုငျ	0.400	0.327	0.473
thermos	thermos	0.582	0.255	0.328
thermostat	အပူထိန်းကိရိယာ	0.439	0.480	0.321
thesaurus	thesaurus	0.520	0.480	0.509
thesis	စစ်တမ်း	0.583	0.582	0.552
thick	ထူသော	0.449	0.433	0.596
thicken	ထူ	0.406	0.398	0.509
thickening	thickened	0.448	0.355	0.434
thicket	ချုံဖုတ်	0.385	0.373	0.324
thickness	အထူ	0.552	0.370	0.443
thief	သူခိုး	0.088	0.888	0.443
thigh	ပေါင်	0.469	0.433	0.588
thimble	အပ်ချုပ်လက်စွပ်	0.490	0.192	0.218
thin	ပါးသော	0.469	0.337	0.356
thing	အရာ	0.449	0.222	0.260
things	အမှုအရာ	0.519	0.250	0.368
thingy	thingy	0.458	0.312	0.158
think	ထင်	0.786	0.408	0.618
thinker	တွေးခေါ်	0.706	0.386	0.764
thinking	စဉ်းစား	0.720	0.308	0.595
third	တတိယ	0.551	0.187	0.304
thirds	သုံးပုံနှစ်ပုံ	0.402	0.327	0.345
thirst	ငတ်ခြင်း	0.298	0.519	0.307
thirsty	ငတ်သော	0.281	0.660	0.310
thirteen	ဆယ့်သုံး	0.459	0.385	0.331
thirteenth	ဆယ်သုံး	0.408	0.330	0.425
thirty	သုံးဆယ်	0.562	0.349	0.316
thistle	ဆူးပင်	0.427	0.423	0.357
thither	ထိုအရပ်သို့	0.500	0.270	0.316
thong	Thong	0.467	0.596	0.269
thorn	ဆူး	0.296	0.541	0.427
thorny	ဆူး	0.177	0.690	0.500
thorough	စုံလင်သော	0.467	0.350	0.558
thoroughbred	အာဇာနည်	0.669	0.740	0.716
thoroughfare	thoroughfare	0.582	0.481	0.490
thought	စိတ်ထင်	0.780	0.315	0.571
thoughtful	စဉ်းစားဟန်	0.667	0.290	0.527
thoughtfulness	ရင်လည်း	0.867	0.269	0.667
thoughtless	မိုက်ရူးရဲပြုလုပ်သော	0.194	0.580	0.452
thoughts	အတှေးအ	0.745	0.382	0.691
thousand	တထောင်	0.663	0.355	0.480
thrash	အနိုင်ယူပြီးလက်ကျန်	0.260	0.510	0.472
thread	အပ်ချည်	0.646	0.184	0.209
threat	ခြိမ်းခြောက်မှု	0.135	0.865	0.667
threaten	ခြိမ်းခြောက်	0.104	0.958	0.590
threatened	ခြိမ်းခြောက်	0.052	0.928	0.354
threatening	ခြိမ်းခြောက်	0.071	0.875	0.652
three	သုံး	0.653	0.225	0.377
threefold	သုံးလှနျးတငျ	0.521	0.400	0.534
threesome	threesome	0.490	0.676	0.560
thresh	နယ်	0.490	0.417	0.500
threshold	တံခါးဝ	0.531	0.519	0.575
thrice	သုံးကြိမ်မြောက်အောင်	0.469	0.442	0.462
thrift	ခြိုးခြံချွေတာပါ	0.760	0.217	0.649
thrifty	စှဲခြှတော	0.604	0.380	0.676
thrill	စိတ်လှုပ်ရှား	0.888	0.837	0.711
thrilled	စိတ်လှုပ်ရှား	0.898	0.818	0.807
thriller	သည်းထိတ်ရင်ဖို	0.490	0.796	0.645
thrilling	စိတျလှုပျရှားဖှယျ	0.930	0.827	0.782
thrive	စီးပှါးတိုးတကျ	0.948	0.529	0.772
thriving	အောင်မြင်	0.865	0.521	0.779
throat	လည်ချောင်း	0.350	0.538	0.346
throb	ခုန်	0.500	0.673	0.556
throbbing	ခုန်	0.645	0.808	0.491
throes	အမူအရာတို့သည်ဒုက္ခဆင်းရဲခြင်း	0.146	0.760	0.235
throne	ရာဇပလ္လင်	0.724	0.606	0.887
throng	လူစု	0.480	0.810	0.706
throttle	အခိုးအငှေ့ညှိရာကိရိယာ	0.562	0.804	0.750
throw	ပစ်ခြင်း	0.344	0.770	0.623
throwback	throwback	0.280	0.454	0.356
thrower	တစ်ခုမှာ	0.470	0.690	0.717
thrown	ပစ်ချ	0.500	0.550	0.619
thrush	thrush	0.306	0.490	0.454
thrust	တွန်းကန်အား	0.510	0.647	0.663
thruster	thrusters	0.698	0.812	0.719
thud	သံတွေ	0.255	0.686	0.620
thug	လူရမ်းကား	0.240	0.882	0.667
thumb	လက်မ	0.673	0.271	0.361
thumbprint	thumbprint	0.510	0.347	0.451
thump	thump	0.280	0.792	0.608
thumper	thumper	0.354	0.623	0.457
thumping	thumping	0.214	0.755	0.566
thunder	မျိုးချုန်းသံ	0.296	0.916	0.526
thunderbolt	မိုးကြိုး	0.418	0.719	0.642
thunderclap	thunderclap	0.390	0.833	0.607
thundering	အသံ	0.337	0.778	0.700
thunderstorm	မိုးကြိုးမုန်းတိုင်း	0.135	0.860	0.784
thunderstruck	thunderstruck	0.194	0.716	0.509
thwart	ပိတ်ပင်ဖျက်ဆီး	0.281	0.684	0.409
thx	ကျေးဇူး	0.562	0.425	0.461
thyme	စမုန်ဖြူ	0.561	0.255	0.325
thyroid	သိုင်းရွိုက်	0.234	0.455	0.373
tiara	tiara	0.719	0.300	0.472
tibia	tibia	0.450	0.302	0.425
tic	နေကြပါပြီ	0.271	0.438	0.250
tick	ရွပိုး	0.521	0.386	0.412
ticked	အမှန်ခြစ်	0.469	0.386	0.455
ticker	ticker	0.479	0.471	0.509
ticket	လက်မှတ်	0.684	0.387	0.434
tickle	ကလိခြင်း	0.760	0.727	0.342
tickled	ကလိခြင်း	0.755	0.707	0.364
ticklish	ယားတတ်သော	0.823	0.814	0.345
tidal	ဒီရေ	0.592	0.539	0.519
tidal wave	ဒီရေလှိုင်း	0.240	0.894	0.736
tidbit	ကောင်းတဲ့အချက်ကတော့	0.552	0.382	0.385
tide	ဒီရေကျ	0.541	0.556	0.420
tidings	သိတင်း	0.610	0.510	0.694
tidy	နေရာတကျလုပ်	0.760	0.208	0.647
tie	လည်စည်း	0.663	0.464	0.431
tier	ဆင့်	0.520	0.245	0.560
tiff	TIFF	0.531	0.415	0.343
tiger	ကျား	0.479	0.765	0.664
tighten	တိုး။ ကြပ်	0.388	0.487	0.627
tightness	ကြပ်သော	0.344	0.606	0.759
tightrope	tightrope	0.354	0.653	0.279
tights	ကြပ်သော	0.583	0.343	0.269
tilde	tilde	0.520	0.314	0.321
tile	tile ကို	0.429	0.245	0.348
tiling	tile	0.600	0.330	0.315
till	NO TRANSLATION	0.490	0.327	0.319
tillage	လယ်လုပ်သော	0.552	0.591	0.540
tiller	လုပျသောသူဖွ	0.448	0.410	0.290
tilt	tilt	0.365	0.549	0.463
tilting	စောင်း	0.459	0.384	0.340
timber	ကျွန်းသစ်	0.332	0.202	0.386
timberland	timberland	0.550	0.415	0.571
timbre	Timbre	0.460	0.480	0.296
time	အချိန်	0.604	0.288	0.609
timeless	ထာဝစဉ်	0.408	0.468	0.583
timeliness	အချိန်မီ	0.760	0.404	0.582
timely	အချိန်မီ	0.865	0.387	0.591
timeout	ခဏပွဲရပ်ခြင်း	0.344	0.433	0.322
timepiece	နာရီ	0.650	0.279	0.461
timer	timer	0.469	0.433	0.500
times	ကြိမ်	0.490	0.279	0.439
timetable	အချိန်ဇယား	0.561	0.189	0.491
timewasters	NO TRANSLATION	0.391	0.535	0.291
timid	ကွောကျတတျသော	0.327	0.276	0.132
timidity	ကွောကျတတျသော	0.333	0.358	0.153
timing	အချိန်ကိုက်	0.521	0.311	0.577
tin	NO TRANSLATION	0.469	0.370	0.217
tincture	tincture	0.440	0.360	0.402
tine	NO TRANSLATION	0.438	0.373	0.284
tinfoil	သံဖြူသတ္တုပြား	0.448	0.284	0.311
tinge	Ting	0.469	0.292	0.264
tingle	ဉျြးဖဉျြး	0.460	0.560	0.264
tingling	tingling	0.427	0.615	0.340
tinker	Tinker	0.396	0.528	0.275
tinkering	Tinker	0.531	0.490	0.448
tinkle	NO TRANSLATION	0.562	0.529	0.356
tinkling	tinkling	0.612	0.530	0.324
tinnitus	tinnitus	0.384	0.536	0.411
tinsel	tinsel	0.663	0.521	0.473
tint	တင့	0.582	0.292	0.273
tiny	သေးငယ်သော	0.479	0.196	0.125
tip	အဖျား	0.708	0.221	0.518
tipper	tipper	0.427	0.571	0.431
tipster	tipster	0.490	0.462	0.490
tipsy	tipsy	0.510	0.625	0.570
tiptoe	tiptoe	0.510	0.490	0.407
tirade	သွန်	0.378	0.587	0.532
tire	အဝတ်အစား	0.438	0.385	0.381
tired	ပင်ပန်း	0.125	0.317	0.191
tiredness	မောပန်းခြင်း	0.387	0.408	0.242
tiredofit	NO TRANSLATION	0.300	0.270	0.204
tireless	မဆုပ်မနစ်	0.657	0.750	0.645
tiresome	နျပငျပနျး	0.240	0.542	0.153
tiring	ပင်ပန်းတယ်	0.153	0.510	0.176
tissue	အသားမှငျြ	0.558	0.236	0.345
tistheseason	NO TRANSLATION	0.646	0.548	0.435
tit	tit	0.402	0.539	0.388
titan	titan	0.598	0.653	0.811
titanic	တိုက်တန်းနစ်	0.427	0.786	0.795
titanium	တိုက်တေနီယမ်	0.520	0.470	0.704
tithe	ဆယ်စုတစု	0.507	0.276	0.385
title	ခေါင်းစဥ်	0.708	0.356	0.574
titled	ခေါင်းစဉ်	0.677	0.240	0.658
titty	titty	0.561	0.548	0.294
titular	NO TRANSLATION	0.704	0.385	0.760
toad	ဘားပြုပ်	0.302	0.452	0.196
toast	ဆန္ဒပြုသောက်ခြင်း	0.740	0.382	0.356
toaster	ပေါင်မုန့်ကင်ရာမီးဖိုကလေး	0.542	0.337	0.387
toasty	toasty	0.698	0.461	0.396
tobacco	ဆေးရွက်	0.327	0.546	0.387
toby	Toby	0.427	0.375	0.330
tod	Tod	0.469	0.330	0.384
today	ယနေ့တွင်	0.806	0.306	0.362
toddler	ကလေးငယ်	0.812	0.469	0.368
toe	ခွေခြောငျး	0.406	0.221	0.293
toenail	ခွေသညျး	0.530	0.380	0.306
toffee	အဲဗာတန်	0.658	0.510	0.396
tofu	tofu	0.521	0.330	0.283
toga	NO TRANSLATION	0.698	0.393	0.373
together	အတူတူ	0.874	0.392	0.658
togetherness	အတူတကွနေထိုင်	0.906	0.360	0.635
toil	ပင်ပန်း	0.558	0.510	0.583
toilet	အိမ်သာခန်း	0.490	0.290	0.233
toils	ပင်ပန်း	0.480	0.710	0.482
token	တိုကင်နံပါတ်	0.510	0.418	0.414
tolerable	ခံသာသော	0.750	0.350	0.374
tolerance	သည်းခံနေခြင်း	0.875	0.206	0.649
tolerant	သည်းခံနေတတ်သော	0.765	0.192	0.618
tolerate	သည်းခံနေ	0.724	0.430	0.588
toleration	သည်းခံ	0.776	0.442	0.727
toll	လမ်းအသုံးပြုခ	0.296	0.422	0.453
tomahawk	tomahawk	0.510	0.642	0.504
tomato	ခရမ်းချဉ်သီး	0.550	0.183	0.275
tomatoes	ခရမ်းချဉ်သီး	0.615	0.240	0.272
tomb	သင်္ချိုင်း	0.112	0.500	0.343
tombstone	သင်္ချိုင်းမှတ်တိုင်	0.204	0.441	0.311
tomcat	tomcat	0.520	0.412	0.386
tome	အိုတိုမီ	0.429	0.316	0.492
tomorrow	နက်ဖြန်	0.792	0.377	0.407
ton	NO TRANSLATION	0.560	0.418	0.604
tone	အသံ	0.551	0.355	0.411
toner	ဆိုးဆေး	0.448	0.300	0.368
tong	NO TRANSLATION	0.475	0.480	0.370
tongs	မီးညှပ်	0.500	0.459	0.321
tongue	လြှာ	0.542	0.432	0.482
tonic	လုပ်သူများ	0.541	0.360	0.500
tonnage	အရွယ်အစားတန်ချိန်	0.323	0.382	0.590
tonsils	ဂလင်းတမျိုး	0.347	0.373	0.283
toocold	NO TRANSLATION	0.420	0.550	0.379
tool	tool တစ်ခု	0.490	0.350	0.594
toolbox	Toolbox	0.531	0.316	0.472
tooling	လက်ဆောင်	0.510	0.406	0.634
toomuchtodo	NO TRANSLATION	0.420	0.688	0.355
toot	toot	0.500	0.481	0.373
tooth	သွား	0.439	0.250	0.367
toothache	toothache	0.188	0.853	0.412
toothbrush	သွားပွတ်တံ	0.517	0.330	0.321
toothed	သွား	0.449	0.394	0.352
toothless	အဆိပ်မရှိဟု	0.312	0.541	0.272
toothpaste	သွားပွတ်ဆေး	0.510	0.290	0.371
toothpick	သွားကြားထိုးတံ	0.561	0.216	0.185
toots	toots	0.552	0.480	0.451
top	ထိပ်တန်း	0.760	0.400	0.554
topaz	ဥဿဖရား	0.643	0.325	0.384
topic	အကွောငျး	0.520	0.276	0.427
topical	လိမ်း	0.561	0.340	0.500
topless	topless	0.625	0.765	0.414
topographic	မြေမျက်နှာသွင်ပြင်	0.604	0.378	0.558
topographical	မြေမျက်နှာသွင်ပြင်	0.438	0.350	0.538
topography	မြေမျက်နှာသွင်ပြင်	0.469	0.357	0.506
topple	ဖြုတ်ချ	0.198	0.820	0.573
topside	topside	0.708	0.466	0.598
tor	tor	0.337	0.430	0.418
torch	မီးအိမ်	0.531	0.630	0.545
torment	အလွန်နာကျင်စေ	0.057	0.750	0.387
tormented	ညှဉ်းဆဲ	0.071	0.855	0.323
torn	စုတ်ပြဲ	0.153	0.510	0.283
tornado	လပှေ	0.260	0.896	0.784
torpedo	တော်ပီဒို	0.219	0.794	0.707
torque	torque	0.466	0.375	0.406
torrent	torrent	0.541	0.745	0.676
torrid	ပူနွေး	0.281	0.625	0.517
torsion	torsion	0.312	0.651	0.402
torso	ကိုယ်ထည်	0.408	0.394	0.473
tort	တရားမျှတမှုမရှိခြင်း	0.229	0.635	0.455
tortious	tortious	0.312	0.724	0.491
tortoise	လိပ်	0.673	0.078	0.250
tortuous	tortuous	0.194	0.755	0.382
torture	ညှဉ်းပမ်း	0.115	0.878	0.555
tortured	ညှဉ်းပန်းနှိပ်စက်	0.062	0.890	0.361
