Word	Nyanja (Chichewa)-ny	Valence	Arousal	Dominance
subside	gonjetsani	0.375	0.308	0.209
subsidence	subsidence	0.320	0.509	0.452
subsidiary	zochepa	0.541	0.295	0.500
subsidize	kuwathandiza	0.604	0.615	0.589
subsidy	thandizo	0.573	0.462	0.517
subsist	sungani	0.573	0.418	0.472
subsistence	ndalama	0.510	0.404	0.491
subsoil	chiwonongeko	0.429	0.240	0.382
subspace	chotsatira	0.470	0.453	0.475
substance	katundu	0.615	0.422	0.528
substandard	zochepa	0.235	0.333	0.150
substantial	zazikulu	0.590	0.490	0.690
substantially	kwambiri	0.646	0.471	0.684
substantiate	zitsitsimutso	0.531	0.549	0.636
substantive	chotsatira	0.500	0.350	0.455
substation	gawo	0.469	0.461	0.491
substitute	cholowa mmalo	0.427	0.406	0.398
substituted	m'malo mwake	0.271	0.545	0.394
substitution	kusintha	0.406	0.480	0.353
substructure	kumalo	0.441	0.358	0.587
subterranean	subterranean	0.469	0.306	0.432
subtext	zolemba	0.635	0.276	0.412
subtitle	subtitle	0.445	0.202	0.347
subtle	wochenjera	0.708	0.167	0.228
subtlety	zamatsenga	0.615	0.176	0.363
subtract	chotsani	0.208	0.330	0.283
subtraction	kuchotsa	0.163	0.382	0.349
subtype	subtype	0.427	0.296	0.420
suburb	midzi	0.354	0.566	0.441
suburban	kumidzi	0.439	0.450	0.453
suburbia	suburbia	0.438	0.490	0.421
suburbs	madera	0.510	0.571	0.286
subversion	kusokoneza	0.347	0.608	0.415
subversive	kusokoneza	0.198	0.765	0.500
subvert	kusokoneza	0.357	0.557	0.536
subway	njanji zapansi panthaka	0.418	0.300	0.464
succeed	kupambana	0.926	0.755	0.926
succeeding	kupambana	0.867	0.755	0.849
success	kupambana	0.959	0.880	0.981
successful	kupambana	0.949	0.724	0.938
succession	kutsagana	0.698	0.481	0.587
successive	motsatizana	0.635	0.471	0.518
successor	wotsatira	0.729	0.531	0.648
succinct	zosangalatsa	0.510	0.413	0.566
succubus	sucubus	0.417	0.647	0.509
succulent	zokoma	0.823	0.538	0.556
succumb	kuthandizidwa	0.202	0.787	0.292
suck	kuyamwa	0.344	0.706	0.377
sucker	sucker	0.265	0.393	0.204
sucking	kuyamwa	0.227	0.528	0.377
suckling	kuyamwa	0.596	0.558	0.518
sucks	imayamwa	0.115	0.683	0.302
suction	kuyamwa	0.460	0.593	0.526
sudden	mwadzidzidzi	0.449	0.660	0.435
suddenly	mwadzidzidzi	0.670	0.510	0.456
suds	sud	0.458	0.365	0.255
sue	sue	0.219	0.731	0.679
suede	suede	0.542	0.259	0.259
suffer	akuvutika	0.082	0.910	0.259
sufferer	wodwalayo	0.156	0.690	0.278
suffering	kuvutika	0.020	0.719	0.235
suffice	ndikwanira	0.643	0.326	0.504
sufficiency	okwanira	0.594	0.438	0.576
sufficient	okwanira	0.833	0.330	0.588
sufficiently	mokwanira	0.776	0.367	0.714
suffix	chokwanira	0.430	0.420	0.364
suffocate	zikhazikike	0.219	0.764	0.440
suffocating	kutsekemera	0.133	0.774	0.429
suffocation	Kutupa	0.020	0.830	0.462
sugar	shuga	0.896	0.382	0.402
suggest	zisonyeza	0.573	0.471	0.517
suggestion	malingaliro	0.646	0.365	0.558
suggestive	zosangalatsa	0.552	0.500	0.555
suicidal	kudzipha	0.021	0.867	0.382
suicide	kudzipha	0.030	0.873	0.429
suicidebombing	NO TRANSLATION	0.031	0.957	0.627
suit	suti	0.776	0.282	0.482
suitable	abwino	0.792	0.298	0.722
suitcase	sutikesi	0.562	0.212	0.318
suite	pitirizani	0.790	0.420	0.400
suitor	wotsutsa	0.708	0.639	0.546
sulfate	sulfate	0.427	0.352	0.429
sulfur	sulufule	0.173	0.530	0.364
sulk	sulk	0.250	0.580	0.406
sullen	kukhumudwa	0.250	0.407	0.263
sully	sully	0.378	0.550	0.370
sulphur	sulufule	0.260	0.450	0.233
sultan	sultan	0.529	0.423	0.821
sultry	zosangalatsa	0.735	0.696	0.627
sum	chiwerengero	0.792	0.340	0.420
summarily	mwachidule	0.469	0.431	0.543
summarize	mwachidule	0.590	0.323	0.471
summary	chidule	0.729	0.260	0.427
summation	chidule	0.766	0.337	0.594
summer	chilimwe	0.812	0.373	0.550
summerhouse	summerhouse	0.796	0.308	0.443
summertime	nyengo yachilimwe	0.837	0.500	0.455
summit	msonkhano	0.625	0.618	0.764
summon	dandaula	0.521	0.560	0.664
summons	akuitana	0.552	0.604	0.598
sumo	sumo	0.480	0.394	0.564
sump	sump	0.365	0.451	0.340
sumptuous	zopanda pake	0.698	0.550	0.555
sun	dzuwa	0.877	0.400	0.681
sunbeam	sunbeam	0.729	0.440	0.505
sunburn	kutentha kwa dzuwa	0.061	0.755	0.447
sundae	sundae	0.743	0.414	0.404
sunday	dzuwa	0.776	0.196	0.394
sundial	sundial	0.643	0.225	0.406
sundown	dzuwa litalowa	0.812	0.276	0.445
sundry	sundry	0.543	0.369	0.407
sunflower	mpendadzuwa	0.878	0.231	0.270
sunglass	magalasi	0.684	0.264	0.324
sunglasses	magalasi	0.844	0.443	0.364
sunk	kutentha	0.146	0.531	0.185
sunken	sunken	0.103	0.476	0.173
sunless	yopanda dzuwa	0.245	0.280	0.273
sunlight	dzuwa	0.906	0.407	0.639
sunny	dzuwa	0.740	0.348	0.481
sunrise	kutuluka kwa dzuwa	0.823	0.347	0.640
sunroof	dzuwa	0.681	0.325	0.425
sunscreen	zowonjezera	0.656	0.387	0.462
sunset	dzuwa litalowa	0.875	0.231	0.298
sunshine	dzuwa	0.885	0.297	0.769
suntan	dzuwa	0.620	0.510	0.366
sunup	sunup	0.760	0.304	0.620
sup	sup	0.551	0.358	0.385
super	wapamwamba	0.844	0.663	0.780
superannuation	superannuation	0.448	0.412	0.562
superb	wapamwamba kwambiri	0.980	0.708	0.852
superficial	mopanda phindu	0.357	0.407	0.309
superfluous	zopanda pake	0.316	0.469	0.393
superhero	zokongola	0.910	0.820	0.893
superhuman	woposa anthu	0.810	0.745	0.895
superimposed	wapamwamba	0.490	0.529	0.683
superintendent	superintendent	0.592	0.570	0.942
superior	wapamwamba	0.801	0.697	0.940
superiority	kupambana	0.582	0.602	0.959
superlative	zosangalatsa kwambiri	0.714	0.566	0.737
superman	superman	0.945	0.794	0.929
supermarket	supamaketi	0.690	0.547	0.571
supermodel	supermodel	0.880	0.663	0.698
supernatant	kupambana	0.500	0.500	0.565
supernatural	zauzimu	0.622	0.824	0.733
supernova	supernova	0.729	0.673	0.827
superposition	kupangidwira	0.480	0.570	0.806
superpower	wopambana	0.806	0.784	0.972
supersede	supersede	0.479	0.510	0.518
superstar	nyenyezi yamakedzana	0.885	0.860	0.880
superstition	zikhulupiriro zamatsenga	0.177	0.640	0.418
superstitious	kukhulupirira zamatsenga	0.281	0.545	0.514
superstore	zamatsenga	0.719	0.600	0.640
supervise	kuyang'anira	0.698	0.555	0.889
supervision	kuyang'anira	0.459	0.578	0.825
supervisor	woyang'anira	0.615	0.479	0.933
supper	chakudya chamadzulo	0.708	0.429	0.552
suppertime	chakudya chamadzulo	0.792	0.388	0.461
supplant	kudwalitsani	0.344	0.558	0.463
supple	zindikirani	0.812	0.528	0.436
supplement	kuwonjezera	0.745	0.406	0.491
supplemental	supplemental	0.604	0.404	0.555
supplementary	chowonjezera	0.625	0.352	0.541
supplication	pembedzero	0.469	0.570	0.309
supplier	perekani	0.615	0.462	0.736
supplies	amapereka	0.698	0.390	0.595
supply	kupereka	0.708	0.519	0.603
support	thandizo	0.811	0.472	0.737
supported	adathandizidwa	0.853	0.408	0.613
supporter	wothandizira	0.721	0.510	0.698
supporters	othandizira	0.763	0.539	0.558
supporting	kuthandizira	0.634	0.490	0.764
supportive	kuthandizira	0.875	0.420	0.635
suppose	tiyerekeze	0.551	0.343	0.348
supposed	amati	0.296	0.378	0.379
supposing	ndikuganiza	0.449	0.451	0.357
supposition	kumvetsa	0.531	0.408	0.526
suppress	thandizani	0.281	0.559	0.509
suppression	kuchotsa	0.267	0.541	0.537
supremacy	ukulu	0.794	0.706	0.943
supreme	wapamwamba	0.812	0.700	0.974
supremely	kwambiri	0.833	0.725	0.897
surcharge	zolemetsa	0.375	0.528	0.500
sure	zedi	0.724	0.270	0.793
surety	chiwonongeko	0.776	0.365	0.750
surf	kusambira	0.847	0.650	0.500
surface	pamwamba	0.448	0.375	0.604
surfboard	mawotchi	0.729	0.730	0.387
surfer	perekani	0.704	0.701	0.554
surge	kutuluka	0.449	0.684	0.500
surgeon	opaleshoni	0.500	0.598	0.793
surgery	opaleshoni	0.286	0.769	0.600
surgical	opaleshoni	0.327	0.696	0.723
surly	zokondweretsa	0.221	0.469	0.493
surmise	kupitiliza	0.529	0.400	0.347
surname	dzina lake	0.670	0.250	0.493
surpassing	zopambana	0.719	0.660	0.720
surplus	zopitirira	0.602	0.680	0.630
surprise	kudabwa	0.875	0.875	0.562
surprised	kudabwa	0.784	0.855	0.539
surprises	zodabwitsa	0.875	0.769	0.632
surprising	zodabwitsa	0.888	0.790	0.692
surprisingly	zodabwitsa	0.847	0.793	0.819
surreal	surreal	0.550	0.529	0.670
surrender	kudzipereka	0.115	0.396	0.186
surrendering	kudzipereka	0.198	0.411	0.245
surrogate	kukhudzidwa	0.406	0.590	0.472
surround	kuzungulira	0.542	0.623	0.627
surrounding	pafupi	0.531	0.422	0.669
surroundings	zozungulira	0.600	0.346	0.492
surveillance	kuyang'anira	0.365	0.720	0.718
survey	kufufuza	0.580	0.357	0.379
surveying	kufufuza	0.488	0.455	0.682
surveyor	wofufuza	0.545	0.337	0.648
survival	kupulumuka	0.541	0.798	0.879
survive	kupulumuka	0.770	0.824	0.726
surviving	kupulumuka	0.646	0.836	0.721
survivor	wopulumuka	0.677	0.750	0.815
susceptibility	kukhudzidwa	0.458	0.627	0.364
susceptible	atengeke	0.438	0.449	0.304
sushi	sushi	0.698	0.343	0.394
suspect	akukayikira	0.133	0.750	0.509
suspected	akukayikira	0.173	0.755	0.452
suspend	kuimitsa	0.240	0.320	0.368
suspended	kuimitsidwa	0.224	0.402	0.368
suspenders	kusokoneza	0.391	0.333	0.500
suspense	kusinkhasinkha	0.286	0.775	0.402
suspension	kuimitsa	0.288	0.530	0.426
suspicion	kukayikira	0.204	0.711	0.377
suspicions	zokayikitsa	0.208	0.745	0.500
suspicious	akukayikira	0.153	0.745	0.431
sustain	pitirizani	0.635	0.358	0.593
sustained	adalimbikitsidwa	0.649	0.340	0.580
sustenance	chakudya	0.820	0.519	0.679
suture	suture	0.240	0.510	0.510
suv	suv	0.552	0.431	0.446
sux	NO TRANSLATION	0.406	0.531	0.331
swab	swab	0.470	0.364	0.259
swag	kudzikoka	0.656	0.676	0.654
swagger	wosungira	0.333	0.731	0.538
swallow	kumeza	0.466	0.608	0.436
swami	swami	0.510	0.547	0.491
swamp	dzombe	0.245	0.425	0.235
swamped	adayenda	0.156	0.480	0.270
swampy	mvula	0.306	0.390	0.412
swan	swan	0.781	0.225	0.357
swank	swank	0.490	0.500	0.442
swap	sintha	0.552	0.500	0.509
swarm	dzombe	0.302	0.735	0.458
swarming	kuthamanga	0.375	0.600	0.435
swastika	swastika	0.316	0.472	0.491
swat	swat	0.380	0.694	0.571
sway	sway	0.690	0.596	0.721
swear	lumbira	0.601	0.577	0.658
swearing	kulumbirira	0.333	0.559	0.586
sweat	thukuta	0.388	0.579	0.297
sweater	thukuta	0.704	0.245	0.295
sweating	thukuta	0.292	0.667	0.265
sweatshirt	sweatshirt	0.510	0.368	0.353
sweatshop	sweatshop	0.385	0.797	0.602
sweaty	thukuta	0.281	0.540	0.304
sweep	sintha	0.448	0.385	0.383
sweeper	sintha	0.470	0.549	0.414
sweeping	akukuta	0.344	0.431	0.355
sweet	zokoma	0.668	0.418	0.382
sweeten	sweeten	0.908	0.455	0.423
sweetened	zokoma	0.940	0.461	0.398
sweetener	sweetener	0.670	0.333	0.330
sweetest	zokoma kwambiri	0.959	0.500	0.370
sweetheart	wokondedwa	0.959	0.423	0.509
sweetie	sweetie	0.990	0.549	0.560
sweetness	kukoma	0.906	0.474	0.528
sweets	maswiti	0.910	0.422	0.321
swell	phokoso	0.360	0.679	0.348
swelling	kutupa	0.323	0.608	0.250
sweltering	kupuma	0.204	0.644	0.362
swerve	swerve	0.276	0.612	0.357
swift	wothamanga	0.760	0.776	0.698
swiftly	mofulumira	0.660	0.885	0.618
swig	swig	0.604	0.481	0.406
swill	swill	0.427	0.528	0.322
swim	kusambira	0.688	0.461	0.529
swimmer	kusambira	0.657	0.698	0.610
swimming	kusambira	0.760	0.559	0.524
swimsuit	kusambira	0.740	0.373	0.269
swindle	kusuta	0.122	0.740	0.439
swindler	wosuta	0.125	0.721	0.575
swine	nkhumba	0.340	0.519	0.277
swing	swing	0.602	0.510	0.481
swinger	swinger	0.459	0.778	0.482
swinging	kusuntha	0.656	0.510	0.312
swipe	swede	0.573	0.450	0.266
swirl	swirl	0.490	0.726	0.639
swish	swish	0.562	0.510	0.474
switch	sintha	0.500	0.538	0.509
switchblade	sintha	0.357	0.596	0.528
switchboard	kusintha	0.571	0.519	0.558
swivel	swivel	0.562	0.480	0.500
swollen	kutupa	0.236	0.510	0.277
swoon	swoon	0.292	0.510	0.160
swoop	swoop	0.479	0.618	0.446
sword	lupanga	0.438	0.653	0.713
swordfish	nsomba zamipeni	0.564	0.520	0.442
swordplay	khalid	0.616	0.750	0.528
swordsman	wosula malupanga	0.395	0.857	0.696
sycamore	sycamore	0.500	0.401	0.527
syllable	syllable	0.448	0.250	0.417
syllabus	silabasi	0.736	0.370	0.643
symbiotic	chitsimikizo	0.832	0.425	0.406
symbol	chizindikiro	0.643	0.388	0.527
symbolic	chophiphiritsa	0.670	0.385	0.574
symbolically	mophiphiritsira	0.582	0.385	0.648
symbolism	chizindikiro	0.688	0.347	0.640
symbolize	amaimira	0.633	0.327	0.673
symmetric	zofanana	0.745	0.212	0.588
symmetrical	zogwirizana	0.542	0.263	0.569
symmetry	kusakanikirana	0.604	0.274	0.500
sympathetic	wachifundo	0.796	0.434	0.609
sympathize	kumvetsa chisoni	0.770	0.627	0.644
sympathy	chifundo	0.827	0.497	0.634
symphonic	nyimbo	0.775	0.545	0.566
symphony	symphony	0.765	0.490	0.600
symposium	nkhani yosiyirana	0.573	0.394	0.644
symptom	chizindikiro	0.380	0.529	0.434
symptomatic	zizindikiro	0.367	0.434	0.491
synagogue	sunagoge	0.531	0.300	0.544
synapse	kusinthasintha	0.660	0.471	0.491
synaptic	synaptic	0.573	0.553	0.622
sync	sync	0.802	0.440	0.670
synchronize	synchronize	0.781	0.361	0.654
synchronous	ma synchronous	0.600	0.538	0.545
syncope	syncope	0.245	0.538	0.398
syndicate	syndicate	0.439	0.491	0.673
syndrome	matenda	0.229	0.510	0.246
synergistic	synergistic	0.571	0.550	0.547
synergy	synergy	0.667	0.510	0.720
synod	synod	0.469	0.377	0.574
synonym	mawu ofanana	0.615	0.210	0.433
synonymous	chimodzimodzi	0.480	0.323	0.400
synopsis	mawu otsindika	0.541	0.390	0.482
synoptic	mawu amodzi	0.561	0.510	0.596
syntax	mawu ofanana	0.531	0.346	0.559
synthesis	kaphatikizidwe	0.604	0.315	0.377
synthesizer	synthesizer	0.500	0.410	0.592
synthetic	kupanga	0.396	0.350	0.519
syphilis	syphilis	0.071	0.606	0.245
syringe	sirinji	0.250	0.680	0.330
syrup	syrup	0.620	0.223	0.318
system	dongosolo	0.615	0.346	0.764
systematic	mwachizolowezi	0.617	0.444	0.594
systematically	mwadongosolo	0.690	0.390	0.651
t-shirt	t-shirt	0.815	0.286	0.284
tab	tabu	0.594	0.208	0.308
tabasco	tabasco	0.375	0.546	0.404
tabby	mabukhu	0.510	0.426	0.387
tabernacle	kachisi	0.408	0.480	0.605
table	tebulo	0.551	0.170	0.284
tableau	NO TRANSLATION	0.531	0.302	0.321
tablecloth	nsalu ya tebulo	0.480	0.165	0.215
tablespoon	supuni	0.490	0.353	0.245
tablet	piritsi	0.562	0.330	0.438
tableware	tableware	0.677	0.250	0.276
tabloid	tabloid	0.438	0.365	0.444
taboo	taboo	0.198	0.794	0.482
tabular	malemba	0.438	0.330	0.462
tabulate	lembani	0.480	0.403	0.598
tabulation	malemba	0.396	0.346	0.526
tachometer	tachometer	0.398	0.394	0.518
tacit	tacit	0.459	0.340	0.473
tack	tack	0.365	0.431	0.431
tackle	kuthandizani	0.365	0.686	0.569
tackled	atakonzedwa	0.438	0.612	0.569
tackling	kuthamanga	0.480	0.694	0.613
tacky	tacky	0.245	0.490	0.373
taco	taco	0.561	0.353	0.277
tact	kulingalira	0.550	0.417	0.417
tactful	kusamala	0.704	0.292	0.537
tactic	njira	0.531	0.434	0.798
tactical	zamatsenga	0.594	0.481	0.684
tactics	machenjerero	0.583	0.676	0.774
tactile	tactile	0.573	0.410	0.491
tad	NO TRANSLATION	0.459	0.240	0.250
tadpole	tadpole	0.350	0.434	0.218
taffeta	taffeta	0.604	0.279	0.405
taffy	taffy	0.448	0.431	0.204
tag	tag	0.612	0.353	0.375
tail	mchira	0.480	0.272	0.293
tailed	tailed	0.438	0.358	0.351
tailgate	mzere	0.323	0.340	0.398
tailings	miyendo	0.439	0.311	0.446
taillight	mdima	0.479	0.367	0.283
tailor	yambani	0.573	0.206	0.450
tailoring	kukonza	0.673	0.540	0.566
tailpipe	mchira	0.460	0.429	0.409
taint	chitonzo	0.141	0.425	0.226
take	tengani	0.828	0.537	0.348
takeoff	Nyamuka	0.755	0.884	0.626
takeout	Chotsani	0.736	0.392	0.368
takeover	pitiliza	0.663	0.531	0.861
taker	taker	0.375	0.521	0.618
talcum	talcum	0.500	0.196	0.291
tale	nkhani	0.663	0.300	0.336
talent	talente	0.959	0.607	0.811
talented	luso	0.939	0.635	0.938
talisman	chithumwa	0.704	0.542	0.642
talk	lankhulani	0.833	0.346	0.594
talkative	kulankhula	0.562	0.673	0.535
talker	wolankhula	0.500	0.604	0.552
tall	wamtali	0.725	0.591	0.538
tallies	tallies	0.551	0.290	0.402
tallow	tallow	0.344	0.283	0.290
tally	tally	0.542	0.420	0.518
talon	talon	0.344	0.569	0.475
talons	NO TRANSLATION	0.320	0.698	0.525
tambourine	maseche	0.622	0.548	0.348
tame	NO TRANSLATION	0.560	0.604	0.642
tamer	tamer	0.385	0.783	0.815
taming	kukweza	0.569	0.514	0.575
tamper	kusokoneza	0.184	0.802	0.545
tampon	tampon	0.396	0.394	0.345
tan	tani	0.643	0.460	0.444
tandem	tandem	0.552	0.406	0.485
tang	tang	0.594	0.383	0.340
tangent	tangent	0.573	0.373	0.454
tangerine	gelegedeya	0.571	0.271	0.395
tangible	zooneka	0.646	0.350	0.679
tangle	tangle	0.354	0.545	0.254
tangled	atasokonezeka	0.260	0.539	0.316
tango	tango	0.622	0.560	0.430
tank	tank	0.431	0.454	0.634
tank top	tank top	0.610	0.371	0.371
tanker	tchire	0.520	0.647	0.713
tanned	tanned	0.615	0.550	0.491
tantalizing	zosangalatsa	0.525	0.788	0.625
tantamount	zofanana	0.633	0.288	0.670
tantrum	kukwiya	0.219	0.817	0.404
taoism	taoism	0.490	0.250	0.456
tap	tapani	0.461	0.370	0.349
tape	tepi	0.531	0.277	0.254
tape measure	tepiyeso	0.406	0.250	0.360
taper	taper	0.541	0.410	0.415
tapering	tapering	0.344	0.380	0.237
tapestry	tapestry	0.520	0.176	0.362
tapeworm	tapeworm	0.357	0.334	0.331
tapioca	tapioca	0.594	0.297	0.324
taps	matepi	0.448	0.378	0.409
tar	tar	0.438	0.440	0.570
tarantula	tarantula	0.260	0.718	0.544
tardiness	kusachedwa	0.296	0.452	0.260
tardy	tardy	0.204	0.592	0.293
target	cholinga	0.633	0.573	0.798
targeted	zolinga	0.573	0.537	0.573
targeting	zolinga	0.510	0.420	0.580
tariff	ndalama	0.459	0.402	0.491
tarmac	mphukira	0.357	0.302	0.398
tarnish	kuwononga	0.204	0.441	0.342
tarot	tarot	0.479	0.422	0.430
tarp	NO TRANSLATION	0.479	0.210	0.364
tarry	khalani	0.392	0.413	0.388
tart	tart	0.719	0.380	0.219
tartan	tartan	0.448	0.423	0.389
tartar	tartar	0.214	0.351	0.212
task	ntchito	0.550	0.353	0.500
tassel	ngayaye	0.552	0.330	0.307
taste	kulawa	0.802	0.406	0.465
tasteful	zokoma	0.918	0.458	0.625
tasteless	zopanda pake	0.146	0.196	0.148
tasting	kulawa	0.781	0.603	0.600
tasty	chokoma	0.959	0.786	0.555
tat	tat	0.429	0.380	0.404
tattler	tattler	0.417	0.530	0.434
tattletale	katemera	0.633	0.406	0.317
tattoo	zojambulajambula	0.490	0.602	0.525
taught	anaphunzitsidwa	0.814	0.481	0.642
taunt	kunyoza	0.083	0.696	0.355
taupe	taupe	0.406	0.340	0.386
taut	taut	0.432	0.704	0.457
tavern	tavern	0.516	0.577	0.475
tawdry	tawdry	0.375	0.510	0.398
tawny	tawny	0.551	0.398	0.400
tax	msonkho	0.260	0.481	0.534
taxed	msonkho	0.255	0.456	0.500
taxi	taxi	0.542	0.362	0.430
taxicab	thirakiti	0.479	0.430	0.355
taxonomy	taxonomy	0.370	0.410	0.630
taxpayer	wokhomera msonkho	0.592	0.528	0.647
tea	tiyi	0.698	0.163	0.370
teach	dziwani	0.840	0.510	0.852
teacher	mphunzitsi	0.760	0.404	0.885
teaching	kuphunzitsa	0.822	0.444	0.736
teacup	teacup	0.633	0.135	0.277
teahouse	chimbudzi	0.802	0.314	0.288
teal	teal	0.540	0.293	0.321
team	gulu	0.708	0.461	0.688
teamjesus	NO TRANSLATION	0.673	0.453	0.536
teammate	wothandizana naye	0.865	0.449	0.660
teamwork	kugwira ntchito limodzi	0.918	0.490	0.773
teapot	teapot	0.479	0.110	0.309
tear	kudula	0.404	0.620	0.327
tearful	kulira	0.208	0.500	0.184
tearsofjoy	NO TRANSLATION	0.926	0.740	0.455
teary	atha	0.167	0.473	0.216
tease	kudula	0.317	0.790	0.432
teaser	teaser	0.510	0.558	0.534
teasing	kunyoza	0.235	0.725	0.352
teaspoon	supuni	0.521	0.330	0.221
teat	teat	0.612	0.469	0.328
teatime	zovuta	0.847	0.159	0.339
tech	tech	0.684	0.491	0.732
technical	zamakono	0.510	0.490	0.736
technicality	luso	0.632	0.471	0.661
technician	katswiri	0.592	0.510	0.713
technique	njira	0.760	0.414	0.593
techno	techno	0.561	0.539	0.500
technological	sayansi	0.680	0.452	0.815
technology	teknoloji	0.776	0.490	0.825
ted	ted	0.712	0.453	0.336
teddy bear	chidole	0.890	0.170	0.192
tedious	zovuta	0.104	0.406	0.241
tedium	tedium	0.224	0.331	0.298
tee	tee	0.459	0.373	0.377
teeming	zolemba	0.582	0.550	0.727
teen	wachinyamata	0.729	0.531	0.568
teenage	wachinyamata	0.667	0.673	0.558
teenager	wachinyamata	0.781	0.593	0.527
teens	achinyamata	0.653	0.660	0.440
teensy	achinyamata	0.520	0.427	0.347
teeny	teeny	0.427	0.418	0.216
teeth	mano	0.520	0.388	0.427
teething	zovuta	0.396	0.471	0.474
teflon	teflon	0.354	0.245	0.434
telegram	telegram	0.561	0.542	0.550
telegraph	telegraph	0.594	0.423	0.400
telekinesis	telekinesis	0.582	0.646	0.667
telemetry	telemetry	0.460	0.382	0.611
telepathic	telepathic	0.602	0.490	0.642
telepathy	telepathy	0.594	0.510	0.588
telephone	telefoni	0.694	0.520	0.425
telescope	telescope	0.531	0.340	0.500
telescopic	telescopic	0.490	0.290	0.660
telethon	telethon	0.643	0.641	0.473
teletype	teletype	0.532	0.392	0.455
televised	televised	0.625	0.519	0.518
television	televizioni	0.633	0.391	0.547
tell	tauzani	0.551	0.350	0.457
teller	wouza	0.500	0.395	0.443
telling	kuwuza	0.719	0.441	0.527
telltale	telltale	0.240	0.663	0.426
temp	nyengo	0.490	0.440	0.314
temper	mkwiyo	0.633	0.623	0.818
tempera	tempera	0.458	0.318	0.245
temperament	chikhalidwe	0.420	0.625	0.703
temperamental	kudziletsa	0.316	0.774	0.608
temperance	kudziletsa	0.500	0.294	0.639
temperate	kudziletsa	0.469	0.394	0.593
temperature	kutentha	0.521	0.559	0.473
tempered	wokwiya	0.583	0.437	0.667
tempest	mphepo yamkuntho	0.245	0.843	0.653
template	template	0.479	0.311	0.411
temple	kachisi	0.612	0.269	0.660
tempo	NO TRANSLATION	0.582	0.337	0.500
temporal	nyengo	0.500	0.413	0.360
temporarily	kwa kanthawi	0.500	0.365	0.373
temporary	zosakhalitsa	0.458	0.415	0.324
tempt	kuyesa	0.210	0.677	0.500
temptation	mayesero	0.365	0.817	0.560
tempting	kuyesa	0.615	0.740	0.519
temptress	temptress	0.427	0.787	0.667
ten	khumi	0.562	0.260	0.406
tenable	chokhazikika	0.741	0.412	0.636
tenacious	olimba mtima	0.724	0.658	0.692
tenacity	kulimba mtima	0.740	0.657	0.889
tenancy	malo	0.500	0.458	0.605
tenant	wothandizira	0.385	0.360	0.398
tend	tengerani	0.604	0.398	0.412
tendency	chizoloŵezi	0.684	0.500	0.675
tender	zachifundo	0.630	0.520	0.509
tenderfoot	wachikondi	0.469	0.421	0.438
tenderness	chifundo	0.949	0.276	0.367
tending	kukonda	0.622	0.556	0.594
tendon	tendon	0.341	0.271	0.463
tenement	tenement	0.470	0.384	0.550
tenet	tenet	0.667	0.333	0.636
tenets	miyambo	0.734	0.357	0.667
tenfold	khumi	0.469	0.418	0.500
tennis	tennis	0.622	0.519	0.431
tenor	tchalitchi	0.587	0.451	0.500
tense	nthawi	0.396	0.439	0.655
tensile	kuthamanga	0.458	0.510	0.618
tension	kukangana	0.304	0.810	0.529
tent	hema	0.510	0.275	0.333
tentacle	chihema	0.370	0.559	0.398
tentative	kuyesa	0.582	0.657	0.534
tenth	chakhumi	0.510	0.349	0.382
tenths	khumi	0.406	0.294	0.284
tenuous	tenuous	0.398	0.263	0.276
tenure	udindo	0.615	0.472	0.611
tepee	tepee	0.500	0.337	0.373
tepid	zovuta	0.337	0.327	0.237
tequila	tequila	0.612	0.710	0.536
teriyaki	teriyaki	0.646	0.449	0.431
term	nthawi	0.450	0.255	0.598
terminal	Pokwerera	0.316	0.434	0.483
terminate	lekani	0.171	0.410	0.441
termination	kutha	0.344	0.472	0.545
terminator	terminator	0.370	0.663	0.737
terminology	mawu omveka	0.612	0.284	0.566
terminus	terminus	0.281	0.382	0.615
termite	chiwonongeko	0.265	0.480	0.408
terms	mawu	0.490	0.362	0.645
tern	tern	0.573	0.365	0.309
ternary	ternary	0.550	0.406	0.480
terrace	mtunda	0.615	0.269	0.411
terrain	malo	0.540	0.300	0.472
terrestrial	padziko lapansi	0.542	0.413	0.582
terrible	zoopsa	0.061	0.849	0.604
terribly	zovuta	0.061	0.731	0.430
terrier	zovuta	0.562	0.540	0.431
terrific	mantha	0.859	0.650	0.821
terrified	mantha	0.090	0.902	0.387
terrifies	mantha	0.083	0.923	0.500
terrify	mantha	0.052	0.889	0.509
terrifying	zoopsa	0.031	0.836	0.602
territorial	gawo	0.405	0.600	0.766
territory	gawo	0.625	0.469	0.676
terror	mantha	0.069	0.902	0.415
terrorism	uchigawenga	0.060	0.971	0.673
terrorist	zigawenga	0.019	0.930	0.679
terrorists	zigawenga	0.062	0.967	0.688
terrorize	kuopseza	0.041	0.907	0.577
terse	kutsika	0.542	0.393	0.409
tertiary	maphunziro apamwamba	0.500	0.350	0.431
test	mayesero	0.449	0.500	0.509
testament	pangano	0.594	0.420	0.806
testicle	zolemba	0.458	0.651	0.410
testicular	testicular	0.388	0.680	0.453
testify	umboni	0.521	0.650	0.741
testimonial	umboni	0.541	0.538	0.750
testimony	umboni	0.615	0.578	0.643
testosterone	testosterone	0.573	0.840	0.775
testy	NO TRANSLATION	0.135	0.640	0.357
tetanus	tetanasi	0.133	0.577	0.368
