Word	Estonian-et	Valence	Arousal	Dominance
snipe	peksis	0.198	0.915	0.491
sniper	snaiper	0.167	0.870	0.853
snippet	väljalõige	0.612	0.410	0.368
snippy	naeruväärne	0.418	0.491	0.481
snitch	torkama	0.300	0.598	0.333
snob	snob	0.296	0.520	0.309
snoop	snoop	0.134	0.740	0.434
snoopy	snoopy	0.573	0.534	0.291
snooty	tormakas	0.390	0.455	0.446
snooze	uinak	0.235	0.357	0.282
snore	jama	0.245	0.610	0.481
snorkel	snorkel	0.510	0.470	0.327
snort	närida	0.469	0.531	0.413
snot	vits	0.214	0.340	0.269
snotty	tormav	0.180	0.382	0.200
snout	nina	0.276	0.385	0.241
snow	lumi	0.667	0.363	0.309
snowball	lumepall	0.717	0.444	0.321
snowboard	lumelaua	0.663	0.680	0.511
snowboarder	lumelaudija	0.719	0.754	0.545
snowday	lumepäev	0.602	0.500	0.440
snowfall	lumesadu	0.675	0.280	0.455
snowflake	lumehelves	0.748	0.192	0.260
snowing	lumesadu	0.586	0.490	0.387
snowmageddon	snowmagedon	0.375	0.575	0.472
snowman	lumememm	0.776	0.291	0.323
snowplow	lumesahk	0.449	0.480	0.493
snowstorm	lumetorm	0.204	0.833	0.629
snowy	lumega	0.656	0.304	0.357
snub	vihane	0.229	0.412	0.228
snubbed	viskamine	0.265	0.528	0.279
snuff	nuusktubakas	0.357	0.470	0.377
snug	rahulik	0.867	0.173	0.500
snuggle	koonduma	0.781	0.390	0.350
snuggled	nőrgutati	0.552	0.439	0.314
snuggles	nõtke	0.670	0.340	0.287
snuggling	nõrk	0.683	0.585	0.373
soak	leotada	0.480	0.370	0.240
soaked	leotatud	0.365	0.462	0.358
soaking	leotamine	0.438	0.324	0.375
soangry	NO TRANSLATION	0.327	0.650	0.482
soannoyed	NO TRANSLATION	0.271	0.529	0.426
soap	seep	0.531	0.163	0.311
soapbox	seep	0.500	0.415	0.393
soapy	seebirull	0.552	0.373	0.355
soar	tõusma	0.790	0.740	0.718
soaring	kiirelt tõuseb	0.708	0.704	0.650
sob	NO TRANSLATION	0.115	0.480	0.212
sober	kaine	0.729	0.216	0.568
soblessed	NO TRANSLATION	0.542	0.395	0.287
sobriety	armastus	0.680	0.310	0.583
soc	soc	0.427	0.431	0.380
soccer	jalgpall	0.698	0.837	0.644
sociable	ühiskondlik	0.854	0.459	0.627
social	sotsiaalne	0.806	0.370	0.614
socialanxiety	NO TRANSLATION	0.270	0.588	0.426
socialism	sotsialism	0.510	0.500	0.560
socialist	sotsialistlik	0.448	0.400	0.543
socialite	sotsiaalne	0.684	0.668	0.570
socialize	suhtlema	0.907	0.683	0.726
society	ühiskond	0.674	0.464	0.782
sociology	sotsioloogia	0.615	0.439	0.694
sociopath	sotsiopath	0.104	0.863	0.439
sock	sokk	0.500	0.167	0.290
socket	pistikupesa	0.583	0.469	0.377
sod	surnud	0.427	0.383	0.333
soda	soda	0.688	0.314	0.364
soda/pop	soda / pop	0.581	0.410	0.382
sodding	süüdi	0.240	0.500	0.400
sodium	naatrium	0.490	0.340	0.291
sofa	diivan	0.583	0.106	0.263
soft	pehme	0.760	0.179	0.232
softball	pehmepall	0.735	0.630	0.518
soften	pehmendada	0.694	0.194	0.392
softener	pehmendaja	0.745	0.300	0.373
softening	pehmendamine	0.700	0.255	0.361
softly	pehmelt	0.517	0.206	0.304
softness	pehmus	0.875	0.086	0.402
software	tarkvara	0.561	0.280	0.570
soggy	soe	0.312	0.350	0.241
sohappy	nii õnnelik	0.949	0.673	0.681
soil	pinnas	0.350	0.180	0.356
soiled	määrdunud	0.106	0.529	0.213
soiree	soiree	0.729	0.692	0.578
sojourn	viibimine	0.514	0.243	0.509
solace	õnnistus	0.776	0.294	0.453
solar	päike	0.622	0.452	0.645
solarium	solaarium	0.602	0.356	0.421
solder	jootet	0.439	0.510	0.611
soldering	jootmine	0.573	0.536	0.538
soldier	sõdur	0.392	0.708	0.768
sole	tallal	0.427	0.194	0.279
solemn	pidulik	0.708	0.370	0.709
solicit	küsima	0.620	0.490	0.604
solicitation	pakkumine	0.612	0.519	0.415
solicitor	vandeadvokaat	0.600	0.479	0.802
solid	kindel	0.667	0.304	0.763
solidarity	solidaarsus	0.792	0.407	0.781
solidification	tahkestumine	0.480	0.500	0.827
solidified	tahkestunud	0.633	0.415	0.745
solidify	tahkuda	0.583	0.318	0.754
solidity	tugevus	0.745	0.444	0.850
solitaire	solitaire	0.365	0.227	0.279
solitary	üksildane	0.224	0.202	0.268
solitude	üksinda	0.208	0.226	0.358
solo	soolo	0.438	0.190	0.325
solubility	lahustuvus	0.506	0.360	0.442
soluble	lahustuv	0.542	0.272	0.409
solucky	solokk	0.573	0.529	0.615
solution	lahendus	0.790	0.339	0.664
solve	lahendada	0.656	0.530	0.688
solvency	maksevõime	0.604	0.296	0.605
solvent	lahusti	0.635	0.316	0.573
somad	NO TRANSLATION	0.429	0.490	0.463
somatic	somaatiline	0.438	0.406	0.444
somber	karm	0.184	0.500	0.380
some anticipation	mõni ootamine	0.423	0.482	0.472
some disgust	mõni hirmus	0.094	0.657	0.321
some surprise	mõni üllatus	0.827	0.849	0.500
some trust	mõni usaldus	0.594	0.451	0.547
somersault	somersault	0.214	0.769	0.519
somethingigetalot	NO TRANSLATION	0.573	0.567	0.509
somewhat negative	mõnevõrra negatiivne	0.208	0.480	0.150
somewhat positive	mõnevõrra positiivne	0.920	0.510	0.667
somuchtodo	NO TRANSLATION	0.510	0.598	0.441
son	poeg	0.792	0.365	0.528
sonar	sonar	0.541	0.480	0.414
sonata	sonata	0.643	0.406	0.425
sonervous	NO TRANSLATION	0.344	0.655	0.373
song	laul	0.854	0.413	0.500
songwriter	laulukirjutaja	0.844	0.558	0.713
sonic	sonic	0.594	0.500	0.481
sonice	NO TRANSLATION	0.500	0.356	0.421
sonnet	sonnet	0.718	0.294	0.404
sonorous	sonorous	0.646	0.580	0.442
soot	tahma	0.375	0.328	0.292
soothe	rahune	0.817	0.194	0.412
soothing	rahustav	0.625	0.179	0.519
sophisticated	keerukad	0.865	0.481	0.845
sophistication	keerukus	0.792	0.472	0.704
sophomore	sophomore	0.653	0.415	0.427
sopissed	NO TRANSLATION	0.276	0.577	0.433
soppy	soppy	0.510	0.355	0.297
soprano	sopran	0.552	0.550	0.685
sorcerer	nõid	0.377	0.633	0.632
sorcery	nõidus	0.279	0.740	0.640
sordid	sordid	0.219	0.555	0.447
sore	valus	0.094	0.650	0.224
soready	Soready	0.622	0.500	0.545
sorely	tüütu	0.284	0.727	0.370
soreness	valu	0.113	0.843	0.302
sorghum	sorgo	0.469	0.358	0.420
sorority	korruptsioon	0.635	0.637	0.627
sorrow	kurb	0.052	0.235	0.164
sorrowful	kurb	0.049	0.422	0.163
sorry	vabandust	0.406	0.362	0.212
sort	sorteerima	0.673	0.389	0.674
sorter	NO TRANSLATION	0.594	0.412	0.823
sortie	NO TRANSLATION	0.490	0.450	0.311
sorting	sorteerimine	0.469	0.400	0.642
sos	NO TRANSLATION	0.354	0.675	0.386
soscared	nii hirmul	0.229	0.652	0.319
soscary	nii hirmus	0.301	0.660	0.414
soslow	Soslow	0.347	0.312	0.284
sostressed	NO TRANSLATION	0.435	0.481	0.578
sosweet	nii armas	0.755	0.354	0.417
sothankful	NO TRANSLATION	0.729	0.526	0.418
sou	NO TRANSLATION	0.480	0.390	0.412
soul	hinge	0.770	0.220	0.510
soulful	hingeline	0.755	0.331	0.500
soulless	soulless	0.125	0.591	0.400
soulmate	soulmate	0.890	0.500	0.628
sound	heli	0.765	0.623	0.398
sounding	kõlav	0.690	0.500	0.558
soundness	usaldusväärsus	0.780	0.377	0.893
soundproof	helikindel	0.490	0.390	0.409
soundtrack	heliriba	0.630	0.559	0.518
soup	supp	0.602	0.245	0.269
sour	hapu	0.276	0.594	0.373
source	allikas	0.740	0.318	0.684
sourpuss	sourpuss	0.188	0.620	0.382
south	lõunasse	0.562	0.265	0.429
southbound	lõuna suunas	0.510	0.370	0.395
southeast	kagus	0.510	0.283	0.413
southern	lõunaosas	0.552	0.269	0.370
southpaw	lõunapool	0.542	0.389	0.404
southwest	edelas	0.406	0.314	0.355
souvenir	Suveniir	0.844	0.311	0.466
sovereign	suveräänne	0.698	0.500	0.885
sovereignty	suveräänsus	0.719	0.529	0.886
soviet	nõukogude	0.347	0.580	0.536
sow	külvama	0.667	0.430	0.446
soy	sojakaste	0.438	0.250	0.286
soy sauce	sojakaste	0.573	0.382	0.318
soybean	sojauba	0.521	0.250	0.293
spa	spaa	0.622	0.151	0.386
space	ruumi	0.800	0.317	0.573
spacecraft	kosmoseaparaat	0.646	0.698	0.680
spaceman	spaceman	0.688	0.577	0.848
spaceship	kosmoselaev	0.643	0.781	0.664
spacing	vahekaugus	0.621	0.425	0.507
spacious	avar	0.880	0.365	0.557
spade	piip	0.469	0.667	0.529
spaghetti	spagetid	0.729	0.353	0.288
spam	spämm	0.188	0.354	0.304
spammers	rämpsposti saatjad	0.354	0.500	0.418
span	NO TRANSLATION	0.521	0.330	0.528
spandex	spandex	0.429	0.520	0.429
spaniel	spaniel	0.561	0.435	0.385
spank	pühkima	0.112	0.882	0.642
spanking	imekas	0.194	0.736	0.392
spar	spar	0.417	0.438	0.536
spare	varuosa	0.552	0.398	0.411
spareribs	ribitükk	0.635	0.431	0.395
sparingly	säästlikult	0.510	0.353	0.518
spark	säde	0.688	0.745	0.529
sparkle	särama	0.819	0.765	0.510
sparkling	vahuvein	0.700	0.418	0.598
sparkly	sädematult	0.885	0.590	0.726
sparring	sparring	0.292	0.870	0.704
sparrow	varblane	0.583	0.460	0.327
sparse	hõre	0.240	0.367	0.209
spasm	spasm	0.194	0.594	0.366
spastic	spastiline	0.240	0.541	0.491
spat	rumal	0.427	0.413	0.309
spatial	ruumiline	0.604	0.625	0.645
spatter	pritsima	0.292	0.630	0.315
spatula	spaaplaat	0.302	0.198	0.369
spawn	kudema	0.542	0.586	0.709
spaz	spaz	0.443	0.500	0.268
speak	räägi	0.765	0.472	0.500
speakeasy	räägitav	0.680	0.536	0.442
speaker	kõneleja	0.604	0.660	0.723
speakerphone	valjuhääldi	0.531	0.569	0.560
speaking	rääkides	0.753	0.590	0.575
spear	oda	0.510	0.601	0.500
spec	spec	0.583	0.426	0.691
special	eriline	0.844	0.602	0.730
specialist	spetsialist	0.760	0.562	0.877
speciality	eriala	0.854	0.470	0.885
specialize	NO TRANSLATION	0.776	0.540	0.861
specially	spetsiaalselt	0.847	0.398	0.714
specialty	eriala	0.724	0.479	0.783
specie	NO TRANSLATION	0.583	0.471	0.650
species	liigid	0.561	0.330	0.645
specific	spetsiifiline	0.656	0.388	0.691
specification	spetsifikatsioon	0.552	0.479	0.602
specify	täpsustage	0.656	0.405	0.600
specimen	näidis	0.531	0.444	0.568
speck	plekk	0.418	0.245	0.343
speckled	tähniline	0.449	0.263	0.254
specs	specs	0.540	0.398	0.618
spectacle	vaatepilt	0.812	0.745	0.762
spectacles	prillid	0.816	0.775	0.648
spectacular	suurepärane	0.947	0.740	0.887
spectator	pealtvaataja	0.694	0.560	0.667
specter	spekter	0.265	0.723	0.540
spectral	spektraal	0.430	0.667	0.500
spectrometer	spektromeeter	0.500	0.452	0.490
spectrophotometer	spektrofotomeeter	0.500	0.484	0.500
spectroscopy	spektroskoopia	0.470	0.541	0.570
spectrum	spekter	0.312	0.700	0.527
speculate	spekuleerima	0.398	0.602	0.553
speculation	spekulatsioonid	0.325	0.683	0.394
speculative	spekulatiivne	0.276	0.591	0.464
speculum	spekulaarsus	0.417	0.469	0.433
speech	kõne	0.656	0.470	0.688
speechless	kõneta	0.459	0.320	0.315
speed	kiirus	0.719	0.849	0.658
speedboat	kiirpaat	0.635	0.858	0.612
speedily	kiiresti	0.688	0.740	0.665
speeding	kiiruse ületamine	0.438	0.908	0.645
speedometer	spidomeeter	0.427	0.549	0.579
speedway	kiirteel	0.667	0.519	0.416
speedy	kiire	0.625	0.625	0.793
spell	õigekiri	0.385	0.380	0.368
spellbound	vapustatud	0.531	0.647	0.387
spelling	õigekiri	0.594	0.357	0.398
spencer	spencer	0.510	0.394	0.367
spend	kulutama	0.672	0.745	0.429
spender	Spender	0.312	0.692	0.377
spending	kulutused	0.333	0.556	0.330
spent	kulutanud	0.296	0.296	0.263
sperm	sperma	0.396	0.706	0.453
spew	valama	0.260	0.651	0.573
sphere	kera	0.633	0.277	0.500
spherical	sfääriline	0.550	0.308	0.500
sphincter	spfikster	0.347	0.633	0.375
sphinx	sfinksi	0.604	0.324	0.490
spic	spic	0.302	0.455	0.451
spice	vürtsi	0.594	0.439	0.384
spicy	vürtsikas	0.440	0.733	0.610
spider	ämblik	0.229	0.569	0.430
spiders	ämblikud	0.260	0.696	0.368
spiffy	spifiline	0.615	0.582	0.470
spigot	spigot	0.380	0.346	0.423
spike	torkima	0.382	0.510	0.408
spiked	tibud	0.281	0.613	0.407
spiky	ahvatlev	0.284	0.657	0.587
spill	leke	0.408	0.633	0.456
spillin	NO TRANSLATION	0.375	0.500	0.362
spin	spin	0.551	0.422	0.345
spinach	spinat	0.583	0.200	0.368
spinal	seljaaju	0.312	0.491	0.296
spindle	spindel	0.552	0.410	0.360
spine	selgroog	0.495	0.461	0.600
spineless	spineless	0.344	0.387	0.321
spinner	spinner	0.458	0.593	0.471
spinning	ketramine	0.594	0.610	0.481
spinster	spinster	0.357	0.368	0.345
spiny	sileda	0.167	0.639	0.528
spiral	spiraal	0.490	0.624	0.361
spire	spire	0.354	0.358	0.389
spirit	vaim	0.786	0.370	0.621
spirited	vaimulik	0.854	0.587	0.734
spirits	vaimud	0.583	0.847	0.545
spiritual	vaimne	0.938	0.327	0.564
spirituality	vaimsus	0.865	0.281	0.667
spit	sülitada	0.149	0.545	0.436
spite	hoolimata	0.080	0.600	0.317
spiteful	kurjav	0.073	0.710	0.330
spitfire	spitfire	0.233	0.623	0.566
spittoon	spittoon	0.276	0.426	0.280
splash	pritsima	0.521	0.412	0.281
splat	vihik	0.510	0.433	0.385
splatter	hõõruda	0.312	0.596	0.352
spleen	põrn	0.448	0.255	0.396
splendid	suurepärane	0.896	0.740	0.810
splendor	hiilgus	0.927	0.612	0.850
splice	splaising	0.386	0.460	0.377
spline	spline	0.490	0.398	0.407
splint	splint	0.179	0.400	0.343
splinter	lõhenemine	0.136	0.422	0.325
split	jagatud	0.344	0.618	0.410
splitting	jagamine	0.188	0.598	0.375
splurge	hõõruda	0.365	0.481	0.542
spoil	rikkuma	0.146	0.723	0.328
spoiler	spoiler	0.347	0.527	0.380
spoiling	rikkuda	0.135	0.678	0.306
spoils	rikneb	0.388	0.760	0.481
spoke	rääkis	0.635	0.433	0.483
spoken	kõneles	0.551	0.363	0.545
spokesman	pressiesindaja	0.720	0.480	0.611
spokesperson	pressiesindaja	0.573	0.453	0.615
sponge	käsna	0.551	0.192	0.219
spongy	käsnjas	0.469	0.324	0.344
sponsor	sponsor	0.729	0.537	0.800
sponsorship	sponsorlus	0.854	0.608	0.696
spontaneity	spontaansus	0.817	0.698	0.655
spontaneous	spontaanne	0.780	0.578	0.655
spoof	petmine	0.490	0.594	0.381
spook	spook	0.327	0.887	0.322
spooky	kõhe	0.104	0.858	0.380
spool	spool	0.397	0.389	0.312
spoon	lusikas	0.479	0.236	0.259
spoonful	lusikatäis	0.582	0.208	0.308
sporadic	juhuslik	0.333	0.394	0.500
spore	spoor	0.480	0.408	0.231
sport	Sport	0.865	0.700	0.657
sporting	sportlik	0.917	0.656	0.675
sports	sport	0.833	0.683	0.587
sports car	sportauto	0.759	0.696	0.669
sportsman	sportlane	0.755	0.735	0.713
sportsmanship	sportlasus	0.890	0.582	0.694
sportswriter	spordiklubi	0.760	0.551	0.566
sporty	sportlik	0.735	0.713	0.648
spot	kohapeal	0.510	0.180	0.336
spotless	puhas	0.792	0.327	0.726
spotlight	tähelepanu keskpunktis	0.688	0.353	0.519
spotted	märgatud	0.354	0.472	0.295
spotter	jälgija	0.542	0.491	0.644
spotty	paikselt	0.281	0.606	0.241
spousal	abikaasa	0.656	0.582	0.632
spouse	abikaasa	0.750	0.600	0.645
spout	sink	0.438	0.357	0.309
sprain	pingetaluvus	0.063	0.580	0.384
sprawl	laienemine	0.600	0.596	0.672
spray	spray	0.438	0.410	0.333
spread	levida	0.570	0.583	0.651
spreader	laotur	0.510	0.480	0.500
spree	spree	0.564	0.663	0.474
spring	kevadel	0.837	0.370	0.481
springtime	kevadel	0.837	0.439	0.722
sprinkle	puista	0.635	0.404	0.380
sprinkler	sprinkler	0.510	0.434	0.473
sprinkling	piserdama	0.677	0.510	0.466
sprint	sprint	0.549	0.649	0.528
sprite	sprite	0.561	0.438	0.625
sprout	idanema	0.582	0.565	0.443
spruce	kuusk	0.604	0.288	0.380
spud	spud	0.403	0.423	0.349
spunk	jama	0.438	0.632	0.473
spunky	räpane	0.646	0.879	0.755
spur	ajama	0.378	0.545	0.340
spurious	vale	0.178	0.480	0.343
spurred	tõhustatud	0.562	0.684	0.472
spurt	spurt	0.448	0.550	0.475
spy	spioon	0.260	0.686	0.530
squabble	kummardama	0.173	0.850	0.500
squad	meeskond	0.552	0.711	0.806
squadron	eskadron	0.469	0.686	0.787
squall	viletsa	0.191	0.833	0.655
squamous	lamerakas	0.344	0.446	0.418
squander	raiskama	0.240	0.755	0.529
square	ruut	0.509	0.340	0.291
squash	squash	0.531	0.667	0.410
squat	maitsema	0.330	0.550	0.453
squatter	kummitama	0.390	0.361	0.565
squaw	jama	0.428	0.441	0.398
squawk	kummitama	0.265	0.480	0.245
squeak	nägema	0.271	0.679	0.300
squeaky	pearakas	0.229	0.771	0.367
squeal	squeal	0.250	0.731	0.375
squealer	squealer	0.541	0.519	0.330
squeamish	squeamish	0.176	0.656	0.453
squeeze	pigistama	0.458	0.676	0.532
squeezing	pigistamine	0.260	0.598	0.557
squelch	kärpima	0.271	0.510	0.462
squid	kalmaar	0.497	0.398	0.357
squint	squint	0.385	0.461	0.452
squire	squire	0.479	0.459	0.710
squirm	kummardama	0.235	0.824	0.373
squirrel	orav	0.592	0.358	0.333
squirt	prits	0.406	0.460	0.255
squish	lööma	0.260	0.788	0.481
squishy	kummitav	0.516	0.333	0.307
stab	stab	0.167	0.882	0.595
stabbed	pussitas	0.031	0.875	0.431
stability	stabiilsus	0.812	0.264	0.849
stabilize	stabiliseeruma	0.839	0.427	0.722
stabilizer	stabilisaator	0.688	0.353	0.767
stable	stabiilne	0.725	0.204	0.735
staccato	staccato	0.396	0.500	0.427
stack	virna	0.470	0.282	0.427
stadium	staadion	0.635	0.679	0.611
staff	töötajad	0.745	0.274	0.627
stag	lollakas	0.594	0.250	0.389
stage	etapp	0.592	0.306	0.473
stagecoach	majapidamine	0.516	0.519	0.627
stagehand	stage stage	0.420	0.684	0.555
stagger	lööma	0.531	0.620	0.458
staggering	uskumatu	0.520	0.657	0.683
stagnant	seisak	0.300	0.500	0.208
stagnation	stagnatsioon	0.276	0.324	0.396
staid	staid	0.385	0.290	0.634
stain	peitsima	0.453	0.324	0.264
stained	värvitud	0.245	0.460	0.209
stainless	roostevaba	0.594	0.329	0.618
stair	trepp	0.375	0.354	0.345
staircase	trepp	0.469	0.347	0.440
stairs	trepid	0.510	0.439	0.342
stairway	trepp	0.562	0.510	0.407
stairwell	trepikoda	0.510	0.292	0.333
stake	kaalus	0.406	0.608	0.460
stakeout	varitsus	0.344	0.546	0.600
stale	vananenud	0.235	0.461	0.286
stalemate	ummikseis	0.296	0.354	0.267
stalk	jälitama	0.436	0.272	0.395
stalker	stalker	0.177	0.930	0.639
stall	varisemine	0.370	0.245	0.292
stallion	täkk	0.628	0.596	0.779
stalls	kioskites	0.582	0.378	0.451
stalwart	stalwart	0.812	0.430	0.691
stamina	vastupidavus	0.664	0.694	0.877
stamp	tempel	0.438	0.327	0.441
stampede	tormama	0.235	0.875	0.683
stance	seisukoht	0.604	0.333	0.609
stand	seisma	0.600	0.324	0.509
standard	standard	0.673	0.143	0.605
standardize	standardiseerida	0.684	0.353	0.729
standardized	standardiseeritud	0.610	0.324	0.607
standby	ootel	0.260	0.224	0.386
standing	seisab	0.604	0.317	0.425
standoff	vaheldumine	0.333	0.840	0.558
standpoint	seisukohast	0.585	0.388	0.652
standstill	ooteaeg	0.441	0.203	0.500
standup	standup	0.633	0.583	0.550
stanza	stanza	0.612	0.343	0.297
staph	staph	0.375	0.480	0.412
staple	staapelkiud	0.542	0.306	0.438
stapler	klammerdaja	0.370	0.264	0.394
star	täht	0.833	0.418	0.560
star fruit	tähtvili	0.701	0.433	0.427
starboard	parempoolne	0.531	0.388	0.558
starch	tärklis	0.507	0.354	0.312
stardom	stardom	0.844	0.786	0.689
stardust	lumelaud	0.843	0.410	0.549
stare	VAHTIMA	0.541	0.430	0.538
starfish	meriklään	0.680	0.320	0.421
stargazing	stargazing	0.802	0.461	0.709
staring	jõllis	0.542	0.306	0.423
stark	karm	0.330	0.630	0.577
starlet	starlet	0.806	0.471	0.587
starlight	starlight	0.908	0.368	0.611
starling	närilistega	0.500	0.490	0.514
starry	starry	0.438	0.643	0.434
stars	tähed	0.796	0.521	0.484
starship	Starship	0.740	0.719	0.704
start	alusta	0.684	0.430	0.589
starter	starter	0.667	0.461	0.827
startle	ahvatlema	0.276	0.817	0.417
startled	hämmastunud	0.333	0.865	0.526
startling	hämmastav	0.750	0.768	0.830
starvation	näljahäda	0.240	0.592	0.284
starve	nälga	0.073	0.729	0.402
starved	näljane	0.097	0.689	0.219
starving	näljas	0.163	0.670	0.336
stash	vallutama	0.344	0.630	0.361
stat	stat	0.479	0.460	0.395
state	riik	0.562	0.320	0.604
stately	suurepärane	0.830	0.728	0.915
statement	avaldus	0.688	0.608	0.825
stateroom	kaminaruum	0.653	0.380	0.441
stateside	Ameerika Ühendriigid	0.643	0.480	0.708
statesman	riigimees	0.510	0.490	0.736
static	staatiline	0.297	0.250	0.366
staticky	NO TRANSLATION	0.357	0.278	0.358
statics	staatika	0.542	0.290	0.527
station	jaam	0.688	0.367	0.519
stationary	statsionaarne	0.408	0.240	0.484
stationery	kirjatarbed	0.570	0.120	0.455
statistic	Statistika	0.508	0.420	0.609
statistical	statistiline	0.714	0.353	0.627
statistician	statistik	0.571	0.360	0.703
stator	staator	0.281	0.453	0.557
statuary	kujunäidis	0.561	0.281	0.500
statue	kuju	0.542	0.153	0.570
statuette	kujutäht	0.677	0.433	0.518
stature	kasvuperiood	0.470	0.353	0.664
status	staatus	0.658	0.377	0.588
statute	põhikiri	0.592	0.330	0.673
statutory	seadusjärgne	0.510	0.376	0.539
staunch	uskumatu	0.480	0.363	0.833
stave	trepp	0.417	0.333	0.424
stay	jää	0.604	0.275	0.516
stayaway	NO TRANSLATION	0.369	0.284	0.526
stayed	jäänud	0.497	0.270	0.395
stays	jääb	0.633	0.363	0.564
stead	asemel	0.551	0.214	0.510
steadfast	kindel	0.771	0.433	0.800
steady	stabiilne	0.680	0.186	0.763
steak	praadima	0.625	0.359	0.315
steakhouse	liharestoran	0.802	0.379	0.547
steal	varastada	0.021	0.856	0.528
stealing	varastamine	0.086	0.913	0.455
stealth	saladus	0.520	0.270	0.452
stealthily	varjuliselt	0.763	0.294	0.458
stealthy	salajane	0.380	0.363	0.534
steam	aur	0.469	0.413	0.421
steamboat	aurulaev	0.708	0.500	0.633
steamer	auruti	0.510	0.442	0.528
steaming	aurutatud	0.592	0.553	0.402
steamroller	aurulaev	0.396	0.567	0.667
steamship	aurulaev	0.469	0.490	0.569
steamy	aurukas	0.479	0.538	0.445
steel	terasest	0.521	0.420	0.714
steep	järsk	0.312	0.612	0.321
steeple	torn	0.625	0.519	0.500
steer	juhtima	0.469	0.490	0.527
steering	juhtimine	0.580	0.431	0.660
stellar	täht	0.796	0.580	0.769
stem	vars	0.615	0.191	0.336
stench	lämmatusi	0.104	0.570	0.298
stencil	šabloon	0.500	0.327	0.421
stenographer	stenographer	0.510	0.408	0.589
step	samm	0.531	0.321	0.347
stepdaughter	tütarlaps	0.510	0.510	0.432
stepfather	kasuisa	0.396	0.491	0.611
stepmother	võõrasema	0.427	0.530	0.484
steppe	steppe	0.427	0.321	0.379
steps	sammud	0.511	0.349	0.373
stepson	lapsendaja	0.614	0.406	0.480
stereo	stereo	0.617	0.519	0.500
stereoscopic	stereoskoopiline	0.363	0.417	0.574
stereotype	stereotüüp	0.151	0.422	0.612
stereotyped	stereotüüpne	0.375	0.510	0.436
sterile	steriilne	0.302	0.471	0.291
sterility	steriilsus	0.201	0.519	0.414
sterilize	steriliseerige	0.406	0.510	0.520
sterling	sterling	0.529	0.481	0.615
stern	ahter	0.552	0.394	0.415
sternum	rinnus	0.520	0.422	0.436
steroid	steroid	0.360	0.706	0.681
stethoscope	stetoskoop	0.427	0.377	0.490
stew	hautatud	0.667	0.373	0.250
steward	juhendaja	0.633	0.238	0.550
stewardess	stjuardess	0.625	0.491	0.491
stewardship	juhtimine	0.551	0.440	0.617
stfu	stfu	0.292	0.500	0.390
stick	kleepige	0.396	0.364	0.382
sticker	kleebis	0.583	0.306	0.346
sticking	kleepimine	0.486	0.425	0.356
stickler	stickler	0.385	0.471	0.417
stickup	turritama	0.453	0.537	0.434
sticky	kleepuv	0.385	0.569	0.292
stiff	jäik	0.158	0.459	0.569
stiffen	jäigem	0.360	0.582	0.719
stiffness	jäikus	0.323	0.500	0.657
stifle	lämmatama	0.240	0.764	0.427
stifled	lämmatanud	0.229	0.731	0.193
stifling	hirmutav	0.163	0.858	0.608
stigma	stigma	0.327	0.500	0.470
stile	NO TRANSLATION	0.750	0.359	0.691
stiletto	stiletto	0.396	0.430	0.427
stillbirth	surnultsündimine	0.092	0.809	0.291
stillborn	surnult sündinud	0.271	0.519	0.337
stillness	vaikus	0.729	0.125	0.339
stillwaiting	NO TRANSLATION	0.344	0.393	0.420
stilts	jalad	0.439	0.577	0.300
stimulant	stimulant	0.441	0.794	0.745
stimulate	stimuleerima	0.792	0.798	0.754
stimulating	stimuleeriv	0.740	0.804	0.809
stimulation	stimulatsioon	0.708	0.821	0.702
stimulus	stiimul	0.771	0.779	0.750
sting	jama	0.163	0.651	0.373
stinger	stinger	0.279	0.625	0.508
stinging	ahvatlev	0.260	0.730	0.459
stingy	karm	0.094	0.548	0.283
stink	lõhnama	0.042	0.481	0.180
stinker	kurnav	0.163	0.567	0.275
stinking	kuradima	0.041	0.657	0.264
stinky	vihane	0.092	0.558	0.176
stint	väsimus	0.490	0.326	0.342
stipend	stipendium	0.604	0.546	0.614
stipulate	sätestada	0.570	0.546	0.623
stipulation	tingimus	0.469	0.622	0.654
stir	segage	0.448	0.773	0.453
stirring	segades	0.582	0.702	0.558
stitch	õmblema	0.306	0.538	0.357
stitching	õmblemine	0.510	0.382	0.345
stock	varud	0.594	0.418	0.407
stockade	laud	0.375	0.402	0.500
stockbroker	börsimaakler	0.417	0.676	0.802
stockholder	aktsionär	0.573	0.625	0.716
stocking	varud	0.594	0.324	0.688
stockings	sukad	0.458	0.365	0.382
stockpile	varud	0.542	0.315	0.425
stockroom	laoruum	0.562	0.312	0.406
stocks	varud	0.573	0.598	0.586
stoic	stoiaalne	0.427	0.473	0.602
stole	varastas	0.135	0.760	0.384
stolen	varastatud	0.156	0.646	0.308
stomach	kõhuga	0.367	0.402	0.438
stomachache	kõhuvalu	0.030	0.745	0.316
stomp	tibuma	0.365	0.565	0.438
stomped	stomped	0.229	0.684	0.406
stone	kivi	0.216	0.183	0.561
stoned	kividega surnuks	0.177	0.796	0.375
stonewall	kiviaed	0.337	0.457	0.655
stoneware	keraamika	0.458	0.300	0.443
stony	kivine	0.356	0.494	0.525
stooge	kutt	0.438	0.406	0.163
stool	väljaheide	0.448	0.269	0.302
stools	väljaheide	0.459	0.382	0.327
