Word	Igbo-ig	Valence	Arousal	Dominance
reefs	agba	0.531	0.471	0.455
reek	ihu	0.177	0.480	0.311
reel	agba	0.449	0.332	0.395
reelection	nyochaghari	0.541	0.673	0.681
reeling	ịghagharị	0.327	0.542	0.267
reenactment	nhazighari	0.771	0.592	0.768
reentry	weghachite	0.604	0.449	0.500
reestablish	weghachite	0.635	0.490	0.692
ref	ref	0.469	0.380	0.368
refer	ezo	0.506	0.358	0.558
referee	kọnye	0.531	0.644	0.778
reference	ederede	0.633	0.312	0.595
referendum	referendum	0.510	0.469	0.643
referral	Ntuziaka	0.694	0.314	0.603
refill	mezue	0.670	0.400	0.464
refine	chechaa	0.653	0.460	0.640
refined	nụchaa	0.850	0.430	0.653
refinement	nhazi	0.719	0.387	0.709
refinery	nụcha	0.646	0.444	0.565
refining	nụcha	0.694	0.466	0.664
refit	nkwụsị	0.500	0.577	0.506
reflect	tụgharịa uche	0.698	0.342	0.472
reflecting	na-egosipụta	0.590	0.408	0.471
reflection	echiche	0.710	0.500	0.528
reflective	reflective	0.656	0.292	0.735
reflector	reflector	0.479	0.510	0.500
reflex	reflex	0.583	0.460	0.538
reflux	reflux	0.281	0.559	0.347
reform	mgbanwe	0.531	0.490	0.797
reformation	nhazigharị	0.809	0.500	0.558
reformer	nhazi	0.562	0.569	0.905
refraction	ntụgharị	0.388	0.471	0.526
refractor	ntụgharị	0.510	0.541	0.433
refractory	refractory	0.520	0.357	0.588
refrain	zere	0.314	0.373	0.277
refraining	ịhapụ	0.418	0.453	0.404
refresh	nweta ume	0.719	0.640	0.689
refreshed	nweta ume	0.910	0.377	0.480
refreshing	na-enye ume ọhụrụ	0.936	0.520	0.571
refreshment	ume	0.667	0.410	0.352
refrigerate	refrigerate	0.635	0.357	0.457
refrigeration	Nri	0.735	0.392	0.500
refrigerator	friji	0.677	0.260	0.391
refuel	mmanu mmanu	0.592	0.445	0.500
refuge	ebe mgbaba	0.640	0.238	0.481
refugee	gbara ọsọ ndụ	0.379	0.607	0.327
refund	nkwụghachi	0.541	0.528	0.430
refurbish	gbanwee	0.656	0.633	0.541
refusal	ịjụ	0.052	0.610	0.321
refuse	jụ	0.180	0.520	0.331
refused	jụrụ	0.163	0.475	0.188
refusing	ịjụ	0.143	0.670	0.203
refutation	nhazi	0.312	0.726	0.566
refute	tụgharịa	0.312	0.731	0.583
regain	nwetaghachi	0.729	0.520	0.759
regal	regal	0.643	0.459	0.556
regalia	regalia	0.760	0.441	0.556
regard	ile anya	0.802	0.336	0.809
regatta	regatta	0.740	0.471	0.435
regency	nhazi	0.520	0.472	0.630
regenerate	weghachite	0.782	0.607	0.767
regeneration	nchịkwa	0.760	0.640	0.845
regent	regent	0.680	0.529	0.675
reggae	reggae	0.698	0.520	0.500
regime	ọchịchị	0.290	0.668	0.773
regimen	usoro	0.428	0.538	0.840
regiment	regiment	0.469	0.722	0.755
regimental	nchịkwa	0.292	0.637	0.817
region	mpaghara	0.540	0.295	0.712
regional	mpaghara	0.620	0.400	0.607
regionalism	mpagharaism	0.640	0.500	0.773
register	aha	0.490	0.412	0.654
registrar	ndebanye aha	0.599	0.537	0.574
registration	ndebanye aha	0.622	0.396	0.574
registry	ndebanye aha	0.573	0.320	0.583
regress	nchịkwa	0.255	0.442	0.300
regression	regression	0.312	0.500	0.324
regressive	nchịkwa	0.302	0.434	0.363
regret	akwa ụta	0.230	0.623	0.331
regretful	akwa ụta	0.167	0.480	0.188
regrettable	akwa ụta	0.104	0.374	0.245
regretted	kwara ụta	0.352	0.540	0.368
regretting	akwa ụta	0.255	0.567	0.273
regroup	nhazi	0.633	0.602	0.797
regular	mgbe niile	0.435	0.188	0.558
regularity	mgbe niile	0.663	0.337	0.585
regulars	ndozi	0.729	0.327	0.508
regulate	dozie	0.510	0.275	0.481
regulated	iwu	0.531	0.269	0.483
regulation	iwu	0.542	0.425	0.667
regulator	nduzi	0.500	0.336	0.668
regulatory	iwu	0.531	0.448	0.528
regurgitation	regurgitation	0.160	0.647	0.315
rehab	rehab	0.531	0.450	0.593
rehabilitate	gbanwee	0.671	0.538	0.642
rehabilitation	nhazi	0.406	0.528	0.606
rehash	rehash	0.405	0.451	0.403
rehearsal	nkwughari	0.667	0.470	0.500
rehearse	nyochaa	0.588	0.622	0.500
reign	ọchịchị	0.806	0.567	0.873
reigning	na-achị achị	0.677	0.632	0.870
reimburse	reimburse	0.680	0.418	0.527
reimbursement	reimbursement	0.653	0.610	0.567
rein	aka	0.500	0.357	0.438
reincarnation	ịla ụwa	0.786	0.747	0.676
reindeer	reindeer	0.592	0.336	0.396
reinforce	mesie ike	0.604	0.583	0.760
reinforcement	nkwenye	0.729	0.702	0.902
reinforcements	ike	0.646	0.719	0.875
reins	n 'ike	0.480	0.448	0.545
reinstall	weghachite	0.458	0.500	0.745
reinstate	weghachite	0.760	0.551	0.596
reinstatement	nbanyeghachi	0.729	0.521	0.707
reinvest	reinvest	0.570	0.627	0.763
reinvestment	nkwụsị	0.582	0.622	0.782
reiterate	nyochaa	0.422	0.451	0.655
reject	jụ	0.060	0.647	0.370
rejected	jụrụ	0.102	0.480	0.250
rejection	jụrụ	0.080	0.704	0.330
rejects	jụrụ	0.083	0.637	0.422
rejoice	na-aṅụrị ọṅụ	0.827	0.650	0.698
rejoicing	ọṅụ	0.811	0.637	0.592
rejoin	jikọta	0.655	0.548	0.556
rejuvenate	rejuvenate	0.776	0.588	0.767
rejuvenated	rejuvenated	0.809	0.673	0.700
rekindle	nụgharị	0.656	0.520	0.788
relapse	nlọghachi	0.173	0.460	0.303
relate	kọọ	0.653	0.500	0.623
related	metụtara	0.677	0.365	0.519
relation	mmekọrịta	0.857	0.604	0.625
relationship	mmekọrịta	0.867	0.566	0.589
relative	onye ikwu	0.500	0.378	0.386
relativity	mmekọrịta	0.594	0.393	0.615
relax	Zuo ike	0.927	0.250	0.375
relaxant	ezumike	0.878	0.087	0.357
relaxation	ezumike	0.873	0.161	0.381
relaxed	ezumike	0.865	0.090	0.382
relaxing	ezumike	0.854	0.157	0.475
relay	ọsọ agba anọ	0.738	0.542	0.543
release	ntọhapụ	0.740	0.606	0.741
released	tọhapụrụ	0.844	0.490	0.651
relegation	ọpụpụ	0.375	0.500	0.434
relentless	na-agbanwe agbanwe	0.333	0.713	0.904
relevance	mkpa	0.710	0.599	0.791
relevancy	mkpa	0.724	0.481	0.673
relevant	dị mkpa	0.719	0.608	0.764
reliability	a pụrụ ịdabere na ya	0.917	0.380	0.696
reliable	pụrụ ịdabere na ya	0.912	0.241	0.875
reliance	ndabere	0.844	0.431	0.853
relic	relic	0.646	0.452	0.591
relics	relics	0.719	0.580	0.579
relief	enyemaka	0.844	0.278	0.481
relieve	kwado	0.813	0.183	0.536
relieved	kwụsịrị	0.896	0.314	0.391
relieving	kwado	0.740	0.255	0.455
relight	ndabere	0.560	0.588	0.519
religion	okpukpe	0.646	0.320	0.755
religious	okpukpe	0.740	0.238	0.696
relinquish	kwụsịrị	0.265	0.606	0.286
relish	obi ụtọ	0.854	0.610	0.632
relive	relive	0.750	0.650	0.693
reload	weghachite	0.562	0.611	0.571
relocate	kwaga	0.500	0.594	0.640
relocation	nbanye	0.396	0.500	0.475
reluctance	enweghị mmasị	0.240	0.606	0.373
reluctant	adịghị ala azụ	0.292	0.630	0.432
rely	tụkwasị obi	0.812	0.429	0.616
remain	nọgide	0.709	0.365	0.731
remainder	nke fọdụrụ	0.398	0.357	0.324
remaining	fọdụrụ	0.449	0.290	0.296
remains	anọgide	0.610	0.240	0.565
remake	ngbanwe	0.583	0.488	0.642
remand	weghachite	0.245	0.446	0.318
remark	ekwu	0.561	0.325	0.716
remarkable	dị ịrịba ama	0.880	0.573	0.720
remarkably	n'ụzọ dị ịrịba ama	0.688	0.618	0.868
remarry	ịlụ di	0.653	0.791	0.540
rematch	nhazi	0.469	0.798	0.627
remedial	mgbatị	0.369	0.418	0.509
remedy	Ngwọta	0.625	0.283	0.491
remember	cheta	0.776	0.422	0.454
remembered	chetara	0.916	0.333	0.588
remembering	echeta	0.535	0.386	0.509
remembrance	ncheta	0.812	0.250	0.519
remind	cheta	0.721	0.415	0.563
reminder	ncheta	0.552	0.423	0.589
reminisce	megharia	0.903	0.490	0.363
reminiscent	na-echeta	0.500	0.481	0.611
reminiscing	na-echeta	0.688	0.431	0.418
remiss	ezighi ezi	0.190	0.650	0.325
remission	mgbagha	0.418	0.330	0.518
remit	nbanye	0.510	0.509	0.473
remittance	nkwụghachi ụgwọ	0.684	0.479	0.454
remnant	ndi fọduru	0.367	0.312	0.388
remodel	megharia	0.604	0.647	0.693
remorse	obi mgbawa	0.103	0.673	0.377
remorseful	obi mgbaghara	0.347	0.429	0.250
remote	ime obodo	0.458	0.333	0.477
remoteness	nkwụsị	0.323	0.510	0.339
removal	iwepụ	0.245	0.540	0.368
remove	wepu	0.292	0.539	0.472
remover	remover	0.337	0.443	0.526
remuneration	ugwo	0.792	0.760	0.607
renaissance	maliteghachi	0.771	0.670	0.767
renal	ntinye	0.300	0.480	0.415
rencontre	NO TRANSLATION	0.510	0.452	0.463
rend	NO TRANSLATION	0.429	0.423	0.385
render	mee	0.541	0.395	0.448
rendering	nsụgharị	0.531	0.434	0.667
rendezvous	ezumike	0.750	0.490	0.658
rendition	nsụgharị	0.417	0.360	0.398
renegade	nnupụisi	0.140	0.640	0.509
renegotiate	weghachite	0.580	0.702	0.708
renew	megharia	0.868	0.481	0.713
renewal	mmeghari ohuru	0.770	0.710	0.672
renounce	jụ	0.156	0.490	0.552
renovate	ndozi	0.878	0.549	0.755
renovated	emezigharị	0.783	0.406	0.657
renovation	mmeghari ohuru	0.816	0.590	0.779
renown	mara	0.693	0.475	0.693
renowned	ama ama	0.844	0.481	0.697
rent	ugwo	0.344	0.429	0.446
rental	mgbazinye	0.510	0.370	0.308
renter	onye na-akwụ ụgwọ	0.590	0.301	0.371
renunciation	renunciation	0.260	0.578	0.336
reopen	weghachite	0.656	0.528	0.568
reorganization	nhazi	0.622	0.587	0.754
reorganize	megharia	0.667	0.590	0.722
rep	rep	0.520	0.510	0.640
repaint	rechaa	0.622	0.382	0.308
repair	ndozi	0.583	0.460	0.589
repairman	mmezi	0.582	0.426	0.707
reparation	mmezi	0.531	0.615	0.732
repay	kwụọ ụgwọ	0.469	0.632	0.592
repayment	ịkwụ ụgwọ	0.479	0.490	0.474
repeal	kpochapu	0.260	0.480	0.482
repeat	kwughachi	0.490	0.529	0.552
repeated	ugboro ugboro	0.429	0.472	0.314
repeatedly	ugboro ugboro	0.479	0.575	0.500
repeater	nhazi	0.479	0.426	0.430
repel	weghachite	0.224	0.620	0.441
repellant	na-agbapụta	0.292	0.620	0.426
repellent	weghachite	0.286	0.500	0.491
repelling	na-agbapụta	0.184	0.633	0.429
repent	chegharịa	0.449	0.422	0.386
repentance	nchegharị	0.417	0.604	0.324
repentant	echegharị	0.326	0.500	0.200
repertoire	ngalaba	0.633	0.594	0.667
repertory	ntinyeghari	0.562	0.473	0.528
repetition	ugboro ugboro	0.375	0.519	0.396
repetitive	ugboro ugboro	0.320	0.438	0.362
rephrase	weghachigharịa	0.547	0.451	0.549
replace	dochie	0.417	0.520	0.500
replacement	nnọchi	0.385	0.519	0.500
replay	weghachite	0.612	0.522	0.761
replenish	replenish	0.615	0.336	0.689
replete	replete	0.552	0.497	0.670
replica	oyiri	0.480	0.520	0.493
replicate	mee ihe	0.480	0.630	0.585
replication	nzaghachi	0.342	0.618	0.510
reply	zaghachi	0.762	0.290	0.596
report	akụkọ	0.583	0.444	0.575
reported	kọrọ	0.418	0.442	0.567
reporter	onye nta akụkọ	0.531	0.550	0.604
repose	dowe	0.469	0.100	0.330
reposition	reposition	0.408	0.529	0.509
repository	ebe nchekwa	0.406	0.396	0.500
repossess	weghachite	0.418	0.667	0.552
reprehensible	na-ekwu okwu ọjọọ	0.316	0.569	0.351
represent	nọchite anya	0.781	0.433	0.861
representation	ihe ngosi	0.677	0.542	0.750
representative	onye nnọchianya	0.704	0.366	0.694
represented	nọchiri anya ya	0.724	0.444	0.688
representing	na-anọchi anya	0.796	0.464	0.833
repress	weghachite	0.208	0.612	0.536
repressed	weghachite	0.188	0.337	0.311
repression	ada ada	0.214	0.764	0.481
reprieve	weghachite	0.531	0.471	0.574
reprimand	ịba mba	0.153	0.528	0.465
reprint	nhazi	0.510	0.449	0.527
reprisal	mgbapụta	0.125	0.788	0.545
reprise	weghachite	0.459	0.500	0.464
reproach	nkọcha	0.240	0.755	0.384
reproduce	mụta nwa	0.823	0.622	0.760
reproduction	mmeputakwa	0.800	0.736	0.713
reproductive	ịmụ nwa	0.770	0.604	0.856
reprogram	reprogram	0.519	0.404	0.557
reptile	reptile	0.350	0.566	0.365
republic	mba	0.635	0.340	0.830
republican	Republican	0.398	0.551	0.664
repudiation	nhichapu	0.167	0.686	0.274
repugnance	na-asọ oyi	0.062	0.684	0.425
repugnant	na-asọ oyi	0.061	0.735	0.453
repulsion	nkwụsị	0.247	0.673	0.353
repulsive	na-asọ oyi	0.146	0.775	0.425
repurchase	ịgbara	0.531	0.592	0.557
reputable	mara aha	0.781	0.462	0.919
reputation	aha	0.740	0.542	0.721
repute	akọrọ	0.729	0.500	0.702
reputed	akpọ	0.439	0.528	0.627
request	arịrịọ	0.625	0.471	0.618
requiem	requiem	0.475	0.382	0.426
require	achọrọ	0.398	0.439	0.560
required	achọrọ	0.583	0.509	0.700
requirement	chọrọ	0.510	0.439	0.728
requisite	dị mkpa	0.448	0.363	0.609
requisition	nyocha	0.478	0.510	0.649
reread	reread	0.448	0.377	0.492
reroute	weghachi	0.540	0.598	0.598
rerun	weghachi	0.333	0.620	0.529
reschedule	reschedule	0.438	0.422	0.537
rescind	weghachite	0.347	0.380	0.391
rescission	rescission	0.333	0.529	0.360
rescue	nnaputa	0.806	0.926	0.850
research	nnyocha	0.633	0.663	0.741
researcher	onye nyocha	0.569	0.510	0.857
resection	resection	0.375	0.482	0.500
resemblance	yiri	0.743	0.216	0.570
resemble	yiri	0.602	0.388	0.463
resembling	yiri	0.592	0.250	0.529
resent	iwe	0.073	0.553	0.163
resentful	iwe	0.120	0.608	0.324
resentment	iwe	0.163	0.745	0.528
reservation	ndoputa	0.688	0.343	0.561
reserve	debe	0.585	0.289	0.589
reserved	edebe	0.594	0.316	0.583
reserves	mee	0.653	0.363	0.520
reservoir	mmiri	0.531	0.276	0.462
reset	nhazi	0.490	0.450	0.574
reside	bi	0.451	0.440	0.455
residence	obibi	0.615	0.382	0.585
residences	ụlọ obibi	0.618	0.418	0.509
residency	obibi	0.694	0.357	0.679
resident	bi	0.592	0.327	0.500
residential	obibi	0.720	0.210	0.589
residual	abia	0.448	0.288	0.327
residue	nke fọduru	0.354	0.330	0.183
resign	kwenye	0.250	0.543	0.273
resignation	arụkwaghịm	0.145	0.392	0.310
resigned	kwenye	0.240	0.170	0.268
resilience	resilience	0.531	0.440	0.667
resilient	resilient	0.542	0.540	0.801
resin	resin	0.284	0.308	0.400
resist	guzogide	0.414	0.676	0.651
resistance	nnọchigide	0.427	0.694	0.796
resistant	eguzogide ọgwụ	0.592	0.585	0.815
resisting	iguzogide	0.408	0.776	0.789
resistive	iwe	0.396	0.519	0.651
resolute	kpebisie ike	0.771	0.510	0.712
resolutely	kpebisie ike	0.714	0.453	0.805
resolution	mkpebi	0.780	0.550	0.745
resolve	kpebie	0.710	0.472	0.750
resolved	kpebiri	0.735	0.357	0.683
resonance	resonance	0.541	0.426	0.629
resonant	resonant	0.542	0.633	0.663
resonate	resonate	0.582	0.610	0.644
resonator	resonator	0.469	0.608	0.519
resort	eme njem	0.573	0.441	0.632
resounding	edemede	0.490	0.708	0.596
resource	akụ	0.740	0.357	0.749
resourceful	ịba uru	0.906	0.704	0.886
resources	ihe onwunwe	0.604	0.348	0.627
respect	nkwanye ùgwù	0.927	0.344	0.758
respectability	nkwanye ùgwù	0.875	0.407	0.912
respectable	na-asọpụrụ	0.850	0.350	0.889
respected	akwanyere ùgwù	0.908	0.441	0.853
respectful	nkwanye ùgwù	0.951	0.386	0.814
respecting	nkwanye ùgwù	0.837	0.321	0.720
respective	iche	0.625	0.413	0.721
respects	anya	0.840	0.387	0.824
respiration	respiration	0.760	0.377	0.669
respirator	respirator	0.433	0.398	0.453
respiratory	okuku ume	0.500	0.450	0.552
respite	oge	0.600	0.373	0.420
resplendent	obi ụtọ	0.905	0.673	0.755
respond	zaghachi	0.573	0.435	0.594
respondent	onye nabatara	0.449	0.455	0.480
response	nzaghachi	0.615	0.500	0.472
responsibility	ibu ọrụ	0.760	0.500	0.852
responsible	ọrụ	0.837	0.527	0.833
responsive	anabata	0.816	0.569	0.573
rest	ezumike	0.907	0.167	0.300
restart	Malitegharịa ekwentị	0.531	0.519	0.554
restaurant	ụlọ oriri na ọṅụṅụ	0.847	0.406	0.500
rested	zuru ike	0.792	0.235	0.462
restful	zuru ike	0.781	0.116	0.413
restitution	nkwụghachi	0.583	0.542	0.643
restless	ezumike	0.219	0.810	0.304
restlessness	ezumike	0.083	0.794	0.397
restock	weghachite	0.510	0.538	0.645
restoration	mweghachi	0.755	0.426	0.734
restorative	Ndozi	0.633	0.510	0.703
restore	weghachite	0.765	0.490	0.625
restored	weghachite	0.892	0.410	0.728
restoring	iweghachi	0.820	0.490	0.783
restrain	kwụsị	0.134	0.696	0.434
restrained	ejide onwe ya	0.354	0.590	0.509
restraining	njide	0.296	0.702	0.672
restraint	njide	0.167	0.618	0.520
restrict	machibido	0.115	0.539	0.577
restricted	egbochi	0.276	0.500	0.407
restriction	mmachi	0.130	0.590	0.569
restrictive	emechi	0.215	0.596	0.500
restroom	ebe obibi	0.653	0.279	0.267
result	akpata	0.812	0.490	0.652
resultant	akpata	0.670	0.441	0.637
resume	malitegharịa	0.573	0.411	0.586
resumption	maliteghachi	0.637	0.528	0.653
resurrect	mbilite n'ọnwụ	0.781	0.725	0.817
resurrection	mbilite n'ọnwụ	0.708	0.740	0.759
resuscitate	iweghachi	0.531	0.696	0.818
resuscitation	nmighachi	0.753	0.768	0.795
retail	ụlọ ahịa	0.510	0.353	0.411
retailer	ere ahịa	0.708	0.439	0.595
retain	ejigide	0.367	0.451	0.630
retainer	njide	0.396	0.422	0.356
retaining	nọnye	0.417	0.559	0.632
retake	weghachite	0.616	0.471	0.591
retaliate	megwara	0.111	0.812	0.595
retaliation	imegwara	0.156	0.812	0.491
retaliatory	retaliatory	0.194	0.865	0.598
retard	nkwụsị	0.194	0.347	0.222
retardation	nkwụsị	0.125	0.360	0.155
retarded	laghachi azụ	0.302	0.462	0.161
retards	nkwụsị	0.362	0.434	0.218
retention	njigide	0.344	0.490	0.558
retentive	nkwụsị	0.439	0.482	0.491
rethink	chegharịa	0.480	0.423	0.583
reticent	na-achọ	0.396	0.519	0.500
retina	retina	0.490	0.255	0.342
retinal	ezighi ezi	0.531	0.343	0.475
retire	kwụsị	0.398	0.392	0.186
retired	lara ezumike nká	0.270	0.259	0.301
retirement	ezumike nká	0.250	0.324	0.255
retiring	ịla azụ	0.408	0.376	0.214
retold	weghachite	0.459	0.385	0.352
retort	eziputa	0.417	0.520	0.481
retrace	weghachite	0.250	0.482	0.317
retract	weghachite	0.316	0.443	0.358
retraction	nzaghachi	0.312	0.491	0.427
retractor	onye nlekota	0.354	0.590	0.557
retreat	laghachi	0.500	0.519	0.312
retrenchment	ezumike	0.230	0.650	0.384
retrial	imeghachi ihe	0.500	0.577	0.593
retribution	ugwo	0.625	0.490	0.708
retrieval	weghachite	0.700	0.440	0.704
retrieve	weghachite	0.740	0.576	0.705
retriever	weghachite	0.459	0.500	0.464
retro	gbanwee	0.650	0.276	0.321
retroactive	retroactive	0.521	0.452	0.655
retrograde	retrograde	0.208	0.464	0.415
retrospect	retrospect	0.406	0.500	0.538
retrospective	anya	0.594	0.481	0.528
retrospectively	na-atụgharị azụ	0.516	0.400	0.560
return	nloghachi	0.602	0.412	0.463
reunion	ezukọta	0.837	0.500	0.672
reunite	zukọta	0.656	0.550	0.657
reunited	weghachite	0.708	0.439	0.658
rev	rev	0.367	0.422	0.353
reveal	kpughere	0.493	0.637	0.526
revel	obi ụtọ	0.740	0.705	0.684
revelation	mkpughe	0.879	0.500	0.865
revelations	mkpughe	0.729	0.655	0.600
revels	ihe oriri	0.827	0.683	0.647
revenge	ịbọ ọbọ	0.230	0.940	0.627
revenue	enweta ego	0.873	0.510	0.854
reverberation	reverberation	0.390	0.639	0.551
revere	asọpụrụ	0.750	0.562	0.608
reverence	nsọpụrụ	0.643	0.347	0.516
reverend	Reverend	0.650	0.337	0.576
reverent	na-asọpụrụ	0.551	0.490	0.694
reverie	na-agbanye	0.667	0.413	0.471
reversal	ngbanwe	0.380	0.510	0.591
reverse	gbanwee	0.539	0.415	0.461
reversion	ntụgharị	0.458	0.538	0.425
revert	laghachi	0.380	0.451	0.519
reverting	weghagharia	0.562	0.385	0.544
review	nyochaa	0.667	0.408	0.636
reviewer	nyochaa	0.562	0.344	0.500
revise	nyochaa	0.500	0.469	0.509
revision	nyochaa	0.417	0.459	0.710
revisit	nyochaa	0.552	0.530	0.509
revival	mmalite	0.823	0.664	0.597
revive	nụ	0.676	0.780	0.778
revocation	nwepu	0.260	0.610	0.673
revoke	gbanyụọ	0.251	0.696	0.737
revolt	nnupụisi	0.343	0.878	0.658
revolting	nnupụisi	0.102	0.690	0.300
revolution	mgbanwe	0.417	0.902	0.798
revolutionary	na-eme mgbanwe	0.635	0.887	0.824
revolutionize	gbanwee	0.684	0.816	0.904
revolve	gbanwee	0.592	0.546	0.402
revolver	nnupụisi	0.194	0.796	0.750
revolving	nnupụisi	0.602	0.570	0.580
revue	nyocha	0.594	0.350	0.420
revulsion	nnupụisi	0.104	0.765	0.343
revving	nyochaa	0.604	0.875	0.879
reward	ụgwọ ọrụ	0.948	0.694	0.783
rewarding	akwụ ụgwọ	0.958	0.637	0.783
rewind	weghachi	0.460	0.551	0.431
rewire	rewire	0.365	0.462	0.406
rewrite	deeghachi ya	0.490	0.500	0.434
rhapsody	rhapsody	0.708	0.490	0.460
rhetoric	nkwupụta okwu	0.417	0.429	0.504
rhetorical	nchịkọta okwu	0.417	0.569	0.635
rheumatism	rheumatism	0.219	0.472	0.418
rhinestone	rhinestone	0.531	0.551	0.408
rhino	Rhino	0.531	0.549	0.555
rhinoceros	rhinoceros	0.556	0.656	0.569
rhubarb	rhubarb	0.582	0.304	0.340
rhyme	rhyme	0.667	0.249	0.481
rhyming	na-egwu egwu	0.729	0.410	0.500
rhythm	ụda	0.771	0.759	0.573
rhythmic	rhythmic	0.714	0.642	0.664
rhythmical	ihe omimi	0.844	0.694	0.632
rib	ụgbụ	0.490	0.349	0.351
ribbed	ribbed	0.365	0.378	0.409
ribbon	mpempe akwụkwọ	0.719	0.288	0.357
rice	osikapa	0.667	0.208	0.330
rich	ọgaranya	0.882	0.627	0.905
riches	akụnụba	0.958	0.694	0.880
richness	ọgaranya	0.896	0.833	0.922
rick	rick	0.459	0.420	0.444
rickety	adịghị ike	0.224	0.402	0.241
rickshaw	rickshaw	0.438	0.594	0.402
ricochet	ricochet	0.287	0.618	0.430
rid	kpochapu	0.194	0.408	0.327
riddance	nkwụsị	0.323	0.562	0.472
riddle	ilu	0.521	0.583	0.543
riddled	agbaba	0.281	0.861	0.422
ride	agba ịnyịnya	0.806	0.465	0.472
rider	onye na-agba	0.635	0.627	0.574
ridge	elu	0.484	0.402	0.349
ridicule	akwa emo	0.143	0.745	0.255
ridiculed	akwa emo	0.112	0.806	0.212
ridiculous	ọchị	0.159	0.594	0.245
riding	agba ịnyịnya	0.694	0.654	0.620
rife	rife	0.570	0.561	0.692
riff	riff	0.521	0.551	0.343
riffraff	riffraff	0.360	0.404	0.397
rifle	égbè	0.329	0.900	0.718
rifleman	rifleman	0.245	0.863	0.767
rifles	rifles	0.337	0.864	0.765
rift	ọsọ ọsọ	0.246	0.519	0.289
rig	rig	0.542	0.382	0.746
rigged	gbasiri ike	0.188	0.510	0.412
rigging	na-agbanye	0.510	0.518	0.440
right	nri	0.740	0.352	0.710
righteous	ezi omume	0.823	0.385	0.790
righteousness	ezi omume	0.802	0.660	0.897
rightful	ziri ezi	0.837	0.358	0.821
rightly	n'ụzọ ziri ezi	0.740	0.471	0.782
righty	ezi	0.750	0.314	0.786
rigid	siri ike	0.357	0.552	0.591
rigidity	rigidity	0.198	0.530	0.726
rigor	ike	0.375	0.745	0.713
rigorous	siri ike	0.438	0.818	0.847
rim	mmiri	0.510	0.397	0.302
rind	rind	0.542	0.280	0.491
ring	mgbanaka	0.677	0.427	0.464
ringer	ụda	0.573	0.604	0.347
ringing	eti mkpu	0.724	0.598	0.693
ringleader	onye nlekọta	0.520	0.550	0.640
ringmaster	ụda olu	0.630	0.622	0.732
ringside	ringide	0.500	0.644	0.411
rink	rink	0.551	0.392	0.392
rinse	kpochapu	0.663	0.168	0.409
riot	ọgba aghara	0.061	0.946	0.586
rioting	eme mkpọtụ	0.156	0.949	0.560
riotous	riotous	0.163	0.837	0.588
riots	ọgba aghara	0.099	0.882	0.564
rip	rip	0.146	0.676	0.365
riparian	riparian	0.552	0.408	0.412
ripe	mfri eke	0.671	0.337	0.670
ripen	ripen	0.755	0.373	0.671
ripening	ripening	0.615	0.490	0.759
ripper	ripper	0.219	0.887	0.642
ripple	ụgbụ	0.500	0.453	0.370
rippling	na-agba ọsọ	0.500	0.480	0.327
rise	bilie	0.667	0.593	0.745
rising	ebili	0.750	0.602	0.696
risk	ihe ize ndụ	0.240	0.816	0.438
risky	dị ize ndụ	0.224	0.922	0.700
risotto	risotto	0.802	0.454	0.234
rite	eme	0.378	0.570	0.606
ritual	ememe	0.375	0.520	0.508
ritualistic	ritualistic	0.450	0.583	0.540
rival	onye agha	0.286	0.605	0.574
rivalry	agha	0.192	0.765	0.538
river	osimiri	0.688	0.392	0.605
riverbank	akụkụ osimiri	0.684	0.300	0.330
riverbed	mmiri	0.610	0.233	0.421
riverboat	ụgbọ mmiri	0.561	0.347	0.462
rivet	rivet	0.458	0.306	0.405
riveted	riveted	0.385	0.439	0.443
riveting	riveting	0.448	0.544	0.394
roach	roach	0.146	0.598	0.259
road	ụzọ	0.656	0.404	0.404
roadblock	mgbidi	0.337	0.669	0.490
roadhouse	ụlọ ụzọ	0.500	0.620	0.458
roadie	roadie	0.500	0.566	0.455
roadrage	NO TRANSLATION	0.458	0.567	0.565
roadrunner	onye na-eso ụzọ	0.490	0.702	0.590
roads	ụzọ	0.677	0.448	0.496
roadside	n'okporo ụzọ	0.500	0.569	0.472
roadster	roadster	0.531	0.622	0.473
roadtrip	okporo ụzọ	0.677	0.596	0.519
roadway	ụzọ	0.562	0.206	0.509
roadworks	ụzọ	0.562	0.538	0.509
roam	na-agagharị	0.510	0.550	0.444
roar	ụda	0.427	0.816	0.675
roaring	na-eti mkpu	0.449	0.817	0.634
roast	anụ	0.521	0.541	0.311
roasted	a ṅara n'ọkụ	0.615	0.520	0.339
rob	bido	0.112	0.840	0.500
robber	ohi	0.135	0.772	0.481
robbery	izu ohi	0.133	0.843	0.435
robe	uwe	0.594	0.216	0.298
robin	robin	0.552	0.363	0.393
robot	robot	0.441	0.337	0.543
robotic	robotic	0.417	0.602	0.657
robotics	robotics	0.592	0.600	0.763
robust	siri ike	0.667	0.604	0.719
roc	roc	0.427	0.510	0.415
rock	nkume	0.623	0.236	0.557
rocker	rocker	0.615	0.704	0.625
rocket	roket	0.664	0.824	0.774
rocks	nkume	0.365	0.209	0.543
rod	mkpara	0.479	0.319	0.355
rodent	Ogwu	0.323	0.577	0.279
rodeo	rodeo	0.490	0.676	0.588
roe	roe	0.490	0.382	0.398
rogue	rogue	0.334	0.713	0.636
