Word	Persian-fa	Valence	Arousal	Dominance
skijump	NO TRANSLATION	0.635	0.647	0.482
skill	مهارت	0.847	0.701	0.833
skilled	ماهر	0.886	0.614	0.929
skillet	اسکلت	0.510	0.296	0.345
skillful	ماهر	0.802	0.616	0.908
skim	نوشیدنی	0.418	0.328	0.322
skimpy	شگفت انگیز	0.302	0.349	0.208
skin	پوست	0.569	0.350	0.395
skinny	لاغر	0.333	0.333	0.298
skip	جست و خیز	0.458	0.804	0.439
skipper	کاپیتان	0.440	0.577	0.692
skirmish	تکان خوردن	0.290	0.640	0.474
skirt	دامن	0.602	0.463	0.226
skirting	جفت کردن	0.449	0.529	0.386
skirts	دامن	0.622	0.538	0.241
skit	اسکیت	0.438	0.434	0.421
skittish	اسکیتز	0.156	0.815	0.172
skull	جمجمه	0.276	0.558	0.574
skunk	اسکن	0.284	0.491	0.380
sky	آسمان	0.958	0.234	0.401
skylight	پنجره شیشه ای	0.708	0.314	0.343
skyline	خط افق	0.592	0.412	0.662
skyscraper	آسمان خراش	0.622	0.696	0.798
slab	اسلب	0.398	0.265	0.264
slack	شل	0.521	0.283	0.446
slag	سرباره	0.266	0.600	0.254
slam	اسلم	0.459	0.577	0.480
slammer	اسلومر	0.417	0.565	0.391
slander	گناه	0.184	0.604	0.454
slanderous	تاب آوري	0.057	0.800	0.337
slang	عامیانه	0.479	0.418	0.491
slant	کج خلقی	0.469	0.396	0.536
slap	سیلی زدن	0.100	0.804	0.518
slash	اسلش	0.260	0.500	0.509
slashes	بریده بریده	0.330	0.328	0.410
slate	تخته سنگ	0.531	0.283	0.431
slates	صفحات	0.500	0.270	0.342
slaughter	کشتار	0.052	0.953	0.602
slaughterhouse	کشتارگاه	0.146	0.794	0.472
slaughtering	کشتار	0.133	0.947	0.714
slave	برده	0.171	0.795	0.151
slavery	بردگی	0.052	0.783	0.218
slay	ذبح کردن	0.133	0.920	0.585
slayer	قاتل	0.041	0.930	0.661
sleaze	سوزان	0.312	0.538	0.405
sleazy	لعنتی	0.292	0.674	0.370
sled	NO TRANSLATION	0.635	0.547	0.446
sledding	اسب سواری	0.625	0.547	0.422
sledge	سانی	0.646	0.500	0.361
sledgehammer	چکمه	0.449	0.479	0.482
sleek	براق	0.750	0.484	0.643
sleep	بخواب	0.719	0.090	0.339
sleeper	خواب	0.640	0.154	0.254
sleeping	خوابیدن	0.704	0.091	0.312
sleepless	بی خوابی	0.213	0.410	0.207
sleeplessness	بی خوابی	0.104	0.604	0.202
sleepover	sleepover	0.815	0.519	0.340
sleepy	خواب آلود	0.604	0.125	0.250
sleepyhead	خوابیدن	0.327	0.350	0.294
sleet	یخ	0.410	0.355	0.395
sleeve	آستین	0.531	0.270	0.273
sleeveless	بدون آستین	0.638	0.290	0.200
sleigh	سورتمه	0.742	0.551	0.396
sleight	افتخار	0.719	0.677	0.379
slender	بلند بلند	0.812	0.548	0.664
sleuth	کلوچه	0.460	0.633	0.676
slice	تکه	0.583	0.375	0.303
slick	نرمی	0.388	0.383	0.349
slicker	سوخاری	0.727	0.387	0.519
slide	اسلاید	0.615	0.435	0.432
slider	لغزنده	0.585	0.491	0.518
sliding	کشویی	0.356	0.730	0.491
slight	کمی	0.521	0.240	0.155
slight anticipation	پیش بینی کم	0.562	0.490	0.445
slight disgust	بی رحمی	0.156	0.578	0.318
slight surprise	شگفتی کم	0.677	0.746	0.557
slight trust	اعتماد کم	0.306	0.400	0.245
slightly	کمی	0.470	0.274	0.255
slightly negative	کمی منفی است	0.190	0.472	0.259
slightly positive	کمی مثبت است	0.792	0.480	0.567
slim	باریک	0.562	0.180	0.296
slime	لجن	0.300	0.370	0.183
slimy	لاغر	0.177	0.500	0.309
sling	زنجیر	0.417	0.423	0.404
slingshot	تیرکمان بچه گانه	0.323	0.654	0.474
slink	لاغر	0.460	0.546	0.314
slinky	لاغر	0.400	0.637	0.603
slip	لیز خوردن	0.316	0.714	0.321
slipper	دمپایی	0.635	0.298	0.245
slippers	دمپایی	0.573	0.413	0.236
slippery	لغزنده	0.219	0.740	0.343
slit	شکاف	0.406	0.490	0.366
sliver	چاقو	0.388	0.347	0.291
slob	سیلاب	0.275	0.365	0.300
slobber	slobber	0.350	0.375	0.278
slogan	شعار	0.550	0.216	0.564
sloop	شلپ	0.480	0.375	0.380
slop	NO TRANSLATION	0.306	0.409	0.325
slope	شیب	0.347	0.438	0.279
sloppy	درهم و برهم	0.303	0.441	0.183
slot	اسلات	0.469	0.337	0.337
sloth	لکه	0.198	0.140	0.125
slouch	لگد زدن	0.365	0.450	0.328
slough	اسلحه	0.265	0.390	0.200
slow	آرام	0.357	0.073	0.131
slowly	به آرامی	0.427	0.185	0.295
slowness	آهسته	0.302	0.212	0.191
sludge	لجن	0.354	0.396	0.229
slug	شلاق زدن	0.276	0.370	0.160
slugger	لجن زدن	0.458	0.500	0.518
sluggish	تنبل	0.224	0.124	0.155
sluice	شلوغی	0.427	0.520	0.365
slum	زاغه	0.292	0.528	0.302
slumber	خوابیدن	0.592	0.191	0.426
slump	سقوط	0.194	0.438	0.130
slur	خراب کردن	0.115	0.814	0.427
slurp	خرابکاری	0.540	0.528	0.411
slush	شیرین	0.427	0.283	0.296
slut	شلخته	0.071	0.808	0.309
slutty	slutty	0.224	0.810	0.371
sly	باهوش	0.573	0.690	0.750
smack	چرت زدن	0.323	0.662	0.381
small	کوچک	0.542	0.205	0.120
smaller	کوچکتر	0.300	0.310	0.179
smallest	کوچکترین	0.281	0.340	0.129
smallpox	ابله	0.156	0.583	0.222
smart	هوشمندانه	0.906	0.607	0.923
smartass	هوشمندانه	0.364	0.520	0.620
smarten	smarten	0.602	0.490	0.551
smarty	هوشمندانه	0.673	0.510	0.848
smash	درهم کوبیدن	0.195	0.692	0.530
smashed	شکست خورده	0.143	0.660	0.256
smattering	خنده دار	0.448	0.460	0.500
smear	اسمیر	0.230	0.433	0.400
smell	بو	0.510	0.520	0.330
smelling	بوییدن	0.458	0.481	0.349
smelly	بدبختی	0.100	0.528	0.245
smelt	ذوب شدن	0.333	0.441	0.345
smidgen	smidgen	0.367	0.385	0.357
smile	لبخند	0.906	0.598	0.618
smiled	لبخند زد	0.949	0.530	0.536
smiles	لبخند می زند	0.892	0.606	0.607
smiley	لبخند	0.865	0.470	0.571
smiling	خندان	0.981	0.679	0.625
smirk	عجله کن	0.792	0.596	0.583
smite	ضربه بزنید	0.303	0.846	0.682
smith	اسمیت	0.677	0.333	0.529
smithereens	smithereens	0.281	0.561	0.409
smitten	ضرب و شتم	0.153	0.760	0.204
smock	صبر کن	0.429	0.250	0.250
smog	مگس	0.271	0.480	0.382
smoke	دود	0.188	0.500	0.391
smoker	سیگاری	0.208	0.528	0.311
smokey	اسموکی	0.494	0.462	0.430
smoking	سیگار کشیدن	0.176	0.557	0.384
smoky	دود	0.459	0.420	0.327
smoldering	ذوب شدن	0.635	0.781	0.764
smooch	smooch	0.796	0.731	0.491
smooth	صاف	0.823	0.127	0.281
smoothie	شیرینی	0.806	0.333	0.281
smoothly	به نرمی	0.821	0.134	0.488
smoothness	صاف بودن	0.833	0.221	0.412
smother	خفه شو	0.292	0.685	0.420
smudge	لکه دار کردن	0.327	0.429	0.245
smug	مشتاق	0.198	0.552	0.587
smuggle	قاچاق	0.194	0.775	0.570
smuggler	قاچاقچی	0.062	0.867	0.645
smuggling	قاچاق	0.229	0.783	0.510
smut	اسموتی	0.357	0.360	0.349
snack	خوراک مختصر	0.646	0.407	0.345
snacks	تنقلات	0.781	0.480	0.306
snafu	snafu	0.375	0.549	0.274
snag	گیر	0.417	0.250	0.339
snags	snags	0.177	0.721	0.490
snail	حلزون	0.480	0.104	0.296
snake	مار	0.276	0.750	0.549
snakes	مارها	0.176	0.662	0.606
snakeskin	snakeskin	0.276	0.696	0.391
snap	ضربه محکم و ناگهانی	0.344	0.517	0.352
snapper	شلاق زدن	0.417	0.429	0.245
snappy	شگفت انگیز	0.573	0.592	0.418
snapshot	عکس فوری	0.573	0.578	0.588
snare	دامن	0.229	0.850	0.466
snarl	مارمولک	0.430	0.787	0.455
snarling	snarling	0.312	0.704	0.491
snatch	خراب کردن	0.219	0.861	0.691
snatcher	اسباب بازی	0.122	0.867	0.563
snazzy	عجیب و غریب	0.735	0.370	0.660
sneak	دزدکی حرکت کردن	0.281	0.745	0.449
sneaker	کفش کتانی	0.794	0.479	0.389
sneakers	کفش ورزشی	0.604	0.548	0.349
sneaking	دزدکی	0.203	0.755	0.545
sneaky	موذی	0.240	0.740	0.560
sneer	گول زدن	0.133	0.755	0.345
sneeze	عطسه	0.271	0.442	0.336
sneezing	عطسه کردن	0.434	0.570	0.345
snicker	خرگوش	0.708	0.693	0.409
snide	پایه	0.186	0.723	0.455
sniff	بو کشیدن	0.396	0.500	0.318
snip	تکه تکه	0.417	0.327	0.268
snipe	اسباب بازی	0.198	0.915	0.491
sniper	تک تیرانداز	0.167	0.870	0.853
snippet	قطعه	0.612	0.410	0.368
snippy	خرگوش	0.418	0.491	0.481
snitch	خرگوش	0.300	0.598	0.333
snob	اسنو	0.296	0.520	0.309
snoop	اسنوپ	0.134	0.740	0.434
snoopy	اسنوپای	0.573	0.534	0.291
snooty	پرتقال	0.390	0.455	0.446
snooze	چرت زدن	0.235	0.357	0.282
snore	خرگوش	0.245	0.610	0.481
snorkel	دریچه عقب	0.510	0.470	0.327
snort	خرگوش	0.469	0.531	0.413
snot	مارپیچ	0.214	0.340	0.269
snotty	خرگوش	0.180	0.382	0.200
snout	دهان	0.276	0.385	0.241
snow	برف	0.667	0.363	0.309
snowball	گلوله برفی	0.717	0.444	0.321
snowboard	اسنوبرد	0.663	0.680	0.511
snowboarder	snowboarder	0.719	0.754	0.545
snowday	روز برفی	0.602	0.500	0.440
snowfall	بارش برف	0.675	0.280	0.455
snowflake	برف ریزه	0.748	0.192	0.260
snowing	باریدن برف	0.586	0.490	0.387
snowmageddon	snowmageddon	0.375	0.575	0.472
snowman	آدم برفی	0.776	0.291	0.323
snowplow	برف روب	0.449	0.480	0.493
snowstorm	ترسناک	0.204	0.833	0.629
snowy	برفی	0.656	0.304	0.357
snub	دندانپزشکی	0.229	0.412	0.228
snubbed	snubbed	0.265	0.528	0.279
snuff	شیرینی	0.357	0.470	0.377
snug	مسطح	0.867	0.173	0.500
snuggle	چنگ زدن	0.781	0.390	0.350
snuggled	فریب خورده	0.552	0.439	0.314
snuggles	دامن زدن	0.670	0.340	0.287
snuggling	سقوط	0.683	0.585	0.373
soak	خیس خوردن	0.480	0.370	0.240
soaked	خیس شده	0.365	0.462	0.358
soaking	خیساندن	0.438	0.324	0.375
soangry	NO TRANSLATION	0.327	0.650	0.482
soannoyed	NO TRANSLATION	0.271	0.529	0.426
soap	صابون	0.531	0.163	0.311
soapbox	صندوق پستی	0.500	0.415	0.393
soapy	صابون	0.552	0.373	0.355
soar	اوج گرفتن	0.790	0.740	0.718
soaring	افزایش می یابد	0.708	0.704	0.650
sob	NO TRANSLATION	0.115	0.480	0.212
sober	هوشیار	0.729	0.216	0.568
soblessed	NO TRANSLATION	0.542	0.395	0.287
sobriety	تردید	0.680	0.310	0.583
soc	جوجه	0.427	0.431	0.380
soccer	فوتبال	0.698	0.837	0.644
sociable	دوستانه	0.854	0.459	0.627
social	اجتماعی	0.806	0.370	0.614
socialanxiety	NO TRANSLATION	0.270	0.588	0.426
socialism	سوسیالیسم	0.510	0.500	0.560
socialist	سوسیالیست	0.448	0.400	0.543
socialite	اجتماعی است	0.684	0.668	0.570
socialize	اجتماعی کردن	0.907	0.683	0.726
society	جامعه	0.674	0.464	0.782
sociology	جامعه شناسی	0.615	0.439	0.694
sociopath	جامعه شناسی	0.104	0.863	0.439
sock	جوراب	0.500	0.167	0.290
socket	سوکت	0.583	0.469	0.377
sod	جادوگر	0.427	0.383	0.333
soda	جوش شیرین	0.688	0.314	0.364
soda/pop	سودا / پاپ	0.581	0.410	0.382
sodding	داد زدن	0.240	0.500	0.400
sodium	سدیم	0.490	0.340	0.291
sofa	کاناپه	0.583	0.106	0.263
soft	نرم	0.760	0.179	0.232
softball	سافتبال	0.735	0.630	0.518
soften	نرمی	0.694	0.194	0.392
softener	نرم کننده	0.745	0.300	0.373
softening	نرم کننده	0.700	0.255	0.361
softly	آرام	0.517	0.206	0.304
softness	نرمی	0.875	0.086	0.402
software	نرم افزار	0.561	0.280	0.570
soggy	مزه	0.312	0.350	0.241
sohappy	خیلی خوشحال	0.949	0.673	0.681
soil	خاک	0.350	0.180	0.356
soiled	خیس شده	0.106	0.529	0.213
soiree	مهمانی	0.729	0.692	0.578
sojourn	اقامت	0.514	0.243	0.509
solace	آرامش	0.776	0.294	0.453
solar	خورشیدی	0.622	0.452	0.645
solarium	سولاریوم	0.602	0.356	0.421
solder	لحیم کاری	0.439	0.510	0.611
soldering	لحیم کاری	0.573	0.536	0.538
soldier	سرباز	0.392	0.708	0.768
sole	تنها	0.427	0.194	0.279
solemn	رسمی	0.708	0.370	0.709
solicit	درخواست	0.620	0.490	0.604
solicitation	درخواست	0.612	0.519	0.415
solicitor	وکیل	0.600	0.479	0.802
solid	جامد	0.667	0.304	0.763
solidarity	همبستگی	0.792	0.407	0.781
solidification	انجماد	0.480	0.500	0.827
solidified	تثبیت شده	0.633	0.415	0.745
solidify	سخت شدن	0.583	0.318	0.754
solidity	صداقت	0.745	0.444	0.850
solitaire	بازی یک نفره	0.365	0.227	0.279
solitary	منفرد، مجد، تنها، منزوی، انفرادی	0.224	0.202	0.268
solitude	تنهایی	0.208	0.226	0.358
solo	انفرادی	0.438	0.190	0.325
solubility	انحلال پذیری	0.506	0.360	0.442
soluble	محلول است	0.542	0.272	0.409
solucky	خوشحالی	0.573	0.529	0.615
solution	راه حل	0.790	0.339	0.664
solve	حل	0.656	0.530	0.688
solvency	پرداخت بدهی	0.604	0.296	0.605
solvent	حلال	0.635	0.316	0.573
somad	NO TRANSLATION	0.429	0.490	0.463
somatic	جسمی	0.438	0.406	0.444
somber	خرابکاری	0.184	0.500	0.380
some anticipation	برخی پیش بینی	0.423	0.482	0.472
some disgust	برخی از انزجار	0.094	0.657	0.321
some surprise	برخی از تعجب	0.827	0.849	0.500
some trust	برخی اعتماد دارند	0.594	0.451	0.547
somersault	سوسک	0.214	0.769	0.519
somethingigetalot	NO TRANSLATION	0.573	0.567	0.509
somewhat negative	تا حدودی منفی است	0.208	0.480	0.150
somewhat positive	تا حدودی مثبت است	0.920	0.510	0.667
somuchtodo	NO TRANSLATION	0.510	0.598	0.441
son	فرزند پسر	0.792	0.365	0.528
sonar	سونار	0.541	0.480	0.414
sonata	سوناتا	0.643	0.406	0.425
sonervous	NO TRANSLATION	0.344	0.655	0.373
song	ترانه	0.854	0.413	0.500
songwriter	ترانه سرا	0.844	0.558	0.713
sonic	صوتی	0.594	0.500	0.481
sonice	NO TRANSLATION	0.500	0.356	0.421
sonnet	سونات	0.718	0.294	0.404
sonorous	صدای بلند	0.646	0.580	0.442
soot	دوده	0.375	0.328	0.292
soothe	آرامش	0.817	0.194	0.412
soothing	تسکین دهنده	0.625	0.179	0.519
sophisticated	پیچیده	0.865	0.481	0.845
sophistication	پیچیدگی	0.792	0.472	0.704
sophomore	سال دوم	0.653	0.415	0.427
sopissed	NO TRANSLATION	0.276	0.577	0.433
soppy	soppy	0.510	0.355	0.297
soprano	سوپرانو	0.552	0.550	0.685
sorcerer	جادوگر	0.377	0.633	0.632
sorcery	جادوگری	0.279	0.740	0.640
sordid	sordid	0.219	0.555	0.447
sore	درد دارد	0.094	0.650	0.224
soready	صبور	0.622	0.500	0.545
sorely	به شدت	0.284	0.727	0.370
soreness	درد و رنج	0.113	0.843	0.302
sorghum	سورگوم	0.469	0.358	0.420
sorority	صلاحیت	0.635	0.637	0.627
sorrow	غم و اندوه	0.052	0.235	0.164
sorrowful	متاسفم	0.049	0.422	0.163
sorry	متاسف	0.406	0.362	0.212
sort	مرتب سازی	0.673	0.389	0.674
sorter	NO TRANSLATION	0.594	0.412	0.823
sortie	NO TRANSLATION	0.490	0.450	0.311
sorting	مرتب سازی	0.469	0.400	0.642
sos	NO TRANSLATION	0.354	0.675	0.386
soscared	خیلی ترسیده	0.229	0.652	0.319
soscary	خیلی ترسناک	0.301	0.660	0.414
soslow	soslow	0.347	0.312	0.284
sostressed	NO TRANSLATION	0.435	0.481	0.578
sosweet	شیرین	0.755	0.354	0.417
sothankful	NO TRANSLATION	0.729	0.526	0.418
sou	NO TRANSLATION	0.480	0.390	0.412
soul	روح	0.770	0.220	0.510
soulful	روحانی	0.755	0.331	0.500
soulless	بی روح	0.125	0.591	0.400
soulmate	soulmate	0.890	0.500	0.628
sound	صدا	0.765	0.623	0.398
sounding	صدایی	0.690	0.500	0.558
soundness	صداقت	0.780	0.377	0.893
soundproof	ضد صدا	0.490	0.390	0.409
soundtrack	موسیقی متن	0.630	0.559	0.518
soup	سوپ	0.602	0.245	0.269
sour	ترش	0.276	0.594	0.373
source	منبع	0.740	0.318	0.684
sourpuss	sourpuss	0.188	0.620	0.382
south	جنوب	0.562	0.265	0.429
southbound	جنوب غربی	0.510	0.370	0.395
southeast	جنوب شرقی	0.510	0.283	0.413
southern	جنوب	0.552	0.269	0.370
southpaw	سمت چپ	0.542	0.389	0.404
southwest	جنوب غربی	0.406	0.314	0.355
souvenir	سوغات	0.844	0.311	0.466
sovereign	پادشاه	0.698	0.500	0.885
sovereignty	حق حاکمیت	0.719	0.529	0.886
soviet	شوروی	0.347	0.580	0.536
sow	کاشت	0.667	0.430	0.446
soy	سویا	0.438	0.250	0.286
soy sauce	سس سویا	0.573	0.382	0.318
soybean	سویا	0.521	0.250	0.293
spa	آبگرم	0.622	0.151	0.386
space	فضا	0.800	0.317	0.573
spacecraft	فضاپیمای	0.646	0.698	0.680
spaceman	فضانورد	0.688	0.577	0.848
spaceship	سفینه فضایی	0.643	0.781	0.664
spacing	فاصله	0.621	0.425	0.507
spacious	بزرگ	0.880	0.365	0.557
spade	چاله	0.469	0.667	0.529
spaghetti	ماکارونی	0.729	0.353	0.288
spam	هرزنامه ها	0.188	0.354	0.304
spammers	اسپم ها	0.354	0.500	0.418
span	NO TRANSLATION	0.521	0.330	0.528
spandex	اسپندکس	0.429	0.520	0.429
spaniel	اسپانیول	0.561	0.435	0.385
spank	جهش	0.112	0.882	0.642
spanking	شوخی کردم	0.194	0.736	0.392
spar	جفت کردن	0.417	0.438	0.536
spare	یدکی	0.552	0.398	0.411
spareribs	spareribs	0.635	0.431	0.395
sparingly	به سختی	0.510	0.353	0.518
spark	جرقه	0.688	0.745	0.529
sparkle	درخشش	0.819	0.765	0.510
sparkling	درخشان	0.700	0.418	0.598
sparkly	درخشان	0.885	0.590	0.726
sparring	اسپارینگ	0.292	0.870	0.704
sparrow	گنجشک	0.583	0.460	0.327
sparse	پراکنده	0.240	0.367	0.209
spasm	اسپاسم	0.194	0.594	0.366
spastic	اسپاستیک	0.240	0.541	0.491
spat	تف	0.427	0.413	0.309
spatial	فضایی	0.604	0.625	0.645
spatter	اسپرد	0.292	0.630	0.315
spatula	سپتامبر	0.302	0.198	0.369
spawn	تخم ریزی	0.542	0.586	0.709
spaz	اسپاز	0.443	0.500	0.268
speak	صحبت	0.765	0.472	0.500
speakeasy	سخاوتمندانه	0.680	0.536	0.442
speaker	بلندگو	0.604	0.660	0.723
speakerphone	بلندگو	0.531	0.569	0.560
speaking	صحبت كردن	0.753	0.590	0.575
spear	نیزه	0.510	0.601	0.500
spec	مشخصات	0.583	0.426	0.691
special	ویژه	0.844	0.602	0.730
specialist	متخصص	0.760	0.562	0.877
speciality	تخصص	0.854	0.470	0.885
specialize	NO TRANSLATION	0.776	0.540	0.861
specially	به خصوص	0.847	0.398	0.714
specialty	تخصص	0.724	0.479	0.783
specie	NO TRANSLATION	0.583	0.471	0.650
species	گونه ها	0.561	0.330	0.645
specific	خاص	0.656	0.388	0.691
specification	مشخصات	0.552	0.479	0.602
specify	مشخص كردن	0.656	0.405	0.600
specimen	نمونه	0.531	0.444	0.568
speck	پشه	0.418	0.245	0.343
speckled	عجیب و غریب	0.449	0.263	0.254
specs	مشخصات	0.540	0.398	0.618
spectacle	عکاسی	0.812	0.745	0.762
spectacles	عینک ها	0.816	0.775	0.648
spectacular	دیدنی و جذاب	0.947	0.740	0.887
spectator	تماشاگر	0.694	0.560	0.667
specter	جادوگر	0.265	0.723	0.540
spectral	طیفی	0.430	0.667	0.500
spectrometer	طیف سنج	0.500	0.452	0.490
spectrophotometer	اسپکتروفتومتر	0.500	0.484	0.500
spectroscopy	طیف سنجی	0.470	0.541	0.570
spectrum	طیف	0.312	0.700	0.527
speculate	حدس زدن	0.398	0.602	0.553
speculation	حدس و گمان	0.325	0.683	0.394
speculative	نظری	0.276	0.591	0.464
speculum	ذره بین	0.417	0.469	0.433
speech	سخنرانی - گفتار	0.656	0.470	0.688
speechless	بی حرف	0.459	0.320	0.315
speed	سرعت	0.719	0.849	0.658
speedboat	قایق رانی	0.635	0.858	0.612
speedily	به سرعت	0.688	0.740	0.665
speeding	سرعت بالا	0.438	0.908	0.645
speedometer	سرعت سنج	0.427	0.549	0.579
speedway	سرعت سنج	0.667	0.519	0.416
speedy	سریع	0.625	0.625	0.793
spell	هجی کردن	0.385	0.380	0.368
spellbound	طلسم شده	0.531	0.647	0.387
spelling	املا	0.594	0.357	0.398
spencer	اسپنسر	0.510	0.394	0.367
spend	خرج کردن	0.672	0.745	0.429
spender	اسپندر	0.312	0.692	0.377
spending	هزینه کردن	0.333	0.556	0.330
spent	صرف شده	0.296	0.296	0.263
sperm	اسپرم	0.396	0.706	0.453
spew	مشتاق	0.260	0.651	0.573
sphere	کره	0.633	0.277	0.500
spherical	کروی	0.550	0.308	0.500
sphincter	اسفنکتر	0.347	0.633	0.375
sphinx	اسپینکس	0.604	0.324	0.490
spic	اسپیک	0.302	0.455	0.451
spice	ادویه جات	0.594	0.439	0.384
spicy	تند	0.440	0.733	0.610
spider	عنکبوت	0.229	0.569	0.430
spiders	عنکبوت	0.260	0.696	0.368
spiffy	لکه دار	0.615	0.582	0.470
spigot	چنگال	0.380	0.346	0.423
spike	سنبله	0.382	0.510	0.408
spiked	اسپایک	0.281	0.613	0.407
spiky	حشری	0.284	0.657	0.587
spill	ریختن	0.408	0.633	0.456
spillin	NO TRANSLATION	0.375	0.500	0.362
spin	چرخش	0.551	0.422	0.345
spinach	اسفناج	0.583	0.200	0.368
spinal	ستون فقرات	0.312	0.491	0.296
spindle	اسپیندل	0.552	0.410	0.360
spine	ستون فقرات	0.495	0.461	0.600
spineless	بدون اسپین ها	0.344	0.387	0.321
spinner	اسپینر	0.458	0.593	0.471
spinning	حال چرخش	0.594	0.610	0.481
spinster	اسپینستر	0.357	0.368	0.345
spiny	کثیف	0.167	0.639	0.528
spiral	مارپیچ	0.490	0.624	0.361
spire	اسپیر	0.354	0.358	0.389
spirit	روح	0.786	0.370	0.621
spirited	روحیه	0.854	0.587	0.734
spirits	ارواح	0.583	0.847	0.545
spiritual	روحانی	0.938	0.327	0.564
spirituality	معنویت	0.865	0.281	0.667
spit	تف انداختن	0.149	0.545	0.436
spite	ببخشید	0.080	0.600	0.317
spiteful	مجرمانه	0.073	0.710	0.330
spitfire	spitfire	0.233	0.623	0.566
spittoon	قورباغه	0.276	0.426	0.280
splash	چلپ چلوپ	0.521	0.412	0.281
splat	سمبل	0.510	0.433	0.385
splatter	چلپ چلوپ کردن	0.312	0.596	0.352
spleen	طحال	0.448	0.255	0.396
splendid	پر زرق و برق دار	0.896	0.740	0.810
splendor	شکوه و جلال	0.927	0.612	0.850
splice	جفت کردن	0.386	0.460	0.377
spline	اسپیلین	0.490	0.398	0.407
splint	اسپلیت	0.179	0.400	0.343
splinter	شکسته شدن	0.136	0.422	0.325
split	شکاف	0.344	0.618	0.410
splitting	تقسیم کردن	0.188	0.598	0.375
splurge	پاره شدن	0.365	0.481	0.542
spoil	از بین بردن	0.146	0.723	0.328
spoiler	اسپویلر	0.347	0.527	0.380
spoiling	خرابکاری	0.135	0.678	0.306
spoils	خرابکاری	0.388	0.760	0.481
spoke	صحبت کرد	0.635	0.433	0.483
spoken	صحبت کرد	0.551	0.363	0.545
spokesman	سخنگوی	0.720	0.480	0.611
spokesperson	سخنگوی	0.573	0.453	0.615
sponge	اسفنج	0.551	0.192	0.219
spongy	اسفنجی	0.469	0.324	0.344
sponsor	حامی مالی	0.729	0.537	0.800
sponsorship	حمایت	0.854	0.608	0.696
spontaneity	خودپندگی	0.817	0.698	0.655
spontaneous	خود جوش	0.780	0.578	0.655
spoof	گمراه کردن	0.490	0.594	0.381
spook	spook	0.327	0.887	0.322
spooky	شبح وار	0.104	0.858	0.380
spool	توری	0.397	0.389	0.312
spoon	قاشق	0.479	0.236	0.259
spoonful	قاشق چایخوری	0.582	0.208	0.308
sporadic	پراکنده	0.333	0.394	0.500
spore	اسپور	0.480	0.408	0.231
sport	ورزش	0.865	0.700	0.657
sporting	ورزشی	0.917	0.656	0.675
sports	ورزش ها	0.833	0.683	0.587
sports car	ماشین ورزشی	0.759	0.696	0.669
sportsman	ورزشکار	0.755	0.735	0.713
sportsmanship	ورزش کردن	0.890	0.582	0.694
sportswriter	sportswriter	0.760	0.551	0.566
sporty	ورزشی	0.735	0.713	0.648
spot	نقطه	0.510	0.180	0.336
spotless	بی عیب	0.792	0.327	0.726
spotlight	نور افکن	0.688	0.353	0.519
spotted	پابند	0.354	0.472	0.295
spotter	ستاره	0.542	0.491	0.644
spotty	لکه دار	0.281	0.606	0.241
spousal	همسر	0.656	0.582	0.632
spouse	همسر	0.750	0.600	0.645
spout	فواره زدن اب	0.438	0.357	0.309
sprain	پیچ خوردن	0.063	0.580	0.384
sprawl	اسپارو	0.600	0.596	0.672
spray	افشانه	0.438	0.410	0.333
spread	انتشار دادن	0.570	0.583	0.651
spreader	پخش کننده	0.510	0.480	0.500
spree	شادمانی	0.564	0.663	0.474
spring	بهار	0.837	0.370	0.481
springtime	بهار	0.837	0.439	0.722
sprinkle	بپاشید	0.635	0.404	0.380
sprinkler	آب پاش	0.510	0.434	0.473
sprinkling	آبیاری کردن	0.677	0.510	0.466
sprint	با سرعت بالا	0.549	0.649	0.528
sprite	جهاد	0.561	0.438	0.625
sprout	جوانه	0.582	0.565	0.443
spruce	صنوبر	0.604	0.288	0.380
spud	اسپرد	0.403	0.423	0.349
spunk	گول زدن	0.438	0.632	0.473
spunky	خرابکاری	0.646	0.879	0.755
spur	تکان دادن	0.378	0.545	0.340
spurious	جعلی	0.178	0.480	0.343
spurred	موجب شد	0.562	0.684	0.472
spurt	اسپرد	0.448	0.550	0.475
spy	جاسوسی	0.260	0.686	0.530
squabble	خجالت زده	0.173	0.850	0.500
squad	تیم ملی	0.552	0.711	0.806
squadron	اسکادران	0.469	0.686	0.787
squall	سرقت	0.191	0.833	0.655
squamous	باریک	0.344	0.446	0.418
squander	از بین بردن	0.240	0.755	0.529
square	مربع	0.509	0.340	0.291
squash	اسکواش	0.531	0.667	0.410
squat	چرت زدن	0.330	0.550	0.453
squatter	چرت زدن	0.390	0.361	0.565
squaw	چرت زدن	0.428	0.441	0.398
squawk	خندیدن	0.265	0.480	0.245
squeak	جیغ زدن	0.271	0.679	0.300
squeaky	جیر جیر	0.229	0.771	0.367
squeal	صدای جیر جیر	0.250	0.731	0.375
squealer	جادوگر	0.541	0.519	0.330
squeamish	گول زدن	0.176	0.656	0.453
squeeze	فشار دادن	0.458	0.676	0.532
squeezing	فشرده کننده	0.260	0.598	0.557
squelch	فشار دادن	0.271	0.510	0.462
squid	ماهی مرکب	0.497	0.398	0.357
squint	کج شدن	0.385	0.461	0.452
squire	ستاره	0.479	0.459	0.710
squirm	چرت زدن	0.235	0.824	0.373
