Word	Malagasy-mg	Valence	Arousal	Dominance
submissive	manaiky	0.480	0.217	0.173
submit	manaiky	0.635	0.448	0.500
submitting	manaiky	0.667	0.610	0.611
subordinate	ambany	0.276	0.392	0.121
subordination	subordination	0.270	0.527	0.343
subplot	subplot	0.469	0.413	0.446
subpoena	subpoena	0.281	0.634	0.555
subscribe	famandrihana	0.660	0.344	0.591
subscriber	famandrihana	0.562	0.398	0.570
subscription	famandrihana	0.583	0.333	0.651
subsequence	subsequence	0.438	0.510	0.413
subsequent	manaraka	0.449	0.385	0.400
subsequently	taty aoriana	0.380	0.337	0.336
subservient	subservient	0.255	0.402	0.339
subset	subset	0.429	0.358	0.404
subside	nihena	0.375	0.308	0.209
subsidence	subsidence	0.320	0.509	0.452
subsidiary	fanampiny	0.541	0.295	0.500
subsidize	hamatsy vola	0.604	0.615	0.589
subsidy	fanampiana	0.573	0.462	0.517
subsist	haharitra	0.573	0.418	0.472
subsistence	ivelombelomana	0.510	0.404	0.491
subsoil	subsoil	0.429	0.240	0.382
subspace	subspace	0.470	0.453	0.475
substance	fananana	0.615	0.422	0.528
substandard	substandard	0.235	0.333	0.150
substantial	Mitana	0.590	0.490	0.690
substantially	betsaka	0.646	0.471	0.684
substantiate	hanamarina ny	0.531	0.549	0.636
substantive	substantive	0.500	0.350	0.455
substation	substation	0.469	0.461	0.491
substitute	mpisolo toerana	0.427	0.406	0.398
substituted	soloin '	0.271	0.545	0.394
substitution	fanoloana	0.406	0.480	0.353
substructure	substructure	0.441	0.358	0.587
subterranean	subterranean	0.469	0.306	0.432
subtext	subtext	0.635	0.276	0.412
subtitle	Zana-dohateny	0.445	0.202	0.347
subtle	saro-takarina	0.708	0.167	0.228
subtlety	fitaka	0.615	0.176	0.363
subtract	analana	0.208	0.330	0.283
subtraction	subtraction	0.163	0.382	0.349
subtype	subtype	0.427	0.296	0.420
suburb	manamorona	0.354	0.566	0.441
suburban	suburban	0.439	0.450	0.453
suburbia	suburbia	0.438	0.490	0.421
suburbs	tany manodidina azy	0.510	0.571	0.286
subversion	mitady hanongam-panjakana	0.347	0.608	0.415
subversive	manakorontana	0.198	0.765	0.500
subvert	famadihana	0.357	0.557	0.536
subway	metro	0.418	0.300	0.464
succeed	mahomby	0.926	0.755	0.926
succeeding	mahomby	0.867	0.755	0.849
success	fahombiazana	0.959	0.880	0.981
successful	mahomby	0.949	0.724	0.938
succession	fifandimbiasana	0.698	0.481	0.587
successive	nifandimby	0.635	0.471	0.518
successor	mpandimby	0.729	0.531	0.648
succinct	fohy	0.510	0.413	0.566
succubus	succubus	0.417	0.647	0.509
succulent	matsiro	0.823	0.538	0.556
succumb	resin'ny fakam-panahy	0.202	0.787	0.292
suck	mitaiza kely	0.344	0.706	0.377
sucker	sucker	0.265	0.393	0.204
sucking	mitsetsitra	0.227	0.528	0.377
suckling	ny zaza minono	0.596	0.558	0.518
sucks	sucks	0.115	0.683	0.302
suction	suction	0.460	0.593	0.526
sudden	tampoka	0.449	0.660	0.435
suddenly	tampoka	0.670	0.510	0.456
suds	suds	0.458	0.365	0.255
sue	Sue	0.219	0.731	0.679
suede	Suède	0.542	0.259	0.259
suffer	mijaly	0.082	0.910	0.259
sufferer	marary	0.156	0.690	0.278
suffering	mijaly	0.020	0.719	0.235
suffice	ampy	0.643	0.326	0.504
sufficiency	ampy	0.594	0.438	0.576
sufficient	ampy	0.833	0.330	0.588
sufficiently	ampy	0.776	0.367	0.714
suffix	tovana	0.430	0.420	0.364
suffocate	suffocate	0.219	0.764	0.440
suffocating	manempotra	0.133	0.774	0.429
suffocation	fahasemporana	0.020	0.830	0.462
sugar	siramamy	0.896	0.382	0.402
suggest	soso-kevitra	0.573	0.471	0.517
suggestion	soso-kevitra	0.646	0.365	0.558
suggestive	manome hevitra	0.552	0.500	0.555
suicidal	hamono tena	0.021	0.867	0.382
suicide	famonoan-tena	0.030	0.873	0.429
suicidebombing	NO TRANSLATION	0.031	0.957	0.627
suit	fitoriana	0.776	0.282	0.482
suitable	mety	0.792	0.298	0.722
suitcase	valizy	0.562	0.212	0.318
suite	tariny	0.790	0.420	0.400
suitor	suitor	0.708	0.639	0.546
sulfate	sulfate	0.427	0.352	0.429
sulfur	solifara	0.173	0.530	0.364
sulk	manjoretra	0.250	0.580	0.406
sullen	sady sosotra	0.250	0.407	0.263
sully	Sully	0.378	0.550	0.370
sulphur	solifara	0.260	0.450	0.233
sultan	Sultan	0.529	0.423	0.821
sultry	sultry	0.735	0.696	0.627
sum	vola	0.792	0.340	0.420
summarily	summarily	0.469	0.431	0.543
summarize	mamintina	0.590	0.323	0.471
summary	famintinana	0.729	0.260	0.427
summation	summation	0.766	0.337	0.594
summer	fahavaratra	0.812	0.373	0.550
summerhouse	summerhouse	0.796	0.308	0.443
summertime	fahavaratra	0.837	0.500	0.455
summit	fihaonana an-tampony	0.625	0.618	0.764
summon	ampanalao	0.521	0.560	0.664
summons	fiantsoana	0.552	0.604	0.598
sumo	Sumo	0.480	0.394	0.564
sump	sump	0.365	0.451	0.340
sumptuous	Tondraka	0.698	0.550	0.555
sun	masoandro	0.877	0.400	0.681
sunbeam	Miramirana	0.729	0.440	0.505
sunburn	sunburn	0.061	0.755	0.447
sundae	sundae	0.743	0.414	0.404
sunday	Alahady	0.776	0.196	0.394
sundial	sundial	0.643	0.225	0.406
sundown	filentehan'ny masoandro	0.812	0.276	0.445
sundry	samihafa	0.543	0.369	0.407
sunflower	voana tanamasoandro eran'ny	0.878	0.231	0.270
sunglass	sunglass	0.684	0.264	0.324
sunglasses	Sunglasses	0.844	0.443	0.364
sunk	nilentika	0.146	0.531	0.185
sunken	sunken	0.103	0.476	0.173
sunless	sunless	0.245	0.280	0.273
sunlight	tara-masoandro	0.906	0.407	0.639
sunny	talaky masoandro	0.740	0.348	0.481
sunrise	Fiposahan'ny masoandro	0.823	0.347	0.640
sunroof	sunroof	0.681	0.325	0.425
sunscreen	sunscreen	0.656	0.387	0.462
sunset	masoandro mody	0.875	0.231	0.298
sunshine	masoandro	0.885	0.297	0.769
suntan	suntan	0.620	0.510	0.366
sunup	sunup	0.760	0.304	0.620
sup	hiara-misakafo	0.551	0.358	0.385
super	Super	0.844	0.663	0.780
superannuation	superannuation	0.448	0.412	0.562
superb	mahafinaritra	0.980	0.708	0.852
superficial	endrika ivelany fotsiny	0.357	0.407	0.309
superfluous	tsy ilaina	0.316	0.469	0.393
superhero	olo-mahery	0.910	0.820	0.893
superhuman	mahery noho ny olombelona	0.810	0.745	0.895
superimposed	superimposed	0.490	0.529	0.683
superintendent	mpitantana	0.592	0.570	0.942
superior	ambony	0.801	0.697	0.940
superiority	ambony	0.582	0.602	0.959
superlative	indrindra	0.714	0.566	0.737
superman	Superman	0.945	0.794	0.929
supermarket	sipermarse	0.690	0.547	0.571
supermodel	Supermodel	0.880	0.663	0.698
supernatant	supernatant	0.500	0.500	0.565
supernatural	mihoatra ny natoraly	0.622	0.824	0.733
supernova	Mipoaka	0.729	0.673	0.827
superposition	superposition	0.480	0.570	0.806
superpower	superpower	0.806	0.784	0.972
supersede	supersede	0.479	0.510	0.518
superstar	superstar	0.885	0.860	0.880
superstition	finoanoam-poana	0.177	0.640	0.418
superstitious	finoanoam-poana	0.281	0.545	0.514
superstore	superstore	0.719	0.600	0.640
supervise	hanara-maso	0.698	0.555	0.889
supervision	fanaraha-maso	0.459	0.578	0.825
supervisor	mpanara-maso	0.615	0.479	0.933
supper	sakafo hariva	0.708	0.429	0.552
suppertime	sakafo hariva	0.792	0.388	0.461
supplant	mamingana	0.344	0.558	0.463
supple	supple	0.812	0.528	0.436
supplement	fanampin	0.745	0.406	0.491
supplemental	fanampiny	0.604	0.404	0.555
supplementary	fanampiny	0.625	0.352	0.541
supplication	fangatahana	0.469	0.570	0.309
supplier	mpamatsy	0.615	0.462	0.736
supplies	vatsy	0.698	0.390	0.595
supply	famatsiana	0.708	0.519	0.603
support	fanohanana	0.811	0.472	0.737
supported	nanohana	0.853	0.408	0.613
supporter	mpanohana	0.721	0.510	0.698
supporters	mpanohana	0.763	0.539	0.558
supporting	manohana	0.634	0.490	0.764
supportive	mpanohana	0.875	0.420	0.635
suppose	aoka hatao	0.551	0.343	0.348
supposed	noheverina	0.296	0.378	0.379
supposing	satria nataony	0.449	0.451	0.357
supposition	vinavina	0.531	0.408	0.526
suppress	hanafoanana	0.281	0.559	0.509
suppression	fanafoanana	0.267	0.541	0.537
supremacy	fara tampony	0.794	0.706	0.943
supreme	ambony indrindra	0.812	0.700	0.974
supremely	feno	0.833	0.725	0.897
surcharge	surcharge	0.375	0.528	0.500
sure	azo antoka	0.724	0.270	0.793
surety	hiantoka	0.776	0.365	0.750
surf	Surf	0.847	0.650	0.500
surface	surface	0.448	0.375	0.604
surfboard	surfboard	0.729	0.730	0.387
surfer	surfer	0.704	0.701	0.554
surge	misamboaravoara	0.449	0.684	0.500
surgeon	mpandidy	0.500	0.598	0.793
surgery	fandidiana	0.286	0.769	0.600
surgical	fandidiana	0.327	0.696	0.723
surly	miavona ny mpiasan'ny	0.221	0.469	0.493
surmise	lazaintsika	0.529	0.400	0.347
surname	atao hoe koa	0.670	0.250	0.493
surpassing	haben'ny	0.719	0.660	0.720
surplus	ambim-bavany	0.602	0.680	0.630
surprise	tsy nampoizina	0.875	0.875	0.562
surprised	gaga	0.784	0.855	0.539
surprises	tsy ampoizina	0.875	0.769	0.632
surprising	mahagaga	0.888	0.790	0.692
surprisingly	mahagaga	0.847	0.793	0.819
surreal	mampino	0.550	0.529	0.670
surrender	fileferana	0.115	0.396	0.186
surrendering	milefitra amin '	0.198	0.411	0.245
surrogate	surrogate	0.406	0.590	0.472
surround	Nanodidina	0.542	0.623	0.627
surrounding	manodidina	0.531	0.422	0.669
surroundings	manodidina azy	0.600	0.346	0.492
surveillance	fanaraha-maso	0.365	0.720	0.718
survey	fanadihadiana	0.580	0.357	0.379
surveying	fandrefesana	0.488	0.455	0.682
surveyor	surveyor	0.545	0.337	0.648
survival	velona	0.541	0.798	0.879
survive	velona	0.770	0.824	0.726
surviving	tafita velona	0.646	0.836	0.721
survivor	sisa velona	0.677	0.750	0.815
susceptibility	loza mitatao	0.458	0.627	0.364
susceptible	mora	0.438	0.449	0.304
sushi	sushi	0.698	0.343	0.394
suspect	ahiahiana	0.133	0.750	0.509
suspected	ahiana	0.173	0.755	0.452
suspend	mampiato	0.240	0.320	0.368
suspended	naato	0.224	0.402	0.368
suspenders	suspenders	0.391	0.333	0.500
suspense	fitaintainana	0.286	0.775	0.402
suspension	fampiatoana	0.288	0.530	0.426
suspicion	ahiahy	0.204	0.711	0.377
suspicions	ahiahy	0.208	0.745	0.500
suspicious	mampiahiahy	0.153	0.745	0.431
sustain	manohana	0.635	0.358	0.593
sustained	nanampy	0.649	0.340	0.580
sustenance	sakafo	0.820	0.519	0.679
suture	suture	0.240	0.510	0.510
suv	SUV	0.552	0.431	0.446
sux	NO TRANSLATION	0.406	0.531	0.331
swab	swab	0.470	0.364	0.259
swag	swag	0.656	0.676	0.654
swagger	swagger	0.333	0.731	0.538
swallow	mitelina	0.466	0.608	0.436
swami	swami	0.510	0.547	0.491
swamp	swamp	0.245	0.425	0.235
swamped	saron'ny rano	0.156	0.480	0.270
swampy	heniheny	0.306	0.390	0.412
swan	swan	0.781	0.225	0.357
swank	swank	0.490	0.500	0.442
swap	swap	0.552	0.500	0.509
swarm	nivangongo	0.302	0.735	0.458
swarming	nohanin'ny	0.375	0.600	0.435
swastika	swastika	0.316	0.472	0.491
swat	swat	0.380	0.694	0.571
sway	fitaizana	0.690	0.596	0.721
swear	mianiana	0.601	0.577	0.658
swearing	fianianana	0.333	0.559	0.586
sweat	hatsembohana	0.388	0.579	0.297
sweater	akanjo ba	0.704	0.245	0.295
sweating	tsemboka	0.292	0.667	0.265
sweatshirt	sweatshirt	0.510	0.368	0.353
sweatshop	sweatshop	0.385	0.797	0.602
sweaty	sweaty	0.281	0.540	0.304
sweep	Fafao	0.448	0.385	0.383
sweeper	sweeper	0.470	0.549	0.414
sweeping	namafa	0.344	0.431	0.355
sweet	mamy	0.668	0.418	0.382
sweeten	mamy	0.908	0.455	0.423
sweetened	mamy	0.940	0.461	0.398
sweetener	sweetener	0.670	0.333	0.330
sweetest	mamy indrindra	0.959	0.500	0.370
sweetheart	malalany	0.959	0.423	0.509
sweetie	sweetie	0.990	0.549	0.560
sweetness	mamy	0.906	0.474	0.528
sweets	zava-mamy	0.910	0.422	0.321
swell	nivonto	0.360	0.679	0.348
swelling	mamontsina	0.323	0.608	0.250
sweltering	sweltering	0.204	0.644	0.362
swerve	ihemorana	0.276	0.612	0.357
swift	haingam-pandeha	0.760	0.776	0.698
swiftly	haingana	0.660	0.885	0.618
swig	swig	0.604	0.481	0.406
swill	swill	0.427	0.528	0.322
swim	milomano	0.688	0.461	0.529
swimmer	mpilomano	0.657	0.698	0.610
swimming	lomano	0.760	0.559	0.524
swimsuit	swimsuit	0.740	0.373	0.269
swindle	fisolokiana	0.122	0.740	0.439
swindler	swindler	0.125	0.721	0.575
swine	kisoa	0.340	0.519	0.277
swing	savily	0.602	0.510	0.481
swinger	swinger	0.459	0.778	0.482
swinging	swinging	0.656	0.510	0.312
swipe	swipe	0.573	0.450	0.266
swirl	mikoropadropaka anatin'ny	0.490	0.726	0.639
swish	swish	0.562	0.510	0.474
switch	jiro	0.500	0.538	0.509
switchblade	switchblade	0.357	0.596	0.528
switchboard	switchboard	0.571	0.519	0.558
swivel	swivel	0.562	0.480	0.500
swollen	nivonto	0.236	0.510	0.277
swoon	swoon	0.292	0.510	0.160
swoop	swoop	0.479	0.618	0.446
sword	sabatra	0.438	0.653	0.713
swordfish	espadon	0.564	0.520	0.442
swordplay	swordplay	0.616	0.750	0.528
swordsman	swordsman	0.395	0.857	0.696
sycamore	aviavy	0.500	0.401	0.527
syllable	hiraina	0.448	0.250	0.417
syllabus	fandaharam-pianarana	0.736	0.370	0.643
symbiotic	symbiotic	0.832	0.425	0.406
symbol	famantarana	0.643	0.388	0.527
symbolic	an'ohatra	0.670	0.385	0.574
symbolically	an'ohatra	0.582	0.385	0.648
symbolism	an'ohatra	0.688	0.347	0.640
symbolize	Manondro	0.633	0.327	0.673
symmetric	symmetric	0.745	0.212	0.588
symmetrical	symmetrical	0.542	0.263	0.569
symmetry	symmetry	0.604	0.274	0.500
sympathetic	mangoraka	0.796	0.434	0.609
sympathize	hangoraka	0.770	0.627	0.644
sympathy	fiaraha-miory	0.827	0.497	0.634
symphonic	symphonic	0.775	0.545	0.566
symphony	symphonie	0.765	0.490	0.600
symposium	fitohitohizan-dahateny	0.573	0.394	0.644
symptom	famantarana	0.380	0.529	0.434
symptomatic	symptomatic	0.367	0.434	0.491
synagogue	synagoga	0.531	0.300	0.544
synapse	synapse	0.660	0.471	0.491
synaptic	synaptic	0.573	0.553	0.622
sync	fampitahana matetika	0.802	0.440	0.670
synchronize	synchronize	0.781	0.361	0.654
synchronous	synchronous	0.600	0.538	0.545
syncope	syncope	0.245	0.538	0.398
syndicate	sendika	0.439	0.491	0.673
syndrome	aretina	0.229	0.510	0.246
synergistic	synergistic	0.571	0.550	0.547
synergy	ivo	0.667	0.510	0.720
synod	Synoda	0.469	0.377	0.574
synonym	dika	0.615	0.210	0.433
synonymous	mitovy dika	0.480	0.323	0.400
synopsis	synopsis	0.541	0.390	0.482
synoptic	synoptic	0.561	0.510	0.596
syntax	Syntaxe	0.531	0.346	0.559
synthesis	voafintina	0.604	0.315	0.377
synthesizer	synthesizer	0.500	0.410	0.592
synthetic	synthetic	0.396	0.350	0.519
syphilis	tety	0.071	0.606	0.245
syringe	syringe	0.250	0.680	0.330
syrup	syrup	0.620	0.223	0.318
system	rafitra	0.615	0.346	0.764
systematic	mitohy	0.617	0.444	0.594
systematically	amin'ny fomba	0.690	0.390	0.651
t-shirt	T-shirt	0.815	0.286	0.284
tab	vakizoro	0.594	0.208	0.308
tabasco	Tabasco	0.375	0.546	0.404
tabby	tabby	0.510	0.426	0.387
tabernacle	tabernakely	0.408	0.480	0.605
table	table	0.551	0.170	0.284
tableau	NO TRANSLATION	0.531	0.302	0.321
tablecloth	lamban-databatra	0.480	0.165	0.215
tablespoon	tablespoon	0.490	0.353	0.245
tablet	takelaka	0.562	0.330	0.438
tableware	tableware	0.677	0.250	0.276
tabloid	tabloid	0.438	0.365	0.444
taboo	fady	0.198	0.794	0.482
tabular	tabular	0.438	0.330	0.462
tabulate	tabulate	0.480	0.403	0.598
tabulation	tabulation	0.396	0.346	0.526
tachometer	tachometer	0.398	0.394	0.518
tacit	-kolaka	0.459	0.340	0.473
tack	Tack	0.365	0.431	0.431
tackle	hiatrehana	0.365	0.686	0.569
tackled	resahana	0.438	0.612	0.569
tackling	misimisy	0.480	0.694	0.613
tacky	tacky	0.245	0.490	0.373
taco	taco	0.561	0.353	0.277
tact	mahay mandanjalanja	0.550	0.417	0.417
tactful	mandanjalanja	0.704	0.292	0.537
tactic	tetika	0.531	0.434	0.798
tactical	Tactical	0.594	0.481	0.684
tactics	tetikady	0.583	0.676	0.774
tactile	azo tsapai-tanana	0.573	0.410	0.491
tad	NO TRANSLATION	0.459	0.240	0.250
tadpole	tadpole	0.350	0.434	0.218
taffeta	taffeta	0.604	0.279	0.405
taffy	taffy	0.448	0.431	0.204
tag	tenifototra	0.612	0.353	0.375
tail	rambo	0.480	0.272	0.293
tailed	vorompano	0.438	0.358	0.351
tailgate	tailgate	0.323	0.340	0.398
tailings	fetr'andro	0.439	0.311	0.446
taillight	taillight	0.479	0.367	0.283
tailor	Tailor	0.573	0.206	0.450
tailoring	fanjairana	0.673	0.540	0.566
tailpipe	tailpipe	0.460	0.429	0.409
taint	handova	0.141	0.425	0.226
take	mandray	0.828	0.537	0.348
takeoff	Esory	0.755	0.884	0.626
takeout	mamoaka	0.736	0.392	0.368
takeover	maka	0.663	0.531	0.861
taker	mpamono olona	0.375	0.521	0.618
talcum	talcum	0.500	0.196	0.291
tale	angano	0.663	0.300	0.336
talent	talenta	0.959	0.607	0.811
talented	manan-talenta	0.939	0.635	0.938
talisman	ody atao fiaro	0.704	0.542	0.642
talk	lahateny	0.833	0.346	0.594
talkative	be resaka	0.562	0.673	0.535
talker	talker	0.500	0.604	0.552
tall	lava	0.725	0.591	0.538
tallies	tallies	0.551	0.290	0.402
tallow	tallow	0.344	0.283	0.290
tally	Tally	0.542	0.420	0.518
talon	talon	0.344	0.569	0.475
talons	NO TRANSLATION	0.320	0.698	0.525
tambourine	ny ampongatapaka	0.622	0.548	0.348
tame	NO TRANSLATION	0.560	0.604	0.642
tamer	Tamer	0.385	0.783	0.815
taming	taming	0.569	0.514	0.575
tamper	hanova	0.184	0.802	0.545
tampon	tampon	0.396	0.394	0.345
tan	Tan	0.643	0.460	0.444
tandem	tandem	0.552	0.406	0.485
tang	Tang	0.594	0.383	0.340
tangent	tangent	0.573	0.373	0.454
tangerine	mandarina	0.571	0.271	0.395
tangible	azo tsapain-tanana	0.646	0.350	0.679
tangle	tangle	0.354	0.545	0.254
tangled	Feno tahotra	0.260	0.539	0.316
tango	Tango	0.622	0.560	0.430
tank	tanky	0.431	0.454	0.634
tank top	tank top	0.610	0.371	0.371
tanker	sambo lehibe	0.520	0.647	0.713
tanned	tanned	0.615	0.550	0.491
tantalizing	tantalizing	0.525	0.788	0.625
tantamount	olona.	0.633	0.288	0.670
tantrum	fipoahan'ny hatezerana	0.219	0.817	0.404
taoism	Taoisma	0.490	0.250	0.456
tap	paompy	0.461	0.370	0.349
tape	scotch	0.531	0.277	0.254
tape measure	Tape measure	0.406	0.250	0.360
taper	taper	0.541	0.410	0.415
tapering	tapering	0.344	0.380	0.237
tapestry	tapestry	0.520	0.176	0.362
tapeworm	tapeworm	0.357	0.334	0.331
tapioca	tapioca	0.594	0.297	0.324
taps	taps	0.448	0.378	0.409
tar	tara	0.438	0.440	0.570
tarantula	tarantula	0.260	0.718	0.544
tardiness	fahataran'i	0.296	0.452	0.260
tardy	tara	0.204	0.592	0.293
target	lasibatra	0.633	0.573	0.798
targeted	lasibatra	0.573	0.537	0.573
targeting	lasibatra	0.510	0.420	0.580
tariff	tariff	0.459	0.402	0.491
tarmac	Lalantara	0.357	0.302	0.398
tarnish	manimba	0.204	0.441	0.342
tarot	tarot	0.479	0.422	0.430
tarp	NO TRANSLATION	0.479	0.210	0.364
tarry	mitoera eto amiko,	0.392	0.413	0.388
tart	tarta	0.719	0.380	0.219
tartan	an'i Tartana	0.448	0.423	0.389
tartar	tartar	0.214	0.351	0.212
task	asa	0.550	0.353	0.500
tassel	tassel	0.552	0.330	0.307
taste	tsiro	0.802	0.406	0.465
tasteful	mitory aza	0.918	0.458	0.625
tasteless	matsatso	0.146	0.196	0.148
tasting	nanandrana	0.781	0.603	0.600
tasty	matsiro	0.959	0.786	0.555
tat	faty loatra	0.429	0.380	0.404
tattler	tattler	0.417	0.530	0.434
tattletale	tattletale	0.633	0.406	0.317
tattoo	tombokavatsa	0.490	0.602	0.525
taught	nampianatra	0.814	0.481	0.642
taunt	fanesoana	0.083	0.696	0.355
taupe	taupe	0.406	0.340	0.386
taut	Taut	0.432	0.704	0.457
tavern	Fiovana farany	0.516	0.577	0.475
tawdry	tawdry	0.375	0.510	0.398
tawny	lisy	0.551	0.398	0.400
tax	hetra	0.260	0.481	0.534
taxed	hetra	0.255	0.456	0.500
taxi	Taxi	0.542	0.362	0.430
taxicab	taxicab	0.479	0.430	0.355
taxonomy	panasokajiana	0.370	0.410	0.630
taxpayer	mpandoa hetra	0.592	0.528	0.647
tea	dite	0.698	0.163	0.370
teach	mampianatra	0.840	0.510	0.852
teacher	mpampianatra	0.760	0.404	0.885
teaching	fampianarana	0.822	0.444	0.736
teacup	teacup	0.633	0.135	0.277
teahouse	teahouse	0.802	0.314	0.288
teal	teal	0.540	0.293	0.321
team	ekipa	0.708	0.461	0.688
teamjesus	NO TRANSLATION	0.673	0.453	0.536
teammate	mpiara milalao aminy	0.865	0.449	0.660
teamwork	Aza Tia Tena	0.918	0.490	0.773
teapot	teapot	0.479	0.110	0.309
tear	hamiravira	0.404	0.620	0.327
tearful	nitomany	0.208	0.500	0.184
tearsofjoy	NO TRANSLATION	0.926	0.740	0.455
teary	no latsa-dranomaso	0.167	0.473	0.216
tease	mpandrangitra	0.317	0.790	0.432
teaser	teaser	0.510	0.558	0.534
teasing	ny hanihany	0.235	0.725	0.352
teaspoon	sotrokely	0.521	0.330	0.221
teat	teat	0.612	0.469	0.328
teatime	fotoana fisotroana dite	0.847	0.159	0.339
tech	Tech	0.684	0.491	0.732
technical	ara-teknika	0.510	0.490	0.736
technicality	Ara-teknika	0.632	0.471	0.661
technician	teknisianina	0.592	0.510	0.713
technique	teknika	0.760	0.414	0.593
techno	TECHNO	0.561	0.539	0.500
technological	teknolojia	0.680	0.452	0.815
technology	teknolojia	0.776	0.490	0.825
ted	Ted	0.712	0.453	0.336
teddy bear	nonorisa	0.890	0.170	0.192
tedious	mandreraka	0.104	0.406	0.241
tedium	tedium	0.224	0.331	0.298
tee	Tee	0.459	0.373	0.377
teeming	mikisaka	0.582	0.550	0.727
teen	tanora	0.729	0.531	0.568
teenage	tanora	0.667	0.673	0.558
teenager	zatovo	0.781	0.593	0.527
teens	ankizy adolantsento	0.653	0.660	0.440
teensy	teensy	0.520	0.427	0.347
teeny	teeny	0.427	0.418	0.216
teeth	nify	0.520	0.388	0.427
teething	teething	0.396	0.471	0.474
teflon	teflon	0.354	0.245	0.434
telegram	telegrama	0.561	0.542	0.550
telegraph	Telegraph	0.594	0.423	0.400
telekinesis	telekinesis	0.582	0.646	0.667
telemetry	telemetry	0.460	0.382	0.611
telepathic	telepathic	0.602	0.490	0.642
telepathy	telepathy	0.594	0.510	0.588
telephone	telephone	0.694	0.520	0.425
telescope	teleskaopy	0.531	0.340	0.500
telescopic	telescopic	0.490	0.290	0.660
telethon	telethon	0.643	0.641	0.473
teletype	teletype	0.532	0.392	0.455
televised	fahitalavitra	0.625	0.519	0.518
television	fahitalavitra	0.633	0.391	0.547
tell	milaza	0.551	0.350	0.457
teller	Teller	0.500	0.395	0.443
telling	milaza	0.719	0.441	0.527
telltale	telltale	0.240	0.663	0.426
temp	Temp	0.490	0.440	0.314
temper	tezitra	0.633	0.623	0.818
tempera	tempera	0.458	0.318	0.245
temperament	toetra	0.420	0.625	0.703
temperamental	saro-po	0.316	0.774	0.608
temperance	fahononam-po	0.500	0.294	0.639
temperate	mahonon-tena	0.469	0.394	0.593
temperature	hafanana	0.521	0.559	0.473
tempered	malemy fanahy	0.583	0.437	0.667
tempest	tafio-drivotra	0.245	0.843	0.653
template	môdely	0.479	0.311	0.411
temple	tempoly	0.612	0.269	0.660
tempo	NO TRANSLATION	0.582	0.337	0.500
temporal	ara-nofo	0.500	0.413	0.360
temporarily	vonjimaika	0.500	0.365	0.373
temporary	vonjimaika	0.458	0.415	0.324
tempt	maka fanahy	0.210	0.677	0.500
temptation	fakam-panahy	0.365	0.817	0.560
tempting	naka fanahy	0.615	0.740	0.519
temptress	temptress	0.427	0.787	0.667
ten	folo	0.562	0.260	0.406
tenable	tenable	0.741	0.412	0.636
tenacious	tenacious	0.724	0.658	0.692
tenacity	fikirizana	0.740	0.657	0.889
tenancy	tenancy	0.500	0.458	0.605
tenant	mpanofa	0.385	0.360	0.398
tend	Matetika	0.604	0.398	0.412
tendency	fironana	0.684	0.500	0.675
tender	fanahy	0.630	0.520	0.509
tenderfoot	tenderfoot	0.469	0.421	0.438
tenderness	fitiavana	0.949	0.276	0.367
tending	niandry	0.622	0.556	0.594
tendon	tendon	0.341	0.271	0.463
tenement	tenement	0.470	0.384	0.550
tenet	-pinoany	0.667	0.333	0.636
tenets	fotopinoana,	0.734	0.357	0.667
tenfold	avo folo heny	0.469	0.418	0.500
tennis	tenisy	0.622	0.519	0.431
tenor	toetra mahazatra hita	0.587	0.451	0.500
tense	henjana	0.396	0.439	0.655
tensile	tensile	0.458	0.510	0.618
tension	olana	0.304	0.810	0.529
tent	lay	0.510	0.275	0.333
tentacle	tentacle	0.370	0.559	0.398
tentative	andrana	0.582	0.657	0.534
tenth	fahafolo	0.510	0.349	0.382
tenths	ampahafolon'ny	0.406	0.294	0.284
tenuous	tenuous	0.398	0.263	0.276
tenure	fotoam	0.615	0.472	0.611
tepee	tepee	0.500	0.337	0.373
tepid	tepid	0.337	0.327	0.237
tequila	Tequila	0.612	0.710	0.536
teriyaki	teriyaki	0.646	0.449	0.431
term	teny	0.450	0.255	0.598
terminal	Terminus	0.316	0.434	0.483
terminate	hamarana	0.171	0.410	0.441
termination	famaranana	0.344	0.472	0.545
terminator	Rakoto	0.370	0.663	0.737
terminology	voambolana	0.612	0.284	0.566
terminus	gara farany	0.281	0.382	0.615
termite	vitsikazo taloha	0.265	0.480	0.408
terms	Anarana iombonana	0.490	0.362	0.645
tern	tern	0.573	0.365	0.309
ternary	ternary	0.550	0.406	0.480
terrace	lavarangana	0.615	0.269	0.411
terrain	lalana	0.540	0.300	0.472
terrestrial	terestrialy	0.542	0.413	0.582
terrible	mahatsiravina	0.061	0.849	0.604
terribly	mafy	0.061	0.731	0.430
terrier	terrier	0.562	0.540	0.431
terrific	mahafinaritra	0.859	0.650	0.821
terrified	raiki-tahotra	0.090	0.902	0.387
terrifies	terrifies	0.083	0.923	0.500
terrify	hampihorohoro	0.052	0.889	0.509
terrifying	mampihorohoro	0.031	0.836	0.602
territorial	Faritany	0.405	0.600	0.766
territory	faritany	0.625	0.469	0.676
terror	fampihorohoroana	0.069	0.902	0.415
terrorism	fampihorohoroana	0.060	0.971	0.673
terrorist	mpampihorohoro	0.019	0.930	0.679
terrorists	mpampihorohoro	0.062	0.967	0.688
