Word	Tamil-ta	Valence	Arousal	Dominance
scallop	இரட்டை வழிச் சோழி	0.490	0.363	0.331
scalp	உச்சந்தலையில்	0.347	0.346	0.302
scalpel	ஸ்கால்பெல் கத்தியால்	0.302	0.700	0.482
scaly	செதில்	0.281	0.481	0.358
scam	ஊழல்	0.042	0.745	0.418
scamp	போக்கிரி	0.458	0.464	0.371
scampi	scampi	0.531	0.448	0.224
scan	ஸ்கேன்	0.479	0.423	0.470
scandal	ஊழல்	0.122	0.821	0.557
scandalous	இழிவான	0.135	0.907	0.556
scanner	ஸ்கேனர்	0.531	0.356	0.567
scanty	போதாத	0.287	0.333	0.127
scape	இயற்கைக்	0.290	0.625	0.536
scapegoat	பலிகடா	0.184	0.685	0.481
scar	வடு	0.146	0.500	0.397
scarab	பழங்கால எகிப்தியர்கள் புனிதமாகக் கருதிய வண்டு	0.406	0.458	0.267
scarce	பற்றாக்குறை	0.292	0.324	0.218
scarcely	அரிதாகவே	0.082	0.412	0.160
scarcity	பற்றாக்குறை	0.167	0.500	0.182
scare	பயத்தின்	0.122	0.910	0.264
scarecrow	வெருளி	0.219	0.274	0.349
scared	பயமாக	0.146	0.828	0.185
scares	பயமா	0.122	0.847	0.386
scarf	தாவணி	0.750	0.224	0.224
scarier	scarier	0.156	0.846	0.472
scariest	பயங்கரமான	0.167	0.863	0.538
scarlet	கருஞ்சிவப்பு	0.507	0.390	0.411
scary	பயங்கரமான	0.062	0.952	0.528
scat	கழிவுகளிலிருக்கும்	0.337	0.548	0.409
scatter	சிதறல்	0.229	0.620	0.404
scattered	சிதறி	0.208	0.380	0.238
scattering	சிதறல்	0.347	0.550	0.394
scavenger	தோட்டி	0.177	0.578	0.408
scenario	சூழ்நிலையில்	0.667	0.510	0.683
scene	காட்சி	0.570	0.340	0.578
scenery	இயற்கைக்காட்சி	0.745	0.253	0.592
scenic	கண்ணுக்கினிய	0.684	0.548	0.756
scent	வாசனை	0.633	0.410	0.491
scented	நறுமணம் மிக்க	0.865	0.509	0.431
scepter	செங்கோல்	0.630	0.300	0.670
sceptical	சந்தேகம்	0.214	0.387	0.466
scepticism	ஐயுறவு	0.292	0.444	0.550
schadenfreude	மற்றவரின் துரதிஷ்டத்தில்	0.354	0.640	0.463
schedule	அட்டவணை	0.510	0.380	0.480
schematic	திட்ட	0.490	0.284	0.647
scheme	திட்டம்	0.521	0.269	0.577
schilling	சில்லிங்	0.367	0.410	0.418
schism	பிளவு	0.280	0.569	0.386
schizophrenia	மனச்சிதைவு	0.092	0.880	0.435
schizophrenic	ஸ்கிசோஃப்ரினிக்	0.102	0.958	0.433
schlep	schlep	0.302	0.426	0.382
schmuck	NO TRANSLATION	0.363	0.412	0.375
schnapps	Schnapps	0.583	0.567	0.417
schnitzel	Schnitzel	0.365	0.430	0.382
scholar	அறிஞர்	0.694	0.421	0.731
scholarly	அறிவார்ந்த	0.750	0.466	0.709
scholarship	உதவித்தொகை	0.866	0.490	0.625
scholastic	கல்வியியல்	0.500	0.470	0.491
school	பள்ளி	0.765	0.423	0.633
schoolboy	பள்ளி	0.623	0.385	0.441
schoolgirl	பள்ளி	0.760	0.521	0.415
schoolhouse	பள்ளிக்கூடத்தை	0.602	0.407	0.672
schooling	பள்ளிப்படிப்பை	0.582	0.462	0.640
schoolmaster	பள்ளியாசிரியராக	0.667	0.368	0.852
schoolteacher	NO TRANSLATION	0.521	0.380	0.632
schoolwork	பள்ளி வேலை	0.479	0.500	0.481
schoolyard	பாடசாலை வளாகம்	0.684	0.529	0.440
schooner	இரட்டை பாய் மர கப்பல்	0.635	0.408	0.427
sciatica	சியாட்டிகா	0.286	0.443	0.393
science	அறிவியல்	0.588	0.429	0.741
scientific	அறிவியல்	0.653	0.510	0.836
scientist	விஞ்ஞானி	0.562	0.500	0.790
scifi	SciFi	0.592	0.570	0.394
scintilla	NO TRANSLATION	0.476	0.528	0.385
scintillating	உணர்வூட்டும்	0.650	0.736	0.612
scintillation	பொறி சிதறல்	0.576	0.579	0.573
scintillator	scintillator	0.583	0.670	0.510
scion	வாரிசு	0.490	0.380	0.451
scissors	கத்தரிக்கோல்	0.458	0.462	0.302
scoff	வெறுக்கத்தக்க	0.125	0.686	0.306
scold	திட்டுவதற்காக	0.194	0.755	0.626
scolding	வசவுகளை	0.071	0.833	0.417
scone	ஸ்கோன்	0.418	0.287	0.229
scoop	ஸ்கூப்	0.583	0.543	0.640
scoot	வேகமாகச் செல்	0.510	0.490	0.412
scooter	ஸ்கூட்டர்	0.510	0.587	0.371
scope	நோக்கம்	0.656	0.386	0.718
scorch	வாட்டு	0.214	0.689	0.491
scorching	மிகுந்த வெப்பமான	0.406	0.635	0.464
score	மதிப்பெண்	0.670	0.388	0.589
scoreboard	கிரிக்கெட்	0.667	0.484	0.472
scorer	அதிக கோல் அடித்தவர்	0.730	0.608	0.764
scores	மதிப்பெண்களை	0.594	0.469	0.629
scorn	வெறுப்புக்கு ஆளானார்	0.110	0.721	0.356
scorned	இகழ்ந்ததுடன்	0.062	0.529	0.226
scornful	இகழ்ச்சியான	0.173	0.608	0.368
scorpion	தேள்	0.198	0.745	0.600
scotch	ஸ்காட்ச்	0.578	0.520	0.615
scoundrel	போக்கிரி	0.094	0.740	0.412
scour	கிண்ணங்களை	0.388	0.602	0.632
scourge	கசை	0.214	0.640	0.302
scout	சாரணர்	0.656	0.611	0.763
scowl	கோபத்துடன்	0.302	0.600	0.413
scrabble	ஸ்குவாஷ்	0.625	0.412	0.399
scram	பாதையினின்றும் விலகிப் போ	0.306	0.485	0.409
scramble	கை கால்களால் தொற்றி ஏறு	0.469	0.744	0.500
scrambled	துருவல்	0.451	0.535	0.539
scrambler	scrambler	0.417	0.550	0.444
scrambling	நெரிசலில்	0.421	0.810	0.731
scrap	ஸ்கிராப்	0.156	0.339	0.173
scrapbook	ஸ்க்ராப்புக்	0.562	0.274	0.432
scrape	சுரண்டு	0.365	0.615	0.384
scrapie	scrapie	0.306	0.706	0.231
scraping	உரசி	0.265	0.479	0.305
scrappy	துண்டு துண்டாய்	0.301	0.375	0.406
scratch	கீறல்	0.276	0.625	0.270
scratchy	கவனக் குறைவு	0.235	0.610	0.436
scrawny	ஒல்லியான	0.276	0.422	0.245
scream	அலறல்	0.188	0.863	0.594
screamer	முதலாவதாக	0.156	0.670	0.392
screaming	கத்தி	0.245	0.901	0.460
screech	கீச்சிடு	0.214	0.802	0.306
screen	திரை	0.670	0.300	0.417
screening	திரையிடல்	0.562	0.570	0.709
screenplay	திரைக்கதை	0.500	0.406	0.518
screenwriter	திரைக்கதை	0.571	0.500	0.712
screw	திருகு	0.385	0.460	0.377
screwball	screwball	0.271	0.680	0.505
screwdriver	ஸ்க்ரூடிரைவர்	0.520	0.519	0.439
screwed	திருகப்படுமாறு	0.302	0.520	0.464
screwy	மதிமயங்கிய	0.344	0.596	0.450
screwyou	NO TRANSLATION	0.260	0.647	0.509
scribble	கிறுக்கல்	0.429	0.453	0.358
scribe	சம்பிரதியாகிய	0.541	0.264	0.491
scrimmage	ஸ்கிரிம்மிஜிலிருந்து	0.367	0.660	0.411
scrip	பங்கு	0.430	0.462	0.455
script	ஸ்கிரிப்ட்	0.610	0.450	0.527
scriptural	நூல்	0.551	0.250	0.596
scripture	இலக்கியத்தில்	0.745	0.270	0.630
scroll	சுருள்	0.375	0.630	0.409
scrotum	விதைப்பையில்	0.396	0.653	0.361
scrounge	ஏமாற்றி எடு	0.210	0.565	0.397
scrounger	scrounger	0.323	0.490	0.358
scrub	குறுங்காடாகவும்	0.417	0.420	0.500
scruffy	சீரற்ற	0.194	0.435	0.176
scrumptious	கஃபேயில்	0.959	0.650	0.566
scrupulous	குற்றமற்ற	0.545	0.685	0.602
scrutinize	ஆராய்	0.458	0.587	0.573
scrutiny	கண்காணிப்பின்	0.500	0.653	0.658
scuba	ஸ்கூபா	0.542	0.494	0.456
scuff	ஸ்கஃப்	0.165	0.560	0.376
scuffle	கைகலப்பில்	0.146	0.800	0.529
scullery	scullery	0.469	0.337	0.353
sculptor	சிற்பி	0.653	0.431	0.694
sculpture	சிற்பம்	0.750	0.346	0.490
sculptured	செதுக்கிய	0.708	0.373	0.557
scum	அழுக்காகவும்	0.357	0.380	0.218
scumbag	அசுத்தத்தை	0.240	0.591	0.278
scurry	ஓடுவதைப்	0.398	0.647	0.509
scurvy	ஸ்கர்வி	0.354	0.462	0.312
scuttle	கவிழ்ப்பதுமேயாகும்	0.438	0.398	0.430
sea	கடல்	0.833	0.353	0.589
seaboard	கடல்படுகை	0.663	0.356	0.507
seafood	கடல்	0.656	0.500	0.328
seagull	கடற்பறவை	0.635	0.245	0.314
seal	முத்திரை	0.490	0.218	0.518
seals	முத்திரைகள்	0.412	0.241	0.402
seam	மடிப்பு	0.427	0.250	0.414
seaman	கடலோடி	0.520	0.510	0.672
seamless	இசைவான	0.459	0.140	0.302
seamstress	தையல்காரராகவும்	0.535	0.288	0.389
seaport	துறைமுகம்	0.594	0.317	0.491
sear	உணர்ச்சியற்று போக செய்	0.490	0.553	0.600
search	தேடல்	0.635	0.580	0.462
searching	தேடி	0.534	0.657	0.466
searchlight	தேடும்	0.622	0.510	0.552
seared	கருகிப்போகச்	0.229	0.410	0.398
seashore	கடற்கரை	0.796	0.310	0.375
seasick	seasick	0.115	0.683	0.245
seaside	கடலோர	0.887	0.520	0.508
season	சீசன்	0.792	0.410	0.519
seasonal	பருவகால	0.592	0.273	0.305
seasoned	அனுபவமுள்ள	0.812	0.570	0.509
seasoning	சுவையூட்டும்	0.633	0.388	0.479
seat	இருக்கை	0.542	0.281	0.434
seatbelt	பட்டைப்	0.656	0.314	0.726
seating	அமர்ந்துள்ள	0.552	0.265	0.286
seawater	கடல்நீரை	0.760	0.197	0.491
seaweed	கடற்பாசி	0.446	0.286	0.382
sec	நொடி	0.490	0.385	0.380
secession	பிரிவினை	0.323	0.561	0.509
secluded	ஒதுங்கிய	0.357	0.265	0.240
seclusion	தனித்திருத்தல்	0.230	0.558	0.505
second	இரண்டாவது	0.490	0.210	0.250
second cousin	இரண்டாவது உறவினர்	0.698	0.360	0.441
secondary	இரண்டாம்	0.636	0.375	0.260
secondhand	இரண்டாம்	0.194	0.389	0.283
secrecy	ரகசியமாக	0.294	0.549	0.475
secret	இரகசிய	0.479	0.580	0.509
secretariat	செயலகம்	0.518	0.459	0.597
secretary	செயலாளர்	0.612	0.426	0.561
secrete	சுரக்கின்றன	0.427	0.567	0.518
secretion	சுரப்பு	0.354	0.582	0.529
secretive	இரகசிய	0.390	0.250	0.538
secretly	ரகசியமாக	0.525	0.404	0.479
sect	பிரிவை	0.265	0.667	0.526
sectarian	குறுங்குழுவாத	0.260	0.606	0.517
section	பிரிவில்	0.500	0.269	0.421
sectional	வெட்டு	0.427	0.415	0.464
sector	துறை	0.594	0.190	0.569
secular	மதச்சார்பற்ற	0.463	0.461	0.520
secularism	மதச்சார்பின்மை	0.367	0.440	0.559
secure	பாதுகாக்க	0.844	0.380	0.914
securities	பத்திரங்கள்	0.750	0.304	0.852
security	பாதுகாப்பு	0.837	0.360	0.821
sedan	NO TRANSLATION	0.480	0.423	0.680
sedate	சாந்தமான	0.656	0.157	0.345
sedation	தணிப்பு	0.510	0.270	0.398
sedative	மயக்க மருந்து	0.314	0.273	0.352
sedentary	உடல் உழைப்பு தேவைப்படாத	0.292	0.185	0.273
sedge	புல் போன்ற தாவரம்	0.406	0.396	0.339
sediment	வண்டல்	0.438	0.306	0.372
sedimentary	வண்டல்	0.398	0.265	0.500
sedition	துரோகம்	0.327	0.557	0.591
seduce	கவர்ச்சியை	0.462	0.864	0.689
seducer	seducer	0.704	0.812	0.775
seducing	வசப்படுத்துவதிலேயே	0.569	0.794	0.708
seduction	மயக்கும்	0.510	0.891	0.618
seductive	கவர்ச்சிமிக்க	0.771	0.821	0.667
see	பார்க்க	0.635	0.269	0.312
seed	விதை	0.656	0.135	0.306
seedling	நாற்று	0.406	0.343	0.423
seeds	விதைகள்	0.731	0.269	0.418
seedy	க்ஷீணமாயிருக்கிற	0.229	0.390	0.325
seek	தேடுங்கள்	0.622	0.429	0.482
seeker	கோருவோர்	0.646	0.464	0.553
seem	தெரியவில்லை	0.471	0.302	0.298
seemingly	வெளித்தோற்றத்தில்	0.490	0.410	0.356
seer	ஞானதிருஷ்டிக்காரனுடைய	0.604	0.481	0.740
seesaw	ஏற்ற விளையாட்டு	0.570	0.559	0.410
seething	கொதிக்கிற	0.312	0.821	0.642
segment	பிரிவில்	0.469	0.290	0.440
segregate	பிரிக்கவோ	0.290	0.627	0.440
segregated	ஒதுக்கப்பட்ட	0.164	0.575	0.411
segregation	பாகுபாடு	0.302	0.545	0.390
seismic	நில அதிர்வு	0.323	0.925	0.578
seize	பறிமுதல்	0.656	0.644	0.673
seizure	பறிமுதல்	0.177	0.775	0.462
seldom	எப்போதாவது	0.323	0.379	0.287
select	தேர்வு	0.615	0.406	0.602
selection	தேர்வு	0.594	0.340	0.595
selective	தேர்ந்தெடுக்கப்பட்ட	0.612	0.347	0.706
selectman	selectman	0.552	0.547	0.609
selenium	செலினியம்	0.469	0.408	0.336
self	சுய	0.704	0.370	0.500
selfharm	NO TRANSLATION	0.350	0.620	0.407
selfish	சுயநல	0.061	0.637	0.495
selfishness	சுயநலம்	0.200	0.686	0.453
selfless	தன்னலமற்ற	0.521	0.235	0.396
selflove	NO TRANSLATION	0.854	0.630	0.661
selfworth	NO TRANSLATION	0.704	0.460	0.594
sell	விற்க	0.618	0.608	0.605
seller	விற்பனையாளர்	0.635	0.471	0.635
sellout	விற்றுவிடல்	0.398	0.490	0.465
seltzer	கார்பனேற்றப்பட்ட நீர்	0.448	0.452	0.406
semantics	பொருள்கள்	0.698	0.394	0.569
semaphore	சேமாஃபோரும்	0.552	0.374	0.598
semblance	ஒத்த இயல்பு	0.500	0.471	0.442
semen	விந்து	0.500	0.755	0.471
semester	செமஸ்டர்	0.521	0.327	0.482
semi	அரை	0.296	0.345	0.304
semiautomatic	NO TRANSLATION	0.469	0.510	0.522
semicolon	அரைப்புள்ளி	0.378	0.255	0.318
seminal	விஞ்ஞான	0.459	0.413	0.566
seminar	கருத்தரங்கில்	0.583	0.360	0.623
seminary	கல்லூரிக்குள்	0.594	0.367	0.589
semiotics	குறியீடுகளில்	0.449	0.417	0.596
senate	செனட்	0.490	0.349	0.836
senator	செனட்டர்	0.391	0.422	0.821
send	அனுப்பு	0.663	0.480	0.537
sender	அனுப்புநர்	0.542	0.449	0.509
senescence	senescence	0.378	0.456	0.394
senile	முதுமைக்குரிய	0.280	0.211	0.305
senior	மூத்த	0.561	0.415	0.536
seniority	பணி மூப்பு	0.408	0.427	0.602
senor	அற்றவராக	0.527	0.217	0.630
senorita	senorita	0.765	0.550	0.500
sensation	உணர்வு	0.781	0.663	0.673
sensational	பரபரப்பான	0.938	0.827	0.858
sense	உணர்வு	0.781	0.417	0.474
senseless	முட்டாள்தனமான	0.125	0.388	0.136
senses	புலன்களின்	0.740	0.461	0.693
sensibility	உணர்ச்சிவயப்படும்	0.583	0.423	0.448
sensible	விவேகமான	0.625	0.454	0.312
sensibly	நடைமுறைக்கேற்ப	0.786	0.337	0.396
sensitive	முக்கிய	0.714	0.426	0.254
sensitivity	உணர்திறன்	0.750	0.417	0.395
sensor	சென்சார்	0.571	0.377	0.542
sensory	உணர்ச்சி	0.583	0.480	0.442
sensual	பாலுணர்வு	0.730	0.790	0.642
sensuality	உணர்ச்சி மிகு	0.844	0.840	0.632
sensuous	இந்திரிய	0.854	0.798	0.625
sentence	தண்டனை	0.625	0.265	0.548
sentencing	தண்டனை	0.120	0.782	0.561
sentient	சென்டினல்	0.583	0.417	0.363
sentiment	உணர்வு	0.765	0.451	0.639
sentimental	செண்டிமெண்ட்	0.583	0.378	0.312
sentimentality	மனோபாவங்கள்	0.771	0.548	0.319
sentinel	காவலாளி	0.531	0.602	0.845
sentry	காவற்காரன்	0.470	0.547	0.684
separable	பிரிக்கக்கூடிய	0.469	0.390	0.368
separate	தனி	0.240	0.514	0.349
separately	தனித்தனியாக	0.310	0.365	0.368
separation	பிரிப்பு	0.198	0.592	0.409
separatist	பிரிவினைவாத	0.245	0.627	0.537
sepia	செபியா	0.448	0.270	0.345
sepsis	சீழ்ப்பிடிப்பு	0.229	0.452	0.327
sept	செப்டம்பர்	0.521	0.333	0.361
septic	செப்டிக்	0.281	0.462	0.425
septum	தடுப்புச்சுவர்	0.276	0.423	0.410
sequel	தொடர்ச்சி	0.650	0.480	0.574
sequence	வரிசை	0.543	0.350	0.529
sequent	அடுத்து வருகிற	0.531	0.423	0.591
sequestered	பிரிந்தபோது	0.160	0.863	0.427
sequestration	பிரிப்பு	0.177	0.860	0.500
serenade	செருனேட்	0.875	0.570	0.491
serendipity	செரெண்டிபிட்டியைப்	0.677	0.413	0.500
serene	அமைதியான	0.802	0.132	0.370
serenity	அமைதி	0.900	0.122	0.557
sergeant	சார்ஜென்ட்	0.408	0.600	0.833
serial	தொடர்	0.469	0.350	0.472
serialize	தொடர் வரிசையாக	0.500	0.455	0.593
series	தொடர்	0.622	0.431	0.420
serif	செரிஃப்	0.531	0.417	0.415
serious	தீவிர	0.500	0.455	0.619
seriousness	தீவிரமாகவும்	0.439	0.365	0.750
sermon	பிரசங்கம்	0.417	0.507	0.615
serpent	பாம்பு	0.115	0.696	0.679
serpentine	நெளிந்திருப்பதன்	0.576	0.646	0.329
serrated	ரம்பம்	0.388	0.435	0.418
serum	சீரம்	0.520	0.231	0.443
servant	வேலைக்காரன்	0.340	0.408	0.331
serve	பணியாற்ற	0.622	0.400	0.384
server	சர்வர்	0.656	0.356	0.536
service	சேவை	0.684	0.408	0.535
serviceable	ஒத்தாசையாயுள்ள	0.834	0.400	0.684
servile	கொத்தடிமை	0.439	0.327	0.415
servitude	அடிமைப்பணி	0.250	0.490	0.250
sesame	எள்	0.673	0.250	0.382
sess	NO TRANSLATION	0.418	0.481	0.411
session	அமர்வு	0.510	0.481	0.491
sessions	அமர்வுகள்	0.646	0.578	0.650
set	தொகுப்பு	0.521	0.482	0.630
setback	பின்னடைவு	0.198	0.451	0.250
sett	NO TRANSLATION	0.560	0.413	0.500
setter	செட்டர்	0.541	0.455	0.473
settle	குடியேற	0.833	0.520	0.772
settled	தீர்வு	0.521	0.510	0.473
settlement	தீர்வு	0.635	0.412	0.723
settler	குடியேற்றக்காரர்	0.573	0.453	0.519
settlor	settlor	0.531	0.434	0.534
setup	அமைப்பு	0.667	0.398	0.635
seven	ஏழு	0.672	0.265	0.373
seventeen	பதினேழு	0.585	0.296	0.321
seventh	ஏழாம்	0.500	0.245	0.288
seventy	எழுபது	0.625	0.353	0.446
sever	துண்டிக்க	0.156	0.635	0.451
severable	severable	0.406	0.451	0.398
severally	ஆகியவைத்	0.719	0.298	0.600
severance	பணிநீக்க	0.396	0.620	0.541
severe	கடுமையான	0.164	0.735	0.635
severely	கடுமையாக	0.219	0.673	0.700
severity	தீவிரத்தை	0.260	0.712	0.661
sew	தை	0.510	0.340	0.340
sewage	கழிவுநீர்	0.255	0.343	0.339
sewer	பாதாள சாக்கடை	0.286	0.367	0.282
sewerage	கழிவுநீர்	0.208	0.450	0.198
sewing	தையல்	0.625	0.337	0.356
sex	செக்ஸ்	0.803	0.939	0.704
sexist	ஆபாச	0.255	0.798	0.411
sexual	பாலியல்	0.584	0.959	0.640
sexuality	பாலியல்	0.670	0.898	0.657
sexy	கவர்ச்சியாக	0.865	0.945	0.802
shabby	அவலட்சணமான	0.235	0.519	0.259
shack	குடிசையில்	0.396	0.425	0.339
shackle	விலங்காக	0.276	0.580	0.414
shade	நிழல்	0.388	0.265	0.278
shades	நிழல்கள்	0.490	0.300	0.380
shading	நிழல்	0.420	0.324	0.318
shadow	நிழல்	0.302	0.343	0.158
shadowy	நிழல்	0.135	0.373	0.330
shady	நிழலான	0.323	0.509	0.375
shaft	தண்டு	0.549	0.275	0.472
shag	புணர்தல்	0.417	0.462	0.340
shaggy	கரடுமுரடான	0.510	0.302	0.321
shake	குலுக்கி	0.439	0.689	0.539
shakedown	உலுக்கியதை	0.286	0.692	0.481
shaken	கலங்கியது	0.344	0.657	0.333
shaker	குலுக்கி	0.520	0.728	0.518
shaking	குலுக்க	0.275	0.849	0.255
shaky	தடுமாற்றத்தை	0.260	0.734	0.223
shall	பேசலாம்	0.510	0.385	0.412
shallow	ஆழமற்ற	0.427	0.298	0.351
shallows	ஆழமற்ற	0.388	0.368	0.368
sham	போலி	0.354	0.602	0.395
shaman	மத குருவாகவும்	0.490	0.531	0.604
shambles	குப்பையாக	0.271	0.696	0.287
shame	அவமானம்	0.060	0.670	0.155
shamed	வெட்கித்	0.135	0.567	0.218
shameful	வெட்கக்கேடான	0.040	0.680	0.264
shameless	வெட்கமின்றி	0.274	0.713	0.407
shampoo	ஷாம்பு	0.604	0.180	0.250
shanghai	ஷாங்காய்	0.551	0.450	0.509
shank	அற்ற	0.530	0.393	0.286
shanty	குடிசை	0.427	0.459	0.255
shape	வடிவம்	0.592	0.240	0.422
shapely	வடிவுடையதாக	0.771	0.441	0.830
shard	சில்லை	0.388	0.407	0.426
share	பகிர்	0.759	0.548	0.545
shareholder	பங்குதாரர்	0.656	0.632	0.915
sharing	பகிர்ந்து	0.827	0.462	0.545
shark	சுறா	0.260	0.845	0.596
sharp	கூர்மையான	0.459	0.585	0.585
sharpen	கூர்மைப்படுத்துங்கள்	0.582	0.694	0.611
sharpened	கூரான	0.573	0.647	0.727
sharpener	கூர்மையாக்கும்	0.532	0.435	0.327
sharpness	ஓங்கியிருக்கும்	0.729	0.385	0.653
sharpshooter	ஷார்ப்ஷூட்டரை	0.240	0.929	0.764
shatter	நொறுக்கு	0.108	0.821	0.464
shattered	சிதைந்த	0.097	0.806	0.309
shattering	சிதறடித்தார்	0.135	0.760	0.475
shave	ஷேவ்	0.521	0.410	0.480
shaver	ஷேவர்	0.418	0.450	0.392
shaving	ஷேவிங்	0.500	0.469	0.353
shawl	சால்வை	0.720	0.365	0.230
sheaf	ஏடுகள் சிலவற்றை	0.396	0.387	0.456
shear	வெட்டு	0.286	0.647	0.388
shears	கத்தரிகள்	0.429	0.527	0.254
sheath	உறை	0.460	0.314	0.342
sheathing	sheathing	0.378	0.480	0.642
shed	சிந்திய	0.427	0.402	0.470
sheen	ஷீன்	0.812	0.510	0.712
sheep	ஆடுகள்	0.604	0.206	0.161
sheepdog	ஷீப்டாக்	0.684	0.442	0.529
sheepish	செம்மறியாடு	0.326	0.441	0.205
sheer	வெளிப்படையான	0.604	0.250	0.481
sheet	தாள்	0.439	0.174	0.302
sheik	ஷேக்	0.521	0.579	0.708
shelf	அலமாரியில்	0.561	0.202	0.366
shell	ஷெல்	0.615	0.408	0.391
shellfish	மட்டி	0.594	0.412	0.393
shelling	ஷெல்	0.337	0.917	0.773
shelter	தங்குமிடம்	0.704	0.229	0.569
sheltered	அடைக்கலம்	0.590	0.377	0.717
shelters	முகாம்களில்	0.582	0.333	0.482
shelved	கிடப்பில்	0.306	0.166	0.321
shepherd	மேய்க்கும்	0.656	0.304	0.610
sherbet	பானங்கள்	0.592	0.363	0.348
sheriff	ஷெரிப்	0.602	0.541	0.802
sherry	ச்செரிக்கு	0.594	0.477	0.315
shield	கவசம்	0.510	0.373	0.663
shift	மாற்றம்	0.479	0.610	0.491
shifting	மாற்றம்	0.518	0.548	0.546
shifty	நேர்மையற்ற	0.365	0.687	0.483
shilling	ஷில்லிங்க்	0.521	0.342	0.430
shimmer	பளபளப்பு	0.745	0.562	0.656
shimmering	மின்னும்	0.844	0.648	0.904
shimmy	உந்து வண்டிகளில் முன் சக்கரங்களில் அசைவாட்டம்	0.478	0.476	0.462
shin	தாடை	0.459	0.500	0.231
shindig	shindig ஒரு	0.552	0.560	0.491
shine	பிரகாசம்	0.844	0.539	0.741
shiner	ஷைனர்	0.740	0.510	0.556
shingle	கூழாங்கல்	0.510	0.200	0.410
shining	பிரகாசிக்கும்	0.885	0.673	0.812
shiny	பளபளப்பான	0.885	0.604	0.787
ship	கப்பல்	0.646	0.500	0.439
shipment	கப்பலில்	0.582	0.440	0.452
shipping	கப்பல்	0.622	0.327	0.443
shipshape	ஒழுங்கான	0.594	0.480	0.474
shipwreck	கப்பல் விபத்தில்	0.268	0.768	0.373
shipyard	கப்பல்துறைமுகத்தையும்	0.398	0.583	0.595
shire	Shire	0.479	0.257	0.609
shirt	சட்டை	0.698	0.186	0.231
shit	மலம்	0.000	0.678	0.294
shitday	NO TRANSLATION	0.281	0.658	0.390
shitfaced	போதையான	0.214	0.695	0.380
shithead	ஷிட்ஹெட்	0.120	0.645	0.302
shitless	shitless	0.271	0.545	0.333
shitload	அதற்காக நமக்கு பல்மடங்கு	0.020	0.606	0.161
shittest	NO TRANSLATION	0.076	0.673	0.232
shitty	கேவலமானவள்	0.020	0.679	0.163
shiver	தூண்டல்	0.260	0.765	0.236
shivering	நடுக்கம்	0.122	0.663	0.373
shoals	திரள்கள்	0.396	0.408	0.375
shock	அதிர்ச்சி	0.286	0.821	0.453
shocked	அதிர்ச்சி	0.292	0.773	0.375
shocker	அதிர்ச்சி	0.235	0.804	0.616
shocking	அதிர்ச்சி	0.378	0.853	0.833
shockingly	அதிர்ச்சியளிக்கக்கூடிய	0.510	0.924	0.721
shoddy	சொதப்பலாக	0.082	0.463	0.179
shoe	ஷூ	0.517	0.225	0.288
shoelace	Shoelace	0.396	0.280	0.307
shoemaker	செருப்புத்	0.396	0.269	0.491
shoes	காலணிகள்	0.729	0.324	0.210
shoeshine	நிற்றல்	0.392	0.387	0.325
shook	குலுக்கியது	0.163	0.759	0.509
shoot	சுட	0.092	0.926	0.625
shooter	சுடும்	0.224	0.814	0.774
shooting	படப்பிடிப்பு	0.276	0.931	0.602
shootout	ஷூட்அவுட்	0.080	0.927	0.615
shop	கடை	0.725	0.632	0.565
shopkeeper	கடைக்காரர்	0.677	0.510	0.730
shoplifter	கடைத் திருடர்களில்	0.167	0.830	0.500
shoplifting	கடை திருட்டு	0.152	0.833	0.441
shopper	நுகர்வோருக்கு	0.646	0.615	0.741
shopping	கடையில் பொருட்கள் வாங்குதல்	0.915	0.445	0.630
shore	கரையில்	0.542	0.304	0.204
shoreline	கடற்கரையை	0.677	0.296	0.529
shorn	அபிகரிக்கப்பட்ட	0.396	0.415	0.400
short	குறுகிய	0.184	0.264	0.237
short story	சிறு கதை	0.697	0.321	0.348
shortage	பற்றாக்குறை	0.094	0.455	0.198
shortcake	சிறிய கேக்	0.677	0.359	0.398
shortcoming	குறைபாடு	0.195	0.370	0.258
shortcut	குறுக்குவழி	0.594	0.308	0.426
shorten	சுருக்கவும்	0.302	0.382	0.460
shortening	குறுக்கல்	0.286	0.333	0.385
shorthand	சுருக்கெழுத்து	0.459	0.450	0.461
shortly	விரைவில்	0.582	0.310	0.360
shortness	திணறல்	0.459	0.280	0.272
shorts	ஷார்ட்ஸ்	0.622	0.481	0.287
shortstop	shortstop	0.418	0.529	0.450
shortwave	சிற்றலைகளை	0.460	0.271	0.368
shot	ஷாட்	0.144	0.750	0.569
shotgun	பலவந்தமான	0.200	0.868	0.684
shoulder	தோள்பட்டை	0.562	0.286	0.406
shout	சத்தம்	0.229	0.925	0.444
shove	ஆர்ப்பரிப்பு	0.306	0.690	0.602
shovel	மண்வாரி	0.427	0.308	0.267
shoveling	தோண்டியெடுப்பு	0.265	0.620	0.537
show	நிகழ்ச்சி	0.673	0.771	0.719
showbiz	திரைத்துறையில்	0.661	0.713	0.598
showboat	Showboat	0.618	0.625	0.509
showcase	காட்சி	0.521	0.255	0.415
showdown	மோதல்	0.302	0.950	0.692
shower	மழை	0.669	0.346	0.336
