Word	Sindhi-sd	Valence	Arousal	Dominance
throbbing	ڪٽجي ويو	0.645	0.808	0.491
throes	ڪڙيون	0.146	0.760	0.235
throne	تخت	0.724	0.606	0.887
throng	ٺهرايو	0.480	0.810	0.706
throttle	تختو	0.562	0.804	0.750
throw	ڌوڙ	0.344	0.770	0.623
throwback	فلاڻو	0.280	0.454	0.356
thrower	ڀڄڻ	0.470	0.690	0.717
thrown	ٿي ويو	0.500	0.550	0.619
thrush	ڇڪڻ	0.306	0.490	0.454
thrust	زبردست	0.510	0.647	0.663
thruster	گهڙڻ	0.698	0.812	0.719
thud	تڙ	0.255	0.686	0.620
thug	ڳاڙهو	0.240	0.882	0.667
thumb	گونگا	0.673	0.271	0.361
thumbprint	ڳاڙهو پرنٽ	0.510	0.347	0.451
thump	ويران	0.280	0.792	0.608
thumper	ويندڙ	0.354	0.623	0.457
thumping	ٽڪرائڻ	0.214	0.755	0.566
thunder	کنوڻ	0.296	0.916	0.526
thunderbolt	گوڙ	0.418	0.719	0.642
thunderclap	گوڙ	0.390	0.833	0.607
thundering	گوڙيندڙ	0.337	0.778	0.700
thunderstorm	طوفان	0.135	0.860	0.784
thunderstruck	اڻڄاتل	0.194	0.716	0.509
thwart	ٿڌڻ	0.281	0.684	0.409
thx	ڪري رهيو آهي	0.562	0.425	0.461
thyme	ڪريم	0.561	0.255	0.325
thyroid	ٽائيٽل	0.234	0.455	0.373
tiara	ٽارا	0.719	0.300	0.472
tibia	ٽائيم	0.450	0.302	0.425
tic	ٽڪ	0.271	0.438	0.250
tick	ٽڪ	0.521	0.386	0.412
ticked	ڪيو	0.469	0.386	0.455
ticker	ٽڪر	0.479	0.471	0.509
ticket	ٽڪيٽ	0.684	0.387	0.434
tickle	ڦاٽل	0.760	0.727	0.342
tickled	ڦاٽل	0.755	0.707	0.364
ticklish	ٽٻڙڙي	0.823	0.814	0.345
tidal	سامونڊي	0.592	0.539	0.519
tidal wave	سامونڊي لهر	0.240	0.894	0.736
tidbit	tidbit	0.552	0.382	0.385
tide	وهي	0.541	0.556	0.420
tidings	خوشخبري	0.610	0.510	0.694
tidy	خوشخبري	0.760	0.208	0.647
tie	ٽائي	0.663	0.464	0.431
tier	ڊگهو	0.520	0.245	0.560
tiff	ٽڪر	0.531	0.415	0.343
tiger	شگر	0.479	0.765	0.664
tighten	سخت	0.388	0.487	0.627
tightness	سختي	0.344	0.606	0.759
tightrope	تنگ	0.354	0.653	0.279
tights	راتيون	0.583	0.343	0.269
tilde	ٽٽل	0.520	0.314	0.321
tile	ٽائل	0.429	0.245	0.348
tiling	ٽنگ	0.600	0.330	0.315
till	NO TRANSLATION	0.490	0.327	0.319
tillage	جوش	0.552	0.591	0.540
tiller	ايئر	0.448	0.410	0.290
tilt	گناهه	0.365	0.549	0.463
tilting	ڇڪڻ	0.459	0.384	0.340
timber	ڪاٺ	0.332	0.202	0.386
timberland	ٽامبرينڊ	0.550	0.415	0.571
timbre	ٽٻر	0.460	0.480	0.296
time	وقت	0.604	0.288	0.609
timeless	ڳاڙهو	0.408	0.468	0.583
timeliness	ڄاڻي واڻي	0.760	0.404	0.582
timely	بروقت	0.865	0.387	0.591
timeout	وقت ختم ٿي ويو	0.344	0.433	0.322
timepiece	ٽائمري	0.650	0.279	0.461
timer	ٽائيم	0.469	0.433	0.500
times	ڀيرا	0.490	0.279	0.439
timetable	مقرر وقت	0.561	0.189	0.491
timewasters	NO TRANSLATION	0.391	0.535	0.291
timid	ڪمال	0.327	0.276	0.132
timidity	ٿلهي	0.333	0.358	0.153
timing	وقت	0.521	0.311	0.577
tin	NO TRANSLATION	0.469	0.370	0.217
tincture	ٺهيل	0.440	0.360	0.402
tine	NO TRANSLATION	0.438	0.373	0.284
tinfoil	ٽٽيڪل	0.448	0.284	0.311
tinge	ٽنگ	0.469	0.292	0.264
tingle	ٽٽل	0.460	0.560	0.264
tingling	ٽنگنگ	0.427	0.615	0.340
tinker	ٽيڪائيندڙ	0.396	0.528	0.275
tinkering	ٽڪر	0.531	0.490	0.448
tinkle	NO TRANSLATION	0.562	0.529	0.356
tinkling	ڦاڙڻ	0.612	0.530	0.324
tinnitus	ٽيڪس	0.384	0.536	0.411
tinsel	ٿي سگھي ٿو	0.663	0.521	0.473
tint	ٿيڻو آهي	0.582	0.292	0.273
tiny	ننڍڙو	0.479	0.196	0.125
tip	ٽپ	0.708	0.221	0.518
tipper	ٽٻر	0.427	0.571	0.431
tipster	ٽوٽيندڙ	0.490	0.462	0.490
tipsy	مشاهدو	0.510	0.625	0.570
tiptoe	ٽٽٽا	0.510	0.490	0.407
tirade	ٽڪر	0.378	0.587	0.532
tire	ٽائر	0.438	0.385	0.381
tired	ٿڪل	0.125	0.317	0.191
tiredness	ٿڪل	0.387	0.408	0.242
tiredofit	NO TRANSLATION	0.300	0.270	0.204
tireless	ٽائيم	0.657	0.750	0.645
tiresome	ڊگهو	0.240	0.542	0.153
tiring	ٿڪل	0.153	0.510	0.176
tissue	ٽائيم	0.558	0.236	0.345
tistheseason	NO TRANSLATION	0.646	0.548	0.435
tit	ٽٽي	0.402	0.539	0.388
titan	ٽائڪن	0.598	0.653	0.811
titanic	تنيڪ	0.427	0.786	0.795
titanium	ٽائيميوم	0.520	0.470	0.704
tithe	ٽائيم	0.507	0.276	0.385
title	عنوان	0.708	0.356	0.574
titled	عنوان	0.677	0.240	0.658
titty	ترار	0.561	0.548	0.294
titular	NO TRANSLATION	0.704	0.385	0.760
toad	ٽرڻ	0.302	0.452	0.196
toast	ٽڪيٽ	0.740	0.382	0.356
toaster	ٽاور	0.542	0.337	0.387
toasty	سوادا	0.698	0.461	0.396
tobacco	تمباکو	0.327	0.546	0.387
toby	ٽربيون	0.427	0.375	0.330
tod	ٽپال	0.469	0.330	0.384
today	اڄ	0.806	0.306	0.362
toddler	ٿڪڻ	0.812	0.469	0.368
toe	ٽو	0.406	0.221	0.293
toenail	ٽينڪ	0.530	0.380	0.306
toffee	ڪافي	0.658	0.510	0.396
tofu	tofu	0.521	0.330	0.283
toga	NO TRANSLATION	0.698	0.393	0.373
together	گڏجي	0.874	0.392	0.658
togetherness	گڏجي	0.906	0.360	0.635
toil	تعاقب	0.558	0.510	0.583
toilet	هوٽل	0.490	0.290	0.233
toils	ٽڪڙا	0.480	0.710	0.482
token	ٽڪر	0.510	0.418	0.414
tolerable	رواداري	0.750	0.350	0.374
tolerance	رواداري	0.875	0.206	0.649
tolerant	رواداري	0.765	0.192	0.618
tolerate	برداشت ڪيو	0.724	0.430	0.588
toleration	رواداري	0.776	0.442	0.727
toll	ٽٽل	0.296	0.422	0.453
tomahawk	ڪٺان	0.510	0.642	0.504
tomato	ٽماٽو	0.550	0.183	0.275
tomatoes	ڪمايو	0.615	0.240	0.272
tomb	مقبري	0.112	0.500	0.343
tombstone	مقبرو	0.204	0.441	0.311
tomcat	ٽامڪ	0.520	0.412	0.386
tome	مون ڏانهن	0.429	0.316	0.492
tomorrow	سڀاڻي	0.792	0.377	0.407
ton	NO TRANSLATION	0.560	0.418	0.604
tone	ڍنگ	0.551	0.355	0.411
toner	ٽونر	0.448	0.300	0.368
tong	NO TRANSLATION	0.475	0.480	0.370
tongs	ڪٿان	0.500	0.459	0.321
tongue	زبان	0.542	0.432	0.482
tonic	ٽينڪ	0.541	0.360	0.500
tonnage	ٽرني	0.323	0.382	0.590
tonsils	کلون	0.347	0.373	0.283
toocold	NO TRANSLATION	0.420	0.550	0.379
tool	اوزار	0.490	0.350	0.594
toolbox	اوزار بوڪس	0.531	0.316	0.472
tooling	اوزار	0.510	0.406	0.634
toomuchtodo	NO TRANSLATION	0.420	0.688	0.355
toot	ٽٽ	0.500	0.481	0.373
tooth	ڏند	0.439	0.250	0.367
toothache	ڏند ڪٿان	0.188	0.853	0.412
toothbrush	ڏند جوش	0.517	0.330	0.321
toothed	ٿڌيل	0.449	0.394	0.352
toothless	بي عيب	0.312	0.541	0.272
toothpaste	ڏند ڪٿان	0.510	0.290	0.371
toothpick	ٿڌ	0.561	0.216	0.185
toots	ٽٽيون	0.552	0.480	0.451
top	مٿي	0.760	0.400	0.554
topaz	مٿيز	0.643	0.325	0.384
topic	عنوان	0.520	0.276	0.427
topical	نظرياتي	0.561	0.340	0.500
topless	لاچار	0.625	0.765	0.414
topographic	جغرافيائي	0.604	0.378	0.558
topographical	ڇاڻيو	0.438	0.350	0.538
topography	جيون	0.469	0.357	0.506
topple	ننڍڙو	0.198	0.820	0.573
topside	چوٽي	0.708	0.466	0.598
tor	ٽر	0.337	0.430	0.418
torch	مشعل	0.531	0.630	0.545
torment	عذاب	0.057	0.750	0.387
tormented	عذاب ڪيو	0.071	0.855	0.323
torn	ڀڙڪي	0.153	0.510	0.283
tornado	طوفان	0.260	0.896	0.784
torpedo	ٽرپوٽو	0.219	0.794	0.707
torque	ٽوڪ	0.466	0.375	0.406
torrent	ٽوٽل	0.541	0.745	0.676
torrid	مشڪوڪ	0.281	0.625	0.517
torsion	ويندڙ	0.312	0.651	0.402
torso	مشوري	0.408	0.394	0.473
tort	چکو	0.229	0.635	0.455
tortious	شديد آهي	0.312	0.724	0.491
tortoise	چٽسالي	0.673	0.078	0.250
tortuous	سختي	0.194	0.755	0.382
torture	تشدد	0.115	0.878	0.555
tortured	شديد آهي	0.062	0.890	0.361
toss	ٽپال	0.418	0.725	0.575
tot	NO TRANSLATION	0.602	0.431	0.311
total	ڪل	0.771	0.286	0.714
totality	مجموعي طور	0.688	0.443	0.717
totally	مڪمل طور تي	0.820	0.422	0.702
tote	ٽٽل	0.510	0.398	0.625
totem	totem	0.639	0.350	0.571
touch	ڇهو	0.646	0.477	0.455
touchdown	اسٽوڊڊ	0.667	0.770	0.586
touched	ڇڏيا	0.592	0.380	0.404
touching	ڳولڻ	0.760	0.439	0.491
touchy	خوشيء سان	0.323	0.510	0.343
tough	سخت	0.344	0.588	0.742
toughen	سخت آهي	0.458	0.683	0.711
toughness	سختي	0.552	0.618	0.837
toupee	ٽپي	0.323	0.270	0.324
tour	ٽرانس	0.663	0.545	0.543
tourism	سياحت	0.823	0.531	0.545
tourist	سياح	0.745	0.480	0.430
tourmaline	سياحت وارو	0.448	0.513	0.441
tournament	ٽورنامنٽ	0.694	0.740	0.611
tourniquet	ٽٽرڪسيٽ	0.335	0.521	0.398
tout	NO TRANSLATION	0.480	0.538	0.375
tow	ٽائيم	0.531	0.500	0.508
towel	ٽولي	0.630	0.208	0.286
tower	ٽاور	0.606	0.380	0.644
towering	ٽرندڙ	0.500	0.690	0.806
town	ڳوٺ	0.551	0.299	0.627
townhouse	شهر جو	0.622	0.400	0.443
township	شهر	0.531	0.292	0.667
townspeople	شهريات	0.677	0.466	0.569
toxic	زهر	0.008	0.885	0.492
toxicity	ويندڙ	0.104	0.865	0.491
toxicology	بيچيني	0.302	0.736	0.574
toxin	toxin	0.115	0.654	0.456
toy	رانديون	0.878	0.420	0.275
toymaker	ٽوڙڻ وارو	0.755	0.510	0.536
trace	ٽڪر	0.573	0.346	0.483
traceable	ٽرڻو	0.602	0.370	0.535
tracer	پيچرو	0.573	0.327	0.645
traces	زخم	0.482	0.448	0.389
trachea	پيچرا	0.448	0.509	0.387
tracing	مشڪل	0.418	0.591	0.565
track	رستو	0.448	0.433	0.526
tracker	ٽرندڙ	0.398	0.744	0.731
tract	رستو	0.406	0.422	0.339
tractable	معقول آهي	0.635	0.500	0.469
traction	traction	0.429	0.585	0.648
tractor	ٽريڪٽر	0.449	0.580	0.619
trade	واپار	0.561	0.544	0.690
trademark	ٽريڊ نشان	0.667	0.344	0.750
trader	واپاري	0.562	0.632	0.854
tradesman	واپاري	0.531	0.431	0.664
trading	واپار	0.635	0.602	0.705
tradition	روايت	0.830	0.430	0.750
traditional	روايتي	0.677	0.221	0.604
traffic	ٽريفڪ	0.323	0.559	0.518
traffic light	ٽريفڪ لائيٽ	0.490	0.469	0.479
trafficking	اسمگلنگ	0.250	0.710	0.399
tragedies	سانحو	0.100	0.910	0.442
tragedy	سانحو	0.052	0.843	0.340
tragic	خطرناڪ	0.048	0.904	0.396
trail	پيچرو	0.600	0.322	0.455
trailer	پيچرو	0.541	0.490	0.473
train	سکيا	0.666	0.705	0.620
train set	ريلوي سيٽ	0.604	0.598	0.464
trained	روزگار	0.771	0.538	0.645
trainee	پيچرو	0.627	0.408	0.352
trainer	سکيا ڏيندڙ	0.698	0.719	0.824
training	تربيت	0.714	0.776	0.788
trait	مشق	0.469	0.365	0.453
traitor	غدار	0.112	0.796	0.491
traitorous	غدار	0.073	0.745	0.412
trajectory	پيروي	0.653	0.558	0.779
tram	ٽامام	0.667	0.628	0.492
tramp	ٽرام	0.108	0.510	0.182
trample	ٽڪر	0.235	0.764	0.562
trampoline	ٽرمپولين	0.604	0.690	0.391
tramway	ٽامون	0.615	0.538	0.543
trance	وجد	0.469	0.481	0.382
tranquil	خوفناڪ	0.917	0.094	0.355
tranquility	مزار	0.840	0.135	0.442
tranquilizer	ذبح ڪندڙ	0.510	0.236	0.596
transact	رستو	0.521	0.625	0.680
transaction	ٽرانسڪشن	0.650	0.577	0.579
transatlantic	آسودو	0.724	0.596	0.706
transceiver	ٽرانسڪر	0.510	0.490	0.537
transcend	ٽرانسڪٽر	0.604	0.771	0.726
transcendence	ٽرانسڪشن	0.656	0.608	0.754
transcendent	ٽرانسٽسٽ	0.667	0.600	0.824
transcendental	ٽرانسڪٽرينٽ	0.635	0.652	0.842
transcribe	ترميم ڪريو	0.500	0.394	0.573
transcriber	گهرو	0.490	0.420	0.615
transcript	اکر	0.639	0.398	0.528
transcription	ٽرانسپشن	0.592	0.455	0.615
transfer	منتقلي	0.702	0.490	0.519
transference	ترجيحات	0.592	0.294	0.551
transferred	منتقل ڪيو	0.480	0.450	0.409
transfixed	منتقلي	0.427	0.660	0.528
transform	تبديل ڪريو	0.735	0.667	0.696
transformation	تبديلي	0.796	0.618	0.770
transformer	ٽرانسپٽر	0.582	0.582	0.723
transfusion	منتقلي	0.417	0.730	0.557
transgression	حد کان لنگھيو	0.158	0.890	0.611
transient	عارضي	0.510	0.405	0.430
transistor	ٽرانسڪٽر	0.480	0.480	0.444
transit	لنگر	0.439	0.590	0.588
transition	منتقلي	0.605	0.561	0.558
transitional	عارضي طور تي	0.573	0.472	0.491
transitive	نڀاڳو	0.479	0.377	0.414
transitory	منتقلي	0.438	0.450	0.407
translate	ترجمو ڪريو	0.604	0.423	0.462
translation	ترجمو	0.633	0.435	0.598
translator	ترجمو ڪندڙ	0.760	0.412	0.473
translocation	ترجمو	0.367	0.612	0.564
translucent	مترجم	0.600	0.500	0.389
transmission	ٽرانسپشن	0.688	0.490	0.611
transmit	منتقل ڪريو	0.836	0.581	0.673
transmitter	ٽرٽر	0.520	0.511	0.719
transmutation	شهرت	0.438	0.740	0.737
transom	ٽرانس	0.375	0.385	0.417
transparency	شفافيت	0.847	0.260	0.587
transparent	شفاف	0.542	0.330	0.667
transplant	لنگھندڙ	0.445	0.806	0.620
transplantation	لنگر	0.531	0.694	0.610
transponder	ٽرپوٽو	0.564	0.575	0.565
transport	ٽرانسپورٽ	0.613	0.627	0.605
transportation	ٽرانسپورٽ	0.667	0.560	0.472
transporter	ٽرانسپٽر	0.615	0.625	0.750
transpose	ترتيب ڏيو	0.440	0.585	0.467
transposition	منتقلي	0.312	0.451	0.555
transsexual	منتقلي	0.264	0.815	0.423
transverse	ٽرانسورس	0.429	0.429	0.525
transvestite	آمدني	0.270	0.675	0.373
trap	پي پي	0.104	0.610	0.391
trapdoor	ڀريل دروازو	0.094	0.670	0.462
trapeze	ٽوپي	0.542	0.625	0.566
trapped	پڪاريو	0.135	0.615	0.380
trapper	ٽرپر	0.296	0.654	0.491
trapping	ڇڪڻ	0.333	0.621	0.491
trappings	ٽرڪن	0.458	0.462	0.370
traps	پيچرا	0.235	0.673	0.481
trash	تباهي	0.163	0.541	0.154
trashy	ڦاٽل	0.071	0.380	0.161
trauma	سورن جو	0.112	0.792	0.453
traumatic	حادثاتي	0.062	0.885	0.427
travail	NO TRANSLATION	0.500	0.677	0.620
travel	سفر	0.931	0.689	0.535
traveler	مسافر	0.837	0.571	0.700
traveling	سفر	0.900	0.750	0.582
traverse	رستو	0.571	0.590	0.629
travesty	جيترو آهي	0.354	0.644	0.407
trawl	پيچرو	0.255	0.590	0.464
trawler	پيچرو	0.316	0.430	0.405
tray	ٽر	0.549	0.250	0.345
treacherous	غدار	0.112	0.815	0.402
treachery	غداري ڪندؤ	0.104	0.852	0.448
tread	ٿڌڻ	0.510	0.520	0.426
treadmill	ڇڪ	0.459	0.636	0.436
treason	غداري	0.094	0.806	0.552
treasure	خزانو	0.927	0.592	0.821
treasured	خزانو	0.849	0.471	0.730
treasurer	خزانچي	0.694	0.456	0.755
treasures	خزانو	0.867	0.771	0.842
treasury	خزاني	0.812	0.541	0.736
treat	علاج	0.573	0.571	0.436
treatable	قابل علاج	0.780	0.302	0.560
treatise	ڪهڙو	0.604	0.407	0.613
treatment	علاج	0.663	0.386	0.620
treaty	معاهدو	0.646	0.382	0.667
treble	ٽڪر	0.358	0.471	0.466
tree	وڻ	0.670	0.118	0.442
trees	وڻن	0.653	0.137	0.537
trek	ٽر	0.469	0.530	0.535
trellis	ڪفن	0.299	0.500	0.389
tremble	خوب آهي	0.177	0.878	0.388
trembling	ڇڪڻ	0.177	0.824	0.324
tremendous	زبردست	0.600	0.888	0.773
tremendously	قدرتي طور تي	0.719	0.722	0.661
tremor	زبردست	0.104	0.833	0.455
trench	خندق	0.429	0.760	0.429
trend	رجحان	0.625	0.458	0.706
trending	ترسيل	0.750	0.472	0.600
trendy	في الحال	0.713	0.520	0.536
trepidation	ڪٿان	0.582	0.594	0.464
trespass	ٽيسٽ	0.229	0.670	0.613
triad	ٽنڊو	0.469	0.413	0.528
triage	ٽائيم	0.398	0.433	0.479
trial	آزمائش	0.438	0.663	0.612
triangle	ٽانڊو	0.562	0.269	0.352
triangular	ٽڪنڊو	0.430	0.320	0.397
triangulate	ٽرڪنڊيٽ	0.408	0.380	0.517
triathlon	ٽنڊنڊو	0.521	0.853	0.663
tribal	قبيلو	0.417	0.404	0.482
tribe	قبيلو	0.664	0.486	0.516
tribulation	ڪاوڙ	0.448	0.612	0.484
tribunal	ٽربيونل	0.410	0.670	0.797
tribune	ٽربيون	0.610	0.585	0.556
tributary	ٽريول	0.615	0.463	0.616
tribute	خراج تحسين	0.684	0.573	0.700
trick	چال	0.542	0.700	0.409
trickery	وڇڻ	0.146	0.798	0.336
trickle	ٺهيل	0.500	0.196	0.231
trickster	ٽڪيٽ	0.375	0.680	0.446
tricky	خوف سان	0.219	0.651	0.500
tricycle	ٽرڪن	0.633	0.402	0.368
trident	هيٺيون	0.403	0.606	0.609
trifle	ٽڪر	0.271	0.296	0.221
trifling	ٽڪرائڻ	0.375	0.418	0.183
trig	ٽريڪ	0.438	0.417	0.415
trigger	پيچرو	0.271	0.804	0.660
trigonometry	ٽرگاميٽري	0.396	0.400	0.616
trillion	ٽنڊو	0.592	0.420	0.623
trilogy	مثل آهي	0.615	0.520	0.664
trim	ٽيم	0.500	0.466	0.430
trimester	ٽٻيٽر	0.783	0.336	0.538
trimmer	ٽممير	0.260	0.548	0.529
trimming	ترڻ	0.500	0.478	0.325
trine	ٽيل	0.396	0.365	0.317
trinity	تثليث	0.635	0.346	0.660
trinket	ٽڪيٽ	0.521	0.352	0.368
trio	ٽنڊو	0.521	0.613	0.473
trip	سفر	0.875	0.643	0.538
tripartite	ٽرندڙ	0.500	0.480	0.539
tripe	ٽريول	0.312	0.361	0.438
triple	ٽنڊو	0.585	0.385	0.481
triplet	ٽنهي	0.622	0.510	0.618
triplicate	تڪڙو	0.684	0.545	0.717
tripod	ٽپائي	0.406	0.388	0.483
tripping	ٽپڻ	0.276	0.594	0.293
trite	ٽٽل	0.458	0.418	0.290
tritium	ٽٽيٽل	0.412	0.471	0.422
triumph	فتح	0.969	0.798	0.926
triumphant	فتح	0.949	0.837	0.972
trivia	تڪڙو	0.690	0.490	0.473
trivial	مهربان	0.406	0.387	0.337
troll	ٽٽل	0.378	0.627	0.327
trolley	ٽولي	0.562	0.558	0.464
trombone	ٽرمون	0.562	0.500	0.500
troop	ٽاپي	0.375	0.696	0.750
trooper	ٽاپيٽر	0.458	0.694	0.713
troops	فوج	0.385	0.718	0.804
trophy	ٽرافي	0.947	0.643	0.676
tropic	ڦوڪيو	0.740	0.529	0.536
tropical	اڀرندي	0.740	0.461	0.509
tropics	ڦڦڙو	0.740	0.383	0.412
trot	رستو	0.531	0.664	0.396
trouble	مصيبت	0.135	0.811	0.452
troubled	ڏکيو آهي	0.167	0.627	0.385
troublemaker	پريشاني	0.260	0.900	0.596
troubles	ڏکيو	0.051	0.854	0.269
troublesome	مصيبت	0.283	0.894	0.404
trough	گرت	0.500	0.308	0.340
troupe	ٽڪيٽ	0.625	0.406	0.557
trousers	پتلون	0.625	0.314	0.442
trout	ڦاٽي	0.516	0.387	0.298
trowel	ڍڪيل	0.470	0.418	0.250
truce	ٽڪر	0.688	0.441	0.453
truck	ٽرڪ	0.531	0.368	0.546
trucker	ٽرڪر	0.494	0.609	0.500
truckload	ٽرڪ لوڊ	0.480	0.450	0.534
truculent	ٺهيل	0.210	0.731	0.498
true	صحيح آهي	0.896	0.436	0.777
truelove	سچو پيار	0.860	0.600	0.587
truffle	ٽڪر	0.677	0.323	0.418
truism	ذوق	0.521	0.422	0.480
trump	ٽڪر	0.640	0.716	0.898
trumpet	ٽڪر	0.573	0.570	0.393
trumpeter	ٽرپوٽٽر	0.673	0.600	0.676
truncate	ٽرڪ	0.323	0.600	0.412
truncated	ڦاٽل	0.316	0.602	0.439
trundle	گهڻائي	0.507	0.270	0.414
trunk	ٽٻڪن	0.271	0.167	0.404
truss	ٽسڪ	0.521	0.482	0.569
trust	يقين رکو	0.888	0.547	0.741
trustee	اعتبار ڪندڙ	0.531	0.442	0.658
trusting	يقين رکو	0.857	0.508	0.750
trustworthy	معتبر	0.969	0.315	0.824
trusty	معتبر	0.863	0.398	0.696
truth	سچ پچ	0.971	0.400	0.685
truthful	سچ پچ	0.708	0.467	0.807
truthfulness	سچائي	0.920	0.549	0.808
try	ڪوشش ڪر	0.604	0.551	0.556
tryout	آزمائش	0.459	0.539	0.472
tryouts	ڪوششون	0.490	0.602	0.594
tsunami	سونامي	0.042	0.944	0.684
tub	ٽائيب	0.449	0.235	0.265
tuba	ٽوبا	0.542	0.402	0.381
tubby	ڪوبي	0.427	0.423	0.353
tube	ٽيوب	0.418	0.279	0.409
tuberculosis	ٽائيپلوپيڊيا	0.214	0.519	0.424
tubing	ٽيوبنگ	0.438	0.363	0.358
tubular	ٽيوبلر	0.458	0.361	0.464
tubule	ٽيوبول	0.500	0.330	0.333
tuck	ڪري رهيو آهي	0.367	0.473	0.361
tucker	ٽوڙي	0.475	0.558	0.429
tuesday	اڱارو	0.469	0.184	0.330
tufted	تون ٿڪجي پيو	0.500	0.510	0.406
tug	ڳئون	0.320	0.604	0.558
tugboat	ٽبوبوٽ	0.271	0.510	0.652
tuition	ٽيوشن	0.531	0.372	0.436
tulip	ٿلهو	0.730	0.189	0.356
tumble	ٿلهو	0.276	0.556	0.272
tumbler	NO TRANSLATION	0.520	0.260	0.352
tumbleweed	ڳاڙهو	0.312	0.471	0.427
tummy	ڳمي	0.427	0.365	0.230
tumor	تومور	0.102	0.664	0.324
tumour	تومور	0.092	0.627	0.464
tumult	تاميل	0.271	0.640	0.636
tumultuous	بدمعاشي	0.208	0.622	0.590
tun	NO TRANSLATION	0.386	0.413	0.364
tuna	ٽنا	0.531	0.386	0.304
tunable	استعمال ڪندڙ	0.510	0.364	0.582
tune	دانهون	0.708	0.479	0.426
tunic	ساٿي	0.531	0.248	0.391
tuning	ٽائيم	0.719	0.390	0.635
tunnel	سرنگ	0.312	0.490	0.412
turban	دستاراب	0.469	0.386	0.426
turbidity	خشڪسالي	0.184	0.607	0.393
turbine	تورين جو	0.520	0.549	0.575
turbo	ٽربو	0.583	0.729	0.596
turbulence	وڳوڙ	0.062	0.922	0.532
turbulent	زبردست	0.302	0.792	0.612
turd	ٽنگ	0.240	0.519	0.383
turf	ٽر	0.531	0.192	0.295
turkey	ترڪي	0.634	0.245	0.247
turmeric	سرزمين	0.542	0.316	0.312
turmoil	ڦيرو	0.198	0.888	0.417
turn	موڙ	0.531	0.398	0.482
turnaround	گهمي وڃو	0.560	0.654	0.407
turned	ڦيرايو	0.630	0.538	0.583
turning	ڦرڻ	0.510	0.684	0.420
turnip	ٽرپ	0.561	0.183	0.254
turnkey	موڙ	0.531	0.382	0.427
turnoff	NO TRANSLATION	0.312	0.560	0.327
turnout	بند ڪريو	0.641	0.692	0.898
turnover	ڦيرڦار	0.490	0.392	0.512
turnpike	ٽرپ	0.459	0.434	0.462
turntable	ٽرڻو	0.531	0.455	0.406
turpentine	ترڪ	0.320	0.539	0.571
turquoise	فيروز	0.786	0.226	0.357
turret	برداشت	0.494	0.500	0.588
turtle	ڪمي	0.291	0.102	0.271
turtleneck	زبردست	0.583	0.398	0.327
tussle	ڪفن	0.333	0.919	0.691
tutelage	غلبو	0.393	0.442	0.609
tutor	ٽيوٽر	0.750	0.346	0.826
tutoring	پرائڻ	0.663	0.402	0.702
tutu	tutu	0.583	0.276	0.233
tux	ٽڪس	0.531	0.365	0.462
tuxedo	ڪلڪو	0.694	0.354	0.519
tv	ٽي وي	0.622	0.380	0.393
twain	بس	0.541	0.255	0.370
twat	ڦاٽ	0.292	0.459	0.404
twats	ڦاٽيون	0.406	0.588	0.383
tweak	ڇڪيو	0.440	0.462	0.452
tweed	ٽڪر	0.510	0.440	0.412
tweet	ٽائيٽل	0.659	0.490	0.537
tweezers	ٽڪر	0.493	0.408	0.295
twelfth	ٻارهون	0.521	0.292	0.527
twelve	ٻارهن	0.490	0.298	0.412
twentieth	ويهون	0.469	0.297	0.346
twenty	ويهه	0.520	0.292	0.286
twerp	ٽرڪو	0.408	0.443	0.384
twig	ٻٻر	0.378	0.288	0.236
twilight	ڳاڙهو	0.622	0.341	0.633
twill	ٽٽل	0.449	0.415	0.353
twin	ٽوٽ	0.688	0.363	0.453
twine	ڳنڍيل	0.521	0.380	0.337
twinge	ٽوٽل	0.316	0.720	0.471
twinkle	ٽڪر	0.719	0.724	0.610
twins	جاڙا	0.760	0.473	0.602
twirl	ٽڪر	0.552	0.647	0.409
twist	موڙيندڙ	0.375	0.469	0.337
twisted	ڪٽيو	0.071	0.736	0.311
twister	ٽوٽل	0.330	0.680	0.647
twit	ڪٽيو	0.194	0.653	0.198
twitch	ڪچڙو	0.510	0.740	0.548
twitching	ٽوڙڻ	0.292	0.700	0.482
twitchy	ڪٽيو	0.094	0.918	0.281
two	ٻه	0.520	0.200	0.404
two step	ٻه قدم	0.583	0.314	0.327
twofaced	NO TRANSLATION	0.387	0.620	0.384
twofold	ٻه ڀيرا	0.573	0.333	0.551
twosome	ٻٽو	0.583	0.544	0.500
tycoon	ٽڪنڊو	0.682	0.596	0.867
tyke	ٽڪي	0.500	0.388	0.300
type	قسم	0.500	0.284	0.364
typewriter	ٽائيپ رائيٽر	0.542	0.373	0.418
typhoid	ٽائيفائڊ	0.265	0.458	0.401
typhoon	ٽٻڪن	0.323	0.796	0.697
typical	عام طور تي	0.635	0.206	0.426
typically	خاص طور تي	0.569	0.377	0.559
typist	ٽائپ	0.551	0.559	0.528
typo	ٽائپو	0.224	0.415	0.255
typography	قسم جو قسم	0.480	0.334	0.574
tyrannical	ناانصافي	0.167	0.860	0.731
tyranny	خوفناڪ	0.112	0.792	0.705
tyrant	ظالم	0.115	0.850	0.683
tyre	ٽائر	0.480	0.358	0.407
