Word	Ukrainian-uk	Valence	Arousal	Dominance
spray	спрей	0.438	0.410	0.333
spread	поширюватися	0.570	0.583	0.651
spreader	розкидач	0.510	0.480	0.500
spree	весело	0.564	0.663	0.474
spring	весна	0.837	0.370	0.481
springtime	навесні	0.837	0.439	0.722
sprinkle	посипати	0.635	0.404	0.380
sprinkler	спринклер	0.510	0.434	0.473
sprinkling	посипати	0.677	0.510	0.466
sprint	спринт	0.549	0.649	0.528
sprite	спрайт	0.561	0.438	0.625
sprout	проростати	0.582	0.565	0.443
spruce	ялина	0.604	0.288	0.380
spud	шпик	0.403	0.423	0.349
spunk	розлючений	0.438	0.632	0.473
spunky	губий	0.646	0.879	0.755
spur	шпора	0.378	0.545	0.340
spurious	хибний	0.178	0.480	0.343
spurred	спонукав	0.562	0.684	0.472
spurt	спурт	0.448	0.550	0.475
spy	шпигун	0.260	0.686	0.530
squabble	сваритися	0.173	0.850	0.500
squad	загону	0.552	0.711	0.806
squadron	ескадра	0.469	0.686	0.787
squall	шквал	0.191	0.833	0.655
squamous	плоскогірний	0.344	0.446	0.418
squander	розтратити	0.240	0.755	0.529
square	Майдан	0.509	0.340	0.291
squash	сквош	0.531	0.667	0.410
squat	присідати	0.330	0.550	0.453
squatter	скваттер	0.390	0.361	0.565
squaw	блідий	0.428	0.441	0.398
squawk	придушити	0.265	0.480	0.245
squeak	писк	0.271	0.679	0.300
squeaky	скрипучий	0.229	0.771	0.367
squeal	визгувати	0.250	0.731	0.375
squealer	скрипач	0.541	0.519	0.330
squeamish	кричати	0.176	0.656	0.453
squeeze	стиснути	0.458	0.676	0.532
squeezing	стискати	0.260	0.598	0.557
squelch	шумоподавити	0.271	0.510	0.462
squid	кальмар	0.497	0.398	0.357
squint	косити	0.385	0.461	0.452
squire	сквайр	0.479	0.459	0.710
squirm	збрехати	0.235	0.824	0.373
squirrel	білка	0.592	0.358	0.333
squirt	шприц	0.406	0.460	0.255
squish	потискати	0.260	0.788	0.481
squishy	скряжий	0.516	0.333	0.307
stab	колоти	0.167	0.882	0.595
stabbed	врізаний	0.031	0.875	0.431
stability	стабільність	0.812	0.264	0.849
stabilize	стабілізувати	0.839	0.427	0.722
stabilizer	стабілізатор	0.688	0.353	0.767
stable	стабільний	0.725	0.204	0.735
staccato	стакато	0.396	0.500	0.427
stack	стек	0.470	0.282	0.427
stadium	стадіон	0.635	0.679	0.611
staff	персонал	0.745	0.274	0.627
stag	отап	0.594	0.250	0.389
stage	етап	0.592	0.306	0.473
stagecoach	стажисток	0.516	0.519	0.627
stagehand	сценарій	0.420	0.684	0.555
stagger	порив	0.531	0.620	0.458
staggering	вражаюче	0.520	0.657	0.683
stagnant	застій	0.300	0.500	0.208
stagnation	стагнація	0.276	0.324	0.396
staid	Стадіон	0.385	0.290	0.634
stain	плямити	0.453	0.324	0.264
stained	забарвлений	0.245	0.460	0.209
stainless	нержавіюча	0.594	0.329	0.618
stair	сходинка	0.375	0.354	0.345
staircase	сходи	0.469	0.347	0.440
stairs	сходи	0.510	0.439	0.342
stairway	сходи	0.562	0.510	0.407
stairwell	сходинка	0.510	0.292	0.333
stake	ставка	0.406	0.608	0.460
stakeout	застовпити	0.344	0.546	0.600
stale	старий	0.235	0.461	0.286
stalemate	тупик	0.296	0.354	0.267
stalk	стебло	0.436	0.272	0.395
stalker	Сталкер	0.177	0.930	0.639
stall	стійло	0.370	0.245	0.292
stallion	жеребець	0.628	0.596	0.779
stalls	кіоски	0.582	0.378	0.451
stalwart	сталварт	0.812	0.430	0.691
stamina	витривалість	0.664	0.694	0.877
stamp	штамп	0.438	0.327	0.441
stampede	штампування	0.235	0.875	0.683
stance	позиція	0.604	0.333	0.609
stand	стояти	0.600	0.324	0.509
standard	стандарт	0.673	0.143	0.605
standardize	стандартизувати	0.684	0.353	0.729
standardized	стандартизований	0.610	0.324	0.607
standby	в режимі очікування	0.260	0.224	0.386
standing	стоячи	0.604	0.317	0.425
standoff	протистояння	0.333	0.840	0.558
standpoint	точки зору	0.585	0.388	0.652
standstill	зупинка	0.441	0.203	0.500
standup	стоячи	0.633	0.583	0.550
stanza	строфа	0.612	0.343	0.297
staph	стафилококка	0.375	0.480	0.412
staple	основний матеріал	0.542	0.306	0.438
stapler	степлер	0.370	0.264	0.394
star	зірка	0.833	0.418	0.560
star fruit	зірка фруктів	0.701	0.433	0.427
starboard	правий борт	0.531	0.388	0.558
starch	крохмаль	0.507	0.354	0.312
stardom	зірка	0.844	0.786	0.689
stardust	стадіон	0.843	0.410	0.549
stare	дивитися	0.541	0.430	0.538
starfish	морська зірка	0.680	0.320	0.421
stargazing	зірки	0.802	0.461	0.709
staring	глянувши	0.542	0.306	0.423
stark	різко	0.330	0.630	0.577
starlet	зірка	0.806	0.471	0.587
starlight	зірка світла	0.908	0.368	0.611
starling	колючка	0.500	0.490	0.514
starry	зоряний	0.438	0.643	0.434
stars	зірки	0.796	0.521	0.484
starship	космічний корабель	0.740	0.719	0.704
start	почати	0.684	0.430	0.589
starter	стартер	0.667	0.461	0.827
startle	розчарування	0.276	0.817	0.417
startled	переляканий	0.333	0.865	0.526
startling	вражаюче	0.750	0.768	0.830
starvation	голодування	0.240	0.592	0.284
starve	голодувати	0.073	0.729	0.402
starved	голодував	0.097	0.689	0.219
starving	голодувати	0.163	0.670	0.336
stash	сховок	0.344	0.630	0.361
stat	Стат	0.479	0.460	0.395
state	держава	0.562	0.320	0.604
stately	величний	0.830	0.728	0.915
statement	заява	0.688	0.608	0.825
stateroom	кабінет	0.653	0.380	0.441
stateside	США	0.643	0.480	0.708
statesman	державний діяч	0.510	0.490	0.736
static	статичний	0.297	0.250	0.366
staticky	NO TRANSLATION	0.357	0.278	0.358
statics	статика	0.542	0.290	0.527
station	станція	0.688	0.367	0.519
stationary	стаціонарний	0.408	0.240	0.484
stationery	канцелярські товари	0.570	0.120	0.455
statistic	статистика	0.508	0.420	0.609
statistical	статистичний	0.714	0.353	0.627
statistician	статистик	0.571	0.360	0.703
stator	статор	0.281	0.453	0.557
statuary	статуетка	0.561	0.281	0.500
statue	статуя	0.542	0.153	0.570
statuette	статуетка	0.677	0.433	0.518
stature	висота	0.470	0.353	0.664
status	статус	0.658	0.377	0.588
statute	статут	0.592	0.330	0.673
statutory	статутний	0.510	0.376	0.539
staunch	стійкий	0.480	0.363	0.833
stave	стовп	0.417	0.333	0.424
stay	залишитися	0.604	0.275	0.516
stayaway	NO TRANSLATION	0.369	0.284	0.526
stayed	залишився	0.497	0.270	0.395
stays	залишається	0.633	0.363	0.564
stead	замість	0.551	0.214	0.510
steadfast	стійкий	0.771	0.433	0.800
steady	стійкий	0.680	0.186	0.763
steak	стейк	0.625	0.359	0.315
steakhouse	Стейк-хаус	0.802	0.379	0.547
steal	вкрасти	0.021	0.856	0.528
stealing	крадіжка	0.086	0.913	0.455
stealth	стелс	0.520	0.270	0.452
stealthily	хитро	0.763	0.294	0.458
stealthy	прихований	0.380	0.363	0.534
steam	пари	0.469	0.413	0.421
steamboat	пароплав	0.708	0.500	0.633
steamer	пароплав	0.510	0.442	0.528
steaming	парування	0.592	0.553	0.402
steamroller	паровоз	0.396	0.567	0.667
steamship	пароплавство	0.469	0.490	0.569
steamy	паровий	0.479	0.538	0.445
steel	сталь	0.521	0.420	0.714
steep	крутий	0.312	0.612	0.321
steeple	шпиль	0.625	0.519	0.500
steer	керувати	0.469	0.490	0.527
steering	рульове управління	0.580	0.431	0.660
stellar	зоряний	0.796	0.580	0.769
stem	стовбур	0.615	0.191	0.336
stench	сморід	0.104	0.570	0.298
stencil	трафарет	0.500	0.327	0.421
stenographer	стенограф	0.510	0.408	0.589
step	крок	0.531	0.321	0.347
stepdaughter	падчерка	0.510	0.510	0.432
stepfather	вітчим	0.396	0.491	0.611
stepmother	мачуха	0.427	0.530	0.484
steppe	степ	0.427	0.321	0.379
steps	кроки	0.511	0.349	0.373
stepson	пасинка	0.614	0.406	0.480
stereo	стерео	0.617	0.519	0.500
stereoscopic	стереоскопічний	0.363	0.417	0.574
stereotype	стереотип	0.151	0.422	0.612
stereotyped	стереотипно	0.375	0.510	0.436
sterile	стерильний	0.302	0.471	0.291
sterility	безплідність	0.201	0.519	0.414
sterilize	стерилізувати	0.406	0.510	0.520
sterling	стерлінгів	0.529	0.481	0.615
stern	кормовий	0.552	0.394	0.415
sternum	грудина	0.520	0.422	0.436
steroid	стероїд	0.360	0.706	0.681
stethoscope	стетоскоп	0.427	0.377	0.490
stew	тушкувати	0.667	0.373	0.250
steward	стюард	0.633	0.238	0.550
stewardess	стюардеса	0.625	0.491	0.491
stewardship	керівництво	0.551	0.440	0.617
stfu	stfu	0.292	0.500	0.390
stick	палиця	0.396	0.364	0.382
sticker	наклейка	0.583	0.306	0.346
sticking	прилипаючи	0.486	0.425	0.356
stickler	Стіклер	0.385	0.471	0.417
stickup	палиця	0.453	0.537	0.434
sticky	липкий	0.385	0.569	0.292
stiff	жорсткий	0.158	0.459	0.569
stiffen	жорсткість	0.360	0.582	0.719
stiffness	жорсткість	0.323	0.500	0.657
stifle	задушити	0.240	0.764	0.427
stifled	задушливий	0.229	0.731	0.193
stifling	душить	0.163	0.858	0.608
stigma	стигма	0.327	0.500	0.470
stile	NO TRANSLATION	0.750	0.359	0.691
stiletto	стилет	0.396	0.430	0.427
stillbirth	мертвонародження	0.092	0.809	0.291
stillborn	мертвонароджений	0.271	0.519	0.337
stillness	тиша	0.729	0.125	0.339
stillwaiting	NO TRANSLATION	0.344	0.393	0.420
stilts	палях	0.439	0.577	0.300
stimulant	стимулятор	0.441	0.794	0.745
stimulate	стимулювати	0.792	0.798	0.754
stimulating	стимулюючий	0.740	0.804	0.809
stimulation	стимуляція	0.708	0.821	0.702
stimulus	подразник	0.771	0.779	0.750
sting	жало	0.163	0.651	0.373
stinger	стінгер	0.279	0.625	0.508
stinging	жало	0.260	0.730	0.459
stingy	скупий	0.094	0.548	0.283
stink	дихати	0.042	0.481	0.180
stinker	стерв'ятник	0.163	0.567	0.275
stinking	смердючий	0.041	0.657	0.264
stinky	смердючий	0.092	0.558	0.176
stint	стиглість	0.490	0.326	0.342
stipend	стипендія	0.604	0.546	0.614
stipulate	обумовлювати	0.570	0.546	0.623
stipulation	обумовленість	0.469	0.622	0.654
stir	перемішувати	0.448	0.773	0.453
stirring	перемішування	0.582	0.702	0.558
stitch	стібка	0.306	0.538	0.357
stitching	зшивання	0.510	0.382	0.345
stock	запас	0.594	0.418	0.407
stockade	наліт	0.375	0.402	0.500
stockbroker	біржовий брокер	0.417	0.676	0.802
stockholder	акціонер	0.573	0.625	0.716
stocking	панчіх	0.594	0.324	0.688
stockings	панчохи	0.458	0.365	0.382
stockpile	запаси	0.542	0.315	0.425
stockroom	складський зал	0.562	0.312	0.406
stocks	акції	0.573	0.598	0.586
stoic	стоїк	0.427	0.473	0.602
stole	вкрав	0.135	0.760	0.384
stolen	вкрадений	0.156	0.646	0.308
stomach	шлунок	0.367	0.402	0.438
stomachache	біль у животі	0.030	0.745	0.316
stomp	штовхати	0.365	0.565	0.438
stomped	зупинений	0.229	0.684	0.406
stone	камінь	0.216	0.183	0.561
stoned	камінням	0.177	0.796	0.375
stonewall	кам'яна стіна	0.337	0.457	0.655
stoneware	кераміка	0.458	0.300	0.443
stony	кам'янистий	0.356	0.494	0.525
stooge	капелюх	0.438	0.406	0.163
stool	табурет	0.448	0.269	0.302
stools	табуретки	0.459	0.382	0.327
stoop	притискатися	0.490	0.430	0.284
stoopid	стовпчик	0.280	0.431	0.382
stop	СТОП	0.280	0.510	0.490
stopover	зупинка	0.531	0.327	0.575
stoppage	зупинка	0.224	0.491	0.445
stopper	пробка	0.365	0.336	0.390
stopping	зупиняючись	0.388	0.382	0.473
stopwatch	секундомір	0.469	0.521	0.482
storage	зберігання	0.698	0.406	0.564
store	магазин	0.646	0.538	0.407
storefront	вітрина	0.580	0.217	0.457
storehouse	склад	0.570	0.250	0.491
storeroom	складська	0.560	0.217	0.588
storing	зберігання	0.630	0.378	0.548
storm	шторм	0.188	0.940	0.543
storming	штурм	0.265	0.910	0.669
stormy	бурхливий	0.146	0.870	0.562
story	історія	0.653	0.406	0.704
storybook	історія книги	0.854	0.306	0.383
storyteller	оповідач	0.730	0.357	0.462
storytelling	розповідь	0.643	0.375	0.472
stound	NO TRANSLATION	0.490	0.473	0.446
stout	сильний	0.656	0.657	0.817
stove	піч	0.466	0.391	0.405
stow	стовп	0.615	0.365	0.523
stowaway	бездоріжжя	0.224	0.481	0.357
straddle	стрічко	0.306	0.550	0.444
straight	прямий	0.667	0.298	0.669
straighten	випрямити	0.677	0.500	0.685
straightforward	прямий	0.780	0.150	0.380
straightway	відразу	0.667	0.444	0.565
strain	деформація	0.190	0.750	0.380
strained	напружений	0.122	0.656	0.580
strait	пролив	0.438	0.433	0.412
straitjacket	гамівна сорочка	0.224	0.719	0.579
straits	проток	0.408	0.269	0.410
strand	нитка	0.396	0.406	0.538
stranded	напружений	0.292	0.459	0.219
strange	дивно	0.314	0.663	0.395
stranger	незнайомець	0.330	0.449	0.302
strangle	задушити	0.094	0.927	0.527
strangulation	задишка	0.040	0.886	0.542
strap	ремінець	0.380	0.417	0.382
strapless	без бретелей	0.314	0.462	0.273
strapping	обв'язування	0.552	0.413	0.454
strata	страти	0.500	0.457	0.411
strategic	стратегічний	0.786	0.708	0.861
strategist	стратег	0.571	0.594	0.810
strategy	стратегія	0.704	0.667	0.858
stratification	стратифікація	0.531	0.490	0.651
stratosphere	стратосфера	0.604	0.583	0.636
stratum	пласт	0.365	0.307	0.510
stratus	strat	0.448	0.520	0.509
straw	солома	0.480	0.290	0.163
strawberry	полуниця	0.833	0.270	0.336
stray	бродячий	0.133	0.760	0.281
streak	смуга	0.440	0.608	0.511
streaked	смугастий	0.458	0.426	0.393
stream	потік	0.449	0.537	0.559
streamer	стример	0.615	0.530	0.429
streaming	потокове	0.592	0.481	0.582
streamline	оптимізувати	0.656	0.573	0.618
street	вулиця	0.594	0.324	0.398
streetcar	трамвай	0.390	0.569	0.566
streetlight	вуличне світло	0.673	0.268	0.390
strength	сила	0.802	0.682	0.858
strengthen	зміцнити	0.802	0.796	0.971
strengthening	зміцнення	0.913	0.627	0.945
strenuous	напружений	0.104	0.660	0.481
strep	strep	0.365	0.594	0.353
stress	стрес	0.173	0.843	0.317
stressed	підкреслив	0.167	0.740	0.502
stresses	стреси	0.115	0.817	0.396
stressfree	NO TRANSLATION	0.833	0.080	0.528
stressful	стресовий	0.153	0.873	0.389
stressin	NO TRANSLATION	0.146	0.810	0.367
stressing	підкреслюючи	0.163	0.866	0.462
stressrelief	NO TRANSLATION	0.627	0.417	0.475
stretch	розтягнути	0.604	0.578	0.500
stretcher	носилки	0.438	0.196	0.295
stricken	постраждало	0.163	0.720	0.368
strict	строгий	0.500	0.646	0.878
stride	крокувати	0.490	0.670	0.434
strife	сварки	0.344	0.898	0.630
strike	страйкувати	0.271	0.811	0.571
strikeout	викреслити	0.316	0.520	0.371
striker	нападаючий	0.500	0.589	0.696
striking	вражаючий	0.357	0.827	0.657
strikingly	вражаюче	0.690	0.684	0.811
string	рядок	0.385	0.398	0.445
strings	рядки	0.457	0.292	0.355
stringy	струнний	0.430	0.510	0.527
strip	смуга	0.427	0.500	0.436
stripe	смуга	0.629	0.302	0.361
striped	смугастий	0.344	0.373	0.385
stripped	позбавити	0.255	0.615	0.278
stripper	стриптизерка	0.625	0.848	0.453
striptease	стриптиз	0.607	0.918	0.608
strive	прагнути	0.582	0.837	0.769
strobe	строб	0.490	0.633	0.537
stroke	удар	0.562	0.440	0.570
stroll	прогулятися	0.745	0.415	0.444
stroller	коляска	0.786	0.398	0.314
strolling	прогулянки	0.755	0.515	0.340
strong	сильний	0.912	0.745	0.895
stronghold	оплот	0.708	0.636	0.954
strongly	сильно	0.630	0.817	0.885
structural	структурний	0.582	0.425	0.690
structure	структура	0.562	0.356	0.712
strudel	штрудель	0.627	0.417	0.397
struggle	боротьба	0.365	0.820	0.741
strut	стійка	0.580	0.480	0.464
stub	заглушка	0.396	0.320	0.367
stubbed	натуральний	0.323	0.642	0.241
stubble	солома	0.333	0.442	0.264
stubborn	впертий	0.157	0.702	0.575
stubbornness	упертість	0.156	0.673	0.508
stubby	тупий	0.417	0.370	0.393
stucco	штукатурка	0.439	0.292	0.279
stuck	застряг	0.153	0.644	0.285
stuckup	NO TRANSLATION	0.281	0.480	0.363
stud	шпилька	0.564	0.531	0.509
studded	шипована	0.396	0.412	0.425
student	студент	0.634	0.318	0.537
studied	вивчав	0.786	0.306	0.806
studio	студія	0.677	0.265	0.620
study	вивчення	0.653	0.361	0.768
stuff	речі	0.622	0.367	0.263
stuffed animal	м'яка іграшка	0.684	0.255	0.306
stuffing	начинка	0.417	0.324	0.304
stuffy	задушливий	0.323	0.615	0.406
stumble	наткнутися	0.153	0.716	0.259
stump	пенька	0.449	0.510	0.340
stumped	заплутаний	0.344	0.604	0.392
stun	оглушити	0.333	0.710	0.451
stunned	приголомшений	0.306	0.663	0.356
stunner	stunner	0.418	0.780	0.492
stunning	приголомшливий	0.888	0.673	0.858
stunt	трюк	0.387	0.555	0.526
stunted	трюк	0.194	0.472	0.275
stuntman	каскадер	0.490	0.482	0.500
stupefaction	stupefaction	0.294	0.704	0.480
stupefy	stupefy	0.200	0.740	0.412
stupendous	величезний	0.823	0.690	0.798
stupid	тупий	0.133	0.510	0.200
stupidity	тупість	0.060	0.418	0.151
stupidpeople	NO TRANSLATION	0.073	0.675	0.196
stupidrain	NO TRANSLATION	0.260	0.520	0.317
stupor	ступор	0.323	0.590	0.330
sturdy	міцний	0.580	0.642	0.824
sturgeon	осетер	0.417	0.473	0.465
stutter	заїкання	0.250	0.469	0.258
sty	стиль	0.296	0.500	0.225
style	стиль	0.745	0.472	0.586
styling	стиль	0.823	0.378	0.652
stylish	стильний	0.885	0.490	0.689
stylist	стиліст	0.760	0.445	0.500
suave	Здоровий	0.724	0.265	0.269
sub	суб	0.510	0.370	0.312
subatomic	субатомний	0.385	0.538	0.491
subcommittee	підкомітет	0.396	0.467	0.600
subconscious	підсвідомість	0.531	0.375	0.415
subcutaneous	підшкірний	0.396	0.444	0.376
subdivide	підрозділити	0.538	0.433	0.348
subdivision	підрозділ	0.592	0.455	0.430
subduction	субдукция	0.350	0.569	0.445
subdue	підкорювати	0.275	0.640	0.784
subdued	підкорене	0.236	0.463	0.223
subdural	субдуральний	0.381	0.491	0.425
subito	NO TRANSLATION	0.372	0.627	0.577
subject	суб'єкт	0.602	0.344	0.558
subjected	підданий	0.286	0.520	0.221
subjection	підпорядкування	0.354	0.408	0.539
subjective	суб'єктивний	0.510	0.350	0.432
subjugation	підпорядкування	0.280	0.610	0.377
sublet	субота	0.469	0.551	0.545
sublevel	підрівень	0.365	0.298	0.333
sublimation	сублімація	0.510	0.390	0.538
sublime	піднесений	0.784	0.333	0.585
subliminal	підсвідомість	0.410	0.528	0.464
submarine	підводний човен	0.572	0.481	0.549
submerge	занурюватися	0.517	0.643	0.456
submerged	занурений	0.337	0.528	0.357
submersible	підводний	0.406	0.459	0.540
submission	подання	0.531	0.580	0.633
submissive	покірний	0.480	0.217	0.173
submit	подати	0.635	0.448	0.500
submitting	подання	0.667	0.610	0.611
subordinate	підлеглий	0.276	0.392	0.121
subordination	підпорядкування	0.270	0.527	0.343
subplot	підзаголовок	0.469	0.413	0.446
subpoena	повість в суд	0.281	0.634	0.555
subscribe	підписатися	0.660	0.344	0.591
subscriber	абонент	0.562	0.398	0.570
subscription	передплата	0.583	0.333	0.651
subsequence	підпослідовність	0.438	0.510	0.413
subsequent	наступний	0.449	0.385	0.400
subsequently	згодом	0.380	0.337	0.336
subservient	підлеглий	0.255	0.402	0.339
subset	підмножина	0.429	0.358	0.404
subside	вщухає	0.375	0.308	0.209
subsidence	осідання	0.320	0.509	0.452
subsidiary	дочірнє підприємство	0.541	0.295	0.500
subsidize	субсидіювати	0.604	0.615	0.589
subsidy	субсидія	0.573	0.462	0.517
subsist	існувати	0.573	0.418	0.472
subsistence	сутність	0.510	0.404	0.491
subsoil	недр	0.429	0.240	0.382
subspace	підпростір	0.470	0.453	0.475
substance	речовина	0.615	0.422	0.528
substandard	нестандартний	0.235	0.333	0.150
substantial	суттєвий	0.590	0.490	0.690
substantially	істотно	0.646	0.471	0.684
substantiate	обгрунтувати	0.531	0.549	0.636
substantive	предметний	0.500	0.350	0.455
substation	підстанція	0.469	0.461	0.491
substitute	замінити	0.427	0.406	0.398
substituted	замінено	0.271	0.545	0.394
substitution	заміна	0.406	0.480	0.353
substructure	підструктура	0.441	0.358	0.587
subterranean	підземний	0.469	0.306	0.432
subtext	підтекст	0.635	0.276	0.412
subtitle	підзаголовок	0.445	0.202	0.347
subtle	витончений	0.708	0.167	0.228
subtlety	тонкість	0.615	0.176	0.363
subtract	відняти	0.208	0.330	0.283
subtraction	віднімання	0.163	0.382	0.349
subtype	підтип	0.427	0.296	0.420
suburb	передмістя	0.354	0.566	0.441
suburban	заміський	0.439	0.450	0.453
suburbia	передмістя	0.438	0.490	0.421
suburbs	передмістя	0.510	0.571	0.286
subversion	підрив	0.347	0.608	0.415
subversive	підривна	0.198	0.765	0.500
subvert	підірвати	0.357	0.557	0.536
subway	метро	0.418	0.300	0.464
succeed	досягати успіху	0.926	0.755	0.926
succeeding	успішний	0.867	0.755	0.849
success	успіх	0.959	0.880	0.981
successful	успішний	0.949	0.724	0.938
succession	послідовність	0.698	0.481	0.587
successive	послідовний	0.635	0.471	0.518
successor	спадкоємець	0.729	0.531	0.648
succinct	лаконічний	0.510	0.413	0.566
succubus	суккуб	0.417	0.647	0.509
succulent	соковитий	0.823	0.538	0.556
succumb	піддаватися	0.202	0.787	0.292
suck	смоктати	0.344	0.706	0.377
sucker	присоска	0.265	0.393	0.204
sucking	смоктати	0.227	0.528	0.377
suckling	молочко	0.596	0.558	0.518
sucks	смокче	0.115	0.683	0.302
suction	всмоктування	0.460	0.593	0.526
sudden	раптовий	0.449	0.660	0.435
suddenly	раптом	0.670	0.510	0.456
suds	пюре	0.458	0.365	0.255
sue	судитися	0.219	0.731	0.679
suede	замша	0.542	0.259	0.259
suffer	страждати	0.082	0.910	0.259
sufferer	потерпілий	0.156	0.690	0.278
suffering	страждання	0.020	0.719	0.235
suffice	достатньо	0.643	0.326	0.504
sufficiency	достатність	0.594	0.438	0.576
sufficient	достатньо	0.833	0.330	0.588
sufficiently	достатньо	0.776	0.367	0.714
suffix	суфікс	0.430	0.420	0.364
suffocate	задихається	0.219	0.764	0.440
suffocating	задихається	0.133	0.774	0.429
suffocation	задушення	0.020	0.830	0.462
sugar	цукор	0.896	0.382	0.402
suggest	запропонувати	0.573	0.471	0.517
suggestion	пропозиція	0.646	0.365	0.558
suggestive	сугестивний	0.552	0.500	0.555
suicidal	самогубство	0.021	0.867	0.382
suicide	самогубство	0.030	0.873	0.429
suicidebombing	NO TRANSLATION	0.031	0.957	0.627
suit	костюм	0.776	0.282	0.482
suitable	придатний	0.792	0.298	0.722
suitcase	валіза	0.562	0.212	0.318
suite	люкс	0.790	0.420	0.400
suitor	прихильник	0.708	0.639	0.546
sulfate	сульфат	0.427	0.352	0.429
sulfur	сірка	0.173	0.530	0.364
sulk	дурень	0.250	0.580	0.406
sullen	похмурий	0.250	0.407	0.263
sully	суллі	0.378	0.550	0.370
sulphur	сірка	0.260	0.450	0.233
sultan	султан	0.529	0.423	0.821
sultry	спекотний	0.735	0.696	0.627
sum	сума	0.792	0.340	0.420
summarily	коротко	0.469	0.431	0.543
summarize	узагальнити	0.590	0.323	0.471
summary	підсумок	0.729	0.260	0.427
summation	підсумовування	0.766	0.337	0.594
summer	літо	0.812	0.373	0.550
summerhouse	літній будинок	0.796	0.308	0.443
summertime	літній час	0.837	0.500	0.455
summit	саміт	0.625	0.618	0.764
summon	викликати	0.521	0.560	0.664
summons	виклик	0.552	0.604	0.598
sumo	сумо	0.480	0.394	0.564
sump	кар'єр	0.365	0.451	0.340
sumptuous	розкішний	0.698	0.550	0.555
sun	сонце	0.877	0.400	0.681
sunbeam	сонячний промінь	0.729	0.440	0.505
sunburn	сонячний опік	0.061	0.755	0.447
sundae	судак	0.743	0.414	0.404
sunday	неділя	0.776	0.196	0.394
sundial	сонячний годинник	0.643	0.225	0.406
sundown	захід сонця	0.812	0.276	0.445
sundry	інше	0.543	0.369	0.407
sunflower	соняшник	0.878	0.231	0.270
sunglass	сонцезахисний окуляр	0.684	0.264	0.324
sunglasses	сонцезахисні окуляри	0.844	0.443	0.364
sunk	потоплений	0.146	0.531	0.185
sunken	затонув	0.103	0.476	0.173
sunless	без сонця	0.245	0.280	0.273
sunlight	сонячне світло	0.906	0.407	0.639
sunny	сонячно	0.740	0.348	0.481
sunrise	схід сонця	0.823	0.347	0.640
sunroof	люк на даху	0.681	0.325	0.425
sunscreen	сонцезахисний крем	0.656	0.387	0.462
sunset	захід сонця	0.875	0.231	0.298
sunshine	сонячне світло	0.885	0.297	0.769
suntan	засмагати	0.620	0.510	0.366
sunup	сонячний насос	0.760	0.304	0.620
sup	суп	0.551	0.358	0.385
super	супер	0.844	0.663	0.780
superannuation	пенсійне страхування	0.448	0.412	0.562
superb	чудово	0.980	0.708	0.852
superficial	поверхневий	0.357	0.407	0.309
superfluous	зайвий	0.316	0.469	0.393
superhero	супергерой	0.910	0.820	0.893
superhuman	надлюдський	0.810	0.745	0.895
superimposed	накладається	0.490	0.529	0.683
superintendent	начальник	0.592	0.570	0.942
superior	начальник	0.801	0.697	0.940
superiority	перевага	0.582	0.602	0.959
superlative	найвищий ступінь	0.714	0.566	0.737
superman	надлюдина	0.945	0.794	0.929
supermarket	супермаркет	0.690	0.547	0.571
supermodel	супермодель	0.880	0.663	0.698
supernatant	супернатант	0.500	0.500	0.565
supernatural	надприродний	0.622	0.824	0.733
supernova	супернові	0.729	0.673	0.827
superposition	суперпозиція	0.480	0.570	0.806
superpower	супердержава	0.806	0.784	0.972
supersede	витікає	0.479	0.510	0.518
superstar	суперзірка	0.885	0.860	0.880
superstition	забобони	0.177	0.640	0.418
superstitious	забобонний	0.281	0.545	0.514
superstore	супермаркет	0.719	0.600	0.640
supervise	наглядати	0.698	0.555	0.889
supervision	нагляд	0.459	0.578	0.825
supervisor	керівник	0.615	0.479	0.933
supper	вечеряти	0.708	0.429	0.552
suppertime	вечеря	0.792	0.388	0.461
supplant	витіснити	0.344	0.558	0.463
supple	еластичний	0.812	0.528	0.436
supplement	доповнення	0.745	0.406	0.491
supplemental	додатковий	0.604	0.404	0.555
supplementary	додатковий	0.625	0.352	0.541
supplication	прохання	0.469	0.570	0.309
supplier	постачальник	0.615	0.462	0.736
supplies	постачання	0.698	0.390	0.595
supply	постачання	0.708	0.519	0.603
support	підтримка	0.811	0.472	0.737
supported	підтримується	0.853	0.408	0.613
supporter	прихильник	0.721	0.510	0.698
supporters	прихильники	0.763	0.539	0.558
supporting	підтримка	0.634	0.490	0.764
supportive	сприятливий	0.875	0.420	0.635
suppose	припустимо	0.551	0.343	0.348
supposed	передбачалося	0.296	0.378	0.379
supposing	припускаючи	0.449	0.451	0.357
supposition	припущення	0.531	0.408	0.526
suppress	придушувати	0.281	0.559	0.509
suppression	придушення	0.267	0.541	0.537
supremacy	верховенство	0.794	0.706	0.943
supreme	вищий	0.812	0.700	0.974
supremely	надзвичайно	0.833	0.725	0.897
surcharge	додаткова плата	0.375	0.528	0.500
sure	впевнений	0.724	0.270	0.793
surety	порука	0.776	0.365	0.750
surf	серфінг	0.847	0.650	0.500
surface	поверхня	0.448	0.375	0.604
surfboard	дошка для серфінгу	0.729	0.730	0.387
surfer	серфер	0.704	0.701	0.554
surge	сплеск	0.449	0.684	0.500
