Word	Sinhala (Sinhalese)-si	Valence	Arousal	Dominance
snowstorm	හිම කුණාටුවකි	0.204	0.833	0.629
snowy	හිමෙන්	0.656	0.304	0.357
snub	ස්නෝබ්	0.229	0.412	0.228
snubbed	නරකයි	0.265	0.528	0.279
snuff	බිව්වා	0.357	0.470	0.377
snug	සින්ක්	0.867	0.173	0.500
snuggle	ස්පෝර්ග්	0.781	0.390	0.350
snuggled	බ්ලොග්	0.552	0.439	0.314
snuggles	ස්ට්රූල්ස්	0.670	0.340	0.287
snuggling	ස්පයිග්	0.683	0.585	0.373
soak	පොඟවා ගන්න	0.480	0.370	0.240
soaked	ඉවීම්	0.365	0.462	0.358
soaking	පොඟවා ගැනීමයි	0.438	0.324	0.375
soangry	NO TRANSLATION	0.327	0.650	0.482
soannoyed	NO TRANSLATION	0.271	0.529	0.426
soap	සබන්	0.531	0.163	0.311
soapbox	සබන් පොකුණේ	0.500	0.415	0.393
soapy	සබන්	0.552	0.373	0.355
soar	ඉහල නැගේ	0.790	0.740	0.718
soaring	ඉහල නගිනු ඇත	0.708	0.704	0.650
sob	NO TRANSLATION	0.115	0.480	0.212
sober	සන්සුන් විය	0.729	0.216	0.568
soblessed	NO TRANSLATION	0.542	0.395	0.287
sobriety	සන්සුන්කම	0.680	0.310	0.583
soc	SOC	0.427	0.431	0.380
soccer	පාපන්දු	0.698	0.837	0.644
sociable	සමාජශීලී	0.854	0.459	0.627
social	සමාජ	0.806	0.370	0.614
socialanxiety	NO TRANSLATION	0.270	0.588	0.426
socialism	සමාජවාදය	0.510	0.500	0.560
socialist	සමාජවාදී	0.448	0.400	0.543
socialite	සමාජිකයෙක්	0.684	0.668	0.570
socialize	සමාජගත කරන්න	0.907	0.683	0.726
society	සමාජය	0.674	0.464	0.782
sociology	සමාජ විද්යාව	0.615	0.439	0.694
sociopath	sociopath	0.104	0.863	0.439
sock	ෙසොකයි	0.500	0.167	0.290
socket	තව්ව	0.583	0.469	0.377
sod	සෝඩා	0.427	0.383	0.333
soda	සෝඩා	0.688	0.314	0.364
soda/pop	සෝඩා පොප්	0.581	0.410	0.382
sodding	නටනවා	0.240	0.500	0.400
sodium	සෝඩියම්	0.490	0.340	0.291
sofa	සෝෆා	0.583	0.106	0.263
soft	මෘදුයි	0.760	0.179	0.232
softball	සැහැල්ලු පන්දු ය	0.735	0.630	0.518
soften	මෘදු වේ	0.694	0.194	0.392
softener	මෘදුකාරකය	0.745	0.300	0.373
softening	මෘදුයි	0.700	0.255	0.361
softly	සිනහව	0.517	0.206	0.304
softness	මෘදුයි	0.875	0.086	0.402
software	මෘදුකාංග	0.561	0.280	0.570
soggy	අඳුරේ	0.312	0.350	0.241
sohappy	සොනාමියි	0.949	0.673	0.681
soil	පාංශු	0.350	0.180	0.356
soiled	වියළී ගියේය	0.106	0.529	0.213
soiree	සෝවියර්	0.729	0.692	0.578
sojourn	දිවි ගෙවන	0.514	0.243	0.509
solace	සැනසීමක්	0.776	0.294	0.453
solar	සූර්යය	0.622	0.452	0.645
solarium	සොරියර්	0.602	0.356	0.421
solder	පෑස්සීම	0.439	0.510	0.611
soldering	පෑස්සීම	0.573	0.536	0.538
soldier	සොල්දාදුවෙක්	0.392	0.708	0.768
sole	අඩිය	0.427	0.194	0.279
solemn	බැස්සේය	0.708	0.370	0.709
solicit	ඉල්ලුම	0.620	0.490	0.604
solicitation	නඩු පැවරීම	0.612	0.519	0.415
solicitor	සොලිසිටර්	0.600	0.479	0.802
solid	ඝණ	0.667	0.304	0.763
solidarity	සහයෝගීතාව	0.792	0.407	0.781
solidification	ඝණීකරනයයි	0.480	0.500	0.827
solidified	ඝර්ධිත වේ	0.633	0.415	0.745
solidify	ඝෝෂාකාරී වේ	0.583	0.318	0.754
solidity	ඝනත්වයයි	0.745	0.444	0.850
solitaire	සාලියර්	0.365	0.227	0.279
solitary	තනිවමයි	0.224	0.202	0.268
solitude	හුදකලා විය	0.208	0.226	0.358
solo	ඒකයි	0.438	0.190	0.325
solubility	ද්රාව්යතාව	0.506	0.360	0.442
soluble	ද්රාව්ය වේ	0.542	0.272	0.409
solucky	ගොඩක් වාසනාවන්තයි	0.573	0.529	0.615
solution	විසඳුමක්	0.790	0.339	0.664
solve	විසඳන්න	0.656	0.530	0.688
solvency	නුබුන් වත්කම්	0.604	0.296	0.605
solvent	ද්රාවණයක් වේ	0.635	0.316	0.573
somad	NO TRANSLATION	0.429	0.490	0.463
somatic	සෝතැමි	0.438	0.406	0.444
somber	අඳුරේ	0.184	0.500	0.380
some anticipation	යම් අපේක්ෂාවක් ඇත	0.423	0.482	0.472
some disgust	යම් පිලිකුලකි	0.094	0.657	0.321
some surprise	පුදුමයට කරුණකි	0.827	0.849	0.500
some trust	විශ්වාසයක්	0.594	0.451	0.547
somersault	සැහැල්ලු ය	0.214	0.769	0.519
somethingigetalot	NO TRANSLATION	0.573	0.567	0.509
somewhat negative	තරමක් සෘණාත්මක ය	0.208	0.480	0.150
somewhat positive	තරමක් ධනාත්මක ය	0.920	0.510	0.667
somuchtodo	NO TRANSLATION	0.510	0.598	0.441
son	පුතා	0.792	0.365	0.528
sonar	සෝනාර්	0.541	0.480	0.414
sonata	Sonata	0.643	0.406	0.425
sonervous	NO TRANSLATION	0.344	0.655	0.373
song	සිංදුව	0.854	0.413	0.500
songwriter	ගීත රචකයෙකි	0.844	0.558	0.713
sonic	ගීතයකි	0.594	0.500	0.481
sonice	NO TRANSLATION	0.500	0.356	0.421
sonnet	සෝනෙට්	0.718	0.294	0.404
sonorous	සිහිනෙන්	0.646	0.580	0.442
soot	සූට්	0.375	0.328	0.292
soothe	සැනසීමක්	0.817	0.194	0.412
soothing	සනසනු ඇත	0.625	0.179	0.519
sophisticated	සංකීර්ණයි	0.865	0.481	0.845
sophistication	සංතෘප්තිය	0.792	0.472	0.704
sophomore	සිකුරාදා	0.653	0.415	0.427
sopissed	NO TRANSLATION	0.276	0.577	0.433
soppy	සෝපී	0.510	0.355	0.297
soprano	soprano	0.552	0.550	0.685
sorcerer	මිනිහා	0.377	0.633	0.632
sorcery	මැරයෝ ය	0.279	0.740	0.640
sordid	අධම	0.219	0.555	0.447
sore	සෙලවෙමින් පවතී	0.094	0.650	0.224
soready	සුවඳයි	0.622	0.500	0.545
sorely	අවාසනාවන්ත ලෙස	0.284	0.727	0.370
soreness	මහන්සියි	0.113	0.843	0.302
sorghum	බඩ ඉරිඟු	0.469	0.358	0.420
sorority	බැරෑරුම්කමකි	0.635	0.637	0.627
sorrow	කනගාටුවකි	0.052	0.235	0.164
sorrowful	කනගාටුවට කරුණකි	0.049	0.422	0.163
sorry	සමාවන්න	0.406	0.362	0.212
sort	වර්ග කිරීම	0.673	0.389	0.674
sorter	NO TRANSLATION	0.594	0.412	0.823
sortie	NO TRANSLATION	0.490	0.450	0.311
sorting	වර්ග කිරීම	0.469	0.400	0.642
sos	NO TRANSLATION	0.354	0.675	0.386
soscared	සෙකෝවෙන්	0.229	0.652	0.319
soscary	සොසේජ්	0.301	0.660	0.414
soslow	ඉතා හෙමින්	0.347	0.312	0.284
sostressed	NO TRANSLATION	0.435	0.481	0.578
sosweet	ඉතා මිහිරියි	0.755	0.354	0.417
sothankful	NO TRANSLATION	0.729	0.526	0.418
sou	NO TRANSLATION	0.480	0.390	0.412
soul	ආත්මය	0.770	0.220	0.510
soulful	බලසම්පන්නයි	0.755	0.331	0.500
soulless	සාරි	0.125	0.591	0.400
soulmate	මිනිහෙක්	0.890	0.500	0.628
sound	ශබ්දය	0.765	0.623	0.398
sounding	නටනවා	0.690	0.500	0.558
soundness	ශක්තිමත් බවකි	0.780	0.377	0.893
soundproof	ශබ්ද රහිත ය	0.490	0.390	0.409
soundtrack	ගීතයකි	0.630	0.559	0.518
soup	සුප් එක	0.602	0.245	0.269
sour	ඇඹුල්	0.276	0.594	0.373
source	මූලාශ්රය	0.740	0.318	0.684
sourpuss	සෝම්පස්	0.188	0.620	0.382
south	දකුණු	0.562	0.265	0.429
southbound	දකුණට	0.510	0.370	0.395
southeast	ගිනිකොනදිග	0.510	0.283	0.413
southern	දක්ෂිණ	0.552	0.269	0.370
southpaw	දකුණට	0.542	0.389	0.404
southwest	නිරිතදිග	0.406	0.314	0.355
souvenir	සිහිවටනයයි	0.844	0.311	0.466
sovereign	ස්වෛරීයි	0.698	0.500	0.885
sovereignty	ස්වෛරීත්වය	0.719	0.529	0.886
soviet	සෝවියට්	0.347	0.580	0.536
sow	වපුරයි	0.667	0.430	0.446
soy	සෝයා	0.438	0.250	0.286
soy sauce	සෝයා සෝස්	0.573	0.382	0.318
soybean	සෝයා බෝංචි	0.521	0.250	0.293
spa	ස්පා	0.622	0.151	0.386
space	අවකාශය	0.800	0.317	0.573
spacecraft	අභ්යාවකාශ යානය	0.646	0.698	0.680
spaceman	ස්පෑමය	0.688	0.577	0.848
spaceship	අභ්යවකාශ කටයුතු	0.643	0.781	0.664
spacing	පරතරය	0.621	0.425	0.507
spacious	ඉඩකඩ ඇත	0.880	0.365	0.557
spade	ස්පාඩ්	0.469	0.667	0.529
spaghetti	ස්පැගටි	0.729	0.353	0.288
spam	ආයාචිත තැපැල්	0.188	0.354	0.304
spammers	ස්පාමර්	0.354	0.500	0.418
span	NO TRANSLATION	0.521	0.330	0.528
spandex	ස්පෙන්ඩෙක්	0.429	0.520	0.429
spaniel	ස්පැනියල්	0.561	0.435	0.385
spank	ඉපිලෙන්න	0.112	0.882	0.642
spanking	ඉඟුරු	0.194	0.736	0.392
spar	ස්පාර්	0.417	0.438	0.536
spare	අනවශ්යයි	0.552	0.398	0.411
spareribs	ස්පාරිරිබ්	0.635	0.431	0.395
sparingly	අරුමයක් නොවේ	0.510	0.353	0.518
spark	ආවා	0.688	0.745	0.529
sparkle	සුදුමැලි	0.819	0.765	0.510
sparkling	අඳුරුයි	0.700	0.418	0.598
sparkly	පිබිදෙව්!	0.885	0.590	0.726
sparring	ස්පින්ජිං	0.292	0.870	0.704
sparrow	ගේ කුරුල්ලාව	0.583	0.460	0.327
sparse	විරල ය	0.240	0.367	0.209
spasm	බසින්න	0.194	0.594	0.366
spastic	ස්පයිස්	0.240	0.541	0.491
spat	සුන්බුන්	0.427	0.413	0.309
spatial	අවකාශීය	0.604	0.625	0.645
spatter	බහින්න	0.292	0.630	0.315
spatula	පල්ලිය	0.302	0.198	0.369
spawn	බිහිවී ඇත	0.542	0.586	0.709
spaz	ස්පාස්	0.443	0.500	0.268
speak	කතා කරන්න	0.765	0.472	0.500
speakeasy	කතාවකි	0.680	0.536	0.442
speaker	කථිකයා	0.604	0.660	0.723
speakerphone	කථාබහක	0.531	0.569	0.560
speaking	කතා කරමින්	0.753	0.590	0.575
spear	හෙල්ලය	0.510	0.601	0.500
spec	විශේෂත්වයක්	0.583	0.426	0.691
special	විශේෂ	0.844	0.602	0.730
specialist	විශේෂඥයෙක්	0.760	0.562	0.877
speciality	විශේෂත්වයකි	0.854	0.470	0.885
specialize	NO TRANSLATION	0.776	0.540	0.861
specially	විශේෂයෙන්	0.847	0.398	0.714
specialty	විශේෂත්වයකි	0.724	0.479	0.783
specie	NO TRANSLATION	0.583	0.471	0.650
species	විශේෂ	0.561	0.330	0.645
specific	විශේෂිත	0.656	0.388	0.691
specification	පිරිවිතර	0.552	0.479	0.602
specify	සඳහන් කරන්න	0.656	0.405	0.600
specimen	ආදර්ශයකි	0.531	0.444	0.568
speck	ලී කොටය	0.418	0.245	0.343
speckled	පැල්ලම්	0.449	0.263	0.254
specs	ස්පීඩ්ස්	0.540	0.398	0.618
spectacle	කණ්නාඩියක්	0.812	0.745	0.762
spectacles	කණ්නාඩි	0.816	0.775	0.648
spectacular	දර්ශනීයයි	0.947	0.740	0.887
spectator	ප්රේක්ෂකයා	0.694	0.560	0.667
specter	අවතාරය	0.265	0.723	0.540
spectral	වර්ණාවලි	0.430	0.667	0.500
spectrometer	වර්ණාවලිමානය	0.500	0.452	0.490
spectrophotometer	වර්ණාවලීක්ෂය	0.500	0.484	0.500
spectroscopy	වර්ණාවලීක්ෂණයකි	0.470	0.541	0.570
spectrum	වර්ණාවලිය	0.312	0.700	0.527
speculate	සමපේක්ෂනය	0.398	0.602	0.553
speculation	සමපේක්ෂනයයි	0.325	0.683	0.394
speculative	සමපේක්ෂනීය	0.276	0.591	0.464
speculum	සමපේක්ෂනයයි	0.417	0.469	0.433
speech	කතාවයි	0.656	0.470	0.688
speechless	කථාව	0.459	0.320	0.315
speed	වේගය	0.719	0.849	0.658
speedboat	වේගවත් බෝට්ටුව	0.635	0.858	0.612
speedily	ඉක්මනින්	0.688	0.740	0.665
speeding	වේගවත් කිරීම	0.438	0.908	0.645
speedometer	ත්වරණමාන වේ	0.427	0.549	0.579
speedway	අධිවේගී මාර්ගයක්	0.667	0.519	0.416
speedy	ඉක්මන් වේ	0.625	0.625	0.793
spell	චලනය	0.385	0.380	0.368
spellbound	විහිළුවකි	0.531	0.647	0.387
spelling	අක්ෂර වින්යාසය	0.594	0.357	0.398
spencer	ස්පෙන්සර්	0.510	0.394	0.367
spend	වියදම් කරනවා	0.672	0.745	0.429
spender	ස්පෙන්ඩර්	0.312	0.692	0.377
spending	වියදම්	0.333	0.556	0.330
spent	වියදම් කර ඇත	0.296	0.296	0.263
sperm	ශුක්රාණුවක්	0.396	0.706	0.453
spew	ස්පෙවල්	0.260	0.651	0.573
sphere	ක්ෂේත්රයකි	0.633	0.277	0.500
spherical	ගෝලාකාරය	0.550	0.308	0.500
sphincter	සින්ෆෙන්ටර්	0.347	0.633	0.375
sphinx	සින්ෆින්ස්	0.604	0.324	0.490
spic	ස්පයික්	0.302	0.455	0.451
spice	කුළු බඩුයි	0.594	0.439	0.384
spicy	කුළුබඩු	0.440	0.733	0.610
spider	මකුළුවා	0.229	0.569	0.430
spiders	මකුළුවන්	0.260	0.696	0.368
spiffy	සුන්දරයි	0.615	0.582	0.470
spigot	ස්පයිග්ටො	0.380	0.346	0.423
spike	කථාව	0.382	0.510	0.408
spiked	කුළුපග	0.281	0.613	0.407
spiky	බුබ්බුලාකාරය	0.284	0.657	0.587
spill	පිටාර ගැලීම	0.408	0.633	0.456
spillin	NO TRANSLATION	0.375	0.500	0.362
spin	භ්රමණය	0.551	0.422	0.345
spinach	නිවිති	0.583	0.200	0.368
spinal	කම්බිය	0.312	0.491	0.296
spindle	ස්ෙපන්ඩල්	0.552	0.410	0.360
spine	කොඳු ඇට පෙළ	0.495	0.461	0.600
spineless	ගොරෝසු	0.344	0.387	0.321
spinner	දඟපන්දු ය	0.458	0.593	0.471
spinning	නිවිති	0.594	0.610	0.481
spinster	ස්ප්රින්ස්ටර්	0.357	0.368	0.345
spiny	නිහඬයි	0.167	0.639	0.528
spiral	සර්පිලාකාර ය	0.490	0.624	0.361
spire	ස්පිරි	0.354	0.358	0.389
spirit	ආත්මය	0.786	0.370	0.621
spirited	ආත්මය	0.854	0.587	0.734
spirits	ස්ප්රීතු	0.583	0.847	0.545
spiritual	ආත්මිකයි	0.938	0.327	0.564
spirituality	ආත්මිකත්වයයි	0.865	0.281	0.667
spit	කෙළ	0.149	0.545	0.436
spite	නොසැලකේ	0.080	0.600	0.317
spiteful	නරකයි	0.073	0.710	0.330
spitfire	නින්දිතය	0.233	0.623	0.566
spittoon	පීය	0.276	0.426	0.280
splash	පිපිරීමක්	0.521	0.412	0.281
splat	ස්ප්ලට්	0.510	0.433	0.385
splatter	සොරකම් කරනවා	0.312	0.596	0.352
spleen	සයිලන්	0.448	0.255	0.396
splendid	පුදුමාකාරයි	0.896	0.740	0.810
splendor	අලංකාරය	0.927	0.612	0.850
splice	බද්ධය	0.386	0.460	0.377
spline	ස්ලයිලින්	0.490	0.398	0.407
splint	කපනය	0.179	0.400	0.343
splinter	බෙල්ලටය	0.136	0.422	0.325
split	බෙදුණු	0.344	0.618	0.410
splitting	බෙදී යාමයි	0.188	0.598	0.375
splurge	භයංකාරය	0.365	0.481	0.542
spoil	කොල්ලය	0.146	0.723	0.328
spoiler	සෝපානයක්	0.347	0.527	0.380
spoiling	නාස්ති කරනවා	0.135	0.678	0.306
spoils	කොල්ලය	0.388	0.760	0.481
spoke	කතා කළා	0.635	0.433	0.483
spoken	කතාකරන්න	0.551	0.363	0.545
spokesman	ප්රකාශකයා පවසයි	0.720	0.480	0.611
spokesperson	ප්රකාශකයා පවසයි	0.573	0.453	0.615
sponge	ස්පොන්ජ්	0.551	0.192	0.219
spongy	ස්පේනි	0.469	0.324	0.344
sponsor	අනුගාහකයා	0.729	0.537	0.800
sponsorship	අනුග්රාහකත්වය	0.854	0.608	0.696
spontaneity	ස්වයංසිද්ධවය	0.817	0.698	0.655
spontaneous	ස්වයංසිද්ධයි	0.780	0.578	0.655
spoof	කපිතාන්	0.490	0.594	0.381
spook	ඇඬුවා	0.327	0.887	0.322
spooky	භයංකාර	0.104	0.858	0.380
spool	කබායයි	0.397	0.389	0.312
spoon	හැන්දක්	0.479	0.236	0.259
spoonful	ගෑරුප්පු	0.582	0.208	0.308
sporadic	ස්පන්ද	0.333	0.394	0.500
spore	ස්පෝර්ට්ස්	0.480	0.408	0.231
sport	ක්රීඩා	0.865	0.700	0.657
sporting	ක්රීඩා	0.917	0.656	0.675
sports	ක්රීඩා	0.833	0.683	0.587
sports car	ක්රීඩා කාර්	0.759	0.696	0.669
sportsman	ක්රීඩකයෙකි	0.755	0.735	0.713
sportsmanship	ක්රීඩාවයි	0.890	0.582	0.694
sportswriter	ක්රීඩකයෙක්	0.760	0.551	0.566
sporty	ක්රීඩා	0.735	0.713	0.648
spot	තැනක්	0.510	0.180	0.336
spotless	සුන්දරයි	0.792	0.327	0.726
spotlight	අවධානය යොමුකරයි	0.688	0.353	0.519
spotted	සොයාගෙන තිබේ	0.354	0.472	0.295
spotter	හඳුනා ගන්න	0.542	0.491	0.644
spotty	ලස්සනයි	0.281	0.606	0.241
spousal	සමලිංගිකය	0.656	0.582	0.632
spouse	කලත්රයායි	0.750	0.600	0.645
spout	බ්ලොග්	0.438	0.357	0.309
sprain	උලුක්කුවක්	0.063	0.580	0.384
sprawl	පැතිර යනවා	0.600	0.596	0.672
spray	ස්ෙපේ	0.438	0.410	0.333
spread	පැතිර	0.570	0.583	0.651
spreader	පැතිරයා	0.510	0.480	0.500
spree	ස්පී්රඩ්	0.564	0.663	0.474
spring	වසන්තය	0.837	0.370	0.481
springtime	වසන්ත සමයයි	0.837	0.439	0.722
sprinkle	ඉසිය යුතු ය	0.635	0.404	0.380
sprinkler	විදින	0.510	0.434	0.473
sprinkling	ඉසිනවා	0.677	0.510	0.466
sprint	ස්ප්රින්ට්	0.549	0.649	0.528
sprite	ස්ප්රයිට්	0.561	0.438	0.625
sprout	පැළෑටි	0.582	0.565	0.443
spruce	ස්පෲස්	0.604	0.288	0.380
spud	ස්පූඩ්	0.403	0.423	0.349
spunk	බීමත්කම	0.438	0.632	0.473
spunky	ස්පුන්කි	0.646	0.879	0.755
spur	අත්යවශ්යයි	0.378	0.545	0.340
spurious	ව්යාජය	0.178	0.480	0.343
spurred	පොළඹවන ලදී	0.562	0.684	0.472
spurt	රඟපෑවේය	0.448	0.550	0.475
spy	ඔත්තු බැලුවා	0.260	0.686	0.530
squabble	බඩගින්නක්	0.173	0.850	0.500
squad	තරගයයි	0.552	0.711	0.806
squadron	ගුවන් යානයක්	0.469	0.686	0.787
squall	ස්කොට්	0.191	0.833	0.655
squamous	අසරණයි	0.344	0.446	0.418
squander	නාස්ති කරන්න	0.240	0.755	0.529
square	චතුරස්රය	0.509	0.340	0.291
squash	ස්කොශ්	0.531	0.667	0.410
squat	නෙලාගන්න	0.330	0.550	0.453
squatter	නරකයි	0.390	0.361	0.565
squaw	නරකයි	0.428	0.441	0.398
squawk	සිහිනෙන්	0.265	0.480	0.245
squeak	පයින් ගහන්න	0.271	0.679	0.300
squeaky	පපුවේ	0.229	0.771	0.367
squeal	පල්ලිය	0.250	0.731	0.375
squealer	රංගන ශිල්පියා	0.541	0.519	0.330
squeamish	හැඬීමයි	0.176	0.656	0.453
squeeze	මිරිකා	0.458	0.676	0.532
squeezing	මිරිකා ගැනීම	0.260	0.598	0.557
squelch	මැඩම්	0.271	0.510	0.462
squid	දැල්ලා	0.497	0.398	0.357
squint	කසළින්	0.385	0.461	0.452
squire	සිකුරාදා	0.479	0.459	0.710
squirm	වැනසී	0.235	0.824	0.373
squirrel	ලේනුන්	0.592	0.358	0.333
squirt	කොණ්ඩය	0.406	0.460	0.255
squish	නටනවා	0.260	0.788	0.481
squishy	අසරණයි	0.516	0.333	0.307
stab	නරකයි	0.167	0.882	0.595
stabbed	පිහියෙන් ඇනගෙන තිබේ	0.031	0.875	0.431
stability	ස්ථාවරත්වයයි	0.812	0.264	0.849
stabilize	ස්ථාවරයි	0.839	0.427	0.722
stabilizer	ස්ථායී වේ	0.688	0.353	0.767
stable	ස්ථාවර	0.725	0.204	0.735
staccato	ස්ටාකාato	0.396	0.500	0.427
stack	අඩුයි	0.470	0.282	0.427
stadium	ක්රීඩාංගනයයි	0.635	0.679	0.611
staff	කාර්ය මණ්ඩලය	0.745	0.274	0.627
stag	මිනිහෙක්	0.594	0.250	0.389
stage	අදියර	0.592	0.306	0.473
stagecoach	ආයාචනයකි	0.516	0.519	0.627
stagehand	වේදිකාවක්	0.420	0.684	0.555
stagger	ආතතිය	0.531	0.620	0.458
staggering	විස්මිතයි	0.520	0.657	0.683
stagnant	එකතැන පල්වෙන	0.300	0.500	0.208
stagnation	පල්වීම	0.276	0.324	0.396
staid	හිසරදයකි	0.385	0.290	0.634
stain	පැල්ලමක්	0.453	0.324	0.264
stained	දුගඳයි	0.245	0.460	0.209
stainless	නොකැඩී	0.594	0.329	0.618
stair	පඩිපෙල	0.375	0.354	0.345
staircase	පඩිපෙල	0.469	0.347	0.440
stairs	පඩි පෙළයි	0.510	0.439	0.342
stairway	පඩිපෙල	0.562	0.510	0.407
stairwell	පියගැටපෙළයි	0.510	0.292	0.333
stake	පාර්ශවය	0.406	0.608	0.460
stakeout	විමසුමට ලක්වූ කාලය	0.344	0.546	0.600
stale	පරණයි	0.235	0.461	0.286
stalemate	කථාවයි	0.296	0.354	0.267
stalk	පුවක්	0.436	0.272	0.395
stalker	ගොතලා	0.177	0.930	0.639
stall	කුටිය	0.370	0.245	0.292
stallion	ස්ටැලියන්ස්	0.628	0.596	0.779
stalls	කුටි	0.582	0.378	0.451
stalwart	හරිම බිසී	0.812	0.430	0.691
stamina	රුධිරයයි	0.664	0.694	0.877
stamp	මුද්දරයක්	0.438	0.327	0.441
stampede	ස්ටම්පීඩ්	0.235	0.875	0.683
stance	ආස්ථානයකි	0.604	0.333	0.609
stand	ස්ථාවරය	0.600	0.324	0.509
standard	සම්මත	0.673	0.143	0.605
standardize	ප්රමිතිකරණය	0.684	0.353	0.729
standardized	ප්රමිතිකරණය	0.610	0.324	0.607
standby	සුදානමින් සිටීම	0.260	0.224	0.386
standing	ස්ථාවර	0.604	0.317	0.425
standoff	තරගයයි	0.333	0.840	0.558
standpoint	ආස්ථානයයි	0.585	0.388	0.652
standstill	ඇනහිටිනවා	0.441	0.203	0.500
standup	නැගිටින්න	0.633	0.583	0.550
stanza	ස්ටාපා	0.612	0.343	0.297
staph	ස්ටැප්	0.375	0.480	0.412
staple	ආහාරයයි	0.542	0.306	0.438
stapler	ස්ප්ලර්	0.370	0.264	0.394
star	තරුව	0.833	0.418	0.560
star fruit	කාමරංගා	0.701	0.433	0.427
starboard	පුවරුවයි	0.531	0.388	0.558
starch	පිෂ්ඨය	0.507	0.354	0.312
stardom	ශෝචනීයයි	0.844	0.786	0.689
stardust	තරු පානය	0.843	0.410	0.549
stare	පරක්කුයි	0.541	0.430	0.538
starfish	තාරකාව	0.680	0.320	0.421
stargazing	තරහෙන්	0.802	0.461	0.709
staring	දෙස බැලුවෙමි	0.542	0.306	0.423
stark	නොපෙනී ගියේය	0.330	0.630	0.577
starlet	තරුව	0.806	0.471	0.587
starlight	තාරකාව	0.908	0.368	0.611
starling	ස්ටාර්ලින්	0.500	0.490	0.514
starry	තාරකාව	0.438	0.643	0.434
stars	තාරකා	0.796	0.521	0.484
starship	තාරකාව	0.740	0.719	0.704
start	ආරම්භ කරන්න	0.684	0.430	0.589
starter	ආරම්භකය	0.667	0.461	0.827
startle	අහංකාරය	0.276	0.817	0.417
startled	පුදුමයට කරුණකි	0.333	0.865	0.526
startling	පුදුමයි	0.750	0.768	0.830
starvation	සාගත කිරීමයි	0.240	0.592	0.284
starve	අසරණයි	0.073	0.729	0.402
starved	බඩගින්නේ	0.097	0.689	0.219
starving	කුසගින්නෙන් පෙළෙනවා	0.163	0.670	0.336
stash	ස්තූතියි	0.344	0.630	0.361
stat	ස්ථිතිය	0.479	0.460	0.395
state	රජයේ	0.562	0.320	0.604
stately	සුන්දරයි	0.830	0.728	0.915
statement	ප්රකාශය	0.688	0.608	0.825
stateroom	ස්ටේටෝම්	0.653	0.380	0.441
stateside	ප්රාන්තය	0.643	0.480	0.708
statesman	දේශපාලනඥයෙකි	0.510	0.490	0.736
static	ස්ථිතිකයි	0.297	0.250	0.366
staticky	NO TRANSLATION	0.357	0.278	0.358
statics	ස්ථිතිකයි	0.542	0.290	0.527
station	ස්ථානය	0.688	0.367	0.519
stationary	ලිපි ද්රව්ය	0.408	0.240	0.484
stationery	ලිපිද්රව්ය	0.570	0.120	0.455
statistic	සංඛ්යා ලේඛන	0.508	0.420	0.609
statistical	සංඛ්යානමය	0.714	0.353	0.627
statistician	සංඛ්යා ලේඛන	0.571	0.360	0.703
stator	ස්ටටෝරය	0.281	0.453	0.557
statuary	ප්රතිමාවයි	0.561	0.281	0.500
statue	පිළිමය	0.542	0.153	0.570
statuette	ස්ටුටුට්	0.677	0.433	0.518
stature	පෞරුෂය	0.470	0.353	0.664
status	තත්ත්වය	0.658	0.377	0.588
statute	පනතක්	0.592	0.330	0.673
statutory	ව්යවස්ථාපිතයි	0.510	0.376	0.539
staunch	නොසැලෙන	0.480	0.363	0.833
stave	බේද	0.417	0.333	0.424
stay	රැඳී සිටින්න	0.604	0.275	0.516
stayaway	NO TRANSLATION	0.369	0.284	0.526
stayed	රැඳී සිටියා	0.497	0.270	0.395
stays	රැඳී සිටියි	0.633	0.363	0.564
stead	කණගාටුයි	0.551	0.214	0.510
steadfast	ස්ථීරවම	0.771	0.433	0.800
steady	ස්ථාවරයි	0.680	0.186	0.763
steak	ස්ටීක්	0.625	0.359	0.315
steakhouse	ස්ටීවාහවුස්	0.802	0.379	0.547
steal	සොරකම් කරනවා	0.021	0.856	0.528
stealing	සොරකම් කිරීම	0.086	0.913	0.455
stealth	රහසිගත	0.520	0.270	0.452
stealthily	සුළුවෙන්	0.763	0.294	0.458
stealthy	කැතයි	0.380	0.363	0.534
steam	වාෂ්ප වේ	0.469	0.413	0.421
steamboat	ගංගාව	0.708	0.500	0.633
steamer	කපාගන්න	0.510	0.442	0.528
steaming	විදිනවා	0.592	0.553	0.402
steamroller	රැවුලක්	0.396	0.567	0.667
steamship	සමුද්රසමය	0.469	0.490	0.569
steamy	උණූසයි	0.479	0.538	0.445
steel	යකඩ	0.521	0.420	0.714
steep	අධික වේගයෙන්	0.312	0.612	0.321
steeple	කොන්ක්රීට්	0.625	0.519	0.500
steer	සවි කර ඇත	0.469	0.490	0.527
steering	සුක්කානම	0.580	0.431	0.660
stellar	තරු	0.796	0.580	0.769
stem	කඳේ	0.615	0.191	0.336
stench	දුර්ගන්ධය	0.104	0.570	0.298
stencil	ස්ටෙන්සිල්	0.500	0.327	0.421
stenographer	ලඝු ලේඛකයා වේ	0.510	0.408	0.589
step	පියවර	0.531	0.321	0.347
stepdaughter	පියවරු	0.510	0.510	0.432
