Word	Zulu-zu	Valence	Arousal	Dominance
required	edingekayo	0.583	0.509	0.700
requirement	imfuneko	0.510	0.439	0.728
requisite	okudingekayo	0.448	0.363	0.609
requisition	isidingo	0.478	0.510	0.649
reread	ufunde kabusha	0.448	0.377	0.492
reroute	buyisa kabusha	0.540	0.598	0.598
rerun	buyisa kabusha	0.333	0.620	0.529
reschedule	i-reschedule	0.438	0.422	0.537
rescind	phindaphinda	0.347	0.380	0.391
rescission	susa	0.333	0.529	0.360
rescue	khulula	0.806	0.926	0.850
research	ucwaningo	0.633	0.663	0.741
researcher	umcwaningi	0.569	0.510	0.857
resection	ukuvuselela	0.375	0.482	0.500
resemblance	kufana	0.743	0.216	0.570
resemble	kufana	0.602	0.388	0.463
resembling	kufana	0.592	0.250	0.529
resent	ukucasuka	0.073	0.553	0.163
resentful	ukucasuka	0.120	0.608	0.324
resentment	ukufutheka	0.163	0.745	0.528
reservation	ukubhuka	0.688	0.343	0.561
reserve	ukugcina	0.585	0.289	0.589
reserved	okugcinwe	0.594	0.316	0.583
reserves	izimpahla	0.653	0.363	0.520
reservoir	ibhakede	0.531	0.276	0.462
reset	setha kabusha	0.490	0.450	0.574
reside	uhlale	0.451	0.440	0.455
residence	ukuhlala	0.615	0.382	0.585
residences	zokuhlala	0.618	0.418	0.509
residency	ukuhlala	0.694	0.357	0.679
resident	ohlala khona	0.592	0.327	0.500
residential	yokuhlala	0.720	0.210	0.589
residual	kusele	0.448	0.288	0.327
residue	izinsalela	0.354	0.330	0.183
resign	sula	0.250	0.543	0.273
resignation	ukuyeka emsebenzini	0.145	0.392	0.310
resigned	ushiye	0.240	0.170	0.268
resilience	ukuqina	0.531	0.440	0.667
resilient	ukuqina	0.542	0.540	0.801
resin	i-resin	0.284	0.308	0.400
resist	ukumelana	0.414	0.676	0.651
resistance	ukumelana	0.427	0.694	0.796
resistant	ukumelana	0.592	0.585	0.815
resisting	ukumelana	0.408	0.776	0.789
resistive	ukuphumula	0.396	0.519	0.651
resolute	ukuzimisela	0.771	0.510	0.712
resolutely	ngokuqiniseka	0.714	0.453	0.805
resolution	isinqumo	0.780	0.550	0.745
resolve	ukuxazulula	0.710	0.472	0.750
resolved	ixazululwe	0.735	0.357	0.683
resonance	i-resonance	0.541	0.426	0.629
resonant	i-resonant	0.542	0.633	0.663
resonate	qalisa kabusha	0.582	0.610	0.644
resonator	i-resonator	0.469	0.608	0.519
resort	resort	0.573	0.441	0.632
resounding	ukuphazamisa	0.490	0.708	0.596
resource	imithombo	0.740	0.357	0.749
resourceful	ohlakaniphile	0.906	0.704	0.886
resources	izinsiza	0.604	0.348	0.627
respect	inhlonipho	0.927	0.344	0.758
respectability	ukuhlonipha	0.875	0.407	0.912
respectable	inhlonipho	0.850	0.350	0.889
respected	ihlonishwa	0.908	0.441	0.853
respectful	inhlonipho	0.951	0.386	0.814
respecting	ukuhlonipha	0.837	0.321	0.720
respective	okuhambisanayo	0.625	0.413	0.721
respects	izihlonipho	0.840	0.387	0.824
respiration	ukuphefumula	0.760	0.377	0.669
respirator	ukuphefumula	0.433	0.398	0.453
respiratory	ukuphefumula	0.500	0.450	0.552
respite	ukuphefumula	0.600	0.373	0.420
resplendent	ehloniphekile	0.905	0.673	0.755
respond	phendula	0.573	0.435	0.594
respondent	umphenduli	0.449	0.455	0.480
response	impendulo	0.615	0.500	0.472
responsibility	umthwalo wemfanelo	0.760	0.500	0.852
responsible	unomthwalo wemfanelo	0.837	0.527	0.833
responsive	ukuphendula	0.816	0.569	0.573
rest	ukuphumula	0.907	0.167	0.300
restart	qala kabusha	0.531	0.519	0.554
restaurant	yokudlela	0.847	0.406	0.500
rested	waphumula	0.792	0.235	0.462
restful	ukuphumula	0.781	0.116	0.413
restitution	ukubuyisela	0.583	0.542	0.643
restless	aphumule	0.219	0.810	0.304
restlessness	ukuphumula	0.083	0.794	0.397
restock	buyisa kabusha	0.510	0.538	0.645
restoration	ukubuyiselwa	0.755	0.426	0.734
restorative	ukuvuselela	0.633	0.510	0.703
restore	buyisela	0.765	0.490	0.625
restored	kubuyiselwe	0.892	0.410	0.728
restoring	ukubuyisela	0.820	0.490	0.783
restrain	ukuvimbela	0.134	0.696	0.434
restrained	ivinjelwe	0.354	0.590	0.509
restraining	ukuvimbela	0.296	0.702	0.672
restraint	ukuvimbela	0.167	0.618	0.520
restrict	ukukhawulela	0.115	0.539	0.577
restricted	ivinjelwe	0.276	0.500	0.407
restriction	umkhawulo	0.130	0.590	0.569
restrictive	ukuvimbela	0.215	0.596	0.500
restroom	indawo yokudlela	0.653	0.279	0.267
result	umphumela	0.812	0.490	0.652
resultant	umphumela	0.670	0.441	0.637
resume	phinda futhi	0.573	0.411	0.586
resumption	ukuqala kabusha	0.637	0.528	0.653
resurrect	uvuke	0.781	0.725	0.817
resurrection	uvuko	0.708	0.740	0.759
resuscitate	uphinde uqhubeke	0.531	0.696	0.818
resuscitation	ukuvuselelwa	0.753	0.768	0.795
retail	ukudayisa	0.510	0.353	0.411
retailer	umdayisi	0.708	0.439	0.595
retain	gcina	0.367	0.451	0.630
retainer	ukugcina	0.396	0.422	0.356
retaining	ukugcina	0.417	0.559	0.632
retake	buyisa	0.616	0.471	0.591
retaliate	buyisela	0.111	0.812	0.595
retaliation	ukuphindisela	0.156	0.812	0.491
retaliatory	ukuphindisela	0.194	0.865	0.598
retard	linda	0.194	0.347	0.222
retardation	ukuphuza	0.125	0.360	0.155
retarded	ihlehlisiwe	0.302	0.462	0.161
retards	izimpendulo	0.362	0.434	0.218
retention	ukugcinwa	0.344	0.490	0.558
retentive	ukulalela	0.439	0.482	0.491
rethink	cabanga kabusha	0.480	0.423	0.583
reticent	ayifuni	0.396	0.519	0.500
retina	i-retina	0.490	0.255	0.342
retinal	ukubuyisela kabusha	0.531	0.343	0.475
retire	umhlalaphansi	0.398	0.392	0.186
retired	uthathe umhlalaphansi	0.270	0.259	0.301
retirement	umhlalaphansi	0.250	0.324	0.255
retiring	ukuthatha umhlalaphansi	0.408	0.376	0.214
retold	buyisela	0.459	0.385	0.352
retort	buyisela	0.417	0.520	0.481
retrace	buyisela emuva	0.250	0.482	0.317
retract	phenduka	0.316	0.443	0.358
retraction	ukuhoxisa	0.312	0.491	0.427
retractor	umqashi	0.354	0.590	0.557
retreat	hamba	0.500	0.519	0.312
retrenchment	ukuxoshwa	0.230	0.650	0.384
retrial	buyisela emuva	0.500	0.577	0.593
retribution	impindiselo	0.625	0.490	0.708
retrieval	ukubuyisa	0.700	0.440	0.704
retrieve	thola	0.740	0.576	0.705
retriever	i-retriever	0.459	0.500	0.464
retro	i-retro	0.650	0.276	0.321
retroactive	ukubuyisela emuva	0.521	0.452	0.655
retrograde	ukubuyisa kabusha	0.208	0.464	0.415
retrospect	ubuyekeze	0.406	0.500	0.538
retrospective	i-retrospective	0.594	0.481	0.528
retrospectively	ngokuphindaphindiwe	0.516	0.400	0.560
return	buyela	0.602	0.412	0.463
reunion	ukuhlangana kabusha	0.837	0.500	0.672
reunite	hlanganisa futhi	0.656	0.550	0.657
reunited	kuhlanganiswe kabusha	0.708	0.439	0.658
rev	i-rev	0.367	0.422	0.353
reveal	wembula	0.493	0.637	0.526
revel	i-revel	0.740	0.705	0.684
revelation	isambulo	0.879	0.500	0.865
revelations	izambulo	0.729	0.655	0.600
revels	izintandokazi	0.827	0.683	0.647
revenge	buyisela	0.230	0.940	0.627
revenue	imali	0.873	0.510	0.854
reverberation	ukubuyela emuva	0.390	0.639	0.551
revere	hlonela	0.750	0.562	0.608
reverence	ukuhlonipha	0.643	0.347	0.516
reverend	umfundisi	0.650	0.337	0.576
reverent	inhlonipho	0.551	0.490	0.694
reverie	buyela emuva	0.667	0.413	0.471
reversal	ukuguqulwa	0.380	0.510	0.591
reverse	ukubuyela emuva	0.539	0.415	0.461
reversion	ukubuyela emuva	0.458	0.538	0.425
revert	buyela emuva	0.380	0.451	0.519
reverting	ukubuyela emuva	0.562	0.385	0.544
review	ukubuyekezwa	0.667	0.408	0.636
reviewer	umbuyekezi	0.562	0.344	0.500
revise	buyekeza	0.500	0.469	0.509
revision	ukubuyekezwa	0.417	0.459	0.710
revisit	buyekeza	0.552	0.530	0.509
revival	imvuselelo	0.823	0.664	0.597
revive	hlaziya	0.676	0.780	0.778
revocation	ukukhishwa	0.260	0.610	0.673
revoke	buyisa	0.251	0.696	0.737
revolt	ukuvukela	0.343	0.878	0.658
revolting	ukuvukela	0.102	0.690	0.300
revolution	i-revolution	0.417	0.902	0.798
revolutionary	uguquko	0.635	0.887	0.824
revolutionize	ukuguqula	0.684	0.816	0.904
revolve	ukuguquka	0.592	0.546	0.402
revolver	i-revolver	0.194	0.796	0.750
revolving	ukuguquka	0.602	0.570	0.580
revue	buyekeza	0.594	0.350	0.420
revulsion	ukuvukela	0.104	0.765	0.343
revving	ukubuyisa	0.604	0.875	0.879
reward	umvuzo	0.948	0.694	0.783
rewarding	okuvuza	0.958	0.637	0.783
rewind	buyisa kabusha	0.460	0.551	0.431
rewire	rewire	0.365	0.462	0.406
rewrite	bhala kabusha	0.490	0.500	0.434
rhapsody	i-rhapsody	0.708	0.490	0.460
rhetoric	isicoco	0.417	0.429	0.504
rhetorical	izimpendulo	0.417	0.569	0.635
rheumatism	i-rheumatism	0.219	0.472	0.418
rhinestone	u-rhinestone	0.531	0.551	0.408
rhino	ihhino	0.531	0.549	0.555
rhinoceros	ama-rhinoceros	0.556	0.656	0.569
rhubarb	rhubarb	0.582	0.304	0.340
rhyme	imvumelwano	0.667	0.249	0.481
rhyming	ukulinganisa	0.729	0.410	0.500
rhythm	isigqi	0.771	0.759	0.573
rhythmic	isigqi	0.714	0.642	0.664
rhythmical	isisindo	0.844	0.694	0.632
rib	imbambo	0.490	0.349	0.351
ribbed	ugibele	0.365	0.378	0.409
ribbon	ibhoni	0.719	0.288	0.357
rice	ilayisi	0.667	0.208	0.330
rich	ocebileyo	0.882	0.627	0.905
riches	ingcebo	0.958	0.694	0.880
richness	ukuceba	0.896	0.833	0.922
rick	rick	0.459	0.420	0.444
rickety	ukukhwabanisa	0.224	0.402	0.241
rickshaw	i-rickshaw	0.438	0.594	0.402
ricochet	i-ricochet	0.287	0.618	0.430
rid	susa	0.194	0.408	0.327
riddance	ukuqeda	0.323	0.562	0.472
riddle	imfumbe	0.521	0.583	0.543
riddled	i-riddled	0.281	0.861	0.422
ride	ukugibela	0.806	0.465	0.472
rider	umgibeli	0.635	0.627	0.574
ridge	i-ridge	0.484	0.402	0.349
ridicule	ukuhleka usulu	0.143	0.745	0.255
ridiculed	behlekwa usulu	0.112	0.806	0.212
ridiculous	ihlazo	0.159	0.594	0.245
riding	ukugibela	0.694	0.654	0.620
rife	siphelile	0.570	0.561	0.692
riff	i-riff	0.521	0.551	0.343
riffraff	i-riffraff	0.360	0.404	0.397
rifle	isibhamu	0.329	0.900	0.718
rifleman	isibhamu	0.245	0.863	0.767
rifles	izibhamu	0.337	0.864	0.765
rift	ukuqhuma	0.246	0.519	0.289
rig	rig	0.542	0.382	0.746
rigged	ugijime	0.188	0.510	0.412
rigging	ukuphanga	0.510	0.518	0.440
right	kwesokudla	0.740	0.352	0.710
righteous	ulungile	0.823	0.385	0.790
righteousness	ukulunga	0.802	0.660	0.897
rightful	kufanelekile	0.837	0.358	0.821
rightly	ngokufanele	0.740	0.471	0.782
righty	kulungile	0.750	0.314	0.786
rigid	eqinile	0.357	0.552	0.591
rigidity	ukuqina	0.198	0.530	0.726
rigor	ukukhwabanisa	0.375	0.745	0.713
rigorous	okunamandla	0.438	0.818	0.847
rim	umsizi	0.510	0.397	0.302
rind	rind	0.542	0.280	0.491
ring	ring	0.677	0.427	0.464
ringer	i-ringer	0.573	0.604	0.347
ringing	ukukhala	0.724	0.598	0.693
ringleader	umlingisi	0.520	0.550	0.640
ringmaster	i-ringmaster	0.630	0.622	0.732
ringside	i-ringside	0.500	0.644	0.411
rink	rink	0.551	0.392	0.392
rinse	hlambulula	0.663	0.168	0.409
riot	isiyaluyalu	0.061	0.946	0.586
rioting	ukuphanga	0.156	0.949	0.560
riotous	ehlekisayo	0.163	0.837	0.588
riots	izimpikiswano	0.099	0.882	0.564
rip	ukuvuthwa	0.146	0.676	0.365
riparian	isizwe	0.552	0.408	0.412
ripe	evuthiwe	0.671	0.337	0.670
ripen	uvuthwe	0.755	0.373	0.671
ripening	ukuvuthwa	0.615	0.490	0.759
ripper	i-ripper	0.219	0.887	0.642
ripple	ukuqhuma	0.500	0.453	0.370
rippling	ukuxokozela	0.500	0.480	0.327
rise	ukuvuka	0.667	0.593	0.745
rising	ukuphakama	0.750	0.602	0.696
risk	ingozi	0.240	0.816	0.438
risky	ingozi	0.224	0.922	0.700
risotto	i-risotto	0.802	0.454	0.234
rite	umkhosi	0.378	0.570	0.606
ritual	isiko	0.375	0.520	0.508
ritualistic	amasiko	0.450	0.583	0.540
rival	umlingani	0.286	0.605	0.574
rivalry	ukuphikisana	0.192	0.765	0.538
river	umfula	0.688	0.392	0.605
riverbank	udonga lomfula	0.684	0.300	0.330
riverbed	umfula	0.610	0.233	0.421
riverboat	isikebhe somfula	0.561	0.347	0.462
rivet	rivet	0.458	0.306	0.405
riveted	kukhishwe	0.385	0.439	0.443
riveting	riveting	0.448	0.544	0.394
roach	roach	0.146	0.598	0.259
road	umgwaqo	0.656	0.404	0.404
roadblock	ibhuloho	0.337	0.669	0.490
roadhouse	umgwaqo	0.500	0.620	0.458
roadie	i-roadie	0.500	0.566	0.455
roadrage	NO TRANSLATION	0.458	0.567	0.565
roadrunner	i-roadrunner	0.490	0.702	0.590
roads	imigwaqo	0.677	0.448	0.496
roadside	umgwaqo	0.500	0.569	0.472
roadster	i-roadster	0.531	0.622	0.473
roadtrip	uhambo lomgwaqo	0.677	0.596	0.519
roadway	umgwaqo	0.562	0.206	0.509
roadworks	emigwaqweni	0.562	0.538	0.509
roam	hamba	0.510	0.550	0.444
roar	bhonga	0.427	0.816	0.675
roaring	ukukhala	0.449	0.817	0.634
roast	ukugosa	0.521	0.541	0.311
roasted	egosiwe	0.615	0.520	0.339
rob	phanga	0.112	0.840	0.500
robber	umphangi	0.135	0.772	0.481
robbery	ukuphanga	0.133	0.843	0.435
robe	ingubo	0.594	0.216	0.298
robin	i-robin	0.552	0.363	0.393
robot	i-robot	0.441	0.337	0.543
robotic	i-robotic	0.417	0.602	0.657
robotics	i-robotics	0.592	0.600	0.763
robust	okuqinile	0.667	0.604	0.719
roc	i-roc	0.427	0.510	0.415
rock	idwala	0.623	0.236	0.557
rocker	rocker	0.615	0.704	0.625
rocket	i-rocket	0.664	0.824	0.774
rocks	amatshe	0.365	0.209	0.543
rod	induku	0.479	0.319	0.355
rodent	i-rodent	0.323	0.577	0.279
rodeo	rodeo	0.490	0.676	0.588
roe	roe	0.490	0.382	0.398
rogue	lukhulu	0.334	0.713	0.636
role	indima	0.552	0.260	0.464
roll	roll	0.469	0.510	0.172
roller	i-roller	0.521	0.394	0.345
rollercoaster	ukushintsashintsa	0.802	0.910	0.651
rollers	ama rollers	0.490	0.365	0.336
rollicking	i-rollicking	0.878	0.806	0.552
rolling	ukugoqa	0.510	0.606	0.321
roman	i-roman	0.615	0.475	0.639
romance	uthando	0.980	0.682	0.587
romantic	uthando	0.936	0.531	0.598
romanticism	romanticism	0.854	0.521	0.593
romp	romp	0.610	0.640	0.417
roof	uphahla	0.602	0.226	0.342
rooftop	uphahla	0.571	0.471	0.461
rook	ugijima	0.380	0.400	0.510
rookie	i-rookie	0.583	0.370	0.198
room	igumbi	0.729	0.283	0.445
roomful	okuncane	0.786	0.425	0.634
roommate	uhlala naye	0.750	0.481	0.480
rooms	amakamelo	0.677	0.241	0.386
roomy	ekhululekile	0.760	0.342	0.736
roost	indawo	0.500	0.410	0.345
rooster	iqhude	0.459	0.385	0.275
root	impande	0.602	0.279	0.508
root beer	impande yobhiya	0.582	0.520	0.415
rooted	zigxilile	0.510	0.527	0.718
rope	intambo	0.385	0.280	0.345
ropes	izintambo	0.458	0.304	0.402
rosary	rosari	0.806	0.140	0.430
rose	wavuka	0.865	0.276	0.386
rosemary	i-rosemary	0.688	0.381	0.425
rosette	i-rosette	0.469	0.410	0.310
roster	uhlu	0.531	0.306	0.381
rosy	ngijabule	0.940	0.528	0.755
rot	ukubola	0.031	0.558	0.301
rota	i-rota	0.320	0.462	0.209
rotary	rotary	0.573	0.462	0.528
rotate	phenduka	0.458	0.470	0.492
rotation	ukujikeleza	0.670	0.520	0.550
rote	rote	0.561	0.481	0.696
rotor	i-rotor	0.500	0.458	0.404
rotten	ebolile	0.104	0.590	0.327
rotting	ukubola	0.188	0.462	0.255
rotunda	i-rotunda	0.500	0.464	0.393
rouge	rouge	0.562	0.400	0.382
rough	okubi	0.406	0.794	0.632
roughly	cishe	0.448	0.539	0.463
roughneck	i-roughneck	0.323	0.640	0.491
roughness	ukuhlukumezeka	0.214	0.578	0.490
roulette	roulette	0.326	0.690	0.422
round	nxazonke	0.552	0.434	0.311
roundabout	nxazonke	0.490	0.425	0.495
rounded	zizonke	0.592	0.391	0.396
roundup	nxazonke	0.520	0.580	0.474
rouse	vuka	0.521	0.490	0.463
rouser	ukuvusa	0.480	0.540	0.423
rousing	kuvusa	0.714	0.517	0.692
rout	umzila	0.163	0.625	0.233
route	umzila	0.583	0.353	0.518
routine	isimiso	0.365	0.219	0.333
rove	uhambe	0.457	0.400	0.400
rover	i-rover	0.510	0.538	0.421
roving	ukuhamba	0.583	0.442	0.491
row	umugqa	0.427	0.275	0.406
rowboat	i-rowboat	0.455	0.393	0.353
rowdy	i-rowdy	0.255	0.900	0.518
rowing	ukudubula	0.458	0.443	0.467
royal	ubukhosi	0.796	0.430	0.759
royalty	ubukhosi	0.832	0.571	0.833
rub	gubha	0.521	0.565	0.400
rubber	irayibha	0.460	0.217	0.315
rubbers	ama-rubber	0.604	0.360	0.414
rubbing	ukuxubha	0.406	0.569	0.440
rubbish	udoti	0.198	0.454	0.164
rubble	imfucumfucu	0.308	0.509	0.289
rubdown	i-rubdown	0.561	0.491	0.404
rubric	i-rubrikhi	0.427	0.260	0.500
ruby	i-ruby	0.663	0.408	0.544
ruckus	ruckus	0.271	0.706	0.411
rudder	ukuhamba	0.439	0.469	0.509
ruddy	bukhuni	0.490	0.630	0.395
rude	ihlukumeza	0.061	0.821	0.402
rudeness	ubuqili	0.280	0.819	0.692
rudimentary	i-rudimentary	0.286	0.321	0.509
rudiments	ama-rudiments	0.385	0.520	0.373
rue	rue	0.323	0.394	0.246
rueful	gcoba	0.173	0.429	0.225
ruff	i-ruff	0.365	0.510	0.375
ruffian	abahlukumezayo	0.130	0.824	0.463
ruffle	siphelile	0.443	0.561	0.518
rug	ibhola	0.520	0.240	0.245
rugby	i-rugby	0.677	0.820	0.708
rugged	enamandla	0.561	0.569	0.793
ruin	incithakalo	0.125	0.588	0.192
ruination	ukubhujiswa	0.184	0.582	0.209
ruined	yonakalisiwe	0.135	0.564	0.194
ruinous	owonakalisayo	0.255	0.690	0.275
ruins	ukubhujiswa	0.250	0.490	0.248
rule	ukubusa	0.567	0.427	0.593
ruler	umbusi	0.440	0.400	0.631
ruling	ebusa	0.177	0.566	0.410
rum	iramu	0.561	0.377	0.451
rumba	rumba	0.781	0.827	0.615
rumble	rumble	0.367	0.745	0.613
rummage	ukuvota	0.243	0.615	0.289
rumor	amahemuhemu	0.255	0.582	0.282
rumored	amahemuhemu	0.427	0.604	0.318
rump	i-rump	0.449	0.425	0.396
rumpus	i-rumpus	0.448	0.531	0.422
run	run	0.542	0.787	0.543
runaround	i-runaround	0.448	0.519	0.349
runaway	baleka	0.271	0.770	0.402
rundown	i-rundown	0.520	0.296	0.465
runes	runes	0.438	0.300	0.304
rung	rung	0.510	0.355	0.368
runner	umgijimi	0.459	0.747	0.632
running	egijima	0.730	0.858	0.442
running shoes	izicathulo ezigijima	0.653	0.573	0.491
runny	runny	0.540	0.439	0.325
runt	NO TRANSLATION	0.370	0.500	0.445
runway	umgwaqo	0.585	0.373	0.406
rupture	ukuphuka	0.125	0.633	0.430
rural	zasemakhaya	0.562	0.245	0.408
ruse	NO TRANSLATION	0.531	0.640	0.546
rush	ukuphuthuma	0.406	0.809	0.546
rushing	ukuphuthuma	0.398	0.821	0.529
rust	ukugqwala	0.281	0.265	0.321
rusted	ushisiwe	0.286	0.357	0.302
rustic	rustic	0.369	0.657	0.491
rustle	i-rustle	0.333	0.538	0.394
rustler	i-rustler	0.281	0.830	0.429
rusty	ukugqwala	0.271	0.345	0.231
rut	rut	0.333	0.310	0.392
ruth	ruth	0.469	0.427	0.444
ruthless	unonya	0.208	0.850	0.670
rye	rye	0.490	0.298	0.411
sabbatical	sabbatical	0.771	0.240	0.427
saber	NO TRANSLATION	0.551	0.620	0.553
sable	umhlabathi	0.449	0.596	0.500
sabotage	isabatha	0.135	0.906	0.500
saboteur	i-saboteur	0.250	0.804	0.407
sac	sac	0.344	0.245	0.226
sack	isaka	0.385	0.337	0.264
sacrament	isakramente	0.690	0.316	0.700
sacred	engcwele	0.833	0.375	0.862
sacrifice	umhlatshelo	0.208	0.833	0.534
sacrifices	imihlatshelo	0.281	0.717	0.538
sacrificial	umhlatshelo	0.198	0.755	0.452
sacrilege	umhlatshelo	0.281	0.708	0.491
sacrilegious	ukuhlambalaza	0.146	0.736	0.449
sad	buhlungu	0.225	0.333	0.149
sadday	NO TRANSLATION	0.520	0.418	0.411
saddens	saddens	0.104	0.436	0.144
saddle	i-saddle	0.510	0.509	0.306
sadist	i-sadist	0.042	0.918	0.500
sadistic	i-sadistic	0.031	0.906	0.618
sadly	ngokudabukisayo	0.047	0.255	0.216
sadness	ukudabuka	0.052	0.288	0.164
safari	safari	0.663	0.673	0.640
safe	ephephile	0.898	0.306	0.759
safeguard	qapha	0.786	0.624	0.700
safekeeping	ukulondeka	0.653	0.510	0.586
safety	ukuphepha	0.708	0.491	0.868
saffron	i-safari	0.443	0.373	0.349
sag	sag	0.153	0.578	0.445
saga	saga	0.635	0.440	0.600
sage	sage	0.781	0.327	0.693
saggy	saggy	0.370	0.429	0.300
sail	umkhumbi	0.615	0.220	0.325
sailboat	isikebhe	0.719	0.392	0.381
sailing	ukuhamba ngomkhumbi	0.667	0.520	0.500
sailor	umkhumbi	0.500	0.588	0.500
saint	isanta	0.812	0.240	0.693
sainted	isanta	0.708	0.296	0.676
saintly	ingcwele	0.865	0.286	0.591
sake	ngenxa	0.490	0.573	0.407
salad	isaladi	0.750	0.260	0.307
salamander	umlayezo	0.410	0.362	0.309
salami	i-Salami	0.667	0.360	0.339
salary	umholo	0.786	0.480	0.652
sale	ukudayiswa	0.647	0.602	0.573
salesgirl	umthengisi	0.582	0.490	0.605
salesman	umthengisi	0.643	0.559	0.664
salient	salient	0.600	0.573	0.702
saline	saline	0.430	0.340	0.385
saliva	amathe	0.214	0.265	0.236
sally	sally	0.604	0.390	0.451
salmon	uhlobo lwenhlanzi	0.760	0.250	0.444
salmonella	i-salmonella	0.167	0.608	0.312
salon	salon	0.531	0.296	0.463
saloon	saloon	0.630	0.300	0.364
salsa	salsa	0.742	0.500	0.370
salt	usawoti	0.323	0.312	0.306
salted	usawoti	0.333	0.400	0.304
saltwater	Amanzi kasawoti	0.327	0.330	0.364
salty	usawoti	0.388	0.531	0.288
salutary	salutary	0.885	0.360	0.686
salutation	salutation	0.878	0.417	0.500
salute	salute	0.833	0.542	0.681
salvage	salvage	0.622	0.510	0.832
salvation	insindiso	0.857	0.480	0.800
salve	salve	0.612	0.390	0.500
samba	samba	0.781	0.740	0.465
sameness	sameness	0.531	0.330	0.484
sample	isampula	0.521	0.187	0.452
samurai	ama-Samurai	0.562	0.736	0.838
sanatorium	sanatorium	0.469	0.490	0.491
sanctification	ukungcweliswa	0.770	0.431	0.816
sanctified	ngcwelisiwe	0.792	0.240	0.612
sanctify	ngcwelisa	0.673	0.443	0.783
sanctimonious	ngcwelisa	0.240	0.365	0.327
sanction	isigwebo	0.201	0.750	0.517
sanctioned	ijeziswe	0.323	0.696	0.391
sanctity	ubungcwele	0.771	0.330	0.628
sanctuary	indawo engcwele	0.863	0.226	0.575
sanctum	i-sanctum	0.521	0.438	0.657
sand	isihlabathi	0.582	0.279	0.304
sandal	sandal	0.490	0.283	0.333
sandbox	i-sandbox	0.573	0.274	0.264
sander	sander	0.438	0.580	0.445
sandman	sandman	0.479	0.469	0.388
sandpaper	sandpaper	0.417	0.425	0.404
sands	izihlabathi	0.646	0.304	0.377
sandstorm	isihlabathi	0.324	0.821	0.629
sandwich	sandwich	0.672	0.314	0.310
sandy	isihlabathi	0.406	0.265	0.296
sane	sane	0.760	0.235	0.670
sanguine	sanguine	0.520	0.560	0.545
sanitarium	i-sanitarium	0.448	0.645	0.570
sanitary	ihlanzekile	0.458	0.320	0.425
sanitation	ukungcola	0.742	0.312	0.500
sanity	i-sanity	0.667	0.333	0.655
sans	NO TRANSLATION	0.459	0.294	0.246
santa	santa	0.735	0.286	0.509
sap	sisha	0.470	0.298	0.258
sapiens	i-sapiens	0.480	0.453	0.584
sapphire	isafire	0.770	0.472	0.651
sappy	sappy	0.583	0.469	0.330
sarcasm	ukucasula	0.125	0.685	0.346
sarcastic	sarcastic	0.397	0.781	0.298
sarcoma	i-sarcoma	0.260	0.519	0.402
sarcophagus	sarcophagus	0.271	0.561	0.435
sardine	i-sardine	0.541	0.236	0.236
sardonic	i-sardonic	0.208	0.679	0.446
sarsaparilla	sarsaparilla	0.542	0.488	0.345
sash	sash	0.480	0.298	0.333
sashimi	sashimi	0.704	0.310	0.359
sassafras	sassafras	0.469	0.388	0.471
sassy	sassy	0.271	0.704	0.320
satanic	uSathane	0.062	0.843	0.720
satchel	satchel	0.521	0.306	0.345
sate	NO TRANSLATION	0.667	0.400	0.472
satellite	satellite	0.562	0.409	0.764
satin	satin	0.519	0.396	0.481
satire	ukulinganisa	0.458	0.655	0.472
satirical	satirical	0.323	0.615	0.538
satisfaction	ukwaneliseka	0.939	0.637	0.673
satisfactorily	okwanelisayo	0.765	0.570	0.802
satisfactory	okwanelisayo	0.959	0.569	0.702
satisfied	unelisekile	0.959	0.510	0.685
satisfy	anelise	0.867	0.790	0.705
satisfying	okwanelisayo	0.890	0.606	0.814
saturate	gcwalisa	0.281	0.680	0.467
saturated	igcwele	0.474	0.700	0.442
saturation	ukugcwalisa	0.255	0.582	0.583
satyr	satyr	0.280	0.639	0.500
sauce	i-sauce	0.562	0.515	0.288
saucepan	iphoyisa	0.347	0.264	0.321
saucer	isoso	0.510	0.327	0.337
saucy	i-saucy	0.250	0.653	0.391
sauerkraut	NO TRANSLATION	0.531	0.454	0.336
sauna	i-sauna	0.781	0.350	0.455
sausage	isoseji	0.542	0.429	0.300
savage	inhlanhla	0.204	0.931	0.605
savagery	ukuhlukumezeka	0.219	0.907	0.711
savanna	i-savanna	0.606	0.147	0.394
savannah	i-savanna	0.729	0.212	0.309
savant	savant	0.781	0.451	0.818
save	londoloza	0.770	0.439	0.682
saver	umsindisi	0.745	0.382	0.802
saving	ukusindisa	0.663	0.230	0.621
savings	ukulondoloza	0.776	0.431	0.608
savior	umsindisi	0.920	0.469	0.804
savor	ukunambitheka	0.827	0.552	0.526
savory	i-savory	0.812	0.717	0.619
savvy	savvy	0.719	0.520	0.706
saw	wabona	0.316	0.541	0.518
sawdust	sawdust	0.398	0.279	0.241
sawmill	i-sawmill	0.427	0.378	0.434
sax	i-sax	0.573	0.465	0.409
saxophone	i-saxophone	0.688	0.444	0.482
say	ngithi	0.571	0.310	0.482
sayonara	NO TRANSLATION	0.560	0.398	0.402
scab	isikhumba	0.354	0.330	0.272
scabbard	isikhala	0.325	0.219	0.217
scaffold	scaffold	0.480	0.500	0.336
