Word	Tagalog (Filipino)-tl	Valence	Arousal	Dominance
scarier	scarier	0.156	0.846	0.472
scariest	scariest	0.167	0.863	0.538
scarlet	iskarlata	0.507	0.390	0.411
scary	nakakatakot	0.062	0.952	0.528
scat	pagsabog	0.337	0.548	0.409
scatter	magkalat	0.229	0.620	0.404
scattered	nakakalat	0.208	0.380	0.238
scattering	scattering	0.347	0.550	0.394
scavenger	scavenger	0.177	0.578	0.408
scenario	sitwasyon	0.667	0.510	0.683
scene	eksena	0.570	0.340	0.578
scenery	tanawin	0.745	0.253	0.592
scenic	nakamamanghang	0.684	0.548	0.756
scent	pabango	0.633	0.410	0.491
scented	mabango	0.865	0.509	0.431
scepter	setro	0.630	0.300	0.670
sceptical	may pag-aalinlangan	0.214	0.387	0.466
scepticism	pag-aalinlangan	0.292	0.444	0.550
schadenfreude	schadenfreude	0.354	0.640	0.463
schedule	iskedyul	0.510	0.380	0.480
schematic	eskematiko	0.490	0.284	0.647
scheme	pamamaraan	0.521	0.269	0.577
schilling	schilling	0.367	0.410	0.418
schism	pagkakahati-hati	0.280	0.569	0.386
schizophrenia	skisoprenya	0.092	0.880	0.435
schizophrenic	schizophrenic	0.102	0.958	0.433
schlep	schlep	0.302	0.426	0.382
schmuck	NO TRANSLATION	0.363	0.412	0.375
schnapps	schnapps	0.583	0.567	0.417
schnitzel	schnitzel	0.365	0.430	0.382
scholar	iskolar	0.694	0.421	0.731
scholarly	mag-aaral	0.750	0.466	0.709
scholarship	scholarship	0.866	0.490	0.625
scholastic	eskolastiko	0.500	0.470	0.491
school	paaralan	0.765	0.423	0.633
schoolboy	schoolboy	0.623	0.385	0.441
schoolgirl	mag-aaral	0.760	0.521	0.415
schoolhouse	schoolhouse	0.602	0.407	0.672
schooling	pag-aaral	0.582	0.462	0.640
schoolmaster	guro	0.667	0.368	0.852
schoolteacher	NO TRANSLATION	0.521	0.380	0.632
schoolwork	gawain sa paaralan	0.479	0.500	0.481
schoolyard	schoolyard	0.684	0.529	0.440
schooner	skuner	0.635	0.408	0.427
sciatica	Sciatica	0.286	0.443	0.393
science	agham	0.588	0.429	0.741
scientific	siyentipiko	0.653	0.510	0.836
scientist	siyentipiko	0.562	0.500	0.790
scifi	scifi	0.592	0.570	0.394
scintilla	NO TRANSLATION	0.476	0.528	0.385
scintillating	kumikislap	0.650	0.736	0.612
scintillation	pagkislap	0.576	0.579	0.573
scintillator	scintillator	0.583	0.670	0.510
scion	scion	0.490	0.380	0.451
scissors	gunting	0.458	0.462	0.302
scoff	panunuya	0.125	0.686	0.306
scold	pagalitan	0.194	0.755	0.626
scolding	pagbasura	0.071	0.833	0.417
scone	scone	0.418	0.287	0.229
scoop	maglimas	0.583	0.543	0.640
scoot	scoot	0.510	0.490	0.412
scooter	iskuter	0.510	0.587	0.371
scope	saklaw	0.656	0.386	0.718
scorch	paputok	0.214	0.689	0.491
scorching	scorching	0.406	0.635	0.464
score	puntos	0.670	0.388	0.589
scoreboard	scoreboard	0.667	0.484	0.472
scorer	anotador	0.730	0.608	0.764
scores	puntos	0.594	0.469	0.629
scorn	uyam	0.110	0.721	0.356
scorned	kinamuhian	0.062	0.529	0.226
scornful	maitim	0.173	0.608	0.368
scorpion	alakdan	0.198	0.745	0.600
scotch	scotch	0.578	0.520	0.615
scoundrel	pandaraya	0.094	0.740	0.412
scour	maglinis	0.388	0.602	0.632
scourge	hampas	0.214	0.640	0.302
scout	tagamanman	0.656	0.611	0.763
scowl	umagaw	0.302	0.600	0.413
scrabble	kudlit	0.625	0.412	0.399
scram	scram	0.306	0.485	0.409
scramble	pag-aagawan	0.469	0.744	0.500
scrambled	pinirituhan	0.451	0.535	0.539
scrambler	scrambler	0.417	0.550	0.444
scrambling	scrambling	0.421	0.810	0.731
scrap	scrap	0.156	0.339	0.173
scrapbook	scrapbook	0.562	0.274	0.432
scrape	simutin	0.365	0.615	0.384
scrapie	scrapie	0.306	0.706	0.231
scraping	nag-scrape	0.265	0.479	0.305
scrappy	scrappy	0.301	0.375	0.406
scratch	scratch	0.276	0.625	0.270
scratchy	scratchy	0.235	0.610	0.436
scrawny	scrawny	0.276	0.422	0.245
scream	mapahiyaw	0.188	0.863	0.594
screamer	screamer	0.156	0.670	0.392
screaming	magaralgal	0.245	0.901	0.460
screech	screech	0.214	0.802	0.306
screen	screen	0.670	0.300	0.417
screening	screening	0.562	0.570	0.709
screenplay	senaryo	0.500	0.406	0.518
screenwriter	tagasulat ng senaryo	0.571	0.500	0.712
screw	tornilyo	0.385	0.460	0.377
screwball	screwball	0.271	0.680	0.505
screwdriver	birador	0.520	0.519	0.439
screwed	screwed	0.302	0.520	0.464
screwy	malaswa	0.344	0.596	0.450
screwyou	NO TRANSLATION	0.260	0.647	0.509
scribble	sumulat ng sulat	0.429	0.453	0.358
scribe	eskriba	0.541	0.264	0.491
scrimmage	pag-aaway	0.367	0.660	0.411
scrip	scrip	0.430	0.462	0.455
script	script	0.610	0.450	0.527
scriptural	banal na kasulatan	0.551	0.250	0.596
scripture	banal na kasulatan	0.745	0.270	0.630
scroll	scroll	0.375	0.630	0.409
scrotum	scrotum	0.396	0.653	0.361
scrounge	scrounge	0.210	0.565	0.397
scrounger	scrounger	0.323	0.490	0.358
scrub	scrub	0.417	0.420	0.500
scruffy	magulo	0.194	0.435	0.176
scrumptious	maningning	0.959	0.650	0.566
scrupulous	maingat	0.545	0.685	0.602
scrutinize	siyasating mabuti	0.458	0.587	0.573
scrutiny	pagsisiyasat	0.500	0.653	0.658
scuba	scuba	0.542	0.494	0.456
scuff	pagwaksi	0.165	0.560	0.376
scuffle	magwasak	0.146	0.800	0.529
scullery	scullery	0.469	0.337	0.353
sculptor	iskultor	0.653	0.431	0.694
sculpture	iskultura	0.750	0.346	0.490
sculptured	nililok	0.708	0.373	0.557
scum	kapa	0.357	0.380	0.218
scumbag	scumbag	0.240	0.591	0.278
scurry	pagyurak	0.398	0.647	0.509
scurvy	scurvy	0.354	0.462	0.312
scuttle	scuttle	0.438	0.398	0.430
sea	dagat	0.833	0.353	0.589
seaboard	seaboard	0.663	0.356	0.507
seafood	seafood	0.656	0.500	0.328
seagull	seagull	0.635	0.245	0.314
seal	selyo	0.490	0.218	0.518
seals	mga seal	0.412	0.241	0.402
seam	tahi	0.427	0.250	0.414
seaman	seaman	0.520	0.510	0.672
seamless	walang tahi	0.459	0.140	0.302
seamstress	tagapagtanggol	0.535	0.288	0.389
seaport	daungan	0.594	0.317	0.491
sear	sear	0.490	0.553	0.600
search	maghanap	0.635	0.580	0.462
searching	paghahanap	0.534	0.657	0.466
searchlight	searchlight	0.622	0.510	0.552
seared	seared	0.229	0.410	0.398
seashore	sa baybayin	0.796	0.310	0.375
seasick	dagat	0.115	0.683	0.245
seaside	seaside	0.887	0.520	0.508
season	panahon	0.792	0.410	0.519
seasonal	pana-panahon	0.592	0.273	0.305
seasoned	napapanahong	0.812	0.570	0.509
seasoning	pampalasa	0.633	0.388	0.479
seat	upuan	0.542	0.281	0.434
seatbelt	seatbelt	0.656	0.314	0.726
seating	upuan	0.552	0.265	0.286
seawater	seawater	0.760	0.197	0.491
seaweed	damong-dagat	0.446	0.286	0.382
sec	segundo	0.490	0.385	0.380
secession	paghihiwalay	0.323	0.561	0.509
secluded	liblib	0.357	0.265	0.240
seclusion	pag-iisa	0.230	0.558	0.505
second	pangalawa	0.490	0.210	0.250
second cousin	pangalawang pinsan	0.698	0.360	0.441
secondary	pangalawang	0.636	0.375	0.260
secondhand	pangalawang kamay	0.194	0.389	0.283
secrecy	lihim	0.294	0.549	0.475
secret	lihim	0.479	0.580	0.509
secretariat	secretariat	0.518	0.459	0.597
secretary	kalihim	0.612	0.426	0.561
secrete	mag-ipit	0.427	0.567	0.518
secretion	pagtatago	0.354	0.582	0.529
secretive	lihim	0.390	0.250	0.538
secretly	lihim	0.525	0.404	0.479
sect	sekta	0.265	0.667	0.526
sectarian	pangkatin	0.260	0.606	0.517
section	seksyon	0.500	0.269	0.421
sectional	sectional	0.427	0.415	0.464
sector	sektor	0.594	0.190	0.569
secular	walang kaugnayan sa relihiyon	0.463	0.461	0.520
secularism	sekularismo	0.367	0.440	0.559
secure	ligtas	0.844	0.380	0.914
securities	mga mahalagang papel	0.750	0.304	0.852
security	seguridad	0.837	0.360	0.821
sedan	NO TRANSLATION	0.480	0.423	0.680
sedate	tahimik	0.656	0.157	0.345
sedation	pagpapatahimik	0.510	0.270	0.398
sedative	gamot na pampaginhawa	0.314	0.273	0.352
sedentary	laging nakaupo	0.292	0.185	0.273
sedge	sedge	0.406	0.396	0.339
sediment	sediment	0.438	0.306	0.372
sedimentary	sedimentary	0.398	0.265	0.500
sedition	sedisyon	0.327	0.557	0.591
seduce	akitin	0.462	0.864	0.689
seducer	seducer	0.704	0.812	0.775
seducing	pagdadalamhati	0.569	0.794	0.708
seduction	pang-aakit	0.510	0.891	0.618
seductive	kaakit-akit	0.771	0.821	0.667
see	tingnan	0.635	0.269	0.312
seed	binhi	0.656	0.135	0.306
seedling	punla	0.406	0.343	0.423
seeds	buto	0.731	0.269	0.418
seedy	mabutihin	0.229	0.390	0.325
seek	Hanapin	0.622	0.429	0.482
seeker	seeker	0.646	0.464	0.553
seem	tila	0.471	0.302	0.298
seemingly	tila	0.490	0.410	0.356
seer	tagakita	0.604	0.481	0.740
seesaw	seesaw	0.570	0.559	0.410
seething	nakakagulo	0.312	0.821	0.642
segment	segment	0.469	0.290	0.440
segregate	ihiwalay	0.290	0.627	0.440
segregated	ibinukod	0.164	0.575	0.411
segregation	paghihiwalay	0.302	0.545	0.390
seismic	seismic	0.323	0.925	0.578
seize	sakupin	0.656	0.644	0.673
seizure	seizure	0.177	0.775	0.462
seldom	bihira	0.323	0.379	0.287
select	piliin	0.615	0.406	0.602
selection	pagpili	0.594	0.340	0.595
selective	pumipili	0.612	0.347	0.706
selectman	selectman	0.552	0.547	0.609
selenium	siliniyum	0.469	0.408	0.336
self	sarili	0.704	0.370	0.500
selfharm	NO TRANSLATION	0.350	0.620	0.407
selfish	makasarili	0.061	0.637	0.495
selfishness	pagkamakasarili	0.200	0.686	0.453
selfless	walang pag-iimbot	0.521	0.235	0.396
selflove	NO TRANSLATION	0.854	0.630	0.661
selfworth	NO TRANSLATION	0.704	0.460	0.594
sell	ibenta	0.618	0.608	0.605
seller	nagbebenta	0.635	0.471	0.635
sellout	sellout	0.398	0.490	0.465
seltzer	seltzer	0.448	0.452	0.406
semantics	semantika	0.698	0.394	0.569
semaphore	semaporo	0.552	0.374	0.598
semblance	pagkamalikhain	0.500	0.471	0.442
semen	tabod	0.500	0.755	0.471
semester	semestre	0.521	0.327	0.482
semi	semi	0.296	0.345	0.304
semiautomatic	NO TRANSLATION	0.469	0.510	0.522
semicolon	semicolon	0.378	0.255	0.318
seminal	matagumpay	0.459	0.413	0.566
seminar	seminar	0.583	0.360	0.623
seminary	seminaryo	0.594	0.367	0.589
semiotics	semiotika	0.449	0.417	0.596
senate	senado	0.490	0.349	0.836
senator	senador	0.391	0.422	0.821
send	magpadala	0.663	0.480	0.537
sender	nagpadala	0.542	0.449	0.509
senescence	senescence	0.378	0.456	0.394
senile	senile	0.280	0.211	0.305
senior	senior	0.561	0.415	0.536
seniority	katandaan	0.408	0.427	0.602
senor	senor	0.527	0.217	0.630
senorita	senorita	0.765	0.550	0.500
sensation	panlasa	0.781	0.663	0.673
sensational	kagila-gilalas	0.938	0.827	0.858
sense	pakiramdam	0.781	0.417	0.474
senseless	walang saysay	0.125	0.388	0.136
senses	pandama	0.740	0.461	0.693
sensibility	pakiramdam	0.583	0.423	0.448
sensible	makabuluhang	0.625	0.454	0.312
sensibly	marunong	0.786	0.337	0.396
sensitive	sensitibo	0.714	0.426	0.254
sensitivity	pagkamapagdamdam	0.750	0.417	0.395
sensor	sensor	0.571	0.377	0.542
sensory	pandama	0.583	0.480	0.442
sensual	animal	0.730	0.790	0.642
sensuality	kahalayan	0.844	0.840	0.632
sensuous	sensuous	0.854	0.798	0.625
sentence	pangungusap	0.625	0.265	0.548
sentencing	sentencing	0.120	0.782	0.561
sentient	nararamdaman	0.583	0.417	0.363
sentiment	damdamin	0.765	0.451	0.639
sentimental	sentimental	0.583	0.378	0.312
sentimentality	sentimentalidad	0.771	0.548	0.319
sentinel	sentinel	0.531	0.602	0.845
sentry	sentry	0.470	0.547	0.684
separable	maaaring hiwalay	0.469	0.390	0.368
separate	hiwalay	0.240	0.514	0.349
separately	hiwalay	0.310	0.365	0.368
separation	paghihiwalay	0.198	0.592	0.409
separatist	separatista	0.245	0.627	0.537
sepia	sepya	0.448	0.270	0.345
sepsis	sepsis	0.229	0.452	0.327
sept	sept	0.521	0.333	0.361
septic	septic	0.281	0.462	0.425
septum	septum	0.276	0.423	0.410
sequel	sumunod na pangyayari	0.650	0.480	0.574
sequence	pagkakasunud-sunod	0.543	0.350	0.529
sequent	sunud-sunod	0.531	0.423	0.591
sequestered	napinsala	0.160	0.863	0.427
sequestration	pagsamsam	0.177	0.860	0.500
serenade	serenade	0.875	0.570	0.491
serendipity	serendipity	0.677	0.413	0.500
serene	tahimik	0.802	0.132	0.370
serenity	katahimikan	0.900	0.122	0.557
sergeant	sarhento	0.408	0.600	0.833
serial	serial	0.469	0.350	0.472
serialize	serialize	0.500	0.455	0.593
series	serye	0.622	0.431	0.420
serif	serif	0.531	0.417	0.415
serious	seryoso	0.500	0.455	0.619
seriousness	kabigatan	0.439	0.365	0.750
sermon	sermon	0.417	0.507	0.615
serpent	ahas	0.115	0.696	0.679
serpentine	serpentine	0.576	0.646	0.329
serrated	may ngipin	0.388	0.435	0.418
serum	suwero	0.520	0.231	0.443
servant	lingkod	0.340	0.408	0.331
serve	maglingkod	0.622	0.400	0.384
server	server	0.656	0.356	0.536
service	serbisyo	0.684	0.408	0.535
serviceable	kanais-nais	0.834	0.400	0.684
servile	alipin	0.439	0.327	0.415
servitude	pagkaalipin	0.250	0.490	0.250
sesame	linga	0.673	0.250	0.382
sess	NO TRANSLATION	0.418	0.481	0.411
session	session	0.510	0.481	0.491
sessions	mga sesyon	0.646	0.578	0.650
set	itakda	0.521	0.482	0.630
setback	pag-urong	0.198	0.451	0.250
sett	NO TRANSLATION	0.560	0.413	0.500
setter	setter	0.541	0.455	0.473
settle	tumira	0.833	0.520	0.772
settled	nanirahan	0.521	0.510	0.473
settlement	kasunduan	0.635	0.412	0.723
settler	settler	0.573	0.453	0.519
settlor	settlor	0.531	0.434	0.534
setup	setup	0.667	0.398	0.635
seven	pitong	0.672	0.265	0.373
seventeen	labimpito	0.585	0.296	0.321
seventh	ikapitong	0.500	0.245	0.288
seventy	pitumpu	0.625	0.353	0.446
sever	putulin	0.156	0.635	0.451
severable	severable	0.406	0.451	0.398
severally	severally	0.719	0.298	0.600
severance	pagkaputol	0.396	0.620	0.541
severe	malubhang	0.164	0.735	0.635
severely	malubha	0.219	0.673	0.700
severity	kalubhaan	0.260	0.712	0.661
sew	tumahi	0.510	0.340	0.340
sewage	dumi sa alkantarilya	0.255	0.343	0.339
sewer	paagusan	0.286	0.367	0.282
sewerage	alkantarilya	0.208	0.450	0.198
sewing	pananahi	0.625	0.337	0.356
sex	kasarian	0.803	0.939	0.704
sexist	sexist	0.255	0.798	0.411
sexual	sekswal	0.584	0.959	0.640
sexuality	sekswalidad	0.670	0.898	0.657
sexy	sexy	0.865	0.945	0.802
shabby	shabby	0.235	0.519	0.259
shack	kubo	0.396	0.425	0.339
shackle	shackle	0.276	0.580	0.414
shade	lilim	0.388	0.265	0.278
shades	shades	0.490	0.300	0.380
shading	pagtatabing	0.420	0.324	0.318
shadow	anino	0.302	0.343	0.158
shadowy	malabo	0.135	0.373	0.330
shady	makulimlim	0.323	0.509	0.375
shaft	baras	0.549	0.275	0.472
shag	shag	0.417	0.462	0.340
shaggy	mabuhok	0.510	0.302	0.321
shake	iling	0.439	0.689	0.539
shakedown	shakedown	0.286	0.692	0.481
shaken	inalog	0.344	0.657	0.333
shaker	shaker	0.520	0.728	0.518
shaking	pagkakalog	0.275	0.849	0.255
shaky	nanginginig	0.260	0.734	0.223
shall	Dapat	0.510	0.385	0.412
shallow	mababaw	0.427	0.298	0.351
shallows	shallows	0.388	0.368	0.368
sham	pagkukunwari	0.354	0.602	0.395
shaman	shaman	0.490	0.531	0.604
shambles	shambles	0.271	0.696	0.287
shame	kahihiyan	0.060	0.670	0.155
shamed	shamed	0.135	0.567	0.218
shameful	kahiya-hiya	0.040	0.680	0.264
shameless	walang hiya	0.274	0.713	0.407
shampoo	shampoo	0.604	0.180	0.250
shanghai	shanghai	0.551	0.450	0.509
shank	paa	0.530	0.393	0.286
shanty	shanty	0.427	0.459	0.255
shape	Hugis	0.592	0.240	0.422
shapely	may magandang isip	0.771	0.441	0.830
shard	shard	0.388	0.407	0.426
share	ibahagi	0.759	0.548	0.545
shareholder	shareholder	0.656	0.632	0.915
sharing	pagbabahagi	0.827	0.462	0.545
shark	pating	0.260	0.845	0.596
sharp	matalim	0.459	0.585	0.585
sharpen	patalasin	0.582	0.694	0.611
sharpened	Pinalalabas	0.573	0.647	0.727
sharpener	hawakan	0.532	0.435	0.327
sharpness	katalinuhan	0.729	0.385	0.653
sharpshooter	mabuting tagasubaybay	0.240	0.929	0.764
shatter	basagin	0.108	0.821	0.464
shattered	nabura	0.097	0.806	0.309
shattering	mapanira	0.135	0.760	0.475
shave	mag-ahit	0.521	0.410	0.480
shaver	shaver	0.418	0.450	0.392
shaving	pag-ahit	0.500	0.469	0.353
shawl	alampay	0.720	0.365	0.230
sheaf	sheaf	0.396	0.387	0.456
shear	gupitin	0.286	0.647	0.388
shears	gunting	0.429	0.527	0.254
sheath	upak	0.460	0.314	0.342
sheathing	sheathing	0.378	0.480	0.642
shed	malaglag	0.427	0.402	0.470
sheen	sheen	0.812	0.510	0.712
sheep	tupa	0.604	0.206	0.161
sheepdog	sheepdog	0.684	0.442	0.529
sheepish	tawa	0.326	0.441	0.205
sheer	manipis na manipis	0.604	0.250	0.481
sheet	sheet	0.439	0.174	0.302
sheik	sheik	0.521	0.579	0.708
shelf	istante	0.561	0.202	0.366
shell	shell	0.615	0.408	0.391
shellfish	molusko	0.594	0.412	0.393
shelling	paghihimay	0.337	0.917	0.773
shelter	silungan	0.704	0.229	0.569
sheltered	lukob	0.590	0.377	0.717
shelters	Tirahan	0.582	0.333	0.482
shelved	ipinagpaliban	0.306	0.166	0.321
shepherd	pastol	0.656	0.304	0.610
sherbet	sherbet	0.592	0.363	0.348
sheriff	serip	0.602	0.541	0.802
sherry	sherry	0.594	0.477	0.315
shield	kalasag	0.510	0.373	0.663
shift	shift	0.479	0.610	0.491
shifting	nagbabago	0.518	0.548	0.546
shifty	mabigat	0.365	0.687	0.483
shilling	shilling	0.521	0.342	0.430
shimmer	shimmer	0.745	0.562	0.656
shimmering	shimmering	0.844	0.648	0.904
shimmy	shimmy	0.478	0.476	0.462
shin	shin	0.459	0.500	0.231
shindig	shindig	0.552	0.560	0.491
shine	lumiwanag	0.844	0.539	0.741
shiner	shiner	0.740	0.510	0.556
shingle	shingle	0.510	0.200	0.410
shining	nagniningning	0.885	0.673	0.812
shiny	makintab	0.885	0.604	0.787
ship	barko	0.646	0.500	0.439
shipment	kargamento	0.582	0.440	0.452
shipping	Pagpapadala	0.622	0.327	0.443
shipshape	shipshape	0.594	0.480	0.474
shipwreck	pagkawasak ng barko	0.268	0.768	0.373
shipyard	pagawaan ng barko	0.398	0.583	0.595
shire	shire	0.479	0.257	0.609
shirt	shirt	0.698	0.186	0.231
shit	shit	0.000	0.678	0.294
shitday	NO TRANSLATION	0.281	0.658	0.390
shitfaced	shitfaced	0.214	0.695	0.380
shithead	shithead	0.120	0.645	0.302
shitless	shitless	0.271	0.545	0.333
shitload	shitload	0.020	0.606	0.161
shittest	NO TRANSLATION	0.076	0.673	0.232
shitty	shitty	0.020	0.679	0.163
shiver	manginig	0.260	0.765	0.236
shivering	Nanginginig	0.122	0.663	0.373
shoals	shoals	0.396	0.408	0.375
shock	shock	0.286	0.821	0.453
shocked	shocked	0.292	0.773	0.375
shocker	masayang-masaya	0.235	0.804	0.616
shocking	kagulat-gulat	0.378	0.853	0.833
shockingly	kagulat-gulat	0.510	0.924	0.721
shoddy	mura	0.082	0.463	0.179
shoe	sapatos	0.517	0.225	0.288
shoelace	sapatos	0.396	0.280	0.307
shoemaker	sapatero	0.396	0.269	0.491
shoes	sapatos	0.729	0.324	0.210
shoeshine	shoeshine	0.392	0.387	0.325
shook	shook	0.163	0.759	0.509
shoot	shoot	0.092	0.926	0.625
shooter	tagabaril	0.224	0.814	0.774
shooting	pagbaril	0.276	0.931	0.602
shootout	shootout	0.080	0.927	0.615
shop	tindahan	0.725	0.632	0.565
shopkeeper	tindero	0.677	0.510	0.730
shoplifter	shoplifter	0.167	0.830	0.500
shoplifting	pag-shoplifting	0.152	0.833	0.441
shopper	tagabili	0.646	0.615	0.741
shopping	pamimili	0.915	0.445	0.630
shore	baybayin	0.542	0.304	0.204
shoreline	baybayin	0.677	0.296	0.529
shorn	shorn	0.396	0.415	0.400
short	maikli	0.184	0.264	0.237
short story	maikling kwento	0.697	0.321	0.348
shortage	kakulangan	0.094	0.455	0.198
shortcake	shortcake	0.677	0.359	0.398
shortcoming	kakulangan	0.195	0.370	0.258
shortcut	shortcut	0.594	0.308	0.426
shorten	paikliin	0.302	0.382	0.460
shortening	pagpapaikli	0.286	0.333	0.385
shorthand	pagkakasalin	0.459	0.450	0.461
shortly	sa ilang sandali	0.582	0.310	0.360
shortness	kakulangan	0.459	0.280	0.272
shorts	shorts	0.622	0.481	0.287
shortstop	shortstop	0.418	0.529	0.450
shortwave	maikling alon	0.460	0.271	0.368
shot	pagbaril	0.144	0.750	0.569
shotgun	shotgun	0.200	0.868	0.684
shoulder	balikat	0.562	0.286	0.406
shout	sumigaw	0.229	0.925	0.444
shove	tulak	0.306	0.690	0.602
shovel	pala	0.427	0.308	0.267
shoveling	shoveling	0.265	0.620	0.537
show	ipakita	0.673	0.771	0.719
showbiz	showbiz	0.661	0.713	0.598
showboat	showboat	0.618	0.625	0.509
showcase	showcase	0.521	0.255	0.415
showdown	showdown	0.302	0.950	0.692
shower	shower	0.669	0.346	0.336
showgirl	showgirl	0.633	0.694	0.481
showing	nagpapakita	0.622	0.540	0.491
showoff	showoff	0.344	0.598	0.463
showroom	showroom	0.740	0.441	0.536
showy	mapagpasikat	0.698	0.657	0.661
shrapnel	shrapnel	0.240	0.740	0.681
shred	maliit na pilas	0.224	0.750	0.627
shrew	shrew	0.306	0.463	0.390
shrewd	matalino	0.551	0.673	0.816
shriek	sumigaw	0.459	0.827	0.491
shrill	matunaw	0.312	0.721	0.640
shrimp	hipon	0.571	0.361	0.425
shrine	dambana	0.802	0.255	0.574
shrink	pag-urong	0.385	0.453	0.272
shrinking	pag-urong	0.190	0.400	0.217
shrivel	shrivel	0.160	0.409	0.143
shroud	shroud	0.417	0.457	0.389
shrub	palumpong	0.531	0.340	0.340
shrubbery	palumpong	0.490	0.267	0.332
shrug	umiwas	0.208	0.296	0.278
shrunk	lumubog	0.163	0.354	0.218
shrunken	bumagsak	0.500	0.373	0.221
shudder	Pagkaligalig	0.344	0.791	0.559
shuddering	shuddering	0.302	0.802	0.638
shuffle	shuffle	0.459	0.450	0.556
shuffleboard	shuffleboard	0.531	0.459	0.377
shuffling	shuffling	0.521	0.408	0.293
shun	iwasan	0.418	0.604	0.389
shunned	shunned	0.271	0.464	0.367
shunt	maglipat	0.312	0.500	0.470
shut	sarhan	0.240	0.352	0.311
shutdown	shutdown	0.173	0.367	0.418
shuteye	NO TRANSLATION	0.521	0.430	0.431
shutit	NO TRANSLATION	0.281	0.442	0.480
shutter	shutter	0.191	0.380	0.482
shuttle	shuttle	0.531	0.591	0.547
shutup	NO TRANSLATION	0.333	0.560	0.491
shy	mahiyain	0.280	0.153	0.132
shyness	pagkamahiyain	0.312	0.265	0.246
shyster	shyster	0.292	0.567	0.424
sib	NO TRANSLATION	0.698	0.298	0.593
sibling	kapatid	0.857	0.340	0.636
sic	tama	0.370	0.459	0.380
sick	may sakit	0.104	0.431	0.136
sickbay	sickbay	0.296	0.510	0.345
sicken	sicken	0.051	0.500	0.294
sickening	nakakasakit	0.074	0.618	0.259
sickle	karit	0.427	0.585	0.370
sickly	masama	0.188	0.550	0.191
sickness	sakit	0.094	0.704	0.288
side	gilid	0.439	0.288	0.395
sidearm	sidearm	0.410	0.474	0.500
sidebar	sidebar	0.469	0.364	0.405
sideboard	sideboard	0.590	0.259	0.426
sideburns	sideburns	0.777	0.327	0.308
sidecar	sidecar	0.552	0.449	0.500
sidekick	matalik na kaibigan	0.602	0.439	0.509
sideline	sideline	0.440	0.382	0.517
sideshow	hindi kapani-paniwala	0.458	0.594	0.658
sidestep	umalis	0.378	0.559	0.407
sidewalk	sidewalk	0.479	0.192	0.348
sideways	patagilid	0.788	0.245	0.291
sidewinder	sidewinder	0.500	0.500	0.439
siege	pagkubkob	0.271	0.750	0.567
siesta	siesta	0.740	0.046	0.295
sieve	salaan	0.459	0.250	0.333
sift	salain	0.542	0.412	0.461
sifting	sifting	0.571	0.469	0.474
sigh	hininga	0.469	0.387	0.273
sight	paningin	0.684	0.250	0.528
sighting	sighting	0.582	0.560	0.627
sightseeing	pagliliwaliw	0.875	0.552	0.697
sigma	sigma	0.490	0.472	0.535
sign	tanda	0.620	0.481	0.397
signal	signal	0.615	0.417	0.464
signature	lagda	0.570	0.422	0.657
significance	kabuluhan	0.820	0.460	0.644
significant	makabuluhang	0.827	0.649	0.786
signification	signification	0.583	0.337	0.530
signify	magpahiwatig	0.453	0.422	0.634
signpost	signpost	0.510	0.400	0.446
silence	katahimikan	0.438	0.200	0.223
silencer	silencer	0.417	0.356	0.482
silent	tahimik	0.469	0.125	0.280
silently	tahimik	0.448	0.185	0.306
silhouette	silweta	0.582	0.410	0.288
silicon	silikon	0.439	0.448	0.445
silicone	silicone	0.480	0.340	0.333
silk	sutla	0.760	0.115	0.300
silken	silken	0.730	0.265	0.394
silky	silky	0.802	0.397	0.271
sill	sill	0.433	0.375	0.324
silliness	kalokohan	0.327	0.368	0.192
silly	hangal	0.384	0.349	0.161
silo	silo	0.400	0.365	0.357
silt	silt	0.510	0.269	0.200
silver	pilak	0.684	0.451	0.615
silverware	pilak	0.663	0.365	0.409
silvery	kulay-pilak	0.543	0.460	0.517
similar	katulad	0.562	0.250	0.423
similarity	pagkakatulad	0.729	0.255	0.518
simile	NO TRANSLATION	0.615	0.363	0.464
simmer	kumulo	0.650	0.293	0.393
simmering	simmering	0.382	0.613	0.412
simple	simple	0.653	0.130	0.314
simples	NO TRANSLATION	0.724	0.240	0.263
simpleton	simple	0.429	0.144	0.358
simplicity	simple	0.667	0.250	0.337
simplify	pasimplehin	0.565	0.347	0.602
simplistic	simple	0.490	0.245	0.391
simply	lamang	0.535	0.148	0.393
simulate	gayahin	0.551	0.375	0.417
simulated	kunwa	0.500	0.461	0.356
simulating	simulating	0.552	0.462	0.481
simulation	simulation	0.552	0.574	0.567
simulator	simulator	0.677	0.559	0.583
simultaneous	sabay-sabay	0.691	0.577	0.554
simultaneously	sabay-sabay	0.656	0.490	0.609
sin	NO TRANSLATION	0.177	0.712	0.449
sincere	taos-puso	0.918	0.265	0.725
sincerity	katapatan	0.908	0.351	0.686
sinful	makasalanan	0.143	0.788	0.417
sing	kumanta	0.858	0.606	0.420
singer	mang-aawit	0.802	0.735	0.628
singing	kumanta	0.885	0.594	0.528
single	solong	0.291	0.354	0.259
singly	isa-isa	0.553	0.354	0.466
singular	isahan	0.610	0.302	0.482
singularity	pagkakatulad	0.582	0.348	0.654
singularly	singularly	0.571	0.330	0.527
