Word	Galician-gl	Valence	Arousal	Dominance
robot	robot	0.441	0.337	0.543
robotic	robótica	0.417	0.602	0.657
robotics	robótica	0.592	0.600	0.763
robust	robusto	0.667	0.604	0.719
roc	roc	0.427	0.510	0.415
rock	rock	0.623	0.236	0.557
rocker	rockeiro	0.615	0.704	0.625
rocket	foguete	0.664	0.824	0.774
rocks	rocas	0.365	0.209	0.543
rod	vara	0.479	0.319	0.355
rodent	roedor	0.323	0.577	0.279
rodeo	rodeo	0.490	0.676	0.588
roe	ovos	0.490	0.382	0.398
rogue	canalla	0.334	0.713	0.636
role	papel	0.552	0.260	0.464
roll	rolo	0.469	0.510	0.172
roller	rolo	0.521	0.394	0.345
rollercoaster	montaña rusa	0.802	0.910	0.651
rollers	rolos	0.490	0.365	0.336
rollicking	rollicking	0.878	0.806	0.552
rolling	rodando	0.510	0.606	0.321
roman	romano	0.615	0.475	0.639
romance	romance	0.980	0.682	0.587
romantic	romántico	0.936	0.531	0.598
romanticism	romanticismo	0.854	0.521	0.593
romp	romp	0.610	0.640	0.417
roof	tellado	0.602	0.226	0.342
rooftop	azotea	0.571	0.471	0.461
rook	rook	0.380	0.400	0.510
rookie	novato	0.583	0.370	0.198
room	sala	0.729	0.283	0.445
roomful	espazos	0.786	0.425	0.634
roommate	compañeiro de cuarto	0.750	0.481	0.480
rooms	cuartos	0.677	0.241	0.386
roomy	espazos	0.760	0.342	0.736
roost	roost	0.500	0.410	0.345
rooster	galo	0.459	0.385	0.275
root	raíz	0.602	0.279	0.508
root beer	cervexa de raíz	0.582	0.520	0.415
rooted	rooteado	0.510	0.527	0.718
rope	corda	0.385	0.280	0.345
ropes	cordas	0.458	0.304	0.402
rosary	rosario	0.806	0.140	0.430
rose	rosa	0.865	0.276	0.386
rosemary	romeu	0.688	0.381	0.425
rosette	roseta	0.469	0.410	0.310
roster	listaxe	0.531	0.306	0.381
rosy	rosado	0.940	0.528	0.755
rot	podremia	0.031	0.558	0.301
rota	rota	0.320	0.462	0.209
rotary	rotativo	0.573	0.462	0.528
rotate	xirar	0.458	0.470	0.492
rotation	rotación	0.670	0.520	0.550
rote	rote	0.561	0.481	0.696
rotor	rotor	0.500	0.458	0.404
rotten	podrido	0.104	0.590	0.327
rotting	podrido	0.188	0.462	0.255
rotunda	rotunda	0.500	0.464	0.393
rouge	rouge	0.562	0.400	0.382
rough	bruto	0.406	0.794	0.632
roughly	aproximadamente	0.448	0.539	0.463
roughneck	áspero	0.323	0.640	0.491
roughness	rugosidade	0.214	0.578	0.490
roulette	ruleta	0.326	0.690	0.422
round	redondo	0.552	0.434	0.311
roundabout	rotonda	0.490	0.425	0.495
rounded	redondeado	0.592	0.391	0.396
roundup	resumo	0.520	0.580	0.474
rouse	rouse	0.521	0.490	0.463
rouser	rouser	0.480	0.540	0.423
rousing	rousing	0.714	0.517	0.692
rout	rout	0.163	0.625	0.233
route	ruta	0.583	0.353	0.518
routine	rutina	0.365	0.219	0.333
rove	rove	0.457	0.400	0.400
rover	rover	0.510	0.538	0.421
roving	roving	0.583	0.442	0.491
row	fila	0.427	0.275	0.406
rowboat	barco de remos	0.455	0.393	0.353
rowdy	asustado	0.255	0.900	0.518
rowing	remo	0.458	0.443	0.467
royal	real	0.796	0.430	0.759
royalty	realeza	0.832	0.571	0.833
rub	fregar	0.521	0.565	0.400
rubber	goma	0.460	0.217	0.315
rubbers	gomas	0.604	0.360	0.414
rubbing	fricción	0.406	0.569	0.440
rubbish	lixo	0.198	0.454	0.164
rubble	escombros	0.308	0.509	0.289
rubdown	rubdown	0.561	0.491	0.404
rubric	rúbrica	0.427	0.260	0.500
ruby	rubí	0.663	0.408	0.544
ruckus	ruckus	0.271	0.706	0.411
rudder	timón	0.439	0.469	0.509
ruddy	ruddy	0.490	0.630	0.395
rude	groseiro	0.061	0.821	0.402
rudeness	grosería	0.280	0.819	0.692
rudimentary	rudimentario	0.286	0.321	0.509
rudiments	rudimentos	0.385	0.520	0.373
rue	rue	0.323	0.394	0.246
rueful	triste	0.173	0.429	0.225
ruff	ruff	0.365	0.510	0.375
ruffian	rufian	0.130	0.824	0.463
ruffle	ruffle	0.443	0.561	0.518
rug	alfombra	0.520	0.240	0.245
rugby	rugby	0.677	0.820	0.708
rugged	accidentado	0.561	0.569	0.793
ruin	ruína	0.125	0.588	0.192
ruination	ruína	0.184	0.582	0.209
ruined	en ruínas	0.135	0.564	0.194
ruinous	ruinoso	0.255	0.690	0.275
ruins	ruínas	0.250	0.490	0.248
rule	regra	0.567	0.427	0.593
ruler	regra	0.440	0.400	0.631
ruling	decisión	0.177	0.566	0.410
rum	ron	0.561	0.377	0.451
rumba	Rumba	0.781	0.827	0.615
rumble	Rumble	0.367	0.745	0.613
rummage	rebuscar	0.243	0.615	0.289
rumor	rumor	0.255	0.582	0.282
rumored	rumores	0.427	0.604	0.318
rump	tronco	0.449	0.425	0.396
rumpus	rumpus	0.448	0.531	0.422
run	correr	0.542	0.787	0.543
runaround	runaround	0.448	0.519	0.349
runaway	Fuxe	0.271	0.770	0.402
rundown	atropelar	0.520	0.296	0.465
runes	runas	0.438	0.300	0.304
rung	Escota	0.510	0.355	0.368
runner	corredor	0.459	0.747	0.632
running	correndo	0.730	0.858	0.442
running shoes	calzado deportivo	0.653	0.573	0.491
runny	escorrido	0.540	0.439	0.325
runt	NO TRANSLATION	0.370	0.500	0.445
runway	pista de aterrizaje	0.585	0.373	0.406
rupture	ruptura	0.125	0.633	0.430
rural	rural	0.562	0.245	0.408
ruse	NO TRANSLATION	0.531	0.640	0.546
rush	precipitarse	0.406	0.809	0.546
rushing	correndo	0.398	0.821	0.529
rust	ferruxe	0.281	0.265	0.321
rusted	ferrugem	0.286	0.357	0.302
rustic	rústico	0.369	0.657	0.491
rustle	ruxido	0.333	0.538	0.394
rustler	roedor	0.281	0.830	0.429
rusty	oxidado	0.271	0.345	0.231
rut	rut	0.333	0.310	0.392
ruth	ruth	0.469	0.427	0.444
ruthless	desapiadado	0.208	0.850	0.670
rye	centeo	0.490	0.298	0.411
sabbatical	sabático	0.771	0.240	0.427
saber	NO TRANSLATION	0.551	0.620	0.553
sable	sable	0.449	0.596	0.500
sabotage	sabotaxe	0.135	0.906	0.500
saboteur	saboteador	0.250	0.804	0.407
sac	saco	0.344	0.245	0.226
sack	saco	0.385	0.337	0.264
sacrament	sacramento	0.690	0.316	0.700
sacred	sagrado	0.833	0.375	0.862
sacrifice	sacrificio	0.208	0.833	0.534
sacrifices	sacrificios	0.281	0.717	0.538
sacrificial	sacrificio	0.198	0.755	0.452
sacrilege	sacrilegio	0.281	0.708	0.491
sacrilegious	sacrilegiosos	0.146	0.736	0.449
sad	triste	0.225	0.333	0.149
sadday	NO TRANSLATION	0.520	0.418	0.411
saddens	entristece	0.104	0.436	0.144
saddle	sela	0.510	0.509	0.306
sadist	sádico	0.042	0.918	0.500
sadistic	sádico	0.031	0.906	0.618
sadly	por desgraza	0.047	0.255	0.216
sadness	tristeza	0.052	0.288	0.164
safari	safari	0.663	0.673	0.640
safe	seguro	0.898	0.306	0.759
safeguard	salvagardar	0.786	0.624	0.700
safekeeping	custodia	0.653	0.510	0.586
safety	seguridade	0.708	0.491	0.868
saffron	azafrán	0.443	0.373	0.349
sag	sag	0.153	0.578	0.445
saga	saga	0.635	0.440	0.600
sage	sabio	0.781	0.327	0.693
saggy	saggy	0.370	0.429	0.300
sail	vela	0.615	0.220	0.325
sailboat	veleiro	0.719	0.392	0.381
sailing	vela	0.667	0.520	0.500
sailor	mariñeiro	0.500	0.588	0.500
saint	santo	0.812	0.240	0.693
sainted	santificado	0.708	0.296	0.676
saintly	santo	0.865	0.286	0.591
sake	ben	0.490	0.573	0.407
salad	ensalada	0.750	0.260	0.307
salamander	salamandra	0.410	0.362	0.309
salami	salame	0.667	0.360	0.339
salary	salario	0.786	0.480	0.652
sale	venda	0.647	0.602	0.573
salesgirl	vendedora	0.582	0.490	0.605
salesman	vendedor	0.643	0.559	0.664
salient	saliente	0.600	0.573	0.702
saline	salina	0.430	0.340	0.385
saliva	saliva	0.214	0.265	0.236
sally	sally	0.604	0.390	0.451
salmon	salmón	0.760	0.250	0.444
salmonella	salmonela	0.167	0.608	0.312
salon	salon	0.531	0.296	0.463
saloon	salón	0.630	0.300	0.364
salsa	salsa	0.742	0.500	0.370
salt	sal	0.323	0.312	0.306
salted	salgado	0.333	0.400	0.304
saltwater	auga salgada	0.327	0.330	0.364
salty	salgado	0.388	0.531	0.288
salutary	saludable	0.885	0.360	0.686
salutation	saúdo	0.878	0.417	0.500
salute	saúde	0.833	0.542	0.681
salvage	salvamento	0.622	0.510	0.832
salvation	salvación	0.857	0.480	0.800
salve	salve	0.612	0.390	0.500
samba	samba	0.781	0.740	0.465
sameness	semeness	0.531	0.330	0.484
sample	mostra	0.521	0.187	0.452
samurai	samurái	0.562	0.736	0.838
sanatorium	sanatorio	0.469	0.490	0.491
sanctification	santificación	0.770	0.431	0.816
sanctified	santificado	0.792	0.240	0.612
sanctify	santificar	0.673	0.443	0.783
sanctimonious	sanctimonious	0.240	0.365	0.327
sanction	sanción	0.201	0.750	0.517
sanctioned	sancionado	0.323	0.696	0.391
sanctity	santidade	0.771	0.330	0.628
sanctuary	santuario	0.863	0.226	0.575
sanctum	sanctum	0.521	0.438	0.657
sand	area	0.582	0.279	0.304
sandal	sandalia	0.490	0.283	0.333
sandbox	caixa de area	0.573	0.274	0.264
sander	lixadeira	0.438	0.580	0.445
sandman	sandman	0.479	0.469	0.388
sandpaper	lixa	0.417	0.425	0.404
sands	area	0.646	0.304	0.377
sandstorm	tormenta de area	0.324	0.821	0.629
sandwich	sándwich	0.672	0.314	0.310
sandy	area	0.406	0.265	0.296
sane	ben	0.760	0.235	0.670
sanguine	sanguina	0.520	0.560	0.545
sanitarium	sanatorio	0.448	0.645	0.570
sanitary	sanitarios	0.458	0.320	0.425
sanitation	saneamento	0.742	0.312	0.500
sanity	sanidade	0.667	0.333	0.655
sans	NO TRANSLATION	0.459	0.294	0.246
santa	santa	0.735	0.286	0.509
sap	sap	0.470	0.298	0.258
sapiens	sapiens	0.480	0.453	0.584
sapphire	safira	0.770	0.472	0.651
sappy	triste	0.583	0.469	0.330
sarcasm	sarcasmo	0.125	0.685	0.346
sarcastic	sarcástico	0.397	0.781	0.298
sarcoma	sarcoma	0.260	0.519	0.402
sarcophagus	sarcófago	0.271	0.561	0.435
sardine	sardiña	0.541	0.236	0.236
sardonic	sardónico	0.208	0.679	0.446
sarsaparilla	zarzuela	0.542	0.488	0.345
sash	bandexa	0.480	0.298	0.333
sashimi	sashimi	0.704	0.310	0.359
sassafras	sassafras	0.469	0.388	0.471
sassy	descarada	0.271	0.704	0.320
satanic	satánico	0.062	0.843	0.720
satchel	cartón	0.521	0.306	0.345
sate	NO TRANSLATION	0.667	0.400	0.472
satellite	satélite	0.562	0.409	0.764
satin	cetim	0.519	0.396	0.481
satire	sátira	0.458	0.655	0.472
satirical	satírico	0.323	0.615	0.538
satisfaction	satisfacción	0.939	0.637	0.673
satisfactorily	satisfactoriamente	0.765	0.570	0.802
satisfactory	satisfactorio	0.959	0.569	0.702
satisfied	satisfeito	0.959	0.510	0.685
satisfy	satisfacer	0.867	0.790	0.705
satisfying	satisfacer	0.890	0.606	0.814
saturate	saturar	0.281	0.680	0.467
saturated	saturado	0.474	0.700	0.442
saturation	saturación	0.255	0.582	0.583
satyr	sátiro	0.280	0.639	0.500
sauce	salsa	0.562	0.515	0.288
saucepan	cacerola	0.347	0.264	0.321
saucer	prato	0.510	0.327	0.337
saucy	saucy	0.250	0.653	0.391
sauerkraut	chucrut	0.531	0.454	0.336
sauna	sauna	0.781	0.350	0.455
sausage	salchicha	0.542	0.429	0.300
savage	salvaxe	0.204	0.931	0.605
savagery	salvaxismo	0.219	0.907	0.711
savanna	sabana	0.606	0.147	0.394
savannah	sabana	0.729	0.212	0.309
savant	sabia	0.781	0.451	0.818
save	gardar	0.770	0.439	0.682
saver	aforro	0.745	0.382	0.802
saving	aforrar	0.663	0.230	0.621
savings	aforro	0.776	0.431	0.608
savior	salvador	0.920	0.469	0.804
savor	saborear	0.827	0.552	0.526
savory	sabroso	0.812	0.717	0.619
savvy	intelixente	0.719	0.520	0.706
saw	viu	0.316	0.541	0.518
sawdust	serrín	0.398	0.279	0.241
sawmill	aserradero	0.427	0.378	0.434
sax	saxo	0.573	0.465	0.409
saxophone	saxofon	0.688	0.444	0.482
say	dicir	0.571	0.310	0.482
sayonara	NO TRANSLATION	0.560	0.398	0.402
scab	costela	0.354	0.330	0.272
scabbard	vaina	0.325	0.219	0.217
scaffold	Andamio	0.480	0.500	0.336
scaffolding	estadas	0.496	0.366	0.545
scalding	escaldado	0.271	0.540	0.381
scale	escala	0.310	0.350	0.577
scales	escalas	0.439	0.330	0.491
scallop	vieira	0.490	0.363	0.331
scalp	coiro cabeludo	0.347	0.346	0.302
scalpel	bisturí	0.302	0.700	0.482
scaly	escamosa	0.281	0.481	0.358
scam	estafa	0.042	0.745	0.418
scamp	scamp	0.458	0.464	0.371
scampi	scampi	0.531	0.448	0.224
scan	escaneo	0.479	0.423	0.470
scandal	escándalo	0.122	0.821	0.557
scandalous	escandalosa	0.135	0.907	0.556
scanner	escáner	0.531	0.356	0.567
scanty	escasas	0.287	0.333	0.127
scape	escena	0.290	0.625	0.536
scapegoat	chivo expiatorio	0.184	0.685	0.481
scar	cicatriz	0.146	0.500	0.397
scarab	escarabajo	0.406	0.458	0.267
scarce	escasos	0.292	0.324	0.218
scarcely	apenas	0.082	0.412	0.160
scarcity	escaseza	0.167	0.500	0.182
scare	asustar	0.122	0.910	0.264
scarecrow	espantapájaros	0.219	0.274	0.349
scared	asustado	0.146	0.828	0.185
scares	asusta	0.122	0.847	0.386
scarf	bufanda	0.750	0.224	0.224
scarier	máis asustado	0.156	0.846	0.472
scariest	máis asustado	0.167	0.863	0.538
scarlet	escarlata	0.507	0.390	0.411
scary	asustado	0.062	0.952	0.528
scat	scat	0.337	0.548	0.409
scatter	dispersión	0.229	0.620	0.404
scattered	dispersos	0.208	0.380	0.238
scattering	dispersión	0.347	0.550	0.394
scavenger	scavenger	0.177	0.578	0.408
scenario	escenario	0.667	0.510	0.683
scene	escena	0.570	0.340	0.578
scenery	escenografía	0.745	0.253	0.592
scenic	escénico	0.684	0.548	0.756
scent	perfume	0.633	0.410	0.491
scented	perfumado	0.865	0.509	0.431
scepter	cetro	0.630	0.300	0.670
sceptical	escéptico	0.214	0.387	0.466
scepticism	escepticismo	0.292	0.444	0.550
schadenfreude	schadenfreude	0.354	0.640	0.463
schedule	calendario	0.510	0.380	0.480
schematic	esquemático	0.490	0.284	0.647
scheme	esquema	0.521	0.269	0.577
schilling	schilling	0.367	0.410	0.418
schism	cisma	0.280	0.569	0.386
schizophrenia	esquizofrenia	0.092	0.880	0.435
schizophrenic	esquizofrénico	0.102	0.958	0.433
schlep	schlep	0.302	0.426	0.382
schmuck	NO TRANSLATION	0.363	0.412	0.375
schnapps	schnapps	0.583	0.567	0.417
schnitzel	schnitzel	0.365	0.430	0.382
scholar	erudito	0.694	0.421	0.731
scholarly	académico	0.750	0.466	0.709
scholarship	beca	0.866	0.490	0.625
scholastic	escolar	0.500	0.470	0.491
school	escola	0.765	0.423	0.633
schoolboy	colega	0.623	0.385	0.441
schoolgirl	colegiala	0.760	0.521	0.415
schoolhouse	escola escolar	0.602	0.407	0.672
schooling	escolaridade	0.582	0.462	0.640
schoolmaster	mestre de escola	0.667	0.368	0.852
schoolteacher	NO TRANSLATION	0.521	0.380	0.632
schoolwork	traballo da escola	0.479	0.500	0.481
schoolyard	patio escolar	0.684	0.529	0.440
schooner	goleta	0.635	0.408	0.427
sciatica	ciática	0.286	0.443	0.393
science	ciencia	0.588	0.429	0.741
scientific	científico	0.653	0.510	0.836
scientist	científica	0.562	0.500	0.790
scifi	scifi	0.592	0.570	0.394
scintilla	NO TRANSLATION	0.476	0.528	0.385
scintillating	escintilante	0.650	0.736	0.612
scintillation	escintileo	0.576	0.579	0.573
scintillator	escintilador	0.583	0.670	0.510
scion	scion	0.490	0.380	0.451
scissors	tesoiras	0.458	0.462	0.302
scoff	escoitar	0.125	0.686	0.306
scold	reprender	0.194	0.755	0.626
scolding	reputación	0.071	0.833	0.417
scone	Scone	0.418	0.287	0.229
scoop	culler	0.583	0.543	0.640
scoot	scoot	0.510	0.490	0.412
scooter	scooter	0.510	0.587	0.371
scope	alcance	0.656	0.386	0.718
scorch	escorch	0.214	0.689	0.491
scorching	escaldante	0.406	0.635	0.464
score	puntuación	0.670	0.388	0.589
scoreboard	marcador	0.667	0.484	0.472
scorer	anotador	0.730	0.608	0.764
scores	puntuacións	0.594	0.469	0.629
scorn	desprezo	0.110	0.721	0.356
scorned	desprezado	0.062	0.529	0.226
scornful	desprezador	0.173	0.608	0.368
scorpion	escorpión	0.198	0.745	0.600
scotch	escocés	0.578	0.520	0.615
scoundrel	canalla	0.094	0.740	0.412
scour	escorrer	0.388	0.602	0.632
scourge	flaxelo	0.214	0.640	0.302
scout	explorador	0.656	0.611	0.763
scowl	brillo	0.302	0.600	0.413
scrabble	scrabble	0.625	0.412	0.399
scram	scram	0.306	0.485	0.409
scramble	pelexar	0.469	0.744	0.500
scrambled	revoltos	0.451	0.535	0.539
scrambler	arrancador	0.417	0.550	0.444
scrambling	loitando	0.421	0.810	0.731
scrap	chatarra	0.156	0.339	0.173
scrapbook	libro de recortes	0.562	0.274	0.432
scrape	raspar	0.365	0.615	0.384
scrapie	scrapie	0.306	0.706	0.231
scraping	raspado	0.265	0.479	0.305
scrappy	descortés	0.301	0.375	0.406
scratch	cero	0.276	0.625	0.270
scratchy	raspado	0.235	0.610	0.436
scrawny	raspado	0.276	0.422	0.245
scream	gritar	0.188	0.863	0.594
screamer	grito	0.156	0.670	0.392
screaming	gritando	0.245	0.901	0.460
screech	chillar	0.214	0.802	0.306
screen	pantalla	0.670	0.300	0.417
screening	cribado	0.562	0.570	0.709
screenplay	guión	0.500	0.406	0.518
screenwriter	guionista	0.571	0.500	0.712
screw	parafuso	0.385	0.460	0.377
screwball	chave de fenda	0.271	0.680	0.505
screwdriver	destornillador	0.520	0.519	0.439
screwed	atornillado	0.302	0.520	0.464
screwy	atornillado	0.344	0.596	0.450
screwyou	NO TRANSLATION	0.260	0.647	0.509
scribble	garabato	0.429	0.453	0.358
scribe	escriba	0.541	0.264	0.491
scrimmage	scrimmage	0.367	0.660	0.411
scrip	scrip	0.430	0.462	0.455
script	script	0.610	0.450	0.527
scriptural	escritural	0.551	0.250	0.596
scripture	Escritura	0.745	0.270	0.630
scroll	desprazamento	0.375	0.630	0.409
scrotum	escroto	0.396	0.653	0.361
scrounge	scrounge	0.210	0.565	0.397
scrounger	scrounger	0.323	0.490	0.358
scrub	esfregar	0.417	0.420	0.500
scruffy	asustado	0.194	0.435	0.176
scrumptious	delicioso	0.959	0.650	0.566
scrupulous	escrupuloso	0.545	0.685	0.602
scrutinize	escudriñar	0.458	0.587	0.573
scrutiny	escrutinio	0.500	0.653	0.658
scuba	buceo	0.542	0.494	0.456
scuff	peluche	0.165	0.560	0.376
scuffle	tirar	0.146	0.800	0.529
scullery	scullery	0.469	0.337	0.353
sculptor	escultor	0.653	0.431	0.694
sculpture	escultura	0.750	0.346	0.490
sculptured	esculpido	0.708	0.373	0.557
scum	escoria	0.357	0.380	0.218
scumbag	canalla	0.240	0.591	0.278
scurry	corrente	0.398	0.647	0.509
scurvy	escorbuto	0.354	0.462	0.312
scuttle	desprazar	0.438	0.398	0.430
sea	mar	0.833	0.353	0.589
seaboard	litoral	0.663	0.356	0.507
seafood	marisco	0.656	0.500	0.328
seagull	gaviota	0.635	0.245	0.314
seal	selo	0.490	0.218	0.518
seals	selos	0.412	0.241	0.402
seam	costura	0.427	0.250	0.414
seaman	marino	0.520	0.510	0.672
seamless	inconsútil	0.459	0.140	0.302
seamstress	costureira	0.535	0.288	0.389
seaport	porto marítimo	0.594	0.317	0.491
sear	sear	0.490	0.553	0.600
search	busca	0.635	0.580	0.462
searching	busca	0.534	0.657	0.466
searchlight	foco de busca	0.622	0.510	0.552
seared	seared	0.229	0.410	0.398
seashore	costa	0.796	0.310	0.375
seasick	seasick	0.115	0.683	0.245
seaside	costa	0.887	0.520	0.508
season	tempada	0.792	0.410	0.519
seasonal	estacional	0.592	0.273	0.305
seasoned	temperado	0.812	0.570	0.509
seasoning	temperado	0.633	0.388	0.479
seat	asento	0.542	0.281	0.434
seatbelt	cinto de seguridade	0.656	0.314	0.726
seating	asento	0.552	0.265	0.286
seawater	auga do mar	0.760	0.197	0.491
seaweed	algas	0.446	0.286	0.382
sec	seg	0.490	0.385	0.380
secession	secesión	0.323	0.561	0.509
secluded	illado	0.357	0.265	0.240
seclusion	reclusión	0.230	0.558	0.505
second	segundo	0.490	0.210	0.250
second cousin	segundo primo	0.698	0.360	0.441
secondary	secundario	0.636	0.375	0.260
secondhand	segunda man	0.194	0.389	0.283
secrecy	segredo	0.294	0.549	0.475
secret	segredo	0.479	0.580	0.509
secretariat	secretaría	0.518	0.459	0.597
secretary	secretario	0.612	0.426	0.561
secrete	segregar	0.427	0.567	0.518
secretion	secreción	0.354	0.582	0.529
secretive	segredo	0.390	0.250	0.538
secretly	en segredo	0.525	0.404	0.479
sect	seita	0.265	0.667	0.526
sectarian	sectario	0.260	0.606	0.517
section	sección	0.500	0.269	0.421
sectional	seccional	0.427	0.415	0.464
sector	sector	0.594	0.190	0.569
secular	secular	0.463	0.461	0.520
secularism	secularismo	0.367	0.440	0.559
secure	seguro	0.844	0.380	0.914
securities	títulos	0.750	0.304	0.852
security	seguridade	0.837	0.360	0.821
sedan	NO TRANSLATION	0.480	0.423	0.680
sedate	sedar	0.656	0.157	0.345
sedation	sedación	0.510	0.270	0.398
sedative	sedante	0.314	0.273	0.352
sedentary	sedentario	0.292	0.185	0.273
sedge	sedge	0.406	0.396	0.339
sediment	sedimento	0.438	0.306	0.372
sedimentary	sedimentaria	0.398	0.265	0.500
sedition	sedición	0.327	0.557	0.591
seduce	seducir	0.462	0.864	0.689
seducer	sedutor	0.704	0.812	0.775
seducing	seducir	0.569	0.794	0.708
seduction	sedución	0.510	0.891	0.618
seductive	sedutor	0.771	0.821	0.667
see	Ver	0.635	0.269	0.312
seed	semente	0.656	0.135	0.306
seedling	mudas	0.406	0.343	0.423
seeds	sementes	0.731	0.269	0.418
seedy	severo	0.229	0.390	0.325
seek	buscar	0.622	0.429	0.482
seeker	buscador	0.646	0.464	0.553
seem	parece	0.471	0.302	0.298
seemingly	aparentemente	0.490	0.410	0.356
seer	vidente	0.604	0.481	0.740
seesaw	balancín	0.570	0.559	0.410
seething	fame	0.312	0.821	0.642
segment	segmento	0.469	0.290	0.440
segregate	segregar	0.290	0.627	0.440
segregated	segregados	0.164	0.575	0.411
segregation	segregación	0.302	0.545	0.390
seismic	sísmica	0.323	0.925	0.578
seize	apoderarse	0.656	0.644	0.673
seizure	aprehensión	0.177	0.775	0.462
seldom	raras veces	0.323	0.379	0.287
select	seleccionar	0.615	0.406	0.602
selection	selección	0.594	0.340	0.595
selective	selectivo	0.612	0.347	0.706
selectman	selectman	0.552	0.547	0.609
selenium	selenio	0.469	0.408	0.336
self	auto	0.704	0.370	0.500
selfharm	NO TRANSLATION	0.350	0.620	0.407
selfish	egoísta	0.061	0.637	0.495
selfishness	egoísmo	0.200	0.686	0.453
selfless	desinteresado	0.521	0.235	0.396
selflove	NO TRANSLATION	0.854	0.630	0.661
selfworth	NO TRANSLATION	0.704	0.460	0.594
sell	vender	0.618	0.608	0.605
seller	Vendedor	0.635	0.471	0.635
sellout	esgotado	0.398	0.490	0.465
seltzer	seltzer	0.448	0.452	0.406
semantics	semántica	0.698	0.394	0.569
semaphore	semáforo	0.552	0.374	0.598
semblance	aparencia	0.500	0.471	0.442
semen	semen	0.500	0.755	0.471
semester	semestre	0.521	0.327	0.482
semi	semi	0.296	0.345	0.304
semiautomatic	NO TRANSLATION	0.469	0.510	0.522
semicolon	punto e coma	0.378	0.255	0.318
seminal	seminal	0.459	0.413	0.566
seminar	Seminario	0.583	0.360	0.623
seminary	seminario	0.594	0.367	0.589
semiotics	semiótica	0.449	0.417	0.596
senate	Senado	0.490	0.349	0.836
senator	senador	0.391	0.422	0.821
send	enviar	0.663	0.480	0.537
sender	remitente	0.542	0.449	0.509
senescence	senescencia	0.378	0.456	0.394
senile	senil	0.280	0.211	0.305
senior	Senior	0.561	0.415	0.536
seniority	antigüidade	0.408	0.427	0.602
senor	señor	0.527	0.217	0.630
senorita	señorita	0.765	0.550	0.500
sensation	sensación	0.781	0.663	0.673
sensational	sensacional	0.938	0.827	0.858
sense	sentido	0.781	0.417	0.474
senseless	sen sentido	0.125	0.388	0.136
senses	sentidos	0.740	0.461	0.693
sensibility	sensibilidade	0.583	0.423	0.448
sensible	sensible	0.625	0.454	0.312
sensibly	sensiblemente	0.786	0.337	0.396
sensitive	sensíbel	0.714	0.426	0.254
sensitivity	sensibilidade	0.750	0.417	0.395
sensor	sensor	0.571	0.377	0.542
sensory	sensorial	0.583	0.480	0.442
sensual	sensual	0.730	0.790	0.642
sensuality	sensualidade	0.844	0.840	0.632
sensuous	sensual	0.854	0.798	0.625
sentence	sentenza	0.625	0.265	0.548
sentencing	sentencia	0.120	0.782	0.561
sentient	sensible	0.583	0.417	0.363
sentiment	sentimento	0.765	0.451	0.639
sentimental	sentimental	0.583	0.378	0.312
sentimentality	sentimentalismo	0.771	0.548	0.319
sentinel	centinela	0.531	0.602	0.845
sentry	centinela	0.470	0.547	0.684
separable	separable	0.469	0.390	0.368
separate	separar	0.240	0.514	0.349
separately	por separado	0.310	0.365	0.368
separation	separación	0.198	0.592	0.409
separatist	separatista	0.245	0.627	0.537
sepia	sepia	0.448	0.270	0.345
sepsis	sepsis	0.229	0.452	0.327
sept	sep	0.521	0.333	0.361
septic	septica	0.281	0.462	0.425
septum	septo	0.276	0.423	0.410
sequel	secuela	0.650	0.480	0.574
sequence	secuencia	0.543	0.350	0.529
sequent	sequente	0.531	0.423	0.591
sequestered	secuestrado	0.160	0.863	0.427
sequestration	secuestro	0.177	0.860	0.500
serenade	serenata	0.875	0.570	0.491
serendipity	serendipity	0.677	0.413	0.500
serene	sereno	0.802	0.132	0.370
serenity	serenidade	0.900	0.122	0.557
sergeant	sarxento	0.408	0.600	0.833
serial	serie	0.469	0.350	0.472
serialize	Serializar	0.500	0.455	0.593
series	series	0.622	0.431	0.420
serif	serif	0.531	0.417	0.415
serious	serio	0.500	0.455	0.619
seriousness	seriedade	0.439	0.365	0.750
sermon	sermón	0.417	0.507	0.615
serpent	serpe	0.115	0.696	0.679
serpentine	serpentina	0.576	0.646	0.329
serrated	serrado	0.388	0.435	0.418
serum	soro	0.520	0.231	0.443
servant	servidor	0.340	0.408	0.331
serve	atender	0.622	0.400	0.384
server	servidor	0.656	0.356	0.536
service	servizo	0.684	0.408	0.535
serviceable	servível	0.834	0.400	0.684
servile	servil	0.439	0.327	0.415
servitude	servitude	0.250	0.490	0.250
sesame	sésamo	0.673	0.250	0.382
sess	NO TRANSLATION	0.418	0.481	0.411
session	sesión	0.510	0.481	0.491
sessions	sesións	0.646	0.578	0.650
set	conxunto	0.521	0.482	0.630
setback	revés	0.198	0.451	0.250
sett	NO TRANSLATION	0.560	0.413	0.500
setter	Setter	0.541	0.455	0.473
settle	resolver	0.833	0.520	0.772
settled	instalouse	0.521	0.510	0.473
settlement	asentamento	0.635	0.412	0.723
settler	colono	0.573	0.453	0.519
settlor	settlor	0.531	0.434	0.534
setup	montar	0.667	0.398	0.635
seven	sete	0.672	0.265	0.373
seventeen	dezasete	0.585	0.296	0.321
